validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuva,trovoada,nevoa_umida,teto,cobertura,tt,po,qnh,ur,chuvisco,vnt_rajada,nevoa_seca,pancada,nevoeiro
"['07:00', '19/04']",19/04 07:00,120,5,,9999,,,,,NIL,700,5,13,13,1024,100,NIL,,,,
"['08:00', '19/04']",19/04 08:00,140,4,,5000,,,,,1,600,8,14,14,1024,100,1,,,,
"['09:00', '19/04']",19/04 09:00,130,4,,9999,,,,,NIL,800,5,14,14,1024,100,NIL,,,,
"['10:00', '19/04']",19/04 10:00,120,4,,9999,,,,,NIL,1000,8,14,14,1025,100,NIL,,,,
"['11:00', '19/04']",19/04 11:00,100,3,,8000,,,,,NIL,900,5,14,14,1024,100,1,,,,
"['11:15', '19/04']",19/04 11:15,100,4,,4500,,,,,NIL,400,8,15,15,1025,100,1,,,,
"['12:00', '19/04']",19/04 12:00,90,7,,5000,,,,,1,900,5,15,15,1026,100,NIL,,,,
"['13:00', '19/04']",19/04 13:00,90,7,,8000,,,,,NIL,1000,5,16,15,1026,94,NIL,,,,
"['14:00', '19/04']",19/04 14:00,80,8,,9999,,,,,NIL,1300,5,17,13,1026,77,NIL,,,,
"['15:00', '19/04']",19/04 15:00,90,8,,9999,,,,,NIL,2000,5,18,13,1025,73,NIL,,,,
"['16:00', '19/04']",19/04 16:00,50,8,,9999,,,,,NIL,2000,5,18,13,1025,73,NIL,,,,
"['17:00', '19/04']",19/04 17:00,80,5,,9999,,,,,NIL,2000,5,19,14,1024,73,NIL,,,,
"['18:00', '19/04']",19/04 18:00,70,7,,9999,,,,,NIL,2500,5,19,12,1023,64,NIL,,,,
"['19:00', '19/04']",19/04 19:00,100,9,,9999,,,,,NIL,4000,5,19,14,1023,73,NIL,,,,
"['20:00', '19/04']",19/04 20:00,100,6,,9999,,,,,NIL,NIL,3,18,13,1023,73,NIL,,,,
"['21:00', '19/04']",19/04 21:00,100,5,,9999,,,,,NIL,2000,5,16,14,1024,88,NIL,,,,
"['22:00', '19/04']",19/04 22:00,100,7,,9999,,,,,NIL,NIL,3,15,15,1024,100,NIL,,,,
"['23:00', '19/04']",19/04 23:00,90,3,,9999,,,,,NIL,700,5,14,14,1024,100,NIL,,,,
"['00:00', '20/04']",20/04 00:00,100,4,,9999,,,,,NIL,800,5,15,15,1025,100,NIL,,,,
"['01:00', '20/04']",20/04 01:00,90,4,,9999,,,,,,800,5,14,14,1024,100,,,,,
"['02:00', '20/04']",20/04 02:00,110,5,,9999,,,,,,800,8,14,14,1024,100,,,,,
"['03:00', '20/04']",20/04 03:00,90,3,,9999,,,,,,900,5,14,14,1025,100,,,,,
"['04:00', '20/04']",20/04 04:00,90,2,,9999,,,,,,NIL,3,14,14,1024,100,,,,,
"['05:00', '20/04']",20/04 05:00,150,2,,9999,,,,,,4500,5,13,13,1024,100,,,,,
