validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuva,trovoada,nevoa_umida,teto,cobertura,tt,po,qnh,ur,chuvisco,vnt_rajada,nevoa_seca,pancada,nevoeiro
"['11:00', '26/07']",26/07 11:00,100,4,105,9999,,,,,,900,8,12,11,1026,94,,,,,
"['12:00', '26/07']",26/07 12:00,60,9,60,9999,,,,,,900,8,13,10,1026,82,,,,,
"['13:00', '26/07']",26/07 13:00,80,8,NIL,9999,,,,,,900,8,13,11,1027,88,,,,,
"['14:00', '26/07']",26/07 14:00,60,11,NIL,9999,,,,,,1000,8,14,11,1027,82,,,,,
"['15:00', '26/07']",26/07 15:00,70,11,NIL,9999,,,,,,1300,5,14,11,1026,82,,,,,
"['16:00', '26/07']",26/07 16:00,70,8,70,9999,,,,,,1300,8,15,11,1025,77,,,,,
"['17:00', '26/07']",26/07 17:00,90,7,90,9999,,,,,,1300,8,14,11,1025,82,,,,,
"['18:00', '26/07']",26/07 18:00,70,7,70,9999,,,,,,1300,5,15,12,1024,82,,,,,
"['19:00', '26/07']",26/07 19:00,70,8,NIL,9999,,,,,,1300,5,14,12,1024,88,,,,,
"['20:00', '26/07']",26/07 20:00,60,7,70,9999,,,,,,1000,8,14,12,1024,88,,,,,
"['21:00', '26/07']",26/07 21:00,60,8,NIL,9999,,,,,,900,8,13,12,1024,94,,,,,
"['22:00', '26/07']",26/07 22:00,40,8,NIL,9999,,,,,,700,8,13,12,1024,94,,,,,
"['23:00', '26/07']",26/07 23:00,40,7,NIL,9999,,,,,,500,8,13,12,1024,94,,,,,
"['00:00', '27/07']",27/07 00:00,30,8,NIL,9999,,,,,,400,8,13,12,1024,94,,,,,
"['01:00', '27/07']",27/07 01:00,20,9,,9999,,,,,NIL,400,8,13,12,1024,94,,,,,NIL
"['02:00', '27/07']",27/07 02:00,30,6,,9999,,,,,NIL,400,8,13,12,1024,94,,,,,NIL
"['03:00', '27/07']",27/07 03:00,30,4,,9999,,,,,NIL,300,8,13,12,1024,94,,,,,NIL
"['04:00', '27/07']",27/07 04:00,360,5,,9999,,,,,NIL,300,8,13,12,1024,94,,,,,NIL
"['05:00', '27/07']",27/07 05:00,40,4,,9000,,,,,NIL,300,8,12,12,1023,100,,,,,NIL
"['06:00', '27/07']",27/07 06:00,50,4,,3000,,,,,NIL,200,8,12,12,1023,100,,,,,1
"['06:15', '27/07']",27/07 06:15,40,3,,800,,,,,NIL,NIL,NIL,12,12,1023,100,,,,,1
"['07:00', '27/07']",27/07 07:00,30,5,,800,,,,,NIL,NIL,NIL,12,12,1022,100,,,,,1
"['08:00', '27/07']",27/07 08:00,20,3,,800,,,,,NIL,NIL,NIL,12,12,1022,100,,,,,1
"['08:10', '27/07']",27/07 08:10,20,3,,500,,,,,NIL,NIL,NIL,12,12,1022,100,,,,,1
"['09:00', '27/07']",27/07 09:00,40,2,,400,,,,,NIL,NIL,NIL,12,12,1022,100,,,,,1
"['10:00', '27/07']",27/07 10:00,350,2,,400,,,,,NIL,NIL,NIL,12,12,1022,100,,,,,1
"['11:00', '27/07']",27/07 11:00,10,3,,300,,,,,NIL,NIL,NIL,12,12,1023,100,,,,,1
"['12:00', '27/07']",27/07 12:00,350,3,,500,,,,,NIL,NIL,NIL,12,12,1023,100,,,,,1
"['12:20', '27/07']",27/07 12:20,360,3,,1700,,,,,1,200,5,13,13,1023,100,,,,,1
"['13:00', '27/07']",27/07 13:00,350,4,,5000,,,,,1,NIL,2,16,15,1023,94,,,,,NIL
"['14:00', '27/07']",27/07 14:00,360,3,,9999,,,,,NIL,NIL,NIL,19,13,1023,68,,,,,NIL
"['15:00', '27/07']",27/07 15:00,350,4,,9999,,,,,NIL,NIL,NIL,22,13,1022,57,,,,,NIL
"['16:00', '27/07']",27/07 16:00,350,11,,9999,,,,,NIL,NIL,NIL,23,11,1021,47,,,,,NIL
"['17:00', '27/07']",27/07 17:00,330,12,,9999,,,,,NIL,NIL,NIL,25,11,1020,41,,,,,NIL
"['18:00', '27/07']",27/07 18:00,320,11,,9999,,,,,NIL,NIL,3,24,10,1020,41,,,,,NIL
"['19:00', '27/07']",27/07 19:00,330,8,,9999,,,,,NIL,NIL,2,23,11,1019,47,,,,,NIL
"['20:00', '27/07']",27/07 20:00,320,6,,9999,,,,,NIL,NIL,NIL,22,11,1019,50,,,,,NIL
"['21:00', '27/07']",27/07 21:00,10,4,,9999,,,,,NIL,NIL,3,21,12,1020,56,,,,,NIL
"['22:00', '27/07']",27/07 22:00,80,3,,9999,,,,,NIL,NIL,3,20,12,1020,60,,,,,NIL
"['23:00', '27/07']",27/07 23:00,70,4,,9999,,,,,NIL,NIL,3,18,13,1020,73,,,,,NIL
"['00:00', '28/07']",28/07 00:00,50,5,,9999,,,,,NIL,4500,5,18,13,1020,73,,,,,NIL
"['01:00', '28/07']",28/07 01:00,30,5,NIL,9999,NIL,NIL,NIL,NIL,,NIL,3,17,13,1020,77,,NIL,,,
"['02:00', '28/07']",28/07 02:00,40,3,NIL,9999,NIL,NIL,NIL,NIL,,NIL,NIL,16,13,1020,82,,NIL,,,
"['03:00', '28/07']",28/07 03:00,20,3,NIL,9999,NIL,NIL,NIL,NIL,,NIL,NIL,16,13,1020,82,,NIL,,,
"['04:00', '28/07']",28/07 04:00,260,3,NIL,9999,NIL,NIL,NIL,NIL,,NIL,NIL,16,13,1020,82,,NIL,,,
"['05:00', '28/07']",28/07 05:00,30,4,NIL,9999,NIL,NIL,NIL,NIL,,NIL,NIL,14,13,1019,94,,NIL,,,
"['06:00', '28/07']",28/07 06:00,20,3,NIL,9999,NIL,NIL,NIL,NIL,,NIL,NIL,14,13,1019,94,,NIL,,,
"['07:00', '28/07']",28/07 07:00,20,4,NIL,9999,NIL,NIL,NIL,NIL,,NIL,NIL,14,12,1019,88,,NIL,,,
"['08:00', '28/07']",28/07 08:00,10,4,NIL,9999,NIL,NIL,NIL,NIL,,NIL,NIL,14,12,1019,88,,NIL,,,
"['09:00', '28/07']",28/07 09:00,10,4,NIL,9999,NIL,NIL,NIL,NIL,,NIL,NIL,14,12,1019,88,,NIL,,,
"['10:00', '28/07']",28/07 10:00,360,5,NIL,9999,NIL,NIL,NIL,NIL,,NIL,NIL,14,12,1019,88,,NIL,,,
"['11:00', '28/07']",28/07 11:00,320,3,NIL,9999,NIL,NIL,NIL,NIL,,NIL,NIL,15,13,1020,88,,NIL,,,
"['12:00', '28/07']",28/07 12:00,330,8,NIL,9999,NIL,NIL,NIL,NIL,,NIL,NIL,19,13,1020,68,,NIL,,,
"['13:00', '28/07']",28/07 13:00,310,11,NIL,9999,NIL,NIL,NIL,NIL,,NIL,NIL,23,12,1020,50,,NIL,,,
"['14:00', '28/07']",28/07 14:00,310,16,NIL,9999,NIL,NIL,NIL,NIL,,NIL,NIL,25,11,1019,41,,NIL,,,
"['15:00', '28/07']",28/07 15:00,310,17,NIL,9999,NIL,NIL,NIL,NIL,,NIL,NIL,25,11,1019,41,,NIL,,,
"['16:00', '28/07']",28/07 16:00,310,17,NIL,9999,NIL,NIL,NIL,NIL,,NIL,2,26,12,1018,42,,NIL,,,
"['17:00', '28/07']",28/07 17:00,300,17,NIL,9999,NIL,NIL,NIL,NIL,,NIL,3,26,12,1017,42,,NIL,,,
"['18:00', '28/07']",28/07 18:00,320,16,NIL,9999,NIL,NIL,NIL,NIL,,NIL,3,26,10,1016,37,,NIL,,,
"['19:00', '28/07']",28/07 19:00,330,10,160,9999,NIL,NIL,NIL,NIL,,NIL,3,26,12,1016,42,,NIL,,,
"['20:00', '28/07']",28/07 20:00,340,13,NIL,9999,NIL,NIL,NIL,NIL,,NIL,3,25,12,1016,44,,NIL,,,
"['20:45', '28/07']",28/07 20:45,100,11,NIL,6000,NIL,NIL,NIL,NIL,,800,5,16,14,1017,88,,NIL,,,
"['21:00', '28/07']",28/07 21:00,100,10,NIL,6000,2500,135,NIL,NIL,,400,5,16,15,1017,94,,NIL,,,
"['22:00', '28/07']",28/07 22:00,70,11,NIL,8000,NIL,NIL,NIL,NIL,,400,5,15,14,1018,94,,NIL,,,
"['22:35', '28/07']",28/07 22:35,200,19,205,4000,NIL,NIL,1,1,,600,8,14,13,1021,94,,31,,,
"['23:00', '28/07']",28/07 23:00,VRB,18,NIL,9000,NIL,NIL,1,1,,500,5,13,11,1021,88,,NIL,,,
"['00:00', '29/07']",29/07 00:00,90,8,NIL,9999,NIL,NIL,NIL,1,,4000,8,12,11,1021,94,,NIL,,,
"['01:00', '29/07']",29/07 01:00,110,5,NIL,6000,,,1,1,,1000,8,12,11,1022,94,NIL,,,,
"['02:00', '29/07']",29/07 02:00,90,4,NIL,9999,,,NIL,1,,400,8,12,12,1022,100,NIL,,,,
"['03:00', '29/07']",29/07 03:00,70,6,NIL,7000,,,1,1,,500,8,12,12,1022,100,NIL,,,,
"['04:00', '29/07']",29/07 04:00,360,4,NIL,3500,,,1,1,,400,8,13,12,1022,94,NIL,,,,
"['05:00', '29/07']",29/07 05:00,110,4,NIL,9999,,,NIL,1,,400,8,12,12,1022,100,NIL,,,,
"['06:00', '29/07']",29/07 06:00,60,4,NIL,9000,,,NIL,NIL,,400,8,12,12,1021,100,NIL,,,,
"['07:00', '29/07']",29/07 07:00,100,7,NIL,9999,,,NIL,NIL,,400,5,12,12,1021,100,NIL,,,,
"['08:00', '29/07']",29/07 08:00,60,8,NIL,9999,,,NIL,NIL,,400,8,12,11,1021,94,NIL,,,,
"['09:00', '29/07']",29/07 09:00,70,9,NIL,9999,,,NIL,NIL,,400,8,12,11,1022,94,NIL,,,,
"['10:00', '29/07']",29/07 10:00,100,6,NIL,9999,,,NIL,NIL,,400,8,11,11,1022,100,NIL,,,,
"['11:00', '29/07']",29/07 11:00,120,8,NIL,9999,,,NIL,NIL,,400,8,10,10,1023,100,NIL,,,,
"['12:00', '29/07']",29/07 12:00,90,10,NIL,9999,,,1,NIL,,400,8,10,10,1023,100,1,,,,
"['13:00', '29/07']",29/07 13:00,80,10,90,9999,,,NIL,NIL,,700,8,12,11,1023,94,NIL,,,,
"['14:00', '29/07']",29/07 14:00,90,10,NIL,9999,,,NIL,NIL,,700,8,11,09,1024,87,NIL,,,,
"['15:00', '29/07']",29/07 15:00,80,9,NIL,9999,,,NIL,NIL,,700,8,10,09,1024,93,NIL,,,,
"['16:00', '29/07']",29/07 16:00,100,8,110,9999,,,NIL,NIL,,600,8,10,09,1024,93,NIL,,,,
"['17:00', '29/07']",29/07 17:00,110,8,NIL,9999,,,NIL,NIL,,600,8,09,09,1023,100,NIL,,,,
"['18:00', '29/07']",29/07 18:00,100,7,NIL,9999,,,NIL,NIL,,600,8,09,08,1024,93,1,,,,
"['19:00', '29/07']",29/07 19:00,80,10,NIL,9999,,,NIL,NIL,,600,8,09,08,1023,93,NIL,,,,
"['20:00', '29/07']",29/07 20:00,90,9,NIL,9999,,,NIL,NIL,,600,8,09,08,1024,93,NIL,,,,
"['21:00', '29/07']",29/07 21:00,110,7,NIL,9999,,,NIL,NIL,,500,8,08,08,1025,100,NIL,,,,
"['22:00', '29/07']",29/07 22:00,100,7,NIL,9000,,,NIL,NIL,,500,8,08,08,1025,100,NIL,,,,
"['23:00', '29/07']",29/07 23:00,110,9,NIL,6000,,,NIL,NIL,,300,8,08,07,1026,93,1,,,,
"['00:00', '30/07']",30/07 00:00,100,9,NIL,7000,,,NIL,NIL,,300,8,07,07,1026,100,NIL,,,,
"['01:00', '30/07']",30/07 01:00,100,10,,7000,,,,,NIL,300,8,07,07,1027,100,,,,,
"['02:00', '30/07']",30/07 02:00,100,9,,6000,,,,,NIL,300,8,07,07,1027,100,,,,,
"['03:00', '30/07']",30/07 03:00,100,9,,8000,,,,,NIL,300,8,07,07,1027,100,,,,,
"['04:00', '30/07']",30/07 04:00,100,10,,8000,,,,,NIL,300,8,07,07,1027,100,,,,,
"['05:00', '30/07']",30/07 05:00,120,9,,8000,,,,,NIL,300,8,07,07,1027,100,,,,,
"['06:00', '30/07']",30/07 06:00,110,8,,8000,,,,,NIL,300,8,07,07,1026,100,,,,,
"['07:00', '30/07']",30/07 07:00,110,9,,6000,,,,,NIL,400,8,07,06,1026,93,,,,,
"['08:00', '30/07']",30/07 08:00,110,5,,9000,,,,,NIL,500,8,06,06,1026,100,,,,,
"['09:00', '30/07']",30/07 09:00,120,7,,9999,,,,,NIL,400,8,07,06,1027,93,,,,,
"['10:00', '30/07']",30/07 10:00,110,6,,6000,,,,,NIL,200,8,07,07,1028,100,,,,,
"['11:00', '30/07']",30/07 11:00,120,9,,8000,,,,,NIL,400,8,07,07,1028,100,,,,,
"['12:00', '30/07']",30/07 12:00,120,7,,4000,,,,,1,400,8,08,08,1029,100,,,,,
"['13:00', '30/07']",30/07 13:00,90,8,,6000,,,,,NIL,900,5,10,08,1029,87,,,,,
"['14:00', '30/07']",30/07 14:00,80,7,,9999,,,,,NIL,1700,5,12,09,1029,82,,,,,
"['15:00', '30/07']",30/07 15:00,100,10,,9999,,,,,NIL,2000,5,12,09,1029,82,,,,,
"['16:00', '30/07']",30/07 16:00,100,9,,9999,,,,,NIL,1000,8,11,08,1028,82,,,,,
"['17:00', '30/07']",30/07 17:00,110,9,,9999,,,,,NIL,1000,8,11,08,1028,82,,,,,
"['18:00', '30/07']",30/07 18:00,100,8,,9999,,,,,NIL,1200,8,11,08,1028,82,,,,,
"['19:00', '30/07']",30/07 19:00,100,7,,9999,,,,,NIL,1200,5,11,09,1028,87,,,,,
"['20:00', '30/07']",30/07 20:00,100,8,,9999,,,,,NIL,900,8,10,09,1028,93,,,,,
"['21:00', '30/07']",30/07 21:00,100,6,,9999,,,,,NIL,900,8,10,09,1028,93,,,,,
"['22:00', '30/07']",30/07 22:00,120,7,,9999,,,,,NIL,400,8,09,09,1028,100,,,,,
"['23:00', '30/07']",30/07 23:00,100,7,,9999,,,,,NIL,400,8,10,09,1029,93,,,,,
"['00:00', '31/07']",31/07 00:00,110,6,,9999,,,,,NIL,400,8,10,09,1029,93,,,,,
"['01:00', '31/07']",31/07 01:00,110,7,,9999,,,,,,400,8,10,09,1029,93,,,,,
"['02:00', '31/07']",31/07 02:00,100,9,,9999,,,,,,300,8,10,10,1029,100,,,,,
"['03:00', '31/07']",31/07 03:00,90,7,,9999,,,,,,400,8,10,10,1029,100,,,,,
"['04:00', '31/07']",31/07 04:00,90,3,,9999,,,,,,400,8,10,10,1029,100,,,,,
"['05:00', '31/07']",31/07 05:00,80,8,,9999,,,,,,400,8,11,10,1028,94,,,,,
"['06:00', '31/07']",31/07 06:00,90,5,,9999,,,,,,400,8,10,10,1028,100,,,,,
"['07:00', '31/07']",31/07 07:00,120,5,,9999,,,,,,500,8,10,10,1028,100,,,,,
"['08:00', '31/07']",31/07 08:00,100,4,,9999,,,,,,700,8,10,10,1028,100,,,,,
"['09:00', '31/07']",31/07 09:00,80,3,,9999,,,,,,900,8,11,10,1028,94,,,,,
"['10:00', '31/07']",31/07 10:00,90,3,,9999,,,,,,900,8,11,10,1029,94,,,,,
"['11:00', '31/07']",31/07 11:00,70,8,,9999,,,,,,1000,8,12,10,1028,88,,,,,
"['12:00', '31/07']",31/07 12:00,70,10,,9999,,,,,,1000,8,12,10,1029,88,,,,,
"['13:00', '31/07']",31/07 13:00,60,12,,9999,,,,,,1200,8,13,10,1029,82,,,,,
"['14:00', '31/07']",31/07 14:00,70,12,,9999,,,,,,1400,5,15,11,1029,77,,,,,
"['15:00', '31/07']",31/07 15:00,70,12,,9999,,,,,,1400,5,15,11,1029,77,,,,,
"['15:10', '31/07']",31/07 15:10,70,12,,9999,,,,,,1800,5,15,10,1029,72,,,,,
"['16:00', '31/07']",31/07 16:00,70,10,,9999,,,,,,3000,5,16,11,1028,72,,,,,
"['17:00', '31/07']",31/07 17:00,80,8,,9999,,,,,,3500,5,16,11,1028,72,,,,,
"['18:00', '31/07']",31/07 18:00,100,9,,9999,,,,,,1800,5,15,11,1027,77,,,,,
"['19:00', '31/07']",31/07 19:00,100,9,,9999,,,,,,1800,5,16,11,1027,72,,,,,
"['20:00', '31/07']",31/07 20:00,100,7,,9999,,,,,,NIL,3,15,11,1027,77,,,,,
"['21:00', '31/07']",31/07 21:00,100,5,,9999,,,,,,NIL,2,12,11,1028,94,,,,,
"['21:10', '31/07']",31/07 21:10,110,5,,9999,,,,,,1000,5,12,11,1028,94,,,,,
"['22:00', '31/07']",31/07 22:00,110,5,,9999,,,,,,600,5,11,11,1028,100,,,,,
"['23:00', '31/07']",31/07 23:00,80,3,,9999,,,,,,500,5,11,11,1029,100,,,,,
"['00:00', '01/08']",01/08 00:00,90,4,,9999,,,,,,500,5,11,11,1029,100,,,,,
"['01:00', '01/08']",01/08 01:00,130,3,NIL,9999,NIL,NIL,,,,500,5,11,11,1029,100,,,,,NIL
"['02:00', '01/08']",01/08 02:00,110,4,NIL,9999,NIL,NIL,,,,400,5,11,11,1029,100,,,,,NIL
"['03:00', '01/08']",01/08 03:00,100,3,NIL,9999,NIL,NIL,,,,700,5,11,11,1029,100,,,,,NIL
"['04:00', '01/08']",01/08 04:00,70,2,NIL,9999,NIL,NIL,,,,800,5,12,11,1028,94,,,,,NIL
"['05:00', '01/08']",01/08 05:00,VRB,2,NIL,8000,NIL,NIL,,,,800,8,12,12,1028,100,,,,,NIL
"['06:00', '01/08']",01/08 06:00,0,0,NIL,8000,NIL,NIL,,,,600,5,12,12,1028,100,,,,,NIL
"['07:00', '01/08']",01/08 07:00,120,1,NIL,6000,NIL,NIL,,,,700,8,11,11,1028,100,,,,,NIL
"['08:00', '01/08']",01/08 08:00,40,4,NIL,7000,NIL,NIL,,,,1200,5,11,11,1028,100,,,,,NIL
"['09:00', '01/08']",01/08 09:00,50,4,NIL,9999,NIL,NIL,,,,NIL,3,11,09,1028,87,,,,,NIL
"['10:00', '01/08']",01/08 10:00,NIL,NIL,NIL,6000,NIL,NIL,,,,NIL,2,10,10,1028,100,,,,,NIL
"['11:00', '01/08']",01/08 11:00,150,4,NIL,9999,NIL,NIL,,,,NIL,NIL,11,11,1029,100,,,,,NIL
"['12:00', '01/08']",01/08 12:00,VRB,2,NIL,9999,NIL,NIL,,,,NIL,2,13,11,1029,88,,,,,NIL
"['12:40', '01/08']",01/08 12:40,VRB,2,NIL,9999,NIL,NIL,,,,1000,5,14,11,1029,82,,,,,NIL
"['13:00', '01/08']",01/08 13:00,60,6,NIL,9999,NIL,NIL,,,,1100,5,14,11,1029,82,,,,,NIL
"['14:00', '01/08']",01/08 14:00,VRB,4,NIL,9999,NIL,NIL,,,,NIL,2,16,11,1029,72,,,,,NIL
"['15:00', '01/08']",01/08 15:00,40,3,NIL,9999,NIL,NIL,,,,NIL,2,18,11,1028,64,,,,,NIL
"['16:00', '01/08']",01/08 16:00,VRB,4,NIL,9999,NIL,NIL,,,,NIL,2,19,11,1027,60,,,,,NIL
"['17:00', '01/08']",01/08 17:00,VRB,3,NIL,9999,NIL,NIL,,,,NIL,2,20,09,1026,49,,,,,NIL
"['18:00', '01/08']",01/08 18:00,260,3,235,9999,NIL,NIL,,,,NIL,2,21,08,1025,43,,,,,NIL
"['19:00', '01/08']",01/08 19:00,120,5,115,9999,NIL,NIL,,,,NIL,2,20,12,1025,60,,,,,NIL
"['20:00', '01/08']",01/08 20:00,100,7,NIL,9999,NIL,NIL,,,,NIL,NIL,18,13,1025,73,,,,,NIL
"['21:00', '01/08']",01/08 21:00,120,5,NIL,9999,NIL,NIL,,,,NIL,NIL,16,12,1025,77,,,,,NIL
"['22:00', '01/08']",01/08 22:00,110,3,NIL,9999,NIL,NIL,,,,NIL,NIL,14,12,1026,88,,,,,NIL
"['23:00', '01/08']",01/08 23:00,260,3,NIL,9999,NIL,NIL,,,,NIL,NIL,13,12,1026,94,,,,,NIL
"['23:17', '01/08']",01/08 23:17,90,5,NIL,9000,600,135,,,,NIL,2,12,12,1027,100,,,,,1
"['00:00', '02/08']",02/08 00:00,100,5,NIL,800,NIL,NIL,,,,300,5,11,11,1028,100,,,,,1
"['01:00', '02/08']",02/08 01:00,100,5,,800,,,,,NIL,NIL,NIL,12,12,1027,100,,,,,1
"['02:00', '02/08']",02/08 02:00,70,6,,4000,,,,,1,400,5,12,12,1027,100,,,,,NIL
"['03:00', '02/08']",02/08 03:00,20,3,,9000,,,,,NIL,300,8,12,12,1027,100,,,,,NIL
"['04:00', '02/08']",02/08 04:00,30,3,,6000,,,,,NIL,200,8,11,11,1027,100,,,,,NIL
"['05:00', '02/08']",02/08 05:00,100,3,,8000,,,,,NIL,300,8,11,11,1027,100,,,,,NIL
"['06:00', '02/08']",02/08 06:00,90,3,,9999,,,,,NIL,400,8,11,11,1027,100,,,,,NIL
"['07:00', '02/08']",02/08 07:00,80,3,,9999,,,,,NIL,400,5,11,11,1026,100,,,,,NIL
"['08:00', '02/08']",02/08 08:00,100,2,,800,,,,,NIL,200,5,11,11,1027,100,,,,,1
"['09:00', '02/08']",02/08 09:00,140,1,,800,,,,,NIL,NIL,NIL,10,10,1028,100,,,,,1
"['10:00', '02/08']",02/08 10:00,220,2,,800,,,,,NIL,NIL,NIL,10,10,1028,100,,,,,1
"['10:05', '02/08']",02/08 10:05,290,2,,400,,,,,NIL,NIL,NIL,10,10,1028,100,,,,,1
"['11:00', '02/08']",02/08 11:00,50,4,,1200,,,,,1,200,8,11,11,1029,100,,,,,1
"['11:30', '02/08']",02/08 11:30,50,5,,3000,,,,,1,200,8,11,11,1029,100,,,,,NIL
"['12:00', '02/08']",02/08 12:00,20,5,,4000,,,,,1,300,8,11,11,1030,100,,,,,NIL
"['13:00', '02/08']",02/08 13:00,70,4,,8000,,,,,NIL,800,5,14,12,1030,88,,,,,NIL
"['13:30', '02/08']",02/08 13:30,50,3,,9999,,,,,NIL,NIL,3,15,11,1030,77,,,,,NIL
"['14:00', '02/08']",02/08 14:00,90,3,,9999,,,,,NIL,NIL,2,16,11,1030,72,,,,,NIL
"['15:00', '02/08']",02/08 15:00,50,5,,9999,,,,,NIL,NIL,2,18,11,1029,64,,,,,NIL
"['16:00', '02/08']",02/08 16:00,70,7,,9999,,,,,NIL,NIL,2,19,08,1028,49,,,,,NIL
"['17:00', '02/08']",02/08 17:00,120,10,,9999,,,,,NIL,NIL,NIL,21,04,1028,33,,,,,NIL
"['18:00', '02/08']",02/08 18:00,110,6,,9999,,,,,NIL,NIL,NIL,21,06,1028,38,,,,,NIL
"['19:00', '02/08']",02/08 19:00,90,6,,9999,,,,,NIL,NIL,NIL,20,09,1028,49,,,,,NIL
"['20:00', '02/08']",02/08 20:00,100,6,,9999,,,,,NIL,NIL,NIL,19,08,1028,49,,,,,NIL
"['21:00', '02/08']",02/08 21:00,110,5,,9999,,,,,NIL,NIL,NIL,16,08,1029,59,,,,,NIL
"['22:00', '02/08']",02/08 22:00,110,5,,9999,,,,,NIL,NIL,NIL,15,09,1028,67,,,,,NIL
"['23:00', '02/08']",02/08 23:00,100,4,,9999,,,,,NIL,NIL,NIL,12,10,1029,88,,,,,NIL
"['00:00', '03/08']",03/08 00:00,120,5,,9999,,,,,NIL,NIL,NIL,12,10,1029,88,,,,,NIL
"['01:00', '03/08']",03/08 01:00,80,3,NIL,9999,NIL,NIL,,,NIL,NIL,NIL,10,09,1029,93,,,,,NIL
"['02:00', '03/08']",03/08 02:00,60,3,NIL,6000,NIL,NIL,,,NIL,NIL,2,09,09,1029,100,,,,,NIL
"['03:00', '03/08']",03/08 03:00,40,4,NIL,5000,NIL,NIL,,,1,NIL,2,07,07,1029,100,,,,,NIL
"['03:10', '03/08']",03/08 03:10,40,4,NIL,4500,1200,90,,,1,400,5,07,07,1029,100,,,,,1
"['03:15', '03/08']",03/08 03:15,50,4,NIL,800,NIL,NIL,,,NIL,NIL,NIL,07,07,1029,100,,,,,1
"['03:20', '03/08']",03/08 03:20,50,4,NIL,450,NIL,NIL,,,NIL,NIL,NIL,07,07,1029,100,,,,,1
"['04:00', '03/08']",03/08 04:00,50,2,NIL,400,NIL,NIL,,,NIL,NIL,NIL,08,08,1029,100,,,,,1
"['05:00', '03/08']",03/08 05:00,110,2,NIL,400,NIL,NIL,,,NIL,NIL,NIL,08,08,1028,100,,,,,1
"['06:00', '03/08']",03/08 06:00,30,3,NIL,400,NIL,NIL,,,NIL,NIL,NIL,08,08,1028,100,,,,,1
"['07:00', '03/08']",03/08 07:00,10,3,NIL,450,NIL,NIL,,,NIL,NIL,NIL,07,07,1028,100,,,,,1
"['08:00', '03/08']",03/08 08:00,20,2,NIL,450,NIL,NIL,,,NIL,NIL,NIL,08,08,1028,100,,,,,1
"['09:00', '03/08']",03/08 09:00,340,2,NIL,450,NIL,NIL,,,NIL,NIL,NIL,07,07,1029,100,,,,,1
"['10:00', '03/08']",03/08 10:00,0,0,NIL,350,NIL,NIL,,,NIL,NIL,NIL,07,07,1029,100,,,,,1
"['11:00', '03/08']",03/08 11:00,VRB,2,NIL,350,NIL,NIL,,,NIL,NIL,NIL,06,06,1030,100,,,,,1
"['12:00', '03/08']",03/08 12:00,VRB,1,NIL,200,NIL,NIL,,,NIL,NIL,NIL,08,08,1031,100,,,,,1
"['13:00', '03/08']",03/08 13:00,30,3,205,450,NIL,NIL,,,NIL,NIL,NIL,09,09,1031,100,,,,,1
"['13:10', '03/08']",03/08 13:10,VRB,2,NIL,800,NIL,NIL,,,NIL,NIL,NIL,09,09,1031,100,,,,,1
"['13:26', '03/08']",03/08 13:26,40,3,210,1800,NIL,NIL,,,1,200,8,10,10,1031,100,,,,,1
"['13:38', '03/08']",03/08 13:38,20,3,190,5000,NIL,NIL,,,1,300,5,11,11,1031,100,,,,,NIL
"['14:00', '03/08']",03/08 14:00,30,4,210,7000,NIL,NIL,,,NIL,NIL,3,11,11,1031,100,,,,,NIL
"['15:00', '03/08']",03/08 15:00,50,6,45,9999,NIL,NIL,,,NIL,NIL,2,17,09,1030,59,,,,,NIL
"['16:00', '03/08']",03/08 16:00,30,6,210,9999,NIL,NIL,,,NIL,NIL,NIL,19,05,1029,40,,,,,NIL
"['17:00', '03/08']",03/08 17:00,VRB,2,NIL,9999,NIL,NIL,,,NIL,NIL,NIL,20,04,1028,35,,,,,NIL
"['18:00', '03/08']",03/08 18:00,VRB,2,NIL,9999,NIL,NIL,,,NIL,NIL,NIL,21,03,1028,30,,,,,NIL
"['19:00', '03/08']",03/08 19:00,VRB,2,NIL,9999,NIL,NIL,,,NIL,NIL,NIL,22,05,1027,33,,,,,NIL
"['20:00', '03/08']",03/08 20:00,120,8,NIL,9999,NIL,NIL,,,NIL,NIL,NIL,19,11,1028,60,,,,,NIL
"['21:00', '03/08']",03/08 21:00,120,6,NIL,9999,NIL,NIL,,,NIL,NIL,NIL,15,11,1028,77,,,,,NIL
"['22:00', '03/08']",03/08 22:00,90,5,NIL,9999,NIL,NIL,,,NIL,NIL,NIL,13,12,1028,94,,,,,NIL
"['23:00', '03/08']",03/08 23:00,120,5,NIL,9999,NIL,NIL,,,NIL,NIL,NIL,12,11,1029,94,,,,,NIL
"['23:30', '03/08']",03/08 23:30,110,4,NIL,9000,3800,135,,,NIL,200,5,11,11,1029,100,,,,,NIL
"['00:00', '04/08']",04/08 00:00,110,6,NIL,2000,NIL,NIL,,,1,200,5,11,11,1029,100,,,,,NIL
"['00:28', '04/08']",04/08 00:28,100,4,NIL,1100,NIL,NIL,,,1,100,8,12,12,1029,100,,,,,NIL
"['01:00', '04/08']",04/08 01:00,100,5,100,1600,,,,,1,100,8,12,12,1029,100,,,,,NIL
"['02:00', '04/08']",04/08 02:00,110,5,110,2000,,,,,1,200,8,12,12,1030,100,,,,,NIL
"['03:00', '04/08']",04/08 03:00,VRB,2,NIL,5000,,,,,1,200,5,12,12,1030,100,,,,,NIL
