validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,chuva,pancada,trovoada,chuvisco,nevoa_umida,nevoa_seca,nevoeiro,vis_setor,vis_setor_dir
"['20:00', '17/03']",17/03 20:00,110,14,,NIL,9999,3000,5,26,20,1012,70,,,,,,,,,
"['21:00', '17/03']",17/03 21:00,110,15,,NIL,9999,NIL,3,25,20,1012,74,,,,,,,,,
"['22:00', '17/03']",17/03 22:00,110,16,,NIL,9999,NIL,3,24,21,1012,83,,,,,,,,,
"['23:00', '17/03']",17/03 23:00,110,13,,NIL,9999,NIL,3,23,21,1012,89,,,,,,,,,
"['00:00', '18/03']",18/03 00:00,100,16,,NIL,9999,NIL,2,23,21,1013,89,,,,,,,,,
"['01:00', '18/03']",18/03 01:00,110,13,,NIL,9999,NIL,2,22,21,1013,94,NIL,,,,NIL,,,,
"['02:00', '18/03']",18/03 02:00,110,12,,NIL,9999,NIL,2,22,21,1012,94,NIL,,,,NIL,,,,
"['03:00', '18/03']",18/03 03:00,110,9,,NIL,9999,NIL,2,22,21,1012,94,NIL,,,,NIL,,,,
"['04:00', '18/03']",18/03 04:00,110,7,,NIL,9999,NIL,NIL,22,21,1012,94,NIL,,,,NIL,,,,
"['05:00', '18/03']",18/03 05:00,110,7,,NIL,9999,NIL,NIL,22,21,1011,94,NIL,,,,NIL,,,,
"['06:00', '18/03']",18/03 06:00,100,5,,NIL,9999,NIL,NIL,22,21,1011,94,NIL,,,,NIL,,,,
"['07:00', '18/03']",18/03 07:00,90,5,,NIL,9999,NIL,2,22,21,1010,94,NIL,,,,NIL,,,,
"['08:00', '18/03']",18/03 08:00,110,7,,NIL,9000,NIL,3,22,21,1010,94,NIL,,,,NIL,,,,
"['09:00', '18/03']",18/03 09:00,110,7,,NIL,9000,8000,5,22,22,1010,100,NIL,,,,NIL,,,,
"['10:00', '18/03']",18/03 10:00,100,11,,NIL,9999,10000,5,22,22,1010,100,NIL,,,,NIL,,,,
"['11:00', '18/03']",18/03 11:00,90,11,,NIL,9999,9000,5,23,22,1010,94,NIL,,,,NIL,,,,
"['12:00', '18/03']",18/03 12:00,250,13,,NIL,9999,4000,8,23,23,1012,100,1,,,,NIL,,,,
"['12:08', '18/03']",18/03 12:08,200,6,,200,3000,4000,8,23,23,1011,100,1,,,,1,,,,
"['13:00', '18/03']",18/03 13:00,230,5,,215,3000,1000,8,22,22,1012,100,1,,,,NIL,,,,
"['14:00', '18/03']",18/03 14:00,90,10,,NIL,9999,10000,5,23,23,1010,100,1,,,,NIL,,,,
"['15:00', '18/03']",18/03 15:00,80,11,,NIL,9999,10000,5,25,24,1010,94,NIL,,,,NIL,,,,
"['16:00', '18/03']",18/03 16:00,60,7,,NIL,9999,10000,5,26,23,1010,84,NIL,,,,NIL,,,,
"['17:00', '18/03']",18/03 17:00,80,5,,75,9999,10000,5,28,23,1009,74,NIL,,,,NIL,,,,
