validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,chuvisco,nevoa_umida,pancada,vis_setor,vis_setor_dir,nevoa_seca,nevoeiro
"['06:00', '16/02']",16/02 06:00,190,3,NIL,9999,,,NIL,NIL,21,17,1015,78,,,,,,,,
"['07:00', '16/02']",16/02 07:00,0,0,NIL,9999,,,NIL,NIL,21,18,1015,83,,,,,,,,
"['08:00', '16/02']",16/02 08:00,160,2,NIL,9999,,,NIL,NIL,21,18,1016,83,,,,,,,,
"['09:00', '16/02']",16/02 09:00,90,2,NIL,9999,,,NIL,NIL,21,18,1016,83,,,,,,,,
"['10:00', '16/02']",16/02 10:00,70,5,65,9000,,,NIL,NIL,22,19,1017,83,,,,,,,,
"['11:00', '16/02']",16/02 11:00,80,6,70,9000,,,NIL,NIL,23,19,1017,78,,,,,,,,
"['12:00', '16/02']",16/02 12:00,100,3,100,9999,,,NIL,NIL,25,19,1018,69,,,,,,,,
"['13:00', '16/02']",16/02 13:00,VRB,4,NIL,9999,,,NIL,NIL,27,20,1018,66,,,,,,,,
"['14:00', '16/02']",16/02 14:00,VRB,4,NIL,9999,,,NIL,NIL,29,19,1017,55,,,,,,,,
"['15:00', '16/02']",16/02 15:00,330,9,NIL,9999,,,NIL,2,31,18,1017,46,,,,,,,,
"['16:00', '16/02']",16/02 16:00,310,8,305,9999,,,10000,5,31,17,1016,43,,,,,,,,
"['17:00', '16/02']",16/02 17:00,150,13,NIL,9999,,,NIL,NIL,27,21,1016,70,,,,,,,,
"['18:00', '16/02']",16/02 18:00,130,10,NIL,9000,,,3300,5,24,20,1016,78,,,,,,,,
"['18:45', '16/02']",16/02 18:45,160,9,NIL,9000,,,1000,5,25,21,1016,79,,,,,,,,
"['19:00', '16/02']",16/02 19:00,160,10,NIL,9000,,,1300,5,25,21,1016,79,,,,,,,,
"['20:00', '16/02']",16/02 20:00,130,8,NIL,9999,,,900,5,24,20,1016,78,,,,,,,,
"['21:00', '16/02']",16/02 21:00,170,11,NIL,9999,,,900,5,23,20,1016,83,,,,,,,,
"['22:00', '16/02']",16/02 22:00,150,8,NIL,9999,,,1400,5,23,20,1016,83,,,,,,,,
"['23:00', '16/02']",16/02 23:00,140,7,NIL,9999,,,NIL,3,22,19,1017,83,,,,,,,,
"['00:00', '17/02']",17/02 00:00,110,4,NIL,9999,,,1300,5,22,19,1018,83,,,,,,,,
"['01:00', '17/02']",17/02 01:00,130,7,NIL,9999,NIL,NIL,1000,5,22,19,1018,83,,,NIL,,NIL,NIL,,
"['02:00', '17/02']",17/02 02:00,100,5,NIL,9999,NIL,NIL,1100,5,22,19,1018,83,,,NIL,,NIL,NIL,,
"['02:03', '17/02']",17/02 02:03,100,6,95,9999,NIL,NIL,1200,5,22,19,1018,83,,,NIL,,NIL,NIL,,
"['03:00', '17/02']",17/02 03:00,120,3,115,NIL,NIL,NIL,1200,5,22,20,1018,88,,,NIL,,NIL,NIL,,
"['04:00', '17/02']",17/02 04:00,90,3,80,NIL,NIL,NIL,1300,5,23,20,1017,83,,,NIL,,NIL,NIL,,
"['05:00', '17/02']",17/02 05:00,50,5,230,NIL,NIL,NIL,1100,5,22,19,1016,83,,,NIL,,NIL,NIL,,
"['05:18', '17/02']",17/02 05:18,50,4,45,NIL,NIL,NIL,NIL,2,22,19,1016,83,,,NIL,,NIL,NIL,,
"['06:00', '17/02']",17/02 06:00,30,4,210,9999,NIL,NIL,NIL,NIL,22,19,1016,83,,,NIL,,NIL,NIL,,
"['07:00', '17/02']",17/02 07:00,20,3,NIL,9999,NIL,NIL,NIL,NIL,22,19,1015,83,,,NIL,,NIL,NIL,,
"['08:00', '17/02']",17/02 08:00,30,3,210,9999,NIL,NIL,NIL,NIL,22,19,1016,83,,,NIL,,NIL,NIL,,
"['08:36', '17/02']",17/02 08:36,70,3,75,NIL,NIL,NIL,NIL,NIL,22,19,1016,83,,,NIL,,NIL,NIL,,
"['08:39', '17/02']",17/02 08:39,VRB,2,NIL,2500,NIL,NIL,NIL,NIL,22,19,1016,83,,,1,,NIL,NIL,,
"['08:53', '17/02']",17/02 08:53,60,3,60,9999,NIL,NIL,NIL,NIL,21,19,1016,88,,,NIL,,NIL,NIL,,
"['09:00', '17/02']",17/02 09:00,60,3,NIL,9999,NIL,NIL,NIL,NIL,21,19,1016,88,,,NIL,,NIL,NIL,,
"['10:00', '17/02']",17/02 10:00,50,2,NIL,9999,NIL,NIL,NIL,NIL,22,19,1017,83,,,NIL,,NIL,NIL,,
"['11:00', '17/02']",17/02 11:00,100,6,NIL,9999,NIL,NIL,NIL,NIL,24,19,1017,74,,,NIL,,NIL,NIL,,
"['12:00', '17/02']",17/02 12:00,90,5,NIL,9999,NIL,NIL,NIL,NIL,25,19,1018,69,,,NIL,,NIL,NIL,,
"['13:00', '17/02']",17/02 13:00,120,4,NIL,9999,NIL,NIL,NIL,NIL,26,19,1018,65,,,NIL,,NIL,NIL,,
"['14:00', '17/02']",17/02 14:00,10,4,NIL,9999,NIL,NIL,NIL,NIL,28,19,1018,58,,,NIL,,NIL,NIL,,
"['15:00', '17/02']",17/02 15:00,350,4,NIL,9999,NIL,NIL,NIL,3,29,19,1017,55,,,NIL,,NIL,NIL,,
"['16:00', '17/02']",17/02 16:00,10,6,NIL,9999,NIL,NIL,4000,5,30,18,1016,49,,,NIL,,NIL,NIL,,
"['17:00', '17/02']",17/02 17:00,320,5,115,9999,NIL,NIL,4700,5,30,18,1015,49,,,NIL,,NIL,NIL,,
"['18:00', '17/02']",17/02 18:00,VRB,4,NIL,9999,NIL,NIL,4700,5,29,21,1015,62,,,NIL,,NIL,NIL,,
"['19:00', '17/02']",17/02 19:00,250,12,255,8000,1,1,1300,5,25,21,1015,79,,,NIL,,2500,0,,
"['19:29', '17/02']",17/02 19:29,210,6,230,9999,NIL,1,NIL,3,25,20,1015,74,,,NIL,,NIL,NIL,,
