validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,chuva,trovoada,nevoa_umida,vis_setor,vis_setor_dir,pancada,chuvisco,nevoeiro
"['05:00', '29/03']",29/03 05:00,310,1,,9999,NIL,2,22,21,1016,94,,,,,,,,,
"['06:00', '29/03']",29/03 06:00,330,2,,9999,NIL,2,21,21,1016,100,,,,,,,,,
"['07:00', '29/03']",29/03 07:00,0,0,,9999,NIL,2,21,21,1016,100,,,,,,,,,
"['08:00', '29/03']",29/03 08:00,320,2,,9999,NIL,NIL,21,21,1017,100,,,,,,,,,
"['09:00', '29/03']",29/03 09:00,330,2,,9999,NIL,2,21,20,1017,94,,,,,,,,,
"['10:00', '29/03']",29/03 10:00,330,2,,9999,NIL,2,22,21,1018,94,,,,,,,,,
"['11:00', '29/03']",29/03 11:00,280,3,,9999,NIL,2,25,22,1019,83,,,,,,,,,
"['12:00', '29/03']",29/03 12:00,220,3,,9999,NIL,2,27,21,1019,70,,,,,,,,,
"['13:00', '29/03']",29/03 13:00,170,5,,9999,NIL,3,28,21,1019,66,,,,,,,,,
"['14:00', '29/03']",29/03 14:00,150,7,,9999,NIL,2,28,21,1018,66,,,,,,,,,
"['15:00', '29/03']",29/03 15:00,150,9,,9999,NIL,2,28,22,1018,70,,,,,,,,,
"['16:00', '29/03']",29/03 16:00,150,10,,9999,NIL,2,28,22,1017,70,,,,,,,,,
"['17:00', '29/03']",29/03 17:00,160,11,,9999,NIL,2,28,22,1017,70,,,,,,,,,
"['18:00', '29/03']",29/03 18:00,150,9,,9999,NIL,NIL,28,23,1016,74,,,,,,,,,
"['19:00', '29/03']",29/03 19:00,150,9,,9999,NIL,NIL,27,23,1016,79,,,,,,,,,
"['20:00', '29/03']",29/03 20:00,150,8,,9999,NIL,NIL,27,23,1016,79,,,,,,,,,
"['21:00', '29/03']",29/03 21:00,150,5,,9999,NIL,NIL,26,23,1016,84,,,,,,,,,
"['22:00', '29/03']",29/03 22:00,170,4,,9999,NIL,NIL,25,23,1016,89,,,,,,,,,
"['23:00', '29/03']",29/03 23:00,180,3,,9999,NIL,NIL,25,23,1017,89,,,,,,,,,
"['00:00', '30/03']",30/03 00:00,200,3,,9999,NIL,2,25,23,1017,89,,,,,,,,,
"['01:00', '30/03']",30/03 01:00,320,3,,9999,NIL,3,24,23,1018,94,,,,,,,,,
"['02:00', '30/03']",30/03 02:00,320,3,,9999,NIL,2,23,22,1018,94,,,,,,,,,
"['03:00', '30/03']",30/03 03:00,310,3,,9999,NIL,2,23,22,1018,94,,,,,,,,,
"['04:00', '30/03']",30/03 04:00,300,2,,9999,NIL,3,23,22,1017,94,,,,,,,,,
"['05:00', '30/03']",30/03 05:00,10,2,,9999,3000,5,23,22,1016,94,,,,,,,,,
"['06:00', '30/03']",30/03 06:00,310,3,,9999,3000,5,22,22,1016,100,,,,,,,,,
"['07:00', '30/03']",30/03 07:00,310,3,,9999,NIL,2,22,21,1015,94,,,,,,,,,
"['08:00', '30/03']",30/03 08:00,310,2,,9999,NIL,2,21,20,1015,94,,,,,,,,,
"['09:00', '30/03']",30/03 09:00,330,2,,9999,NIL,2,21,20,1016,94,,,,,,,,,
"['10:00', '30/03']",30/03 10:00,290,3,,9999,NIL,2,23,21,1016,89,,,,,,,,,
"['11:00', '30/03']",30/03 11:00,300,2,,9999,NIL,2,26,21,1016,74,,,,,,,,,
"['12:00', '30/03']",30/03 12:00,260,3,,9999,NIL,3,28,22,1017,70,,,,,,,,,
"['13:00', '30/03']",30/03 13:00,190,3,,9999,NIL,3,28,22,1016,70,,,,,,,,,
"['14:00', '30/03']",30/03 14:00,160,7,,9999,NIL,3,28,22,1016,70,,,,,,,,,
"['15:00', '30/03']",30/03 15:00,150,9,,9999,NIL,3,28,23,1015,74,,,,,,,,,
"['16:00', '30/03']",30/03 16:00,150,11,,9999,NIL,3,28,23,1015,74,,,,,,,,,
"['17:00', '30/03']",30/03 17:00,140,9,,9999,NIL,3,29,24,1014,74,,,,,,,,,
"['18:00', '30/03']",30/03 18:00,110,8,,9999,NIL,2,28,23,1013,74,,,,,,,,,
"['19:00', '30/03']",30/03 19:00,100,8,,9999,NIL,2,28,23,1013,74,,,,,,,,,
"['20:00', '30/03']",30/03 20:00,120,8,,9999,NIL,3,27,23,1014,79,,,,,,,,,
"['21:00', '30/03']",30/03 21:00,100,7,,9999,2500,5,27,22,1014,74,,,,,,,,,
"['22:00', '30/03']",30/03 22:00,90,4,,9999,8000,5,27,23,1014,79,,,,,,,,,
"['23:00', '30/03']",30/03 23:00,50,3,,9999,5000,5,27,22,1015,74,,,,,,,,,
"['00:00', '31/03']",31/03 00:00,70,2,,9999,4000,5,27,22,1015,74,,,,,,,,,
"['01:00', '31/03']",31/03 01:00,360,2,,9999,3000,5,26,23,1015,84,,NIL,,,,,,,
"['02:00', '31/03']",31/03 02:00,310,3,,9999,5000,5,26,23,1015,84,,NIL,,,,,,,
"['03:00', '31/03']",31/03 03:00,280,2,,9999,2200,5,25,23,1015,89,,NIL,,,,,,,
"['04:00', '31/03']",31/03 04:00,320,3,,9999,10000,5,25,23,1014,89,,NIL,,,,,,,
"['05:00', '31/03']",31/03 05:00,340,2,,9999,10000,5,24,23,1014,94,,NIL,,,,,,,
"['06:00', '31/03']",31/03 06:00,350,1,,9999,10000,5,24,24,1013,100,,NIL,,,,,,,
"['07:00', '31/03']",31/03 07:00,220,2,,9999,2500,5,25,24,1013,94,,NIL,,,,,,,
"['08:00', '31/03']",31/03 08:00,360,2,,6000,2500,5,24,23,1014,94,,1,,,,,,,
"['08:15', '31/03']",31/03 08:15,230,3,,9000,2000,5,24,23,1014,94,,1,,,,,,,
"['09:00', '31/03']",31/03 09:00,340,3,,9999,2000,8,24,23,1014,94,,NIL,,,,,,,
"['10:00', '31/03']",31/03 10:00,10,3,,9000,2000,8,24,24,1014,100,,1,,,,,,,
"['11:00', '31/03']",31/03 11:00,330,2,,9999,8000,5,25,24,1015,94,,NIL,,,,,,,
"['12:00', '31/03']",31/03 12:00,50,4,,9999,7000,5,25,24,1015,94,,NIL,,,,,,,
"['13:00', '31/03']",31/03 13:00,40,4,,9999,7000,5,26,24,1015,89,,NIL,,,,,,,
"['14:00', '31/03']",31/03 14:00,80,5,,9999,7000,5,27,24,1015,84,,NIL,,,,,,,
"['15:00', '31/03']",31/03 15:00,110,7,,9999,7000,5,26,23,1015,84,,NIL,,,,,,,
"['16:00', '31/03']",31/03 16:00,80,8,,9999,7000,5,27,23,1013,79,,NIL,,,,,,,
"['17:00', '31/03']",31/03 17:00,70,9,,9999,9000,5,27,24,1013,84,,NIL,,,,,,,
"['18:00', '31/03']",31/03 18:00,90,7,,9999,4700,5,27,24,1012,84,,NIL,,,,,,,
"['19:00', '31/03']",31/03 19:00,60,7,,9999,4700,5,27,23,1012,79,,NIL,,,,,,,
"['20:00', '31/03']",31/03 20:00,70,4,,9999,4000,5,26,23,1013,84,,NIL,,,,,,,
"['21:00', '31/03']",31/03 21:00,120,3,,9999,4000,5,26,24,1013,89,,NIL,,,,,,,
"['22:00', '31/03']",31/03 22:00,330,2,,9999,4000,5,26,23,1014,84,,NIL,,,,,,,
"['23:00', '31/03']",31/03 23:00,0,0,,9999,2500,5,26,23,1014,84,,NIL,,,,,,,
"['00:00', '01/04']",01/04 00:00,340,3,,9999,2500,5,26,24,1014,89,,NIL,,,,,,,
"['01:00', '01/04']",01/04 01:00,310,3,,9999,2500,5,26,23,1015,84,,NIL,,,,,,,
"['02:00', '01/04']",01/04 02:00,280,2,,9999,2500,5,26,24,1015,89,,NIL,,,,,,,
"['03:00', '01/04']",01/04 03:00,300,2,,9999,3000,5,25,24,1014,94,,NIL,,,,,,,
"['04:00', '01/04']",01/04 04:00,0,0,,9999,NIL,3,25,24,1014,94,,NIL,,,,,,,
"['05:00', '01/04']",01/04 05:00,330,3,,9999,NIL,3,25,24,1013,94,,NIL,,,,,,,
"['06:00', '01/04']",01/04 06:00,280,4,,9999,NIL,3,25,23,1013,89,,NIL,,,,,,,
"['07:00', '01/04']",01/04 07:00,0,0,,9999,NIL,3,25,24,1013,94,,NIL,,,,,,,
"['08:00', '01/04']",01/04 08:00,340,3,,9999,7000,5,24,23,1013,94,,NIL,,,,,,,
"['09:00', '01/04']",01/04 09:00,0,0,,9999,7000,5,24,23,1014,94,,NIL,,,,,,,
"['10:00', '01/04']",01/04 10:00,330,1,,9999,6000,5,25,24,1015,94,,NIL,,,,,,,
"['11:00', '01/04']",01/04 11:00,320,3,,9999,6000,5,26,23,1015,84,,NIL,,,,,,,
"['12:00', '01/04']",01/04 12:00,290,3,,9999,10000,5,26,24,1016,89,,NIL,,,,,,,
"['13:00', '01/04']",01/04 13:00,210,3,,9999,10000,5,26,24,1016,89,,NIL,,,,,,,
"['14:00', '01/04']",01/04 14:00,10,1,,9999,10000,5,27,23,1015,79,,NIL,,,,,,,
"['15:00', '01/04']",01/04 15:00,60,3,,9999,10000,5,29,24,1014,74,,NIL,,,,,,,
"['16:00', '01/04']",01/04 16:00,100,9,,9999,10000,5,28,23,1014,74,,NIL,,,,,,,
"['17:00', '01/04']",01/04 17:00,110,10,,9999,10000,5,28,23,1013,74,,NIL,,,,,,,
"['18:00', '01/04']",01/04 18:00,110,7,,9999,10000,5,27,23,1013,79,,NIL,,,,,,,
"['19:00', '01/04']",01/04 19:00,150,8,,9999,1700,5,27,24,1013,84,,NIL,,,,,,,
"['20:00', '01/04']",01/04 20:00,170,7,,9999,1700,5,26,24,1014,89,,NIL,,,,,,,
"['21:00', '01/04']",01/04 21:00,180,7,,9999,3000,5,26,24,1014,89,,NIL,,,,,,,
"['22:00', '01/04']",01/04 22:00,210,6,,8000,3000,8,26,24,1015,89,,1,,,,,,,
"['23:00', '01/04']",01/04 23:00,250,4,,7000,2500,8,25,24,1016,94,,1,,,,,,,
"['00:00', '02/04']",02/04 00:00,290,4,,9999,4000,8,25,24,1016,94,,NIL,,,,,,,
"['01:00', '02/04']",02/04 01:00,260,3,,9999,1200,8,24,24,1016,100,NIL,NIL,,,,,,,
"['02:00', '02/04']",02/04 02:00,290,3,,9999,1500,8,24,24,1016,100,NIL,NIL,,,,,,,
"['03:00', '02/04']",02/04 03:00,350,2,,9999,1500,8,24,24,1016,100,NIL,NIL,,,,,,,
"['04:00', '02/04']",02/04 04:00,280,1,,9999,2000,8,24,24,1015,100,NIL,NIL,,,,,,,
"['05:00', '02/04']",02/04 05:00,340,2,,9999,4000,8,24,23,1015,94,NIL,NIL,,,,,,,
"['06:00', '02/04']",02/04 06:00,280,2,,9999,10000,8,24,23,1015,94,NIL,NIL,,,,,,,
"['07:00', '02/04']",02/04 07:00,320,1,,9999,10000,8,24,23,1014,94,NIL,NIL,,,,,,,
"['08:00', '02/04']",02/04 08:00,260,1,,9999,10000,8,23,23,1014,100,NIL,NIL,,,,,,,
"['09:00', '02/04']",02/04 09:00,320,1,,9999,9000,8,23,23,1015,100,NIL,NIL,,,,,,,
"['10:00', '02/04']",02/04 10:00,360,2,,9999,4700,5,24,23,1015,94,NIL,NIL,,,,,,,
"['11:00', '02/04']",02/04 11:00,20,1,,9999,8000,5,25,23,1016,89,NIL,NIL,,,,,,,
"['12:00', '02/04']",02/04 12:00,50,4,,9999,8300,5,27,24,1016,84,NIL,NIL,,,,,,,
"['13:00', '02/04']",02/04 13:00,10,9,,9999,NIL,3,28,24,1016,79,NIL,NIL,,,,,,,
"['14:00', '02/04']",02/04 14:00,20,7,,9999,NIL,3,30,24,1015,70,NIL,NIL,,,,,,,
"['15:00', '02/04']",02/04 15:00,350,7,,9999,NIL,3,30,23,1014,66,NIL,NIL,,,,,,,
"['16:00', '02/04']",02/04 16:00,70,11,,9999,NIL,3,30,25,1012,75,NIL,NIL,,,,,,,
"['17:00', '02/04']",02/04 17:00,60,12,,9999,NIL,3,29,24,1012,74,NIL,NIL,,,,,,,
"['18:00', '02/04']",02/04 18:00,60,11,,9999,NIL,2,29,25,1011,79,NIL,NIL,,,,,,,
"['19:00', '02/04']",02/04 19:00,60,12,,9999,NIL,3,29,25,1011,79,NIL,NIL,,,,,,,
"['20:00', '02/04']",02/04 20:00,50,12,,9999,NIL,3,28,24,1011,79,NIL,NIL,,,,,,,
"['21:00', '02/04']",02/04 21:00,40,11,,9999,NIL,2,27,24,1011,84,NIL,NIL,,,,,,,
"['22:00', '02/04']",02/04 22:00,360,6,,9999,NIL,2,27,24,1012,84,180,NIL,,,,,,,
"['23:00', '02/04']",02/04 23:00,30,7,,9999,NIL,NIL,27,24,1012,84,NIL,NIL,,,,,,,
"['00:00', '03/04']",03/04 00:00,20,8,,9999,NIL,3,27,24,1012,84,NIL,1,,,,,,,
"['01:00', '03/04']",03/04 01:00,20,9,NIL,9999,NIL,3,26,24,1012,89,NIL,NIL,NIL,,,,,,
"['02:00', '03/04']",03/04 02:00,20,9,NIL,9999,NIL,NIL,26,23,1011,84,NIL,NIL,NIL,,,,,,
"['03:00', '03/04']",03/04 03:00,10,8,NIL,9999,NIL,NIL,26,23,1010,84,190,NIL,NIL,,,,,,
"['04:00', '03/04']",03/04 04:00,10,7,NIL,9999,NIL,NIL,26,23,1010,84,NIL,NIL,NIL,,,,,,
"['05:00', '03/04']",03/04 05:00,20,10,NIL,9999,NIL,NIL,26,23,1009,84,NIL,NIL,NIL,,,,,,
"['06:00', '03/04']",03/04 06:00,20,5,NIL,9999,NIL,NIL,26,23,1008,84,NIL,NIL,NIL,,,,,,
"['07:00', '03/04']",03/04 07:00,20,9,NIL,9999,NIL,NIL,26,23,1007,84,NIL,NIL,NIL,,,,,,
"['08:00', '03/04']",03/04 08:00,360,6,NIL,9999,NIL,NIL,26,23,1007,84,NIL,NIL,NIL,,,,,,
"['09:00', '03/04']",03/04 09:00,10,8,NIL,9999,NIL,NIL,26,23,1007,84,NIL,NIL,NIL,,,,,,
"['10:00', '03/04']",03/04 10:00,10,5,NIL,9999,NIL,NIL,27,23,1008,79,NIL,NIL,NIL,,,,,,
"['11:00', '03/04']",03/04 11:00,20,8,NIL,9999,NIL,NIL,28,24,1008,79,NIL,NIL,NIL,,,,,,
"['12:00', '03/04']",03/04 12:00,20,5,NIL,9999,NIL,NIL,29,24,1008,74,NIL,NIL,NIL,,,,,,
"['13:00', '03/04']",03/04 13:00,360,6,NIL,9999,NIL,NIL,31,24,1007,66,NIL,NIL,NIL,,,,,,
"['14:00', '03/04']",03/04 14:00,20,10,NIL,9999,NIL,NIL,33,23,1006,56,NIL,NIL,NIL,,,,,,
"['15:00', '03/04']",03/04 15:00,10,10,NIL,9999,NIL,2,34,23,1005,53,NIL,NIL,NIL,,,,,,
"['16:00', '03/04']",03/04 16:00,350,10,NIL,9999,NIL,2,36,22,1004,45,160,NIL,NIL,,,,,,
"['17:00', '03/04']",03/04 17:00,340,12,NIL,9999,NIL,2,36,22,1003,45,160,NIL,NIL,,,,,,
"['18:00', '03/04']",03/04 18:00,340,12,NIL,9999,NIL,2,36,22,1003,45,NIL,NIL,NIL,,,,,,
"['19:00', '03/04']",03/04 19:00,340,7,NIL,9999,NIL,2,36,23,1003,47,160,NIL,NIL,,,,,,
"['20:00', '03/04']",03/04 20:00,340,4,NIL,9999,NIL,2,34,23,1003,53,330,NIL,NIL,,,,,,
"['21:00', '03/04']",03/04 21:00,40,4,NIL,9999,NIL,2,30,25,1003,75,NIL,NIL,NIL,,,,,,
"['22:00', '03/04']",03/04 22:00,210,19,29,9999,NIL,3,26,23,1005,84,NIL,NIL,1,,,,,,
"['23:00', '03/04']",03/04 23:00,230,6,NIL,9999,7000,5,25,22,1007,83,NIL,NIL,1,,,,,,
"['00:00', '04/04']",04/04 00:00,290,4,NIL,9999,10000,5,25,23,1007,89,NIL,1,1,,,,,,
"['01:00', '04/04']",04/04 01:00,100,6,,9999,10000,5,24,23,1007,94,NIL,,1,,,,,,
"['02:00', '04/04']",04/04 02:00,180,5,,9999,NIL,2,24,23,1008,94,NIL,,NIL,,,,,,
"['03:00', '04/04']",04/04 03:00,180,2,,9999,NIL,3,24,23,1008,94,NIL,,1,,,,,,
"['04:00', '04/04']",04/04 04:00,200,8,,9999,2500,5,24,23,1008,94,NIL,,NIL,,,,,,
"['05:00', '04/04']",04/04 05:00,210,10,,9999,3500,5,25,23,1008,89,NIL,,NIL,,,,,,
"['06:00', '04/04']",04/04 06:00,200,11,,9999,3500,5,25,22,1018,83,NIL,,NIL,,,,,,
"['07:00', '04/04']",04/04 07:00,200,14,,9999,4000,5,25,21,1008,79,NIL,,NIL,,,,,,
"['08:00', '04/04']",04/04 08:00,200,11,,9999,4000,5,25,20,1009,74,NIL,,NIL,,,,,,
"['09:00', '04/04']",04/04 09:00,200,8,,9999,4000,8,25,20,1008,74,NIL,,NIL,,,,,,
"['10:00', '04/04']",04/04 10:00,200,10,,9999,4300,5,25,19,1010,69,210,,NIL,,,,,,
"['11:00', '04/04']",04/04 11:00,210,9,,9999,4700,5,25,19,1011,69,NIL,,NIL,,,,,,
"['12:00', '04/04']",04/04 12:00,210,12,,9999,4700,5,26,19,1012,65,215,,NIL,,,,,,
"['13:00', '04/04']",04/04 13:00,200,12,,9999,4700,5,27,19,1013,62,NIL,,NIL,,,,,,
"['14:00', '04/04']",04/04 14:00,220,14,,9999,NIL,2,27,19,1012,62,NIL,,NIL,,,,,,
"['15:00', '04/04']",04/04 15:00,160,14,,9999,4500,5,27,18,1012,58,NIL,,NIL,,,,,,
"['16:00', '04/04']",04/04 16:00,170,15,,9999,4500,5,27,17,1011,54,NIL,,NIL,,,,,,
"['17:00', '04/04']",04/04 17:00,150,12,,9999,4500,5,26,19,1011,65,NIL,,NIL,,,,,,
"['18:00', '04/04']",04/04 18:00,150,11,,9999,4500,5,25,19,1011,69,NIL,,NIL,,,,,,
"['19:00', '04/04']",04/04 19:00,150,7,,9999,4500,5,25,20,1011,74,NIL,,NIL,,,,,,
"['20:00', '04/04']",04/04 20:00,150,7,,9999,4500,5,24,20,1012,78,NIL,,NIL,,,,,,
"['21:00', '04/04']",04/04 21:00,170,5,,9999,4500,5,NIL,NIL,1012,0,NIL,,NIL,,,,,,
"['22:00', '04/04']",04/04 22:00,190,6,,9999,4000,8,25,20,1013,74,NIL,,NIL,,,,,,
"['23:00', '04/04']",04/04 23:00,210,7,,9999,4000,8,25,20,1014,74,NIL,,NIL,,,,,,
"['00:00', '05/04']",05/04 00:00,210,9,,9999,4000,8,25,19,1015,69,NIL,,NIL,,,,,,
"['01:00', '05/04']",05/04 01:00,210,8,,9999,4000,8,25,19,1015,69,,,,,,,,,
"['02:00', '05/04']",05/04 02:00,230,7,,9999,4000,8,25,19,1015,69,,,,,,,,,
"['03:00', '05/04']",05/04 03:00,230,6,,9999,4000,8,25,20,1015,74,,,,,,,,,
"['04:00', '05/04']",05/04 04:00,230,5,,9999,4000,5,25,20,1014,74,,,,,,,,,
"['05:00', '05/04']",05/04 05:00,270,2,,9999,4000,5,25,19,1014,69,,,,,,,,,
"['06:00', '05/04']",05/04 06:00,290,2,,9999,4000,8,24,20,1014,78,,,,,,,,,
"['07:00', '05/04']",05/04 07:00,290,2,,9999,NIL,NIL,24,20,1014,78,,,,,,,,,
"['08:00', '05/04']",05/04 08:00,220,7,,9999,NIL,NIL,24,20,1014,78,,,,,,,,,
"['09:00', '05/04']",05/04 09:00,230,7,,9999,5000,5,24,20,1015,78,,,,,,,,,
"['10:00', '05/04']",05/04 10:00,230,5,,9999,4300,8,25,20,1015,74,,,,,,,,,
"['11:00', '05/04']",05/04 11:00,230,6,,9999,4900,5,25,20,1016,74,,,,,,,,,
"['12:00', '05/04']",05/04 12:00,210,8,,9999,4900,5,27,20,1017,66,,,,,,,,,
"['13:00', '05/04']",05/04 13:00,210,9,,9999,4900,5,27,20,1017,66,,,,,,,,,
"['14:00', '05/04']",05/04 14:00,170,8,,9999,4900,5,27,18,1017,58,,,,,,,,,
"['15:00', '05/04']",05/04 15:00,180,7,,9999,4900,5,26,20,1016,70,,,,,,,,,
"['16:00', '05/04']",05/04 16:00,160,10,,9999,4000,5,27,21,1015,70,,,,,,,,,
"['17:00', '05/04']",05/04 17:00,170,10,,9999,4000,5,26,20,1015,70,,,,,,,,,
"['18:00', '05/04']",05/04 18:00,160,9,,9999,4000,8,26,20,1015,70,,,,,,,,,
"['19:00', '05/04']",05/04 19:00,160,9,,9999,4000,8,25,21,1015,79,,,,,,,,,
"['20:00', '05/04']",05/04 20:00,180,7,,9999,4000,5,25,20,1016,74,,,,,,,,,
"['21:00', '05/04']",05/04 21:00,180,5,,9999,4000,5,25,20,1016,74,,,,,,,,,
"['22:00', '05/04']",05/04 22:00,190,4,,9999,4000,5,25,20,1016,74,,,,,,,,,
"['23:00', '05/04']",05/04 23:00,200,6,,9999,4000,5,25,20,1017,74,,,,,,,,,
"['00:00', '06/04']",06/04 00:00,200,5,,9999,4000,5,25,20,1017,74,,,,,,,,,
"['01:00', '06/04']",06/04 01:00,330,3,,9999,NIL,3,22,20,1017,88,,,,,,,,,
"['02:00', '06/04']",06/04 02:00,320,3,,9999,10000,5,22,20,1018,88,,,,,,,,,
"['03:00', '06/04']",06/04 03:00,300,4,,9999,10000,5,23,20,1017,83,,,,,,,,,
"['04:00', '06/04']",06/04 04:00,310,3,,9999,4800,8,23,20,1017,83,,,,,,,,,
"['05:00', '06/04']",06/04 05:00,280,2,,9999,4700,8,23,20,1017,83,,,,,,,,,
"['06:00', '06/04']",06/04 06:00,280,1,,9999,4700,8,23,20,1016,83,,,,,,,,,
"['07:00', '06/04']",06/04 07:00,0,0,,9999,2400,8,23,20,1016,83,,,,,,,,,
"['08:00', '06/04']",06/04 08:00,0,0,,9999,2000,8,23,20,1017,83,,,,,,,,,
"['09:00', '06/04']",06/04 09:00,130,2,,9999,3500,5,23,21,1017,89,,,,,,,,,
"['10:00', '06/04']",06/04 10:00,140,3,,9999,NIL,3,23,21,1017,89,,,,,,,,,
"['11:00', '06/04']",06/04 11:00,150,3,,9999,NIL,3,24,22,1018,89,,,,,,,,,
"['12:00', '06/04']",06/04 12:00,160,5,,9999,NIL,3,25,21,1018,79,,,,,,,,,
"['13:00', '06/04']",06/04 13:00,190,4,,9999,NIL,3,26,21,1018,74,,,,,,,,,
"['14:00', '06/04']",06/04 14:00,130,5,,9999,NIL,3,27,22,1017,74,,,,,,,,,
"['15:00', '06/04']",06/04 15:00,70,8,,9999,NIL,3,28,22,1016,70,,,,,,,,,
"['16:00', '06/04']",06/04 16:00,70,8,,9999,NIL,3,28,21,1015,66,,,,,,,,,
"['17:00', '06/04']",06/04 17:00,70,9,,9999,10000,5,27,21,1014,70,,,,,,,,,
"['18:00', '06/04']",06/04 18:00,70,10,,9999,9000,5,27,22,1014,74,,,,,,,,,
"['19:00', '06/04']",06/04 19:00,70,12,,9999,2000,5,26,22,1014,79,,,,,,,,,
"['20:00', '06/04']",06/04 20:00,50,10,,9999,2000,5,26,22,1014,79,,,,,,,,,
"['21:00', '06/04']",06/04 21:00,50,9,,9999,2000,5,26,22,1014,79,,,,,,,,,
"['22:00', '06/04']",06/04 22:00,40,9,,9999,3500,5,26,22,1014,79,,,,,,,,,
"['23:00', '06/04']",06/04 23:00,40,8,,9999,3000,5,26,22,1015,79,,,,,,,,,
"['00:00', '07/04']",07/04 00:00,20,6,,9999,3200,5,26,22,1015,79,,,,,,,,,
"['01:00', '07/04']",07/04 01:00,10,7,,9999,4000,5,25,22,1015,83,,,,,,,,,
"['02:00', '07/04']",07/04 02:00,20,8,,9999,3500,5,25,22,1014,83,,,,,,,,,
"['03:00', '07/04']",07/04 03:00,360,6,,9999,3200,8,25,22,1014,83,,,,,,,,,
"['04:00', '07/04']",07/04 04:00,360,6,,9999,3000,5,25,22,1013,83,,,,,,,,,
"['05:00', '07/04']",07/04 05:00,360,6,,9999,3000,5,25,22,1013,83,,,,,,,,,
"['06:00', '07/04']",07/04 06:00,360,8,,9999,NIL,3,24,21,1013,83,,,,,,,,,
"['07:00', '07/04']",07/04 07:00,10,9,,9999,NIL,3,24,21,1012,83,,,,,,,,,
"['08:00', '07/04']",07/04 08:00,20,8,,9999,NIL,3,24,21,1013,83,,,,,,,,,
"['09:00', '07/04']",07/04 09:00,30,10,,9999,NIL,2,24,22,1013,89,,,,,,,,,
"['10:00', '07/04']",07/04 10:00,20,10,,9999,NIL,3,25,22,1014,83,,,,,,,,,
"['11:00', '07/04']",07/04 11:00,20,9,,9999,NIL,2,27,22,1014,74,,,,,,,,,
"['12:00', '07/04']",07/04 12:00,20,10,,9999,NIL,NIL,28,23,1014,74,,,,,,,,,
"['13:00', '07/04']",07/04 13:00,20,9,,9999,NIL,NIL,30,23,1013,66,,,,,,,,,
"['14:00', '07/04']",07/04 14:00,10,10,,9999,NIL,NIL,31,23,1013,63,,,,,,,,,
"['15:00', '07/04']",07/04 15:00,340,7,,9999,NIL,NIL,32,22,1012,56,,,,,,,,,
"['16:00', '07/04']",07/04 16:00,330,7,,9999,NIL,NIL,33,22,1011,53,,,,,,,,,
"['17:00', '07/04']",07/04 17:00,340,7,,9999,NIL,NIL,33,22,1010,53,,,,,,,,,
"['18:00', '07/04']",07/04 18:00,360,6,,9999,NIL,NIL,34,22,1009,50,,,,,,,,,
"['19:00', '07/04']",07/04 19:00,20,9,,9999,NIL,NIL,33,22,1009,53,,,,,,,,,
"['20:00', '07/04']",07/04 20:00,20,9,,9999,NIL,2,32,22,1009,56,,,,,,,,,
"['21:00', '07/04']",07/04 21:00,20,7,,9999,NIL,2,31,22,1010,59,,,,,,,,,
"['22:00', '07/04']",07/04 22:00,60,3,,9999,NIL,3,28,23,1011,74,,,,,,,,,
"['23:00', '07/04']",07/04 23:00,60,4,,9999,NIL,3,28,24,1012,79,,,,,,,,,
"['00:00', '08/04']",08/04 00:00,40,2,,9999,7000,5,28,24,1012,79,,,,,,,,,
"['01:00', '08/04']",08/04 01:00,210,10,NIL,9999,7000,5,27,24,1014,84,,NIL,,NIL,,,,NIL,
"['02:00', '08/04']",08/04 02:00,210,12,NIL,9999,7000,5,26,24,1013,89,,NIL,,NIL,,,,NIL,
"['03:00', '08/04']",08/04 03:00,210,9,NIL,9999,7000,5,26,24,1013,89,,NIL,,NIL,,,,NIL,
"['04:00', '08/04']",08/04 04:00,210,11,NIL,9999,10000,5,25,22,1013,83,,NIL,,NIL,,,,NIL,
"['05:00', '08/04']",08/04 05:00,220,6,NIL,9999,10000,5,26,22,1013,79,,NIL,,NIL,,,,NIL,
"['06:00', '08/04']",08/04 06:00,220,8,NIL,9999,10000,5,26,21,1012,74,,NIL,,NIL,,,,NIL,
"['07:00', '08/04']",08/04 07:00,220,5,NIL,9999,10000,5,25,21,1012,79,,NIL,,NIL,,,,NIL,
"['08:00', '08/04']",08/04 08:00,200,7,NIL,9999,10000,5,25,21,1012,79,,NIL,,NIL,,,,NIL,
"['09:00', '08/04']",08/04 09:00,220,6,NIL,9999,7000,5,25,21,1012,79,,NIL,,NIL,,,,NIL,
"['10:00', '08/04']",08/04 10:00,220,6,NIL,9999,4000,8,25,22,1013,83,,NIL,,NIL,,,,NIL,
"['11:00', '08/04']",08/04 11:00,220,5,NIL,9999,4000,8,25,22,1014,83,,NIL,,NIL,,,,NIL,
"['12:00', '08/04']",08/04 12:00,250,5,NIL,9999,5000,8,26,22,1015,79,,NIL,,NIL,,,,NIL,
"['13:00', '08/04']",08/04 13:00,220,9,NIL,9999,10000,5,27,22,1015,74,,NIL,,NIL,,,,NIL,
"['14:00', '08/04']",08/04 14:00,200,11,NIL,9999,10000,5,27,21,1014,70,,NIL,,NIL,,,,NIL,
