validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,chuva,trovoada,nevoa_umida,vis_setor,vis_setor_dir,pancada,chuvisco,nevoeiro
"['11:00', '26/07']",26/07 11:00,310,2,,9999,1500,8,20,18,1022,88,,NIL,,NIL,,,,NIL,
"['12:00', '26/07']",26/07 12:00,350,2,,9999,1300,8,21,19,1023,88,,NIL,,NIL,,,,NIL,
"['13:00', '26/07']",26/07 13:00,150,5,,3000,1000,8,22,21,1024,94,,NIL,,1,,,,1,
"['14:00', '26/07']",26/07 14:00,220,4,,7000,1200,5,22,20,1023,88,,NIL,,NIL,,,,NIL,
"['14:30', '26/07']",26/07 14:30,240,2,,9999,3000,5,23,21,1023,89,,NIL,,NIL,,,,NIL,
"['15:00', '26/07']",26/07 15:00,340,4,,9999,2000,5,24,21,1022,83,,NIL,,NIL,,,,NIL,
"['15:45', '26/07']",26/07 15:45,50,8,,3000,1000,8,23,21,1022,89,,1,,1,,,,NIL,
"['16:00', '26/07']",26/07 16:00,50,8,,3000,1000,8,22,21,1022,94,,1,,1,,,,NIL,
"['17:00', '26/07']",26/07 17:00,40,8,,9999,1500,5,24,21,1021,83,,NIL,,NIL,,,,NIL,
"['17:22', '26/07']",26/07 17:22,50,7,,4000,1400,5,23,21,1021,89,,1,,NIL,,,,NIL,
"['18:00', '26/07']",26/07 18:00,60,4,,9999,2000,5,24,21,1021,83,,NIL,,NIL,,,,NIL,
"['19:00', '26/07']",26/07 19:00,50,6,,9999,4000,5,24,20,1021,78,,NIL,,NIL,,,,NIL,
"['20:00', '26/07']",26/07 20:00,60,5,,9999,NIL,NIL,24,21,1021,83,,NIL,,NIL,,,,NIL,
"['21:00', '26/07']",26/07 21:00,50,1,,9999,5000,5,24,21,1022,83,,NIL,,NIL,,,,NIL,
"['22:00', '26/07']",26/07 22:00,300,3,,9999,2000,5,22,21,1022,94,,NIL,,NIL,,,,NIL,
"['23:00', '26/07']",26/07 23:00,350,3,,9999,NIL,3,22,21,1023,94,,NIL,,NIL,,,,NIL,
"['00:00', '27/07']",27/07 00:00,310,1,,9999,3000,5,21,20,1023,94,,NIL,,NIL,,,,NIL,
"['01:00', '27/07']",27/07 01:00,330,2,,9999,3000,5,21,20,1023,94,,NIL,,NIL,,,,,
"['02:00', '27/07']",27/07 02:00,70,5,,5000,1400,8,21,20,1023,94,,1,,1,,,,,
"['03:00', '27/07']",27/07 03:00,290,1,,9999,6000,8,21,20,1023,94,,NIL,,NIL,,,,,
"['04:00', '27/07']",27/07 04:00,330,1,,9999,7500,8,21,20,1023,94,,NIL,,NIL,,,,,
"['05:00', '27/07']",27/07 05:00,10,2,,9999,2500,8,21,20,1022,94,,NIL,,NIL,,,,,
"['06:00', '27/07']",27/07 06:00,330,3,,9999,8500,8,20,20,1022,100,,NIL,,NIL,,,,,
"['07:00', '27/07']",27/07 07:00,350,2,,9999,5000,8,20,20,1022,100,,NIL,,NIL,,,,,
"['08:00', '27/07']",27/07 08:00,320,2,,9999,7000,8,20,20,1022,100,,NIL,,NIL,,,,,
"['09:00', '27/07']",27/07 09:00,310,3,,9999,NIL,3,20,19,1023,94,,NIL,,NIL,,,,,
"['10:00', '27/07']",27/07 10:00,340,2,,9999,NIL,3,20,19,1023,94,,NIL,,NIL,,,,,
"['11:00', '27/07']",27/07 11:00,320,3,,9999,NIL,3,22,21,1024,94,,NIL,,NIL,,,,,
"['12:00', '27/07']",27/07 12:00,340,3,,9999,NIL,2,24,20,1024,78,,NIL,,NIL,,,,,
"['13:00', '27/07']",27/07 13:00,50,6,,9999,NIL,3,26,18,1024,61,,NIL,,NIL,,,,,
"['14:00', '27/07']",27/07 14:00,30,5,,9999,NIL,3,27,18,1024,58,,NIL,,NIL,,,,,
"['15:00', '27/07']",27/07 15:00,50,5,,9999,3500,5,26,18,1023,61,,NIL,,NIL,,,,,
"['16:00', '27/07']",27/07 16:00,80,10,,9999,3500,5,26,18,1022,61,,NIL,,NIL,,,,,
"['17:00', '27/07']",27/07 17:00,60,10,,9999,NIL,3,26,18,1021,61,,NIL,,NIL,,,,,
"['18:00', '27/07']",27/07 18:00,60,11,,9999,NIL,2,26,18,1021,61,,NIL,,NIL,,,,,
"['19:00', '27/07']",27/07 19:00,50,9,,9999,NIL,2,26,18,1020,61,,NIL,,NIL,,,,,
"['20:00', '27/07']",27/07 20:00,50,9,,9999,NIL,NIL,24,18,1021,69,,NIL,,NIL,,,,,
"['21:00', '27/07']",27/07 21:00,40,6,,9999,NIL,NIL,23,18,1021,73,,NIL,,NIL,,,,,
"['22:00', '27/07']",27/07 22:00,20,3,,9999,NIL,NIL,23,18,1021,73,,NIL,,NIL,,,,,
"['23:00', '27/07']",27/07 23:00,360,4,,9999,NIL,NIL,22,18,1022,78,,NIL,,NIL,,,,,
"['00:00', '28/07']",28/07 00:00,20,3,,9999,NIL,NIL,20,18,1022,88,,NIL,,NIL,,,,,
