validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,chuva,trovoada,nevoa_umida,teto,vnt_vrb,chuvisco,vis_setor,vis_setor_dir,vnt_rajada,nevoa_seca
"['02:00', '30/01']",30/01 02:00,330,4,9999,NIL,27,23,1011,79,NIL,NIL,,NIL,NIL,,,,NIL,
"['03:00', '30/01']",30/01 03:00,350,2,9999,NIL,26,24,1011,89,NIL,NIL,,NIL,NIL,,,,NIL,
"['04:00', '30/01']",30/01 04:00,340,4,9999,NIL,26,23,1011,84,NIL,NIL,,NIL,NIL,,,,NIL,
"['05:00', '30/01']",30/01 05:00,300,3,9999,NIL,27,22,1010,74,NIL,NIL,,NIL,NIL,,,,NIL,
"['06:00', '30/01']",30/01 06:00,320,5,9999,NIL,26,23,1010,84,NIL,NIL,,NIL,NIL,,,,NIL,
"['07:00', '30/01']",30/01 07:00,320,3,9999,NIL,26,24,1010,89,NIL,NIL,,NIL,NIL,,,,NIL,
"['08:00', '30/01']",30/01 08:00,90,3,9999,NIL,26,24,1011,89,NIL,NIL,,NIL,NIL,,,,NIL,
"['09:00', '30/01']",30/01 09:00,60,3,9999,NIL,26,24,1012,89,NIL,NIL,,NIL,NIL,,,,NIL,
"['10:00', '30/01']",30/01 10:00,140,3,9999,NIL,26,24,1012,89,NIL,NIL,,NIL,NIL,,,,NIL,
"['11:00', '30/01']",30/01 11:00,30,2,9999,2,28,24,1012,79,NIL,NIL,,NIL,NIL,,,,NIL,
"['12:00', '30/01']",30/01 12:00,10,6,9999,NIL,28,25,1012,84,NIL,NIL,,NIL,NIL,,,,NIL,
"['13:00', '30/01']",30/01 13:00,360,6,9999,NIL,30,25,1012,75,NIL,NIL,,NIL,NIL,,,,NIL,
"['14:00', '30/01']",30/01 14:00,30,3,9999,2,31,24,1011,66,NIL,NIL,,NIL,NIL,,,,NIL,
"['15:00', '30/01']",30/01 15:00,20,6,9999,2,32,26,1011,71,NIL,NIL,,NIL,NIL,,,,NIL,
"['16:00', '30/01']",30/01 16:00,150,8,9999,3,31,26,1010,75,NIL,NIL,,NIL,NIL,,,,NIL,
"['17:00', '30/01']",30/01 17:00,170,11,9999,3,30,26,1010,79,NIL,NIL,,NIL,NIL,,,,NIL,
"['18:00', '30/01']",30/01 18:00,180,11,9999,3,30,26,1009,79,NIL,NIL,,NIL,NIL,,,,NIL,
"['19:00', '30/01']",30/01 19:00,180,12,9999,3,31,25,1009,71,NIL,NIL,,NIL,NIL,,,,NIL,
"['20:00', '30/01']",30/01 20:00,170,13,9999,5,28,25,1008,84,1,NIL,,9000,NIL,,,,NIL,
"['21:00', '30/01']",30/01 21:00,160,6,9999,5,30,24,1009,70,NIL,NIL,,9000,NIL,,,,NIL,
"['22:00', '30/01']",30/01 22:00,180,9,9999,5,28,25,1010,84,NIL,NIL,,9000,NIL,,,,NIL,
"['23:00', '30/01']",30/01 23:00,200,14,6000,5,29,24,1011,74,1,1,,8000,210,,,,NIL,
"['23:08', '30/01']",30/01 23:08,260,16,1000,8,24,22,1012,89,1,1,,300,255,,,,36,
"['23:38', '30/01']",30/01 23:38,210,14,5000,8,24,22,1013,89,1,1,,1200,NIL,,,,NIL,
"['00:00', '31/01']",31/01 00:00,200,11,6000,8,25,22,1013,83,1,1,,1200,NIL,,,,NIL,
"['00:25', '31/01']",31/01 00:25,160,8,6000,8,25,23,1013,89,1,1,,7000,NIL,,,,NIL,
"['01:00', '31/01']",31/01 01:00,150,9,6000,5,25,22,1014,83,1,1,,9000,,,,,,
"['02:00', '31/01']",31/01 02:00,180,8,8000,8,24,23,1014,94,1,1,,3000,,,,,,
"['03:00', '31/01']",31/01 03:00,150,3,8000,8,25,23,1013,89,1,NIL,,9000,,,,,,
"['04:00', '31/01']",31/01 04:00,0,0,9999,8,25,23,1012,89,1,NIL,,10000,,,,,,
"['05:00', '31/01']",31/01 05:00,20,8,9999,2,25,23,1012,89,NIL,NIL,,NIL,,,,,,
"['06:00', '31/01']",31/01 06:00,320,3,9999,2,25,23,1011,89,NIL,NIL,,NIL,,,,,,
"['07:00', '31/01']",31/01 07:00,340,5,9999,NIL,25,23,1011,89,NIL,NIL,,NIL,,,,,,
"['08:00', '31/01']",31/01 08:00,320,5,9999,NIL,25,23,1011,89,NIL,NIL,,NIL,,,,,,
"['09:00', '31/01']",31/01 09:00,350,5,9999,NIL,25,23,1011,89,NIL,NIL,,NIL,,,,,,
"['10:00', '31/01']",31/01 10:00,340,4,9999,NIL,26,23,1011,84,NIL,NIL,,NIL,,,,,,
"['11:00', '31/01']",31/01 11:00,340,5,9999,NIL,27,24,1011,84,NIL,NIL,,NIL,,,,,,
"['12:00', '31/01']",31/01 12:00,340,6,9999,NIL,28,24,1011,79,NIL,NIL,,NIL,,,,,,
"['13:00', '31/01']",31/01 13:00,20,5,9999,NIL,29,25,1011,79,NIL,NIL,,NIL,,,,,,
"['14:00', '31/01']",31/01 14:00,20,5,9999,NIL,30,25,1011,75,NIL,NIL,,NIL,,,,,,
"['15:00', '31/01']",31/01 15:00,40,4,9999,3,32,26,1010,71,NIL,NIL,,NIL,,,,,,
"['16:00', '31/01']",31/01 16:00,110,5,9999,3,34,26,1010,63,NIL,NIL,,NIL,,,,,,
"['17:00', '31/01']",31/01 17:00,180,13,9999,3,33,25,1009,63,NIL,NIL,,NIL,,,,,,
"['18:00', '31/01']",31/01 18:00,160,16,9999,2,30,25,1009,75,NIL,NIL,,NIL,,,,,,
"['19:00', '31/01']",31/01 19:00,160,14,9999,2,31,24,1009,66,NIL,NIL,,NIL,,,,,,
"['19:12', '31/01']",31/01 19:12,160,15,9999,2,31,24,1009,66,NIL,1,,NIL,,,,,,
"['20:00', '31/01']",31/01 20:00,160,13,9999,3,31,23,1009,63,NIL,1,,NIL,,,,,,
"['21:00', '31/01']",31/01 21:00,100,11,9999,3,29,24,1011,74,NIL,NIL,,NIL,,,,,,
"['22:00', '31/01']",31/01 22:00,80,3,9999,3,28,24,1011,79,NIL,NIL,,NIL,,,,,,
"['23:00', '31/01']",31/01 23:00,320,7,9999,3,28,24,1012,79,NIL,NIL,,NIL,,,,,,
