validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,chuva,trovoada,nevoa_umida,teto,vnt_vrb,chuvisco,vis_setor,vis_setor_dir,vnt_rajada,nevoa_seca
"['02:00', '10/06']",10/06 02:00,340,4,9999,NIL,24,22,1013,89,,,,NIL,,,,,,
"['08:50', '10/06']",10/06 08:50,340,6,6000,NIL,23,22,1012,94,,,,NIL,,,,,,
"['09:00', '10/06']",10/06 09:00,330,6,6000,NIL,23,22,1012,94,,,,NIL,,,,,,
"['10:00', '10/06']",10/06 10:00,10,7,6000,NIL,23,22,1012,94,,,,NIL,,,,,,
"['11:00', '10/06']",10/06 11:00,340,4,9999,NIL,23,22,1013,94,,,,NIL,,,,,,
"['12:00', '10/06']",10/06 12:00,350,4,9999,NIL,23,22,1014,94,,,,NIL,,,,,,
"['13:00', '10/06']",10/06 13:00,320,7,9999,NIL,24,22,1014,89,,,,NIL,,,,,,
"['14:00', '10/06']",10/06 14:00,330,3,9999,5,24,21,1014,83,,,,10000,,,,,,
"['15:00', '10/06']",10/06 15:00,10,3,9999,5,26,21,1013,74,,,,10000,,,,,,
"['16:00', '10/06']",10/06 16:00,40,4,9999,5,26,22,1012,79,,,,10000,,,,,,
"['17:00', '10/06']",10/06 17:00,180,10,9999,5,27,21,1012,70,,,,10000,,,,,,
"['18:00', '10/06']",10/06 18:00,180,11,9999,5,27,21,1012,70,,,,10000,,,,,,
"['19:00', '10/06']",10/06 19:00,180,9,9999,3,26,21,1012,74,,,,NIL,,,,,,
"['20:00', '10/06']",10/06 20:00,160,9,9999,3,25,21,1013,79,,,,NIL,,,,,,
"['21:00', '10/06']",10/06 21:00,160,7,9999,NIL,24,21,1014,83,,,,NIL,,,,,,
"['22:00', '10/06']",10/06 22:00,170,10,9999,NIL,24,21,1014,83,,,,NIL,,,,,,
"['23:00', '10/06']",10/06 23:00,180,9,9999,NIL,24,21,1015,83,,,,NIL,,,,,,
"['00:00', '11/06']",11/06 00:00,170,4,9999,NIL,24,21,1015,83,,,,NIL,,,,,,
"['01:00', '11/06']",11/06 01:00,60,2,9999,NIL,24,21,1015,83,,,NIL,NIL,,,,,,
"['02:00', '11/06']",11/06 02:00,90,4,9999,NIL,24,22,1015,89,,,NIL,NIL,,,,,,
"['08:50', '11/06']",11/06 08:50,340,4,4000,2,22,21,1013,94,,,1,NIL,,,,,,
"['09:00', '11/06']",11/06 09:00,340,5,4000,2,23,22,1013,94,,,1,NIL,,,,,,
"['10:00', '11/06']",11/06 10:00,330,6,3000,3,23,22,1014,94,,,1,NIL,,,,,,
"['11:00', '11/06']",11/06 11:00,10,8,3000,5,23,22,1014,94,,,1,2000,,,,,,
"['12:00', '11/06']",11/06 12:00,360,8,2500,5,23,22,1015,94,,,1,2000,,,,,,
"['13:00', '11/06']",11/06 13:00,10,8,3500,3,24,22,1015,89,,,1,NIL,,,,,,
"['13:35', '11/06']",11/06 13:35,340,9,6000,2,25,22,1014,83,,,NIL,NIL,,,,,,
"['14:00', '11/06']",11/06 14:00,340,7,6000,2,25,22,1014,83,,,NIL,NIL,,,,,,
"['15:00', '11/06']",11/06 15:00,VRB,2,8000,NIL,27,23,1013,79,,,NIL,NIL,,,,,,
"['16:00', '11/06']",11/06 16:00,150,4,9999,NIL,27,22,1012,74,,,NIL,NIL,,,,,,
"['17:00', '11/06']",11/06 17:00,160,7,9999,NIL,26,23,1012,84,,,NIL,NIL,,,,,,
"['18:00', '11/06']",11/06 18:00,150,5,9999,NIL,26,23,1011,84,,,NIL,NIL,,,,,,
"['19:00', '11/06']",11/06 19:00,160,7,9999,NIL,26,23,1011,84,,,NIL,NIL,,,,,,
"['20:00', '11/06']",11/06 20:00,160,8,9999,NIL,25,22,1012,83,,,NIL,NIL,,,,,,
"['21:00', '11/06']",11/06 21:00,150,6,9999,NIL,24,22,1012,89,,,NIL,NIL,,,,,,
"['22:00', '11/06']",11/06 22:00,160,3,9999,NIL,24,22,1012,89,,,NIL,NIL,,,,,,
"['23:00', '11/06']",11/06 23:00,180,4,9999,NIL,24,22,1013,89,,,NIL,NIL,,,,,,
"['00:00', '12/06']",12/06 00:00,360,2,9999,NIL,24,23,1013,94,,,NIL,NIL,,,,,,
"['01:00', '12/06']",12/06 01:00,350,3,9999,,24,23,1013,94,,,,,,,,,,
"['02:00', '12/06']",12/06 02:00,310,4,9999,,25,22,1013,83,,,,,,,,,,
"['08:50', '12/06']",12/06 08:50,360,4,6000,,23,22,1013,94,,,,,,,,,,
"['09:00', '12/06']",12/06 09:00,340,4,7000,,23,22,1013,94,,,,,,,,,,
"['10:00', '12/06']",12/06 10:00,360,6,7000,,23,22,1014,94,,,,,,,,,,
"['11:00', '12/06']",12/06 11:00,360,6,7000,,23,22,1015,94,,,,,,,,,,
"['12:00', '12/06']",12/06 12:00,360,4,7000,,24,22,1015,89,,,,,,,,,,
"['13:00', '12/06']",12/06 13:00,350,6,7000,,25,21,1015,79,,,,,,,,,,
"['14:00', '12/06']",12/06 14:00,360,6,8000,,26,22,1015,79,,,,,,,,,,
"['15:00', '12/06']",12/06 15:00,360,6,8000,,26,22,1014,79,,,,,,,,,,
"['16:00', '12/06']",12/06 16:00,360,4,9999,,28,22,1013,70,,,,,,,,,,
"['17:00', '12/06']",12/06 17:00,350,4,9999,,29,21,1012,62,,,,,,,,,,
"['18:00', '12/06']",12/06 18:00,340,4,9999,,29,21,1012,62,,,,,,,,,,
"['19:00', '12/06']",12/06 19:00,160,9,9999,,27,21,1012,70,,,,,,,,,,
"['20:00', '12/06']",12/06 20:00,170,8,9999,,26,22,1013,79,,,,,,,,,,
"['21:00', '12/06']",12/06 21:00,180,8,9999,,25,22,1013,83,,,,,,,,,,
"['22:00', '12/06']",12/06 22:00,160,6,9999,,25,22,1014,83,,,,,,,,,,
"['23:00', '12/06']",12/06 23:00,170,4,9999,,25,21,1014,79,,,,,,,,,,
"['00:00', '13/06']",13/06 00:00,0,0,9999,,25,22,1014,83,,,,,,,,,,
"['01:00', '13/06']",13/06 01:00,110,2,9999,NIL,24,23,1014,94,,,,,,,,,,
"['02:00', '13/06']",13/06 02:00,200,2,9999,NIL,24,22,1014,89,,,,,,,,,,
"['08:50', '13/06']",13/06 08:50,350,6,9999,NIL,23,21,1014,89,,,,,,,,,,
"['09:00', '13/06']",13/06 09:00,350,7,9999,NIL,23,22,1014,94,,,,,,,,,,
"['10:00', '13/06']",13/06 10:00,360,6,7000,NIL,22,21,1015,94,,,,,,,,,,
"['11:00', '13/06']",13/06 11:00,350,6,6000,NIL,23,21,1016,89,,,,,,,,,,
"['12:00', '13/06']",13/06 12:00,350,8,7000,NIL,23,21,1016,89,,,,,,,,,,
"['13:00', '13/06']",13/06 13:00,360,7,9000,NIL,24,21,1017,83,,,,,,,,,,
"['14:00', '13/06']",13/06 14:00,360,7,9999,NIL,25,21,1016,79,,,,,,,,,,
"['15:00', '13/06']",13/06 15:00,360,6,9999,NIL,27,22,1016,74,,,,,,,,,,
"['16:00', '13/06']",13/06 16:00,360,5,9999,2,28,22,1015,70,,,,,,,,,,
"['17:00', '13/06']",13/06 17:00,340,5,9999,2,29,23,1014,70,,,,,,,,,,
"['18:00', '13/06']",13/06 18:00,130,2,9999,2,30,22,1014,62,,,,,,,,,,
"['19:00', '13/06']",13/06 19:00,150,8,9999,2,29,21,1014,62,,,,,,,,,,
"['20:00', '13/06']",13/06 20:00,190,6,9999,NIL,28,20,1015,62,,,,,,,,,,
"['21:00', '13/06']",13/06 21:00,200,4,9999,NIL,27,20,1015,66,,,,,,,,,,
"['22:00', '13/06']",13/06 22:00,190,4,9999,NIL,27,20,1016,66,,,,,,,,,,
"['23:00', '13/06']",13/06 23:00,220,3,9999,NIL,26,21,1016,74,,,,,,,,,,
"['00:00', '14/06']",14/06 00:00,320,4,9999,NIL,27,20,1017,66,,,,,,,,,,
"['01:00', '14/06']",14/06 01:00,320,5,9999,NIL,26,20,1017,70,NIL,,NIL,NIL,,NIL,,,,
"['02:00', '14/06']",14/06 02:00,310,6,9999,NIL,25,22,1017,83,NIL,,NIL,NIL,,NIL,,,,
"['08:50', '14/06']",14/06 08:50,30,6,9999,2,24,22,1019,89,NIL,,NIL,NIL,,NIL,,,,
"['09:00', '14/06']",14/06 09:00,60,6,9999,3,24,22,1019,89,NIL,,NIL,NIL,,NIL,,,,
"['10:00', '14/06']",14/06 10:00,200,7,9999,3,25,21,1021,79,NIL,,NIL,NIL,,NIL,,,,
"['11:00', '14/06']",14/06 11:00,200,15,9999,5,24,22,1022,89,NIL,,NIL,2000,,NIL,,,,
"['12:00', '14/06']",14/06 12:00,200,15,9999,5,24,21,1023,83,NIL,,NIL,2000,,NIL,,,,
"['13:00', '14/06']",14/06 13:00,190,16,9999,5,24,20,1023,78,NIL,,NIL,2500,,NIL,,,,
"['14:00', '14/06']",14/06 14:00,180,14,9999,5,25,20,1023,74,NIL,,NIL,2500,,NIL,,,,
"['14:15', '14/06']",14/06 14:15,190,13,9999,5,23,20,1023,83,1,,NIL,1400,,NIL,,,,
"['15:00', '14/06']",14/06 15:00,170,13,4000,5,23,20,1023,83,1,,1,1000,,NIL,,,,
"['16:00', '14/06']",14/06 16:00,170,13,4000,5,22,20,1023,88,NIL,,NIL,1200,,1,,,,
"['17:00', '14/06']",14/06 17:00,170,16,3500,8,22,19,1023,83,NIL,,1,1000,,1,,,,
"['18:00', '14/06']",14/06 18:00,170,16,4500,5,22,19,1022,83,NIL,,1,1300,,1,,,,
"['19:00', '14/06']",14/06 19:00,180,14,4000,5,22,18,1023,78,NIL,,1,1300,,1,,,,
"['20:00', '14/06']",14/06 20:00,160,14,6000,5,22,18,1024,78,NIL,,NIL,1300,,1,,,,
"['21:00', '14/06']",14/06 21:00,160,11,9000,8,22,18,1024,78,NIL,,NIL,1700,,NIL,,,,
"['22:00', '14/06']",14/06 22:00,160,11,9000,8,22,17,1025,73,NIL,,NIL,1800,,NIL,,,,
"['23:00', '14/06']",14/06 23:00,160,8,9999,8,22,18,1025,78,NIL,,NIL,1800,,NIL,,,,
"['00:00', '15/06']",15/06 00:00,190,7,9999,8,22,18,1026,78,NIL,,NIL,1700,,NIL,,,,
"['01:00', '15/06']",15/06 01:00,140,7,7000,8,21,19,1026,88,1,,NIL,1600,NIL,NIL,,,,
"['02:00', '15/06']",15/06 02:00,90,7,7000,8,21,19,1026,88,1,,NIL,1500,NIL,NIL,,,,
"['08:50', '15/06']",15/06 08:50,130,13,6000,5,22,19,1025,83,NIL,,NIL,1000,NIL,NIL,,,,
"['09:00', '15/06']",15/06 09:00,130,14,6000,5,21,19,1025,88,NIL,,NIL,1200,NIL,NIL,,,,
"['10:00', '15/06']",15/06 10:00,120,10,3500,5,20,19,1026,94,NIL,,1,900,NIL,1,,,,
"['11:00', '15/06']",15/06 11:00,160,3,4000,5,20,19,1027,94,NIL,,1,1200,145,NIL,,,,
"['12:00', '15/06']",15/06 12:00,VRB,2,4000,8,21,19,1027,88,1,,1,1200,NIL,NIL,,,,
"['13:00', '15/06']",15/06 13:00,20,3,4000,8,21,19,1027,88,1,,1,1000,190,NIL,,,,
"['14:00', '15/06']",15/06 14:00,340,3,7000,8,21,19,1027,88,1,,NIL,1000,NIL,NIL,,,,
"['15:00', '15/06']",15/06 15:00,320,3,9000,5,22,19,1026,83,NIL,,NIL,1200,NIL,NIL,,,,
"['16:00', '15/06']",15/06 16:00,100,3,9999,5,23,19,1025,78,NIL,,NIL,2000,NIL,NIL,,,,
"['17:00', '15/06']",15/06 17:00,10,1,9999,5,22,19,1025,83,NIL,,NIL,2000,NIL,NIL,,,,
"['18:00', '15/06']",15/06 18:00,120,2,9999,5,23,19,1025,78,NIL,,NIL,2000,NIL,NIL,,,,
"['19:00', '15/06']",15/06 19:00,110,9,9999,5,23,19,1025,78,NIL,,NIL,2000,NIL,NIL,,,,
"['20:00', '15/06']",15/06 20:00,100,7,9000,5,22,18,1025,78,NIL,,NIL,1200,NIL,NIL,,,,
"['21:00', '15/06']",15/06 21:00,110,6,9999,5,22,19,1026,83,NIL,,NIL,1800,NIL,NIL,,,,
"['22:00', '15/06']",15/06 22:00,100,8,9999,5,22,18,1026,78,NIL,,NIL,5000,NIL,NIL,,,,
"['23:00', '15/06']",15/06 23:00,30,7,9999,5,22,20,1027,88,NIL,,NIL,5000,NIL,NIL,,,,
"['00:00', '16/06']",16/06 00:00,10,3,9999,5,21,19,1027,88,NIL,,NIL,5000,NIL,NIL,,,,
"['01:00', '16/06']",16/06 01:00,100,6,9999,5,22,18,1027,78,,,,4000,NIL,,,,,
"['02:00', '16/06']",16/06 02:00,120,2,9999,5,21,19,1027,88,,,,4000,NIL,,,,,
"['08:50', '16/06']",16/06 08:50,80,4,9999,3,21,18,1026,83,,,,NIL,NIL,,,,,
"['09:00', '16/06']",16/06 09:00,70,5,9999,3,21,18,1026,83,,,,NIL,NIL,,,,,
"['10:00', '16/06']",16/06 10:00,80,5,9999,5,21,18,1026,83,,,,4000,NIL,,,,,
"['11:00', '16/06']",16/06 11:00,60,2,9999,5,21,17,1027,78,,,,4000,NIL,,,,,
"['12:00', '16/06']",16/06 12:00,50,1,9999,5,22,17,1027,73,,,,4000,NIL,,,,,
"['13:00', '16/06']",16/06 13:00,190,3,9999,5,23,17,1028,69,,,,4000,NIL,,,,,
"['14:00', '16/06']",16/06 14:00,130,6,9999,5,23,18,1027,73,,,,5000,NIL,,,,,
"['15:00', '16/06']",16/06 15:00,160,8,9999,5,24,18,1026,69,,,,3500,NIL,,,,,
"['16:00', '16/06']",16/06 16:00,130,10,9999,5,23,18,1025,73,,,,3200,NIL,,,,,
"['17:00', '16/06']",16/06 17:00,130,11,9999,5,23,18,1025,73,,,,3000,NIL,,,,,
"['18:00', '16/06']",16/06 18:00,120,6,9999,5,23,18,1024,73,,,,3000,NIL,,,,,
"['19:00', '16/06']",16/06 19:00,130,10,9999,5,23,18,1024,73,,,,3000,NIL,,,,,
"['20:00', '16/06']",16/06 20:00,110,13,9999,5,22,18,1025,78,,,,2500,NIL,,,,,
"['21:00', '16/06']",16/06 21:00,100,11,9999,5,22,18,1025,78,,,,2500,NIL,,,,,
"['22:00', '16/06']",16/06 22:00,70,6,9999,5,22,18,1026,78,,,,5000,NIL,,,,,
"['23:00', '16/06']",16/06 23:00,120,4,9999,5,22,17,1026,73,,,,5000,NIL,,,,,
"['00:00', '17/06']",17/06 00:00,70,3,9999,5,22,17,1026,73,,,,5000,65,,,,,
"['01:00', '17/06']",17/06 01:00,100,4,9999,5,22,17,1026,73,,,,5000,105,,,,,
"['02:00', '17/06']",17/06 02:00,150,3,9999,5,22,17,1026,73,,,,5000,NIL,,,,,
"['08:50', '17/06']",17/06 08:50,110,7,9999,NIL,20,17,1025,83,,,,NIL,NIL,,,,,
"['09:00', '17/06']",17/06 09:00,110,7,9999,NIL,21,17,1025,78,,,,NIL,NIL,,,,,
"['10:00', '17/06']",17/06 10:00,100,5,9999,NIL,21,17,1025,78,,,,NIL,NIL,,,,,
"['11:00', '17/06']",17/06 11:00,70,4,9999,3,22,17,1026,73,,,,NIL,NIL,,,,,
"['12:00', '17/06']",17/06 12:00,60,7,9999,2,23,17,1027,69,,,,NIL,60,,,,,
"['13:00', '17/06']",17/06 13:00,60,12,9999,2,23,17,1027,69,,,,NIL,NIL,,,,,
"['14:00', '17/06']",17/06 14:00,340,6,9999,2,23,17,1026,69,,,,NIL,155,,,,,
"['15:00', '17/06']",17/06 15:00,340,5,9999,3,23,17,1025,69,,,,NIL,NIL,,,,,
"['16:00', '17/06']",17/06 16:00,330,4,9999,3,25,17,1024,61,,,,NIL,NIL,,,,,
"['17:00', '17/06']",17/06 17:00,0,0,9999,3,25,16,1023,57,,,,NIL,NIL,,,,,
"['18:00', '17/06']",17/06 18:00,200,6,9999,2,25,16,1022,57,,,,NIL,200,,,,,
"['19:00', '17/06']",17/06 19:00,VRB,2,9999,2,25,16,1021,57,,,,NIL,NIL,,,,,
"['20:00', '17/06']",17/06 20:00,VRB,1,9999,2,24,16,1022,61,,,,NIL,NIL,,,,,
"['21:00', '17/06']",17/06 21:00,70,12,9999,2,23,17,1022,69,,,,NIL,NIL,,,,,
"['22:00', '17/06']",17/06 22:00,70,13,9999,3,22,17,1022,73,,,,NIL,NIL,,,,,
"['23:00', '17/06']",17/06 23:00,70,16,9999,2,22,17,1022,73,,,,NIL,NIL,,,,,
"['00:00', '18/06']",18/06 00:00,60,13,9999,NIL,22,17,1023,73,,,,NIL,NIL,,,,,
"['01:00', '18/06']",18/06 01:00,40,4,9999,,21,16,1023,73,,,,,NIL,,,,,
"['02:00', '18/06']",18/06 02:00,30,5,9999,,21,16,1023,73,,,,,NIL,,,,,
"['08:50', '18/06']",18/06 08:50,0,0,9999,,18,16,1021,88,,,,,NIL,,,,,
"['09:00', '18/06']",18/06 09:00,0,0,9999,,18,15,1021,83,,,,,NIL,,,,,
"['10:00', '18/06']",18/06 10:00,360,3,9999,,19,15,1021,78,,,,,NIL,,,,,
"['11:00', '18/06']",18/06 11:00,340,3,9999,,20,17,1022,83,,,,,NIL,,,,,
"['12:00', '18/06']",18/06 12:00,340,6,9999,,20,15,1022,73,,,,,NIL,,,,,
"['13:00', '18/06']",18/06 13:00,350,5,9999,,21,16,1022,73,,,,,NIL,,,,,
"['14:00', '18/06']",18/06 14:00,350,4,9999,,22,15,1022,65,,,,,NIL,,,,,
"['15:00', '18/06']",18/06 15:00,350,5,9999,,22,16,1021,69,,,,,NIL,,,,,
"['16:00', '18/06']",18/06 16:00,310,5,9999,,25,14,1020,50,,,,,NIL,,,,,
"['16:38', '18/06']",18/06 16:38,130,7,9999,,24,18,1019,69,,,,,NIL,,,,,
"['17:00', '18/06']",18/06 17:00,140,10,9999,,23,17,1019,69,,,,,NIL,,,,,
"['18:00', '18/06']",18/06 18:00,150,7,9999,,24,16,1018,61,,,,,NIL,,,,,
"['19:00', '18/06']",18/06 19:00,150,7,9999,,24,17,1018,65,,,,,NIL,,,,,
"['20:00', '18/06']",18/06 20:00,160,4,9999,,23,16,1019,65,,,,,NIL,,,,,
"['21:00', '18/06']",18/06 21:00,170,3,9999,,23,17,1019,69,,,,,165,,,,,
"['22:00', '18/06']",18/06 22:00,210,4,9999,,23,17,1019,69,,,,,NIL,,,,,
"['23:00', '18/06']",18/06 23:00,0,0,9999,,22,17,1019,73,,,,,NIL,,,,,
"['23:18', '18/06']",18/06 23:18,40,3,9999,,23,19,1019,78,,,,,NIL,,,,,
"['00:00', '19/06']",19/06 00:00,10,5,9999,,22,17,1018,73,,,,,NIL,,,,,
"['01:00', '19/06']",19/06 01:00,350,6,9999,,21,17,1019,78,,,,,,,,,,
"['02:00', '19/06']",19/06 02:00,320,5,9999,,21,17,1019,78,,,,,,,,,,
"['08:50', '19/06']",19/06 08:50,290,8,9999,,23,14,1018,57,,,,,,,,,,
"['09:00', '19/06']",19/06 09:00,300,6,9999,,23,14,1018,57,,,,,,,,,,
"['10:00', '19/06']",19/06 10:00,10,8,9999,,21,18,1019,83,,,,,,,,,,
"['11:00', '19/06']",19/06 11:00,10,9,9999,,20,18,1020,88,,,,,,,,,,
"['12:00', '19/06']",19/06 12:00,360,7,9999,,21,17,1020,78,,,,,,,,,,
"['13:00', '19/06']",19/06 13:00,360,8,9999,,21,17,1020,78,,,,,,,,,,
"['14:00', '19/06']",19/06 14:00,360,7,9999,,22,17,1020,73,,,,,,,,,,
"['15:00', '19/06']",19/06 15:00,10,7,9999,,23,18,1019,73,,,,,,,,,,
"['16:00', '19/06']",19/06 16:00,10,8,9999,,24,17,1018,65,,,,,,,,,,
"['17:00', '19/06']",19/06 17:00,10,5,9999,,25,18,1017,65,,,,,,,,,,
"['18:00', '19/06']",19/06 18:00,20,7,9999,,25,19,1017,69,,,,,,,,,,
"['19:00', '19/06']",19/06 19:00,30,5,9999,,26,20,1017,70,,,,,,,,,,
"['20:00', '19/06']",19/06 20:00,VRB,2,9999,,26,16,1017,54,,,,,,,,,,
"['20:10', '19/06']",19/06 20:10,VRB,2,9999,,25,18,1017,65,,,,,,,,,,
"['21:00', '19/06']",19/06 21:00,190,5,9999,,23,18,1018,73,,,,,,,,,,
"['22:00', '19/06']",19/06 22:00,180,6,9999,,22,19,1018,83,,,,,,,,,,
"['23:00', '19/06']",19/06 23:00,220,4,9999,,25,16,1018,57,,,,,,,,,,
"['00:00', '20/06']",20/06 00:00,0,0,9999,,23,19,1019,78,,,,,,,,,,
"['01:00', '20/06']",20/06 01:00,320,1,9999,NIL,22,18,1019,78,,,NIL,,,,,,,
"['02:00', '20/06']",20/06 02:00,330,2,9999,NIL,22,19,1019,83,,,NIL,,,,,,,
"['08:50', '20/06']",20/06 08:50,320,6,9999,NIL,21,18,1018,83,,,NIL,,,,,,,
"['09:00', '20/06']",20/06 09:00,320,7,9999,NIL,21,18,1018,83,,,NIL,,,,,,,
"['10:00', '20/06']",20/06 10:00,340,6,9999,NIL,21,19,1019,88,,,NIL,,,,,,,
"['11:00', '20/06']",20/06 11:00,350,9,5000,NIL,21,19,1019,88,,,1,,,,,,,
"['12:00', '20/06']",20/06 12:00,360,8,5000,2,22,19,1020,83,,,1,,,,,,,
"['13:00', '20/06']",20/06 13:00,VRB,2,6000,2,24,19,1020,74,,,NIL,,,,,,,
"['14:00', '20/06']",20/06 14:00,100,3,9999,2,26,19,1020,65,,,NIL,,,,,,,
"['14:35', '20/06']",20/06 14:35,50,5,9999,2,26,21,1020,74,,,NIL,,,,,,,
"['15:00', '20/06']",20/06 15:00,40,7,9999,2,27,21,1019,70,,,NIL,,,,,,,
"['16:00', '20/06']",20/06 16:00,40,7,9999,NIL,28,21,1018,66,,,NIL,,,,,,,
"['17:00', '20/06']",20/06 17:00,150,8,9999,NIL,27,20,1017,66,,,NIL,,,,,,,
"['18:00', '20/06']",20/06 18:00,160,11,9999,NIL,26,19,1017,65,,,NIL,,,,,,,
"['19:00', '20/06']",20/06 19:00,170,9,9999,NIL,26,18,1017,61,,,NIL,,,,,,,
"['20:00', '20/06']",20/06 20:00,190,8,9999,NIL,25,19,1017,69,,,NIL,,,,,,,
"['21:00', '20/06']",20/06 21:00,190,6,9999,NIL,25,19,1017,69,,,NIL,,,,,,,
"['22:00', '20/06']",20/06 22:00,190,5,9999,NIL,25,19,1017,69,,,NIL,,,,,,,
"['23:00', '20/06']",20/06 23:00,130,4,9999,NIL,24,21,1018,83,,,NIL,,,,,,,
"['00:00', '21/06']",21/06 00:00,VRB,1,9999,NIL,24,20,1018,78,,,NIL,,,,,,,
"['01:00', '21/06']",21/06 01:00,90,2,9999,,24,22,1018,89,,,,,NIL,,,,,
"['02:00', '21/06']",21/06 02:00,350,3,9999,,23,21,1018,89,,,,,NIL,,,,,
"['08:50', '21/06']",21/06 08:50,330,5,7000,,22,21,1016,94,,,,,NIL,,,,,
"['09:00', '21/06']",21/06 09:00,320,5,7000,,22,21,1016,94,,,,,NIL,,,,,
"['10:00', '21/06']",21/06 10:00,350,6,9000,,22,21,1017,94,,,,,NIL,,,,,
"['11:00', '21/06']",21/06 11:00,350,6,9999,,23,21,1017,89,,,,,NIL,,,,,
"['12:00', '21/06']",21/06 12:00,360,5,9999,,24,21,1018,83,,,,,NIL,,,,,
"['13:00', '21/06']",21/06 13:00,10,6,9999,,25,21,1018,79,,,,,NIL,,,,,
"['14:00', '21/06']",21/06 14:00,10,4,9999,,26,20,1018,70,,,,,NIL,,,,,
"['15:00', '21/06']",21/06 15:00,10,5,9999,,28,22,1017,70,,,,,NIL,,,,,
"['16:00', '21/06']",21/06 16:00,360,4,9999,,29,20,1017,58,,,,,NIL,,,,,
"['17:00', '21/06']",21/06 17:00,120,4,9999,,27,21,1016,70,,,,,105,,,,,
"['18:00', '21/06']",21/06 18:00,150,5,9999,,27,20,1016,66,,,,,NIL,,,,,
"['19:00', '21/06']",21/06 19:00,150,3,9999,,27,21,1016,70,,,,,NIL,,,,,
"['20:00', '21/06']",21/06 20:00,150,3,9999,,26,20,1016,70,,,,,150,,,,,
"['21:00', '21/06']",21/06 21:00,160,2,9999,,25,20,1016,74,,,,,NIL,,,,,
"['22:00', '21/06']",21/06 22:00,170,3,9999,,26,19,1017,65,,,,,NIL,,,,,
"['23:00', '21/06']",21/06 23:00,150,2,9999,,24,21,1018,83,,,,,NIL,,,,,
"['00:00', '22/06']",22/06 00:00,VRB,1,9999,,25,19,1018,69,,,,,NIL,,,,,
"['01:00', '22/06']",22/06 01:00,340,3,9999,NIL,25,20,1018,74,,,,,,,,,,
"['02:00', '22/06']",22/06 02:00,310,5,9999,NIL,25,21,1018,79,,,,,,,,,,
"['08:50', '22/06']",22/06 08:50,10,8,9999,NIL,22,20,1017,88,,,,,,,,,,
"['09:00', '22/06']",22/06 09:00,360,8,9999,NIL,22,20,1017,88,,,,,,,,,,
"['10:00', '22/06']",22/06 10:00,10,9,9999,NIL,22,19,1018,83,,,,,,,,,,
"['11:00', '22/06']",22/06 11:00,360,8,9999,NIL,23,19,1018,78,,,,,,,,,,
"['12:00', '22/06']",22/06 12:00,350,7,9999,NIL,23,19,1019,78,,,,,,,,,,
"['13:00', '22/06']",22/06 13:00,350,6,9999,NIL,24,19,1019,74,,,,,,,,,,
"['14:00', '22/06']",22/06 14:00,360,6,9999,NIL,25,18,1019,65,,,,,,,,,,
"['15:00', '22/06']",22/06 15:00,360,6,9999,NIL,26,19,1018,65,,,,,,,,,,
"['16:00', '22/06']",22/06 16:00,360,4,9999,NIL,28,17,1017,51,,,,,,,,,,
"['17:00', '22/06']",22/06 17:00,10,4,9999,2,29,18,1016,52,,,,,,,,,,
"['18:00', '22/06']",22/06 18:00,10,2,9999,2,30,16,1016,43,,,,,,,,,,
"['19:00', '22/06']",22/06 19:00,VRB,2,9999,2,29,16,1016,45,,,,,,,,,,
"['20:00', '22/06']",22/06 20:00,160,8,9999,2,26,16,1016,54,,,,,,,,,,
"['21:00', '22/06']",22/06 21:00,190,9,9999,2,25,17,1016,61,,,,,,,,,,
"['22:00', '22/06']",22/06 22:00,200,10,9999,2,25,17,1016,61,,,,,,,,,,
"['23:00', '22/06']",22/06 23:00,190,8,9999,3,25,16,1017,57,,,,,,,,,,
"['00:00', '23/06']",23/06 00:00,180,6,9999,NIL,23,18,1017,73,,,,,,,,,,
"['01:00', '23/06']",23/06 01:00,140,4,9999,,23,20,1017,83,,,,,,,,,,
"['02:00', '23/06']",23/06 02:00,160,4,9999,,23,20,1017,83,,,,,,,,,,
"['08:50', '23/06']",23/06 08:50,360,6,9999,,21,18,1016,83,,,,,,,,,,
"['09:00', '23/06']",23/06 09:00,360,6,9999,,20,18,1016,88,,,,,,,,,,
"['10:00', '23/06']",23/06 10:00,350,6,9999,,20,17,1017,83,,,,,,,,,,
"['11:00', '23/06']",23/06 11:00,350,6,9999,,21,17,1017,78,,,,,,,,,,
"['12:00', '23/06']",23/06 12:00,360,5,9999,,22,18,1018,78,,,,,,,,,,
"['13:00', '23/06']",23/06 13:00,350,6,9999,,22,18,1018,78,,,,,,,,,,
"['14:00', '23/06']",23/06 14:00,360,5,9999,,23,18,1017,73,,,,,,,,,,
"['15:00', '23/06']",23/06 15:00,30,3,9999,,24,18,1017,69,,,,,,,,,,
"['15:28', '23/06']",23/06 15:28,140,5,9999,,24,19,1016,74,,,,,,,,,,
"['16:00', '23/06']",23/06 16:00,160,6,9999,,25,19,1016,69,,,,,,,,,,
"['17:00', '23/06']",23/06 17:00,150,5,9999,,25,19,1015,69,,,,,,,,,,
"['18:00', '23/06']",23/06 18:00,160,8,9999,,25,17,1014,61,,,,,,,,,,
"['19:00', '23/06']",23/06 19:00,180,7,9999,,26,17,1014,58,,,,,,,,,,
