validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,vis_setor,vis_setor_dir,chuva,trovoada,nevoa_umida,vnt_rajada,chuvisco,pancada,nevoeiro,nevoa_seca
"['00:00', '04/04']",04/04 00:00,90,2,9999,NIL,NIL,20,18,1019,88,NIL,,,NIL,,,,,,,
"['01:00', '04/04']",04/04 01:00,230,2,9999,NIL,NIL,19,18,1020,94,NIL,,,,,,,,,,
"['02:00', '04/04']",04/04 02:00,VRB,1,9999,NIL,NIL,19,18,1020,94,NIL,,,,,,,,,,
"['03:00', '04/04']",04/04 03:00,VRB,1,9999,NIL,NIL,19,18,1019,94,NIL,,,,,,,,,,
"['04:00', '04/04']",04/04 04:00,VRB,1,9999,NIL,NIL,18,17,1019,94,NIL,,,,,,,,,,
"['05:00', '04/04']",04/04 05:00,VRB,1,9999,NIL,NIL,19,18,1019,94,NIL,,,,,,,,,,
"['06:00', '04/04']",04/04 06:00,260,3,9999,NIL,2,19,18,1018,94,NIL,,,,,,,,,,
"['07:00', '04/04']",04/04 07:00,270,8,9999,7000,5,20,18,1018,88,NIL,,,,,,,,,,
"['08:00', '04/04']",04/04 08:00,270,4,9999,7000,5,20,18,1018,88,NIL,,,,,,,,,,
"['09:00', '04/04']",04/04 09:00,180,4,9999,NIL,2,19,17,1019,88,NIL,,,,,,,,,,
"['10:00', '04/04']",04/04 10:00,320,4,9999,NIL,3,20,18,1020,88,NIL,,,,,,,,,,
"['11:00', '04/04']",04/04 11:00,290,5,9999,10000,5,21,19,1020,88,NIL,,,,,,,,,,
"['12:00', '04/04']",04/04 12:00,290,4,9999,NIL,3,23,19,1021,78,NIL,,,,,,,,,,
"['13:00', '04/04']",04/04 13:00,230,5,9999,NIL,2,25,18,1021,65,NIL,,,,,,,,,,
"['14:00', '04/04']",04/04 14:00,160,5,9999,NIL,2,25,18,1021,65,NIL,,,,,,,,,,
"['15:00', '04/04']",04/04 15:00,110,8,9999,NIL,3,26,18,1020,61,NIL,,,,,,,,,,
"['16:00', '04/04']",04/04 16:00,100,9,9999,NIL,2,27,18,1019,58,NIL,,,,,,,,,,
"['17:00', '04/04']",04/04 17:00,130,8,9999,NIL,2,26,19,1019,65,NIL,,,,,,,,,,
"['18:00', '04/04']",04/04 18:00,100,11,9999,NIL,2,26,19,1018,65,NIL,,,,,,,,,,
"['19:00', '04/04']",04/04 19:00,120,11,9999,NIL,3,26,19,1018,65,NIL,,,,,,,,,,
"['20:00', '04/04']",04/04 20:00,100,9,9999,NIL,3,25,19,1018,69,NIL,,,,,,,,,,
"['21:00', '04/04']",04/04 21:00,100,9,9999,NIL,3,24,19,1018,74,NIL,,,,,,,,,,
"['22:00', '04/04']",04/04 22:00,100,7,9999,NIL,3,23,18,1019,73,NIL,,,,,,,,,,
"['23:00', '04/04']",04/04 23:00,90,5,9999,NIL,3,23,18,1019,73,NIL,,,,,,,,,,
"['00:00', '05/04']",05/04 00:00,140,3,9999,NIL,3,22,18,1019,78,130,,,,,,,,,,
"['01:00', '05/04']",05/04 01:00,70,4,9999,NIL,3,23,18,1019,73,NIL,,,,,,,,,,
"['02:00', '05/04']",05/04 02:00,180,2,9999,NIL,2,20,18,1019,88,NIL,,,,,,,,,,
"['03:00', '05/04']",05/04 03:00,180,3,9999,NIL,2,19,18,1019,94,NIL,,,,,,,,,,
"['04:00', '05/04']",05/04 04:00,240,2,9999,NIL,2,19,18,1019,94,NIL,,,,,,,,,,
"['05:00', '05/04']",05/04 05:00,210,6,9999,NIL,2,21,20,1019,94,NIL,,,,,,,,,,
"['06:00', '05/04']",05/04 06:00,20,2,9999,2500,5,21,20,1018,94,NIL,,,,,,,,,,
"['07:00', '05/04']",05/04 07:00,250,2,9999,NIL,3,20,19,1018,94,NIL,,,,,,,,,,
"['08:00', '05/04']",05/04 08:00,260,2,9999,NIL,2,20,19,1018,94,NIL,,,,,,,,,,
"['09:00', '05/04']",05/04 09:00,280,4,9999,NIL,2,20,19,1019,94,NIL,,,,,,,,,,
"['10:00', '05/04']",05/04 10:00,270,5,9999,NIL,2,20,19,1019,94,NIL,,,,,,,,,,
"['11:00', '05/04']",05/04 11:00,290,5,9999,NIL,2,22,19,1020,83,NIL,,,,,,,,,,
"['12:00', '05/04']",05/04 12:00,310,6,9999,NIL,3,23,19,1020,78,NIL,,,,,,,,,,
"['13:00', '05/04']",05/04 13:00,270,4,9999,NIL,3,25,19,1020,69,275,,,,,,,,,,
"['14:00', '05/04']",05/04 14:00,VRB,2,9999,NIL,3,26,19,1020,65,NIL,,,,,,,,,,
"['15:00', '05/04']",05/04 15:00,170,5,9999,NIL,3,25,19,1019,69,170,,,,,,,,,,
"['16:00', '05/04']",05/04 16:00,70,8,9999,NIL,3,26,20,1018,70,70,,,,,,,,,,
"['17:00', '05/04']",05/04 17:00,90,10,9999,NIL,3,26,20,1018,70,90,,,,,,,,,,
"['18:00', '05/04']",05/04 18:00,90,13,9999,NIL,3,25,17,1018,61,NIL,,,,,,,,,,
"['19:00', '05/04']",05/04 19:00,80,12,9999,NIL,2,25,19,1017,69,NIL,,,,,,,,,,
"['20:00', '05/04']",05/04 20:00,40,6,9999,NIL,2,25,18,1018,65,NIL,,,,,,,,,,
"['21:00', '05/04']",05/04 21:00,80,4,9999,NIL,2,24,19,1018,74,NIL,,,,,,,,,,
"['22:00', '05/04']",05/04 22:00,60,3,9999,NIL,2,23,20,1018,83,NIL,,,,,,,,,,
"['23:00', '05/04']",05/04 23:00,110,2,9999,NIL,2,23,20,1018,83,NIL,,,,,,,,,,
"['00:00', '06/04']",06/04 00:00,30,2,9999,NIL,2,23,20,1018,83,NIL,,,,,,,,,,
"['01:00', '06/04']",06/04 01:00,VRB,2,9999,NIL,2,21,19,1018,88,NIL,NIL,NIL,NIL,,,,,,,
"['02:00', '06/04']",06/04 02:00,270,2,9999,NIL,3,20,19,1018,94,NIL,NIL,NIL,NIL,,,,,,,
"['03:00', '06/04']",06/04 03:00,VRB,2,9999,8000,5,21,20,1018,94,NIL,NIL,NIL,NIL,,,,,,,
"['04:00', '06/04']",06/04 04:00,300,9,9999,7000,5,22,20,1018,88,NIL,NIL,NIL,NIL,,,,,,,
"['05:00', '06/04']",06/04 05:00,290,7,9999,7000,5,21,20,1018,94,NIL,NIL,NIL,NIL,,,,,,,
"['06:00', '06/04']",06/04 06:00,240,4,9999,7000,5,21,20,1017,94,235,NIL,NIL,NIL,,,,,,,
"['07:00', '06/04']",06/04 07:00,310,6,9999,7000,5,21,19,1017,88,NIL,4000,225,1,,,,,,,
"['08:00', '06/04']",06/04 08:00,320,6,9999,7000,5,20,19,1017,94,NIL,NIL,NIL,1,,,,,,,
"['09:00', '06/04']",06/04 09:00,300,7,9999,7000,5,21,19,1017,88,NIL,NIL,NIL,NIL,,,,,,,
"['10:00', '06/04']",06/04 10:00,350,3,9999,10000,5,21,20,1018,94,NIL,NIL,NIL,NIL,,,,,,,
"['11:00', '06/04']",06/04 11:00,280,4,9999,5000,5,21,19,1018,88,NIL,NIL,NIL,NIL,,,,,,,
"['12:00', '06/04']",06/04 12:00,340,7,9999,2500,5,22,20,1019,88,NIL,NIL,NIL,NIL,,,,,,,
