validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,chuva,trovoada,vnt_rajada,vis_setor,vis_setor_dir,nevoa_umida,vnt_vrb,pancada,chuvisco,fumaca,nevoa_seca
"['06:00', '21/06']",21/06 06:00,0,0,9999,,NIL,18,15,1016,83,,,,,,,,,,,
"['07:00', '21/06']",21/06 07:00,0,0,9999,,NIL,18,15,1015,83,,,,,,,,,,,
"['08:00', '21/06']",21/06 08:00,270,2,9999,,NIL,18,15,1015,83,,,,,,,,,,,
"['09:00', '21/06']",21/06 09:00,290,3,9999,,NIL,18,16,1015,88,,,,,,,,,,,
"['10:00', '21/06']",21/06 10:00,310,1,9999,,NIL,17,15,1016,88,,,,,,,,,,,
"['11:00', '21/06']",21/06 11:00,320,3,9999,,NIL,18,16,1017,88,,,,,,,,,,,
"['12:00', '21/06']",21/06 12:00,360,2,9999,,NIL,22,16,1018,69,,,,,,,,,,,
"['13:00', '21/06']",21/06 13:00,220,3,9999,,NIL,24,17,1018,65,,,,,,,,,,,
"['14:00', '21/06']",21/06 14:00,240,4,9999,,NIL,26,17,1018,58,,,,,,,,,,,
"['15:00', '21/06']",21/06 15:00,270,4,9999,,NIL,28,17,1017,51,,,,,,,,,,,
"['16:00', '21/06']",21/06 16:00,300,5,9999,,NIL,31,18,1016,46,,,,,,,,,,,
"['17:00', '21/06']",21/06 17:00,260,6,9999,,3,32,18,1015,43,,,,,,,,,,,
"['18:00', '21/06']",21/06 18:00,280,4,9999,,3,33,18,1014,41,,,,,,,,,,,
"['19:00', '21/06']",21/06 19:00,200,4,9999,,3,33,18,1014,41,,,,,,,,,,,
"['20:00', '21/06']",21/06 20:00,280,4,9999,,3,33,18,1014,41,,,,,,,,,,,
"['21:00', '21/06']",21/06 21:00,50,2,9999,,NIL,32,18,1014,43,,,,,,,,,,,
"['22:00', '21/06']",21/06 22:00,180,4,9999,,NIL,31,18,1014,46,,,,,,,,,,,
"['23:00', '21/06']",21/06 23:00,150,3,9999,,NIL,28,18,1015,55,,,,,,,,,,,
"['00:00', '22/06']",22/06 00:00,180,5,9999,,NIL,28,19,1016,58,,,,,,,,,,,
"['01:00', '22/06']",22/06 01:00,170,2,9999,,NIL,26,19,1016,65,,,,,,,,,,,
"['02:00', '22/06']",22/06 02:00,120,3,9999,,NIL,25,19,1016,69,,,,,,,,,,,
"['03:00', '22/06']",22/06 03:00,100,2,9999,,NIL,24,19,1016,74,,,,,,,,,,,
"['04:00', '22/06']",22/06 04:00,0,0,9999,,NIL,24,19,1016,74,,,,,,,,,,,
"['05:00', '22/06']",22/06 05:00,220,2,9999,,NIL,24,19,1016,74,,,,,,,,,,,
"['06:00', '22/06']",22/06 06:00,210,3,9999,,NIL,24,19,1016,74,,,,,,,,,,,
"['07:00', '22/06']",22/06 07:00,190,5,9999,,NIL,23,19,1016,78,,,,,,,,,,,
"['08:00', '22/06']",22/06 08:00,180,5,9999,,NIL,23,19,1016,78,,,,,,,,,,,
"['09:00', '22/06']",22/06 09:00,170,3,9999,,NIL,22,19,1016,83,,,,,,,,,,,
"['10:00', '22/06']",22/06 10:00,190,2,9999,,NIL,21,19,1016,88,,,,,,,,,,,
"['11:00', '22/06']",22/06 11:00,0,0,9999,,NIL,23,19,1017,78,,,,,,,,,,,
"['12:00', '22/06']",22/06 12:00,180,3,9999,,NIL,24,19,1018,74,,,,,,,,,,,
"['13:00', '22/06']",22/06 13:00,90,3,9999,,NIL,27,20,1018,66,,,,,,,,,,,
"['14:00', '22/06']",22/06 14:00,160,4,9999,,NIL,29,20,1018,58,,,,,,,,,,,
"['15:00', '22/06']",22/06 15:00,130,4,9999,,NIL,31,19,1018,49,,,,,,,,,,,
"['16:00', '22/06']",22/06 16:00,270,4,9999,,NIL,33,19,1017,44,,,,,,,,,,,
"['17:00', '22/06']",22/06 17:00,190,5,9999,,2,33,19,1015,44,,,,,,,,,,,
"['18:00', '22/06']",22/06 18:00,350,3,9999,,3,34,18,1014,39,,,,,,,,,,,
"['19:00', '22/06']",22/06 19:00,280,6,9999,,3,34,17,1014,36,,,,,,,,,,,
"['20:00', '22/06']",22/06 20:00,10,3,9999,,3,33,17,1013,39,,,,,,,,,,,
"['21:00', '22/06']",22/06 21:00,150,2,9999,,2,32,17,1013,41,,,,,,,,,,,
"['22:00', '22/06']",22/06 22:00,0,0,9999,,NIL,30,17,1014,46,,,,,,,,,,,
"['23:00', '22/06']",22/06 23:00,180,5,9999,,NIL,30,19,1014,52,,,,,,,,,,,
"['00:00', '23/06']",23/06 00:00,170,5,9999,,NIL,29,19,1015,55,,,,,,,,,,,
"['01:00', '23/06']",23/06 01:00,160,5,9999,,NIL,27,20,1015,66,,,,,,,,,,,
"['02:00', '23/06']",23/06 02:00,180,5,9999,,NIL,27,20,1015,66,,,,,,,,,,,
"['03:00', '23/06']",23/06 03:00,170,6,9999,,NIL,26,20,1015,70,,,,,,,,,,,
"['04:00', '23/06']",23/06 04:00,170,5,9999,,NIL,26,20,1015,70,,,,,,,,,,,
"['05:00', '23/06']",23/06 05:00,190,2,9999,,NIL,25,20,1015,74,,,,,,,,,,,
"['06:00', '23/06']",23/06 06:00,0,0,9999,,NIL,23,20,1014,83,,,,,,,,,,,
"['07:00', '23/06']",23/06 07:00,250,3,9999,,NIL,24,20,1014,78,,,,,,,,,,,
"['08:00', '23/06']",23/06 08:00,0,0,9999,,NIL,23,20,1015,83,,,,,,,,,,,
"['09:00', '23/06']",23/06 09:00,320,2,9999,,NIL,22,20,1015,88,,,,,,,,,,,
"['10:00', '23/06']",23/06 10:00,320,4,9999,,NIL,21,20,1015,94,,,,,,,,,,,
"['11:00', '23/06']",23/06 11:00,310,5,9999,,NIL,22,20,1016,88,,,,,,,,,,,
"['12:00', '23/06']",23/06 12:00,260,4,9999,,NIL,24,20,1016,78,,,,,,,,,,,
"['13:00', '23/06']",23/06 13:00,270,5,9999,,NIL,26,20,1016,70,,,,,,,,,,,
"['14:00', '23/06']",23/06 14:00,300,4,9999,,NIL,30,19,1016,52,,,,,,,,,,,
"['15:00', '23/06']",23/06 15:00,310,5,9999,,NIL,32,18,1016,43,,,,,,,,,,,
"['16:00', '23/06']",23/06 16:00,340,8,9999,,NIL,35,16,1015,32,,,,,,,,,,,
"['17:00', '23/06']",23/06 17:00,300,11,9999,,2,35,13,1014,27,,,,,,,,,,,
"['18:00', '23/06']",23/06 18:00,320,10,9999,,2,35,12,1013,25,,,,,,,,,,,
"['19:00', '23/06']",23/06 19:00,320,9,9999,,NIL,35,12,1012,25,,,,,,,,,,,
"['20:00', '23/06']",23/06 20:00,320,9,9999,,NIL,34,14,1011,30,,,,,,,,,,,
"['21:00', '23/06']",23/06 21:00,330,8,9999,,NIL,33,14,1012,32,,,,,,,,,,,
"['22:00', '23/06']",23/06 22:00,310,5,9999,,NIL,30,14,1012,38,,,,,,,,,,,
"['23:00', '23/06']",23/06 23:00,280,4,9999,,NIL,29,15,1012,43,,,,,,,,,,,
"['00:00', '24/06']",24/06 00:00,270,4,9999,,NIL,27,15,1013,48,,,,,,,,,,,
"['01:00', '24/06']",24/06 01:00,270,4,9999,,,26,15,1013,51,,,,,,,,,,,
"['02:00', '24/06']",24/06 02:00,300,2,9999,,,25,16,1014,57,,,,,,,,,,,
"['03:00', '24/06']",24/06 03:00,0,0,9999,,,24,16,1014,61,,,,,,,,,,,
"['04:00', '24/06']",24/06 04:00,80,2,9999,,,22,16,1014,69,,,,,,,,,,,
"['05:00', '24/06']",24/06 05:00,290,4,9999,,,22,16,1013,69,,,,,,,,,,,
"['06:00', '24/06']",24/06 06:00,270,5,9999,,,22,16,1012,69,,,,,,,,,,,
"['07:00', '24/06']",24/06 07:00,260,5,9999,,,21,16,1012,73,,,,,,,,,,,
"['08:00', '24/06']",24/06 08:00,260,6,9999,,,24,15,1012,57,,,,,,,,,,,
"['09:00', '24/06']",24/06 09:00,270,7,9999,,,22,15,1013,65,,,,,,,,,,,
"['10:00', '24/06']",24/06 10:00,260,7,9999,,,21,16,1013,73,,,,,,,,,,,
"['11:00', '24/06']",24/06 11:00,330,5,9999,,,23,16,1014,65,,,,,,,,,,,
"['12:00', '24/06']",24/06 12:00,320,6,9999,,,26,15,1015,51,,,,,,,,,,,
"['13:00', '24/06']",24/06 13:00,300,5,9999,,,28,15,1016,45,,,,,,,,,,,
"['14:00', '24/06']",24/06 14:00,320,9,9999,,,31,15,1016,38,,,,,,,,,,,
"['15:00', '24/06']",24/06 15:00,320,6,9999,,,32,15,1015,36,,,,,,,,,,,
"['16:00', '24/06']",24/06 16:00,310,9,9999,,,34,15,1014,32,,,,,,,,,,,
"['17:00', '24/06']",24/06 17:00,290,9,9999,,,34,14,1013,30,,,,,,,,,,,
"['18:00', '24/06']",24/06 18:00,300,12,9999,,,35,14,1012,28,,,,,,,,,,,
"['19:00', '24/06']",24/06 19:00,290,11,9999,,,34,14,1012,30,,,,,,,,,,,
"['20:00', '24/06']",24/06 20:00,300,10,9999,,,34,14,1012,30,,,,,,,,,,,
"['21:00', '24/06']",24/06 21:00,320,5,9999,,,33,14,1012,32,,,,,,,,,,,
"['22:00', '24/06']",24/06 22:00,280,3,9999,,,30,14,1013,38,,,,,,,,,,,
"['23:00', '24/06']",24/06 23:00,280,3,9999,,,29,14,1013,40,,,,,,,,,,,
"['00:00', '25/06']",25/06 00:00,180,2,9999,,,26,15,1013,51,,,,,,,,,,,
"['01:00', '25/06']",25/06 01:00,110,2,9999,,NIL,25,15,1014,54,,,,,,,,,,,
"['02:00', '25/06']",25/06 02:00,70,2,9999,,NIL,24,15,1014,57,,,,,,,,,,,
"['03:00', '25/06']",25/06 03:00,240,2,9999,,NIL,24,16,1014,61,,,,,,,,,,,
"['04:00', '25/06']",25/06 04:00,190,2,9999,,NIL,23,16,1014,65,,,,,,,,,,,
"['05:00', '25/06']",25/06 05:00,250,2,9999,,NIL,22,16,1013,69,,,,,,,,,,,
"['06:00', '25/06']",25/06 06:00,200,2,9999,,NIL,22,16,1013,69,,,,,,,,,,,
"['07:00', '25/06']",25/06 07:00,0,0,9999,,NIL,21,16,1012,73,,,,,,,,,,,
"['08:00', '25/06']",25/06 08:00,250,2,9999,,NIL,22,15,1013,65,,,,,,,,,,,
"['09:00', '25/06']",25/06 09:00,320,4,9999,,NIL,20,16,1013,78,,,,,,,,,,,
"['10:00', '25/06']",25/06 10:00,260,2,9999,,NIL,21,16,1014,73,,,,,,,,,,,
"['11:00', '25/06']",25/06 11:00,330,3,9999,,NIL,21,17,1015,78,,,,,,,,,,,
"['12:00', '25/06']",25/06 12:00,350,2,9999,,NIL,24,17,1016,65,,,,,,,,,,,
"['13:00', '25/06']",25/06 13:00,290,4,9999,,NIL,28,16,1016,48,,,,,,,,,,,
"['14:00', '25/06']",25/06 14:00,260,3,9999,,NIL,30,16,1016,43,,,,,,,,,,,
"['15:00', '25/06']",25/06 15:00,270,4,9999,,NIL,33,14,1015,32,,,,,,,,,,,
"['16:00', '25/06']",25/06 16:00,340,4,9999,,2,33,14,1014,32,,,,,,,,,,,
"['17:00', '25/06']",25/06 17:00,320,4,9999,,2,34,14,1013,30,,,,,,,,,,,
"['18:00', '25/06']",25/06 18:00,140,4,9999,,2,34,14,1012,30,,,,,,,,,,,
"['19:00', '25/06']",25/06 19:00,350,8,9999,,2,35,13,1011,27,,,,,,,,,,,
"['20:00', '25/06']",25/06 20:00,350,7,9999,,NIL,35,13,1011,27,,,,,,,,,,,
"['21:00', '25/06']",25/06 21:00,320,6,9999,,NIL,33,13,1011,30,,,,,,,,,,,
"['22:00', '25/06']",25/06 22:00,340,6,9999,,NIL,30,14,1012,38,,,,,,,,,,,
"['23:00', '25/06']",25/06 23:00,340,3,9999,,NIL,29,14,1012,40,,,,,,,,,,,
"['00:00', '26/06']",26/06 00:00,320,2,9999,,NIL,28,14,1012,42,,,,,,,,,,,
"['01:00', '26/06']",26/06 01:00,50,4,9999,,NIL,27,16,1012,51,,,,,,,,,,,
"['02:00', '26/06']",26/06 02:00,0,0,9999,,NIL,25,15,1012,54,,,,,,,,,,,
"['03:00', '26/06']",26/06 03:00,30,2,9999,,NIL,23,16,1013,65,,,,,,,,,,,
"['04:00', '26/06']",26/06 04:00,310,4,9999,,NIL,24,16,1012,61,,,,,,,,,,,
"['05:00', '26/06']",26/06 05:00,320,4,9999,,NIL,23,16,1012,65,,,,,,,,,,,
"['06:00', '26/06']",26/06 06:00,300,5,9999,,NIL,22,16,1012,69,,,,,,,,,,,
"['07:00', '26/06']",26/06 07:00,210,7,9999,,NIL,22,17,1011,73,,,,,,,,,,,
"['08:00', '26/06']",26/06 08:00,320,6,9999,,NIL,21,16,1011,73,,,,,,,,,,,
"['09:00', '26/06']",26/06 09:00,320,5,9999,,NIL,21,16,1012,73,,,,,,,,,,,
"['10:00', '26/06']",26/06 10:00,310,7,9999,,NIL,21,15,1012,69,,,,,,,,,,,
"['11:00', '26/06']",26/06 11:00,310,5,9999,,NIL,22,16,1013,69,,,,,,,,,,,
"['12:00', '26/06']",26/06 12:00,320,6,9999,,NIL,25,16,1014,57,,,,,,,,,,,
"['13:00', '26/06']",26/06 13:00,350,5,9999,,NIL,29,15,1014,43,,,,,,,,,,,
"['14:00', '26/06']",26/06 14:00,350,9,9999,,NIL,32,13,1014,32,,,,,,,,,,,
"['15:00', '26/06']",26/06 15:00,350,11,9999,,NIL,34,14,1013,30,,,,,,,,,,,
"['16:00', '26/06']",26/06 16:00,330,12,9999,,NIL,34,13,1013,28,,,,,,,,,,,
"['17:00', '26/06']",26/06 17:00,10,11,9999,,NIL,35,13,1012,27,,,,,,,,,,,
"['18:00', '26/06']",26/06 18:00,360,8,9999,,NIL,35,15,1011,30,,,,,,,,,,,
"['19:00', '26/06']",26/06 19:00,340,10,9999,,2,35,14,1010,28,,,,,,,,,,,
"['20:00', '26/06']",26/06 20:00,340,8,9999,,2,35,14,1010,28,,,,,,,,,,,
"['21:00', '26/06']",26/06 21:00,340,5,9999,,NIL,33,14,1010,32,,,,,,,,,,,
"['22:00', '26/06']",26/06 22:00,10,3,9999,,NIL,31,14,1010,36,,,,,,,,,,,
"['23:00', '26/06']",26/06 23:00,60,2,9999,,NIL,28,15,1011,45,,,,,,,,,,,
"['00:00', '27/06']",27/06 00:00,0,0,9999,,NIL,28,16,1012,48,,,,,,,,,,,
"['01:00', '27/06']",27/06 01:00,0,0,9999,NIL,NIL,27,16,1012,51,,,,,,,,,,,
"['02:00', '27/06']",27/06 02:00,0,0,9999,NIL,NIL,25,16,1013,57,,,,,,,,,,,
"['03:00', '27/06']",27/06 03:00,100,2,9999,NIL,NIL,24,16,1013,61,,,,,,,,,,,
"['04:00', '27/06']",27/06 04:00,0,0,9999,NIL,NIL,24,16,1013,61,,,,,,,,,,,
"['05:00', '27/06']",27/06 05:00,0,0,9999,NIL,NIL,23,16,1013,65,,,,,,,,,,,
"['06:00', '27/06']",27/06 06:00,340,3,9999,NIL,NIL,24,17,1012,65,,,,,,,,,,,
"['07:00', '27/06']",27/06 07:00,290,3,9999,NIL,NIL,23,17,1012,69,,,,,,,,,,,
"['08:00', '27/06']",27/06 08:00,310,3,9999,NIL,NIL,23,17,1012,69,,,,,,,,,,,
"['09:00', '27/06']",27/06 09:00,310,8,9999,NIL,NIL,23,17,1013,69,,,,,,,,,,,
"['10:00', '27/06']",27/06 10:00,310,6,9999,NIL,NIL,22,17,1013,73,,,,,,,,,,,
"['11:00', '27/06']",27/06 11:00,330,6,9999,NIL,NIL,23,17,1014,69,,,,,,,,,,,
"['12:00', '27/06']",27/06 12:00,340,5,9999,NIL,NIL,30,17,1015,46,,,,,,,,,,,
"['13:00', '27/06']",27/06 13:00,330,6,9999,NIL,NIL,31,16,1015,40,,,,,,,,,,,
"['14:00', '27/06']",27/06 14:00,340,5,9999,NIL,NIL,31,16,1015,40,,,,,,,,,,,
"['15:00', '27/06']",27/06 15:00,350,6,9999,NIL,NIL,32,16,1015,38,,,,,,,,,,,
"['16:00', '27/06']",27/06 16:00,300,8,9999,NIL,NIL,34,16,1015,34,,,,,,,,,,,
"['17:00', '27/06']",27/06 17:00,320,6,9999,NIL,2,34,17,1013,36,,,,,,,,,,,
"['18:00', '27/06']",27/06 18:00,300,6,9999,NIL,3,34,16,1012,34,,,,,,,,,,,
"['19:00', '27/06']",27/06 19:00,310,8,9999,NIL,3,33,16,1012,36,,,,,,,,,,,
"['20:00', '27/06']",27/06 20:00,290,3,9999,NIL,3,33,16,1012,36,,,,,,,,,,,
"['21:00', '27/06']",27/06 21:00,260,8,9999,NIL,3,32,17,1012,41,,,,,,,,,,,
"['22:00', '27/06']",27/06 22:00,170,14,9999,10000,5,28,20,1013,62,,,,,,,,,,,
"['23:00', '27/06']",27/06 23:00,170,14,9999,10000,5,25,18,1015,65,,,,,,,,,,,
"['00:00', '28/06']",28/06 00:00,170,14,9999,10000,5,23,16,1016,65,,,,,,,,,,,
"['01:00', '28/06']",28/06 01:00,180,12,9999,10000,5,21,15,1018,69,,,,,,NIL,,,,,
"['02:00', '28/06']",28/06 02:00,180,15,9999,10000,5,20,14,1019,68,,,,,,NIL,,,,,
"['03:00', '28/06']",28/06 03:00,170,13,9999,10000,5,19,14,1019,73,,,,,,NIL,,,,,
"['04:00', '28/06']",28/06 04:00,160,11,9999,10000,5,19,14,1020,73,,,,,,NIL,,,,,
"['05:00', '28/06']",28/06 05:00,170,12,9999,10000,5,18,13,1020,73,,,,,,NIL,,,,,
"['06:00', '28/06']",28/06 06:00,180,11,9999,10000,5,17,13,1020,77,,,,,,NIL,,,,,
"['07:00', '28/06']",28/06 07:00,170,9,9999,10000,5,17,13,1020,77,,,,,,NIL,,,,,
"['08:00', '28/06']",28/06 08:00,180,10,9999,10000,5,16,12,1020,77,,,,,,NIL,,,,,
"['09:00', '28/06']",28/06 09:00,180,11,9999,1300,5,16,12,1021,77,,,,,,NIL,,,,,
"['10:00', '28/06']",28/06 10:00,170,11,9999,1300,5,15,12,1021,82,,,,,,NIL,,,,,
"['10:36', '28/06']",28/06 10:36,180,9,9999,900,8,15,12,1022,82,,,,,,NIL,,,,,
"['11:00', '28/06']",28/06 11:00,170,7,9999,900,8,15,12,1022,82,,,,,,NIL,,,,,
"['12:00', '28/06']",28/06 12:00,180,9,9999,900,8,15,12,1023,82,,,,,,NIL,,,,,
"['13:00', '28/06']",28/06 13:00,180,12,9999,900,8,14,11,1024,82,,,,,,NIL,,,,,
"['14:00', '28/06']",28/06 14:00,180,12,9999,1300,8,15,11,1025,77,,,,,,NIL,,,,,
"['14:40', '28/06']",28/06 14:40,170,10,9999,1500,8,16,11,1025,72,,,,,,NIL,,,,,
"['15:00', '28/06']",28/06 15:00,170,11,9999,1500,8,15,11,1025,77,,,,,,NIL,,,,,
"['16:00', '28/06']",28/06 16:00,150,13,9999,1500,8,15,11,1023,77,,,,,,NIL,,,,,
"['17:00', '28/06']",28/06 17:00,190,10,9999,1300,8,15,11,1024,77,,,,,,NIL,,,,,
"['17:44', '28/06']",28/06 17:44,160,9,9999,1500,8,15,11,1023,77,,,,,,NIL,,,,,
"['18:00', '28/06']",28/06 18:00,180,10,9999,1500,8,15,11,1023,77,,,,,,NIL,,,,,
"['18:15', '28/06']",28/06 18:15,190,12,9999,1200,8,14,11,1024,82,,,,,,NIL,,,,,
"['18:38', '28/06']",28/06 18:38,180,12,4000,1200,8,13,11,1024,88,,,,,,1,,,,,
"['19:00', '28/06']",28/06 19:00,170,12,4000,1200,8,13,11,1024,88,,,,,,1,,,,,
"['19:39', '28/06']",28/06 19:39,180,11,2000,700,8,13,11,1024,88,,,,,,1,,,,,
"['20:00', '28/06']",28/06 20:00,190,10,1600,500,8,12,11,1024,94,,,,,,1,,,,,
"['20:34', '28/06']",28/06 20:34,180,12,1600,400,8,12,11,1025,94,,,,,,1,,,,,
"['21:00', '28/06']",28/06 21:00,180,12,1600,400,8,12,11,1025,94,,,,,,1,,,,,
"['21:16', '28/06']",28/06 21:16,170,11,3000,400,8,12,11,1025,94,,,,,,1,,,,,
"['21:32', '28/06']",28/06 21:32,170,10,3000,600,8,12,11,1025,94,,,,,,1,,,,,
"['22:00', '28/06']",28/06 22:00,180,14,3000,600,8,11,10,1026,94,,,,,,1,,,,,
"['23:00', '28/06']",28/06 23:00,170,13,5000,700,5,11,10,1026,94,,,,,,1,,,,,
"['00:00', '29/06']",29/06 00:00,180,12,9999,600,8,11,10,1027,94,,,,,,NIL,,,,,
"['01:00', '29/06']",29/06 01:00,170,11,5000,600,8,11,09,1027,87,,,,,,1,,,,,
"['02:00', '29/06']",29/06 02:00,160,9,4000,600,8,10,09,1028,93,,,,,,1,,,,,
"['03:00', '29/06']",29/06 03:00,170,10,5000,1000,5,11,09,1028,87,,,,,,1,,,,,
"['04:00', '29/06']",29/06 04:00,170,9,5000,1000,5,11,08,1027,82,,,,,,1,,,,,
"['05:00', '29/06']",29/06 05:00,170,8,5000,1000,5,11,09,1027,87,,,,,,1,,,,,
"['06:00', '29/06']",29/06 06:00,180,8,5000,1000,5,11,08,1027,82,,,,,,1,,,,,
"['07:00', '29/06']",29/06 07:00,170,8,6000,1000,5,11,07,1026,76,,,,,,NIL,,,,,
"['08:00', '29/06']",29/06 08:00,170,9,6000,1000,5,11,07,1026,76,,,,,,NIL,,,,,
"['09:00', '29/06']",29/06 09:00,170,10,9999,NIL,3,11,07,1026,76,,,,,,NIL,,,,,
"['10:00', '29/06']",29/06 10:00,180,8,9999,1500,5,10,07,1027,82,,,,,,NIL,,,,,
"['11:00', '29/06']",29/06 11:00,180,11,9999,1500,8,10,06,1028,76,,,,,,NIL,,,,,
"['12:00', '29/06']",29/06 12:00,170,11,9999,1500,8,10,05,1029,71,,,,,,NIL,,,,,
"['13:00', '29/06']",29/06 13:00,160,12,9999,2000,8,11,06,1029,71,,,,,,NIL,,,,,
"['14:00', '29/06']",29/06 14:00,170,11,9999,600,5,12,05,1029,62,,,,,,NIL,,,,,
"['15:00', '29/06']",29/06 15:00,160,12,9999,10000,5,13,04,1028,54,,,,,,NIL,,,,,
"['16:00', '29/06']",29/06 16:00,150,10,9999,NIL,NIL,15,04,1027,48,,,,,,NIL,,,,,
"['17:00', '29/06']",29/06 17:00,170,12,9999,NIL,NIL,16,04,1026,45,,,,,,NIL,,,,,
"['18:00', '29/06']",29/06 18:00,170,12,9999,NIL,NIL,16,04,1025,45,,,,,,NIL,,,,,
"['19:00', '29/06']",29/06 19:00,160,11,9999,NIL,NIL,16,04,1025,45,,,,,,NIL,,,,,
"['20:00', '29/06']",29/06 20:00,160,9,9999,NIL,NIL,17,04,1025,42,,,,,,NIL,,,,,
"['21:00', '29/06']",29/06 21:00,160,11,9999,NIL,NIL,16,04,1025,45,,,,,,NIL,,,,,
"['22:00', '29/06']",29/06 22:00,140,6,9999,NIL,NIL,16,04,1025,45,,,,,,NIL,,,,,
"['23:00', '29/06']",29/06 23:00,160,11,9999,NIL,NIL,15,03,1025,44,,,,,,NIL,,,,,
"['00:00', '30/06']",30/06 00:00,180,8,9999,NIL,NIL,14,03,1026,47,,,,,,NIL,,,,,
"['01:00', '30/06']",30/06 01:00,180,8,9999,,,13,03,1026,51,,,,,,,,,,,
"['02:00', '30/06']",30/06 02:00,180,6,9999,,,12,03,1026,54,,,,,,,,,,,
"['03:00', '30/06']",30/06 03:00,190,5,9999,,,12,04,1025,58,,,,,,,,,,,
"['04:00', '30/06']",30/06 04:00,180,6,9999,,,11,04,1025,62,,,,,,,,,,,
"['05:00', '30/06']",30/06 05:00,160,7,9999,,,11,03,1025,58,,,,,,,,,,,
"['06:00', '30/06']",30/06 06:00,160,5,9999,,,10,03,1024,62,,,,,,,,,,,
"['07:00', '30/06']",30/06 07:00,170,4,9999,,,09,03,1024,66,,,,,,,,,,,
"['08:00', '30/06']",30/06 08:00,190,6,9999,,,09,03,1024,66,,,,,,,,,,,
"['09:00', '30/06']",30/06 09:00,190,8,9999,,,08,03,1024,71,,,,,,,,,,,
"['10:00', '30/06']",30/06 10:00,180,5,9999,,,07,03,1024,76,,,,,,,,,,,
"['11:00', '30/06']",30/06 11:00,180,6,9999,,,08,03,1025,71,,,,,,,,,,,
"['12:00', '30/06']",30/06 12:00,160,7,9999,,,10,03,1026,62,,,,,,,,,,,
"['13:00', '30/06']",30/06 13:00,150,9,9999,,,13,02,1026,47,,,,,,,,,,,
"['14:00', '30/06']",30/06 14:00,150,10,9999,,,15,01,1025,39,,,,,,,,,,,
"['15:00', '30/06']",30/06 15:00,170,6,9999,,,17,02,1025,36,,,,,,,,,,,
"['16:00', '30/06']",30/06 16:00,130,7,9999,,,19,00,1024,28,,,,,,,,,,,
"['17:00', '30/06']",30/06 17:00,120,7,9999,,,20,-01,1022,24,,,,,,,,,,,
"['18:00', '30/06']",30/06 18:00,120,8,9999,,,22,-02,1021,20,,,,,,,,,,,
"['19:00', '30/06']",30/06 19:00,110,8,9999,,,23,-02,1020,19,,,,,,,,,,,
"['20:00', '30/06']",30/06 20:00,140,10,9999,,,22,-01,1020,21,,,,,,,,,,,
"['21:00', '30/06']",30/06 21:00,120,10,9999,,,22,-02,1020,20,,,,,,,,,,,
"['22:00', '30/06']",30/06 22:00,130,7,9999,,,19,-01,1020,26,,,,,,,,,,,
"['23:00', '30/06']",30/06 23:00,120,6,9999,,,17,-01,1020,29,,,,,,,,,,,
"['00:00', '01/07']",01/07 00:00,130,4,9999,,,15,-02,1021,31,,,,,,,,,,,
"['01:00', '01/07']",01/07 01:00,180,5,9999,,,15,01,1021,39,,,,,,,,,,,
"['02:00', '01/07']",01/07 02:00,160,4,9999,,,14,01,1021,41,,,,,,,,,,,
"['03:00', '01/07']",01/07 03:00,170,4,9999,,,13,01,1020,44,,,,,,,,,,,
"['04:00', '01/07']",01/07 04:00,180,4,9999,,,10,01,1021,53,,,,,,,,,,,
"['05:00', '01/07']",01/07 05:00,200,3,9999,,,11,01,1021,50,,,,,,,,,,,
"['06:00', '01/07']",01/07 06:00,200,5,9999,,,10,01,1020,53,,,,,,,,,,,
"['07:00', '01/07']",01/07 07:00,150,6,9999,,,10,01,1020,53,,,,,,,,,,,
"['08:00', '01/07']",01/07 08:00,200,6,9999,,,10,01,1020,53,,,,,,,,,,,
"['09:00', '01/07']",01/07 09:00,180,3,9999,,,08,00,1020,57,,,,,,,,,,,
"['10:00', '01/07']",01/07 10:00,230,2,9999,,,07,01,1020,66,,,,,,,,,,,
"['11:00', '01/07']",01/07 11:00,280,3,9999,,,08,03,1021,71,,,,,,,,,,,
"['12:00', '01/07']",01/07 12:00,260,4,9999,,,12,02,1022,50,,,,,,,,,,,
"['13:00', '01/07']",01/07 13:00,140,3,9999,,,14,01,1022,41,,,,,,,,,,,
"['14:00', '01/07']",01/07 14:00,180,2,9999,,,17,02,1022,36,,,,,,,,,,,
"['15:00', '01/07']",01/07 15:00,120,3,9999,,,20,02,1021,30,,,,,,,,,,,
"['16:00', '01/07']",01/07 16:00,170,4,9999,,,23,02,1020,25,,,,,,,,,,,
"['17:00', '01/07']",01/07 17:00,280,4,9999,,,25,03,1018,24,,,,,,,,,,,
"['18:00', '01/07']",01/07 18:00,130,2,9999,,,27,03,1017,21,,,,,,,,,,,
"['19:00', '01/07']",01/07 19:00,100,2,9999,,,27,04,1017,23,,,,,,,,,,,
"['20:00', '01/07']",01/07 20:00,210,3,9999,,,28,04,1017,22,,,,,,,,,,,
"['21:00', '01/07']",01/07 21:00,170,3,9999,,,27,04,1017,23,,,,,,,,,,,
"['22:00', '01/07']",01/07 22:00,150,4,9999,,,25,05,1017,28,,,,,,,,,,,
"['23:00', '01/07']",01/07 23:00,150,3,9999,,,23,05,1017,31,,,,,,,,,,,
