validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,chuva,trovoada,vnt_rajada,vis_setor,vis_setor_dir,nevoa_umida,vnt_vrb,pancada,chuvisco,fumaca,nevoa_seca
"['16:00', '06/01']",06/01 16:00,40,2,9999,NIL,3,32,21,1013,52,NIL,NIL,NIL,,,,,,,,
"['17:00', '06/01']",06/01 17:00,220,4,9999,2000,5,33,21,1011,49,NIL,NIL,NIL,,,,,,,,
"['18:00', '06/01']",06/01 18:00,180,8,9999,2000,5,33,22,1010,53,NIL,NIL,NIL,,,,,,,,
"['19:00', '06/01']",06/01 19:00,150,10,9999,2000,5,32,23,1009,59,1,NIL,NIL,,,,,,,,
"['20:00', '06/01']",06/01 20:00,160,6,9999,NIL,3,33,23,1008,56,NIL,NIL,NIL,,,,,,,,
"['21:00', '06/01']",06/01 21:00,190,6,9999,2000,5,33,23,1009,56,NIL,NIL,NIL,,,,,,,,
"['21:31', '06/01']",06/01 21:31,50,7,3000,2000,5,29,24,1010,74,1,1,NIL,,,,,,,,
"['22:00', '06/01']",06/01 22:00,80,2,6000,2000,5,27,22,1010,74,1,1,NIL,,,,,,,,
"['22:40', '06/01']",06/01 22:40,290,22,8000,2000,5,24,20,1011,78,1,1,35,,,,,,,,
"['23:00', '06/01']",06/01 23:00,280,15,9000,2000,5,24,21,1012,83,NIL,1,NIL,,,,,,,,
"['00:00', '07/01']",07/01 00:00,180,3,9999,10000,5,24,21,1012,83,NIL,1,NIL,,,,,,,,
"['01:00', '07/01']",07/01 01:00,110,3,9999,10000,5,23,22,1014,94,,1,,,,,,,,,
"['02:00', '07/01']",07/01 02:00,160,6,9999,NIL,NIL,23,21,1015,89,,1,,,,,,,,,
"['03:00', '07/01']",07/01 03:00,130,2,9999,NIL,NIL,23,23,1014,100,,NIL,,,,,,,,,
"['04:00', '07/01']",07/01 04:00,110,5,9999,NIL,2,24,22,1013,89,,NIL,,,,,,,,,
"['05:00', '07/01']",07/01 05:00,170,3,9999,NIL,NIL,23,22,1012,94,,NIL,,,,,,,,,
"['06:00', '07/01']",07/01 06:00,220,4,9999,NIL,2,23,22,1012,94,,NIL,,,,,,,,,
"['07:00', '07/01']",07/01 07:00,170,6,9999,NIL,2,23,22,1012,94,,NIL,,,,,,,,,
"['08:00', '07/01']",07/01 08:00,110,3,9999,NIL,NIL,23,21,1013,89,,NIL,,,,,,,,,
"['09:00', '07/01']",07/01 09:00,80,2,9999,NIL,NIL,23,21,1014,89,,NIL,,,,,,,,,
"['10:00', '07/01']",07/01 10:00,130,3,9999,NIL,NIL,23,22,1014,94,,NIL,,,,,,,,,
"['11:00', '07/01']",07/01 11:00,80,5,9999,NIL,2,24,22,1015,89,,NIL,,,,,,,,,
"['13:00', '07/01']",07/01 13:00,130,4,9999,NIL,2,26,21,1016,74,,NIL,,,,,,,,,
"['14:00', '07/01']",07/01 14:00,150,3,9999,NIL,2,27,21,1016,70,,NIL,,,,,,,,,
"['15:00', '07/01']",07/01 15:00,140,3,9999,NIL,2,28,21,1015,66,,NIL,,,,,,,,,
"['16:00', '07/01']",07/01 16:00,140,3,9999,NIL,2,29,21,1014,62,,NIL,,,,,,,,,
"['17:00', '07/01']",07/01 17:00,50,3,9999,NIL,3,30,21,1014,59,,NIL,,,,,,,,,
