validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuva,teto,cobertura,tt,po,qnh,ur,vnt_rajada,trovoada,pancada,nevoa_umida,chuvisco,nevoeiro,nevoa_seca,fumaca
"['09:00', '06/03']",06/03 09:00,VRB,2,NIL,9999,,,NIL,1200,8,20,19,1018,94,,,,NIL,,,,
"['09:15', '06/03']",06/03 09:15,130,6,NIL,9999,,,NIL,400,8,21,20,1019,94,,,,NIL,,,,
"['09:23', '06/03']",06/03 09:23,20,6,NIL,3000,,,1,400,8,20,19,1019,94,,,,NIL,,,,
"['10:00', '06/03']",06/03 10:00,70,5,75,1500,,,1,400,5,19,19,1019,100,,,,NIL,,,,
"['10:45', '06/03']",06/03 10:45,110,4,NIL,5000,,,1,700,5,19,18,1019,94,,,,1,,,,
"['11:00', '06/03']",06/03 11:00,80,4,80,6000,,,1,700,5,20,19,1020,94,,,,NIL,,,,
"['11:41', '06/03']",06/03 11:41,60,5,NIL,1500,,,1,700,5,20,19,1020,94,,,,1,,,,
"['12:00', '06/03']",06/03 12:00,60,6,NIL,5000,,,1,700,5,20,19,1020,94,,,,1,,,,
"['13:00', '06/03']",06/03 13:00,250,3,205,6000,,,1,600,5,21,19,1020,88,,,,NIL,,,,
"['14:00', '06/03']",06/03 14:00,10,7,NIL,5000,,,1,700,5,22,20,1020,88,,,,1,,,,
"['14:45', '06/03']",06/03 14:45,320,5,315,1500,,,1,400,5,21,20,1020,94,,,,1,,,,
"['15:00', '06/03']",06/03 15:00,330,3,NIL,3000,,,1,600,5,21,20,1020,94,,,,1,,,,
"['15:33', '06/03']",06/03 15:33,260,4,195,6000,,,1,600,5,21,20,1019,94,,,,NIL,,,,
"['16:00', '06/03']",06/03 16:00,140,3,200,6000,,,1,600,5,21,20,1019,94,,,,NIL,,,,
"['17:00', '06/03']",06/03 17:00,VRB,2,NIL,6000,,,1,700,5,22,20,1018,88,,,,NIL,,,,
"['17:37', '06/03']",06/03 17:37,300,9,NIL,1500,,,1,700,5,21,20,1017,94,,,,NIL,,,,
"['18:00', '06/03']",06/03 18:00,310,9,NIL,3000,,,1,700,5,21,20,1017,94,,,,NIL,,,,
"['19:00', '06/03']",06/03 19:00,340,5,NIL,9999,,,1,8000,5,22,19,1016,83,,,,NIL,,,,
"['20:00', '06/03']",06/03 20:00,350,5,NIL,9999,,,NIL,8000,5,23,20,1016,83,,,,NIL,,,,
"['21:00', '06/03']",06/03 21:00,320,5,NIL,9999,,,NIL,10000,5,23,19,1016,78,,,,NIL,,,,
"['22:00', '06/03']",06/03 22:00,10,3,NIL,9999,,,NIL,10000,5,22,20,1017,88,,,,NIL,,,,
"['23:00', '06/03']",06/03 23:00,320,5,NIL,9999,,,NIL,8000,5,22,19,1017,83,,,,NIL,,,,
"['00:00', '07/03']",07/03 00:00,270,6,275,9999,,,NIL,8000,5,22,19,1018,83,,,,NIL,,,,
"['01:00', '07/03']",07/03 01:00,300,1,NIL,9999,NIL,NIL,NIL,8000,5,22,19,1019,83,,,NIL,,,,,
"['02:00', '07/03']",07/03 02:00,10,3,NIL,9999,NIL,NIL,NIL,8000,5,21,19,1019,88,,,NIL,,,,,
"['03:00', '07/03']",07/03 03:00,20,2,NIL,9999,NIL,NIL,NIL,7000,5,21,19,1018,88,,,NIL,,,,,
"['04:00', '07/03']",07/03 04:00,300,2,NIL,9999,NIL,NIL,1,7000,5,20,19,1018,94,,,NIL,,,,,
"['05:00', '07/03']",07/03 05:00,360,2,NIL,9999,NIL,NIL,1,8000,5,20,19,1017,94,,,NIL,,,,,
"['06:00', '07/03']",07/03 06:00,260,2,NIL,9999,NIL,NIL,1,10000,5,20,19,1017,94,,,NIL,,,,,
"['07:00', '07/03']",07/03 07:00,20,2,NIL,9999,NIL,NIL,NIL,10000,5,20,20,1016,100,,,NIL,,,,,
"['08:00', '07/03']",07/03 08:00,30,2,NIL,9999,NIL,NIL,NIL,700,5,22,20,1016,88,,,NIL,,,,,
"['09:00', '07/03']",07/03 09:00,0,0,NIL,9999,NIL,NIL,NIL,700,5,21,20,1016,94,,,NIL,,,,,
"['09:13', '07/03']",07/03 09:13,0,0,NIL,9999,NIL,NIL,NIL,10000,5,20,19,1016,94,,,NIL,,,,,
"['10:00', '07/03']",07/03 10:00,260,2,NIL,9999,NIL,NIL,NIL,10000,5,20,20,1016,100,,,NIL,,,,,
"['11:00', '07/03']",07/03 11:00,VRB,2,NIL,9999,NIL,NIL,NIL,10000,5,22,19,1017,83,,,NIL,,,,,
"['12:00', '07/03']",07/03 12:00,290,4,NIL,9999,NIL,NIL,NIL,800,5,22,20,1018,88,,,NIL,,,,,
"['13:00', '07/03']",07/03 13:00,30,2,NIL,9999,NIL,NIL,NIL,1500,5,25,20,1018,74,,,NIL,,,,,
"['14:00', '07/03']",07/03 14:00,350,4,NIL,9999,2000,0,1,2000,5,23,20,1018,83,,,1,,,,,
"['15:00', '07/03']",07/03 15:00,350,3,140,9999,2000,315,1,2500,5,24,19,1018,74,,,1,,,,,
"['16:00', '07/03']",07/03 16:00,310,4,130,9999,NIL,NIL,NIL,2000,5,26,20,1016,70,,,NIL,,,,,
"['17:00', '07/03']",07/03 17:00,270,4,270,9999,NIL,NIL,NIL,2500,5,26,20,1015,70,,,NIL,,,,,
"['18:00', '07/03']",07/03 18:00,270,3,245,9999,NIL,NIL,NIL,2500,5,26,20,1014,70,,,NIL,,,,,
"['19:00', '07/03']",07/03 19:00,300,6,300,9999,4000,45,1,2500,5,23,21,1014,89,,,1,,,,,
"['20:00', '07/03']",07/03 20:00,330,2,NIL,9999,NIL,NIL,1,2500,5,25,21,1014,79,,,1,,,,,
"['21:00', '07/03']",07/03 21:00,220,8,NIL,9999,NIL,NIL,1,9000,5,22,20,1015,88,,,NIL,,,,,
"['22:00', '07/03']",07/03 22:00,260,3,265,9999,NIL,NIL,1,10000,5,22,20,1016,88,,,NIL,,,,,
"['23:00', '07/03']",07/03 23:00,VRB,2,NIL,9999,NIL,NIL,1,10000,5,22,20,1016,88,,,NIL,,,,,
"['00:00', '08/03']",08/03 00:00,110,5,NIL,9999,NIL,NIL,NIL,10000,5,21,20,1017,94,,,NIL,,,,,
"['01:00', '08/03']",08/03 01:00,130,3,NIL,9999,NIL,NIL,NIL,1000,5,21,20,1018,94,NIL,,NIL,,,NIL,,
"['02:00', '08/03']",08/03 02:00,VRB,2,NIL,9999,NIL,NIL,NIL,10000,5,20,20,1018,100,NIL,,NIL,,,NIL,,
"['02:48', '08/03']",08/03 02:48,130,3,NIL,9999,3000,180,NIL,500,5,20,20,1017,100,NIL,,NIL,,,NIL,,
"['03:00', '08/03']",08/03 03:00,VRB,2,NIL,7000,2000,90,NIL,500,5,20,20,1017,100,NIL,,NIL,,,NIL,,
"['03:20', '08/03']",08/03 03:20,0,0,NIL,7000,3000,135,NIL,200,5,20,20,1017,100,NIL,,NIL,,,NIL,,
"['04:00', '08/03']",08/03 04:00,360,1,NIL,9999,NIL,NIL,NIL,200,5,20,20,1017,100,NIL,,NIL,,,NIL,,
"['04:08', '08/03']",08/03 04:08,0,0,NIL,9999,NIL,NIL,NIL,NIL,3,20,20,1017,100,NIL,,NIL,,,NIL,,
"['05:00', '08/03']",08/03 05:00,270,1,NIL,9999,NIL,NIL,NIL,NIL,3,20,20,1017,100,NIL,,NIL,,,NIL,,
"['06:00', '08/03']",08/03 06:00,230,2,NIL,8000,1500,180,NIL,NIL,3,20,20,1016,100,NIL,,NIL,,,NIL,,
"['07:00', '08/03']",08/03 07:00,180,2,NIL,9999,NIL,NIL,NIL,10000,5,20,20,1016,100,NIL,,NIL,,,NIL,,
"['08:00', '08/03']",08/03 08:00,30,1,NIL,9999,NIL,NIL,NIL,NIL,3,20,20,1016,100,NIL,,NIL,,,NIL,,
"['09:00', '08/03']",08/03 09:00,210,3,NIL,9999,NIL,NIL,NIL,10000,5,20,19,1016,94,NIL,,NIL,,,NIL,,
"['10:00', '08/03']",08/03 10:00,170,2,NIL,9999,NIL,NIL,NIL,NIL,3,21,19,1017,88,NIL,,NIL,,,1,,
"['11:00', '08/03']",08/03 11:00,VRB,2,NIL,9999,NIL,NIL,NIL,NIL,3,23,20,1018,83,NIL,,NIL,,,NIL,,
"['12:00', '08/03']",08/03 12:00,90,6,90,9999,NIL,NIL,NIL,NIL,3,23,20,1019,83,NIL,,NIL,,,NIL,,
"['13:00', '08/03']",08/03 13:00,70,5,75,9999,NIL,NIL,NIL,1800,5,24,20,1019,78,NIL,,NIL,,,NIL,,
"['14:00', '08/03']",08/03 14:00,80,6,65,9999,NIL,NIL,NIL,2500,5,26,20,1019,70,NIL,,NIL,,,NIL,,
"['15:00', '08/03']",08/03 15:00,130,3,135,9999,NIL,NIL,NIL,3000,5,27,18,1018,58,NIL,,NIL,,,NIL,,
"['16:00', '08/03']",08/03 16:00,90,4,105,9999,NIL,NIL,NIL,3500,5,28,20,1017,62,NIL,,NIL,,,NIL,,
"['17:00', '08/03']",08/03 17:00,90,8,NIL,9999,NIL,NIL,NIL,4000,5,28,19,1016,58,NIL,,NIL,,,NIL,,
"['18:00', '08/03']",08/03 18:00,150,9,155,9999,NIL,NIL,NIL,4000,5,28,18,1015,55,NIL,,NIL,,,NIL,,
"['19:00', '08/03']",08/03 19:00,160,7,165,9999,NIL,NIL,NIL,4000,5,29,18,1014,52,NIL,,NIL,,,NIL,,
"['20:00', '08/03']",08/03 20:00,150,8,140,9999,NIL,NIL,NIL,4000,5,29,18,1014,52,NIL,,NIL,,,NIL,,
"['21:00', '08/03']",08/03 21:00,90,4,90,9999,NIL,NIL,NIL,4000,5,28,18,1015,55,NIL,,NIL,,,NIL,,
"['22:00', '08/03']",08/03 22:00,120,5,130,9999,NIL,NIL,NIL,NIL,3,27,18,1016,58,NIL,,NIL,,,NIL,,
"['23:00', '08/03']",08/03 23:00,150,5,145,9999,NIL,NIL,NIL,NIL,3,25,20,1017,74,NIL,,NIL,,,NIL,,
"['23:10', '08/03']",08/03 23:10,150,16,NIL,4000,NIL,NIL,1,2500,5,21,21,1018,100,31,,1,,,NIL,,
"['23:25', '08/03']",08/03 23:25,150,7,160,8000,NIL,NIL,1,2500,5,22,21,1018,94,NIL,,1,,,NIL,,
"['00:00', '09/03']",09/03 00:00,140,7,140,9999,NIL,NIL,1,2000,5,23,21,1019,89,NIL,,1,,,NIL,,
"['01:00', '09/03']",09/03 01:00,140,4,145,9999,,,,3000,5,22,20,1019,88,,,,,,,,
"['02:00', '09/03']",09/03 02:00,90,6,NIL,9999,,,,1000,5,22,20,1020,88,,,,,,,,
"['03:00', '09/03']",09/03 03:00,50,6,50,9999,,,,1300,5,21,20,1019,94,,,,,,,,
"['04:00', '09/03']",09/03 04:00,VRB,1,NIL,9999,,,,10000,5,21,20,1019,94,,,,,,,,
"['05:00', '09/03']",09/03 05:00,130,2,NIL,9999,,,,10000,5,21,20,1018,94,,,,,,,,
"['06:00', '09/03']",09/03 06:00,10,1,NIL,9999,,,,10000,5,22,20,1018,88,,,,,,,,
"['07:00', '09/03']",09/03 07:00,VRB,2,NIL,9999,,,,10000,5,21,20,1018,94,,,,,,,,
"['08:00', '09/03']",09/03 08:00,180,3,NIL,9999,,,,10000,5,21,20,1018,94,,,,,,,,
"['09:00', '09/03']",09/03 09:00,VRB,2,NIL,9999,,,,10000,5,21,20,1018,94,,,,,,,,
"['10:00', '09/03']",09/03 10:00,180,2,NIL,9999,,,,10000,5,21,20,1019,94,,,,,,,,
"['11:00', '09/03']",09/03 11:00,0,0,NIL,9999,,,,10000,5,22,20,1020,88,,,,,,,,
"['12:00', '09/03']",09/03 12:00,200,2,NIL,9999,,,,10000,5,24,20,1020,78,,,,,,,,
"['13:00', '09/03']",09/03 13:00,70,4,NIL,9999,,,,10000,5,25,20,1020,74,,,,,,,,
"['14:00', '09/03']",09/03 14:00,50,5,NIL,9999,,,,10000,5,25,19,1021,69,,,,,,,,
"['15:00', '09/03']",09/03 15:00,110,6,NIL,9999,,,,10000,5,26,19,1020,65,,,,,,,,
"['16:00', '09/03']",09/03 16:00,70,6,NIL,9999,,,,3300,5,27,19,1020,62,,,,,,,,
"['17:00', '09/03']",09/03 17:00,70,6,NIL,9999,,,,10000,5,27,18,1019,58,,,,,,,,
"['18:00', '09/03']",09/03 18:00,90,7,90,9999,,,,4000,5,27,18,1017,58,,,,,,,,
"['19:00', '09/03']",09/03 19:00,70,6,70,9999,,,,NIL,3,27,18,1017,58,,,,,,,,
"['20:00', '09/03']",09/03 20:00,80,8,90,9999,,,,NIL,3,27,19,1016,62,,,,,,,,
"['21:00', '09/03']",09/03 21:00,80,7,NIL,9999,,,,NIL,3,26,20,1017,70,,,,,,,,
"['22:00', '09/03']",09/03 22:00,80,8,NIL,9999,,,,NIL,3,25,20,1017,74,,,,,,,,
"['23:00', '09/03']",09/03 23:00,70,6,NIL,9999,,,,NIL,NIL,24,19,1018,74,,,,,,,,
"['00:00', '10/03']",10/03 00:00,80,7,NIL,9999,,,,NIL,NIL,24,19,1019,74,,,,,,,,
"['01:00', '10/03']",10/03 01:00,120,4,120,9999,,,,NIL,NIL,24,20,1020,78,,,,,,,,
"['02:00', '10/03']",10/03 02:00,90,4,NIL,9999,,,,NIL,NIL,23,20,1020,83,,,,,,,,
"['03:00', '10/03']",10/03 03:00,90,6,NIL,9999,,,,NIL,NIL,23,20,1019,83,,,,,,,,
"['04:00', '10/03']",10/03 04:00,100,2,NIL,9999,,,,NIL,NIL,22,20,1019,88,,,,,,,,
"['05:00', '10/03']",10/03 05:00,60,4,NIL,9999,,,,NIL,NIL,21,20,1018,94,,,,,,,,
"['06:00', '10/03']",10/03 06:00,120,5,NIL,9999,,,,NIL,NIL,22,20,1018,88,,,,,,,,
"['07:00', '10/03']",10/03 07:00,70,5,NIL,9999,,,,NIL,NIL,21,20,1018,94,,,,,,,,
"['08:00', '10/03']",10/03 08:00,80,3,NIL,9999,,,,NIL,NIL,21,20,1018,94,,,,,,,,
"['09:00', '10/03']",10/03 09:00,120,1,NIL,9999,,,,NIL,3,21,19,1018,88,,,,,,,,
"['10:00', '10/03']",10/03 10:00,80,6,NIL,9999,,,,NIL,3,21,20,1019,94,,,,,,,,
"['11:00', '10/03']",10/03 11:00,80,8,NIL,9999,,,,800,5,22,20,1020,88,,,,,,,,
"['12:00', '10/03']",10/03 12:00,60,8,NIL,9999,,,,1200,5,23,20,1020,83,,,,,,,,
"['13:00', '10/03']",10/03 13:00,70,9,NIL,9999,,,,1700,5,25,20,1021,74,,,,,,,,
"['14:00', '10/03']",10/03 14:00,70,10,NIL,9999,,,,2000,5,26,19,1020,65,,,,,,,,
"['15:00', '10/03']",10/03 15:00,90,7,90,9999,,,,3000,5,27,19,1020,62,,,,,,,,
"['16:00', '10/03']",10/03 16:00,100,8,105,9999,,,,3000,5,27,19,1019,62,,,,,,,,
"['17:00', '10/03']",10/03 17:00,80,8,85,9999,,,,3000,5,29,18,1017,52,,,,,,,,
"['18:00', '10/03']",10/03 18:00,100,9,NIL,9999,,,,4000,5,28,19,1017,58,,,,,,,,
"['19:00', '10/03']",10/03 19:00,110,9,NIL,9999,,,,NIL,3,28,18,1016,55,,,,,,,,
"['20:00', '10/03']",10/03 20:00,90,9,NIL,9999,,,,10000,5,27,20,1016,66,,,,,,,,
"['21:00', '10/03']",10/03 21:00,80,9,NIL,9999,,,,10000,5,27,20,1016,66,,,,,,,,
"['22:00', '10/03']",10/03 22:00,90,8,NIL,9999,,,,10000,5,26,19,1017,65,,,,,,,,
"['23:00', '10/03']",10/03 23:00,100,9,NIL,9999,,,,NIL,NIL,25,19,1018,69,,,,,,,,
"['00:00', '11/03']",11/03 00:00,90,8,NIL,9999,,,,NIL,NIL,23,19,1018,78,,,,,,,,
"['01:00', '11/03']",11/03 01:00,100,5,NIL,9999,,,,NIL,3,24,19,1019,74,,,,,,,,
"['02:00', '11/03']",11/03 02:00,80,6,NIL,9999,,,,NIL,3,22,19,1019,83,,,,,,,,
"['03:00', '11/03']",11/03 03:00,90,6,NIL,9999,,,,NIL,NIL,22,19,1018,83,,,,,,,,
"['04:00', '11/03']",11/03 04:00,90,8,NIL,9999,,,,NIL,NIL,22,20,1018,88,,,,,,,,
"['05:00', '11/03']",11/03 05:00,60,5,NIL,9999,,,,NIL,2,22,20,1018,88,,,,,,,,
"['06:00', '11/03']",11/03 06:00,50,8,NIL,9999,,,,NIL,3,22,20,1017,88,,,,,,,,
"['07:00', '11/03']",11/03 07:00,80,6,NIL,9999,,,,NIL,3,21,19,1016,88,,,,,,,,
"['08:00', '11/03']",11/03 08:00,60,4,NIL,9999,,,,NIL,3,21,19,1017,88,,,,,,,,
"['09:00', '11/03']",11/03 09:00,100,5,NIL,9999,,,,10000,5,21,19,1017,88,,,,,,,,
"['10:00', '11/03']",11/03 10:00,80,5,NIL,9999,,,,10000,5,21,19,1017,88,,,,,,,,
"['10:13', '11/03']",11/03 10:13,70,6,NIL,9999,,,,1100,5,21,20,1018,94,,,,,,,,
"['11:00', '11/03']",11/03 11:00,70,6,NIL,9999,,,,1000,5,22,20,1018,88,,,,,,,,
"['12:00', '11/03']",11/03 12:00,70,11,NIL,9999,,,,1400,5,24,19,1019,74,,,,,,,,
"['12:26', '11/03']",11/03 12:26,60,10,50,9999,,,,1500,5,24,19,1019,74,,,,,,,,
"['13:00', '11/03']",11/03 13:00,70,8,NIL,9999,,,,1700,5,24,19,1019,74,,,,,,,,
"['14:00', '11/03']",11/03 14:00,60,11,55,9999,,,,2000,5,25,19,1019,69,,,,,,,,
"['15:00', '11/03']",11/03 15:00,60,9,70,9999,,,,2500,5,26,19,1018,65,,,,,,,,
"['16:00', '11/03']",11/03 16:00,50,9,225,9999,,,,3000,5,27,18,1018,58,,,,,,,,
"['17:00', '11/03']",11/03 17:00,50,7,230,9999,,,,3000,5,28,18,1016,55,,,,,,,,
"['18:00', '11/03']",11/03 18:00,VRB,5,NIL,9999,,,,3000,5,29,17,1015,48,,,,,,,,
"['19:00', '11/03']",11/03 19:00,90,5,85,9999,,,,NIL,3,29,17,1015,48,,,,,,,,
"['20:00', '11/03']",11/03 20:00,110,8,NIL,9999,,,,NIL,3,29,18,1014,52,,,,,,,,
"['21:00', '11/03']",11/03 21:00,50,8,NIL,9999,,,,NIL,3,26,20,1015,70,,,,,,,,
"['22:00', '11/03']",11/03 22:00,60,8,NIL,9999,,,,NIL,3,25,20,1016,74,,,,,,,,
"['23:00', '11/03']",11/03 23:00,60,8,NIL,9999,,,,NIL,3,24,20,1016,78,,,,,,,,
"['00:00', '12/03']",12/03 00:00,50,7,NIL,9999,,,,NIL,3,24,20,1018,78,,,,,,,,
"['01:00', '12/03']",12/03 01:00,40,4,40,9999,NIL,NIL,NIL,NIL,3,23,21,1018,89,,,NIL,,,,,
"['02:00', '12/03']",12/03 02:00,50,3,NIL,9999,NIL,NIL,NIL,NIL,2,23,20,1018,83,,,NIL,,,,,
"['03:00', '12/03']",12/03 03:00,60,3,NIL,9999,NIL,NIL,NIL,NIL,NIL,23,20,1019,83,,,NIL,,,,,
"['04:00', '12/03']",12/03 04:00,60,4,NIL,9999,NIL,NIL,NIL,NIL,NIL,22,20,1018,88,,,NIL,,,,,
"['05:00', '12/03']",12/03 05:00,90,4,NIL,9999,NIL,NIL,NIL,10000,5,22,20,1018,88,,,NIL,,,,,
"['06:00', '12/03']",12/03 06:00,80,6,NIL,9999,NIL,NIL,NIL,10000,5,21,20,1017,94,,,NIL,,,,,
"['07:00', '12/03']",12/03 07:00,80,2,NIL,9999,NIL,NIL,NIL,10000,5,21,20,1017,94,,,NIL,,,,,
"['08:00', '12/03']",12/03 08:00,130,4,NIL,9999,NIL,NIL,NIL,700,5,21,20,1017,94,,,NIL,,,,,
"['09:00', '12/03']",12/03 09:00,80,4,NIL,9999,NIL,NIL,NIL,1000,5,21,20,1018,94,,,NIL,,,,,
"['09:18', '12/03']",12/03 09:18,100,5,NIL,9999,NIL,NIL,NIL,10000,5,21,20,1018,94,,,NIL,,,,,
"['10:00', '12/03']",12/03 10:00,110,5,NIL,9999,NIL,NIL,NIL,10000,5,21,20,1018,94,,,NIL,,,,,
"['10:12', '12/03']",12/03 10:12,90,6,90,9999,NIL,NIL,NIL,900,5,21,20,1019,94,,,NIL,,,,,
"['11:00', '12/03']",12/03 11:00,90,7,NIL,9999,NIL,NIL,NIL,600,5,22,20,1019,88,,,NIL,,,,,
"['12:00', '12/03']",12/03 12:00,50,8,NIL,9999,NIL,NIL,NIL,1000,5,23,20,1020,83,,,NIL,,,,,
"['12:28', '12/03']",12/03 12:28,60,10,65,9999,NIL,NIL,NIL,1500,5,25,20,1020,74,,,NIL,,,,,
"['13:00', '12/03']",12/03 13:00,70,11,NIL,9999,NIL,NIL,NIL,1700,5,25,20,1020,74,,,NIL,,,,,
"['14:00', '12/03']",12/03 14:00,80,9,75,9999,NIL,NIL,NIL,2000,5,27,21,1020,70,,,NIL,,,,,
"['15:00', '12/03']",12/03 15:00,60,7,NIL,9999,NIL,NIL,NIL,2500,5,26,19,1019,65,,,NIL,,,,,
"['16:00', '12/03']",12/03 16:00,40,7,215,9999,NIL,NIL,NIL,3000,5,28,20,1018,62,,,NIL,,,,,
"['17:00', '12/03']",12/03 17:00,40,9,215,9999,NIL,NIL,NIL,3500,5,27,19,1017,62,,,NIL,,,,,
"['17:29', '12/03']",12/03 17:29,70,10,NIL,9999,2000,270,1,3000,5,25,21,1017,79,,,1,,,,,
"['18:00', '12/03']",12/03 18:00,60,10,NIL,9999,NIL,NIL,1,3000,5,26,20,1017,70,,,1,,,,,
"['19:00', '12/03']",12/03 19:00,40,12,NIL,9999,NIL,NIL,NIL,3000,5,26,19,1016,65,,,NIL,,,,,
"['20:00', '12/03']",12/03 20:00,50,9,50,9999,NIL,NIL,NIL,8000,5,26,19,1016,65,,,NIL,,,,,
"['21:00', '12/03']",12/03 21:00,30,5,NIL,9999,NIL,NIL,NIL,9000,5,25,19,1016,69,,,NIL,,,,,
"['22:00', '12/03']",12/03 22:00,70,4,65,9999,NIL,NIL,NIL,NIL,3,25,19,1017,69,,,NIL,,,,,
"['23:00', '12/03']",12/03 23:00,VRB,2,NIL,9999,NIL,NIL,NIL,NIL,3,24,20,1018,78,,,NIL,,,,,
"['00:00', '13/03']",13/03 00:00,70,3,NIL,9999,NIL,NIL,NIL,NIL,2,23,20,1018,83,,,NIL,,,,,
"['01:00', '13/03']",13/03 01:00,160,3,170,9999,,,,NIL,2,23,20,1019,83,,,,,,,,
"['02:00', '13/03']",13/03 02:00,80,3,80,9999,,,,NIL,2,22,19,1019,83,,,,,,,,
"['03:00', '13/03']",13/03 03:00,VRB,2,NIL,9999,,,,NIL,3,22,19,1019,83,,,,,,,,
"['04:00', '13/03']",13/03 04:00,260,3,NIL,9999,,,,NIL,3,21,19,1019,88,,,,,,,,
"['05:00', '13/03']",13/03 05:00,180,2,NIL,9999,,,,NIL,3,22,19,1018,83,,,,,,,,
"['06:00', '13/03']",13/03 06:00,180,3,NIL,9999,,,,NIL,3,21,19,1018,88,,,,,,,,
"['07:00', '13/03']",13/03 07:00,250,1,NIL,9999,,,,NIL,3,20,19,1018,94,,,,,,,,
"['08:00', '13/03']",13/03 08:00,90,2,NIL,9999,,,,NIL,3,21,19,1018,88,,,,,,,,
"['09:00', '13/03']",13/03 09:00,90,4,NIL,9999,,,,800,5,21,20,1018,94,,,,,,,,
"['10:00', '13/03']",13/03 10:00,90,5,NIL,9999,,,,700,5,21,20,1019,94,,,,,,,,
"['11:00', '13/03']",13/03 11:00,120,5,115,9999,,,,800,5,22,20,1019,88,,,,,,,,
"['12:00', '13/03']",13/03 12:00,90,10,NIL,9999,,,,1100,5,23,20,1020,83,,,,,,,,
"['13:00', '13/03']",13/03 13:00,90,10,85,9999,,,,1500,5,24,19,1020,74,,,,,,,,
"['14:00', '13/03']",13/03 14:00,70,6,205,9999,,,,2000,5,26,19,1020,65,,,,,,,,
"['15:00', '13/03']",13/03 15:00,50,9,240,9999,,,,3000,5,28,20,1020,62,,,,,,,,
"['16:00', '13/03']",13/03 16:00,90,10,NIL,9999,,,,3500,5,27,19,1019,62,,,,,,,,
"['17:00', '13/03']",13/03 17:00,80,11,NIL,9999,,,,3500,5,28,19,1018,58,,,,,,,,
"['18:00', '13/03']",13/03 18:00,90,11,80,9999,,,,3500,5,29,19,1018,55,,,,,,,,
"['19:00', '13/03']",13/03 19:00,90,11,90,9999,,,,3500,5,28,18,1017,55,,,,,,,,
"['20:00', '13/03']",13/03 20:00,90,13,NIL,9999,,,,NIL,3,28,19,1016,58,,,,,,,,
"['21:00', '13/03']",13/03 21:00,90,11,NIL,9999,,,,NIL,3,27,19,1017,62,,,,,,,,
"['22:00', '13/03']",13/03 22:00,100,7,NIL,9999,,,,NIL,3,25,19,1017,69,,,,,,,,
"['23:00', '13/03']",13/03 23:00,80,7,NIL,9999,,,,NIL,2,24,19,1018,74,,,,,,,,
"['00:00', '14/03']",14/03 00:00,70,6,NIL,9999,,,,NIL,NIL,24,19,1019,74,,,,,,,,
"['01:00', '14/03']",14/03 01:00,70,6,NIL,9999,,,,NIL,NIL,23,19,1019,78,,,,,,,,
"['02:00', '14/03']",14/03 02:00,100,7,NIL,9999,,,,NIL,NIL,23,19,1019,78,,,,,,,,
"['03:00', '14/03']",14/03 03:00,VRB,2,NIL,9999,,,,NIL,NIL,22,19,1020,83,,,,,,,,
"['04:00', '14/03']",14/03 04:00,100,3,NIL,9999,,,,NIL,NIL,22,19,1019,83,,,,,,,,
"['05:00', '14/03']",14/03 05:00,90,5,NIL,9999,,,,NIL,NIL,22,19,1019,83,,,,,,,,
"['06:00', '14/03']",14/03 06:00,60,4,NIL,9999,,,,NIL,NIL,22,19,1019,83,,,,,,,,
"['07:00', '14/03']",14/03 07:00,70,4,NIL,9999,,,,NIL,NIL,21,19,1018,88,,,,,,,,
"['08:00', '14/03']",14/03 08:00,70,6,NIL,9999,,,,NIL,NIL,22,19,1018,83,,,,,,,,
"['09:00', '14/03']",14/03 09:00,80,8,NIL,9999,,,,NIL,2,21,19,1019,88,,,,,,,,
"['10:00', '14/03']",14/03 10:00,90,6,NIL,9999,,,,NIL,2,22,19,1019,83,,,,,,,,
"['11:00', '14/03']",14/03 11:00,70,12,NIL,9999,,,,NIL,2,23,19,1020,78,,,,,,,,
"['12:00', '14/03']",14/03 12:00,60,12,NIL,9999,,,,1500,5,24,19,1021,74,,,,,,,,
"['13:00', '14/03']",14/03 13:00,60,12,NIL,9999,,,,1900,5,25,20,1021,74,,,,,,,,
"['14:00', '14/03']",14/03 14:00,80,9,NIL,9999,,,,3000,5,27,19,1021,62,,,,,,,,
"['15:00', '14/03']",14/03 15:00,50,10,NIL,9999,,,,3500,5,28,19,1020,58,,,,,,,,
"['16:00', '14/03']",14/03 16:00,80,10,NIL,9999,,,,3500,5,28,19,1019,58,,,,,,,,
"['17:00', '14/03']",14/03 17:00,50,8,NIL,9999,,,,4000,5,29,19,1019,55,,,,,,,,
"['18:00', '14/03']",14/03 18:00,50,12,55,9999,,,,4000,5,29,18,1017,52,,,,,,,,
"['19:00', '14/03']",14/03 19:00,30,9,NIL,9999,,,,4000,5,28,20,1016,62,,,,,,,,
"['20:00', '14/03']",14/03 20:00,60,8,NIL,9999,,,,NIL,3,28,17,1016,51,,,,,,,,
"['21:00', '14/03']",14/03 21:00,50,5,220,9999,,,,NIL,3,27,18,1017,58,,,,,,,,
"['22:00', '14/03']",14/03 22:00,90,7,NIL,9999,,,,NIL,3,26,18,1018,61,,,,,,,,
"['23:00', '14/03']",14/03 23:00,90,7,NIL,9999,,,,NIL,2,25,19,1019,69,,,,,,,,
