validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuva,teto,cobertura,tt,po,qnh,ur,vnt_rajada,trovoada,pancada,nevoa_umida,chuvisco,nevoeiro,nevoa_seca,fumaca
"['21:00', '26/05']",26/05 21:00,300,6,NIL,9999,NIL,NIL,,NIL,2,22,13,1018,57,,,,,,NIL,,
"['22:00', '26/05']",26/05 22:00,190,4,NIL,9999,NIL,NIL,,NIL,NIL,21,13,1019,60,,,,,,NIL,,
"['23:00', '26/05']",26/05 23:00,180,4,NIL,9999,NIL,NIL,,NIL,NIL,19,13,1019,68,,,,,,NIL,,
"['00:00', '27/05']",27/05 00:00,170,4,NIL,9999,NIL,NIL,,NIL,NIL,18,11,1020,64,,,,,,NIL,,
"['01:00', '27/05']",27/05 01:00,VRB,2,NIL,9999,,,,,,18,08,1020,52,,,,,,,,
"['02:00', '27/05']",27/05 02:00,VRB,2,NIL,9999,,,,,,16,09,1021,63,,,,,,,,
"['03:00', '27/05']",27/05 03:00,0,0,NIL,9999,,,,,,14,10,1020,77,,,,,,,,
"['04:00', '27/05']",27/05 04:00,260,1,NIL,9999,,,,,,14,10,1020,77,,,,,,,,
"['05:00', '27/05']",27/05 05:00,170,2,NIL,9999,,,,,,13,09,1020,77,,,,,,,,
"['06:00', '27/05']",27/05 06:00,210,3,NIL,9999,,,,,,12,08,1020,76,,,,,,,,
"['07:00', '27/05']",27/05 07:00,220,2,NIL,9999,,,,,,11,08,1019,82,,,,,,,,
"['08:00', '27/05']",27/05 08:00,190,1,NIL,9999,,,,,,11,08,1019,82,,,,,,,,
"['09:00', '27/05']",27/05 09:00,270,3,NIL,9999,,,,,,10,07,1020,82,,,,,,,,
"['10:00', '27/05']",27/05 10:00,200,5,NIL,9999,,,,,,11,08,1020,82,,,,,,,,
"['11:00', '27/05']",27/05 11:00,VRB,2,NIL,9999,,,,,,13,09,1021,77,,,,,,,,
"['12:00', '27/05']",27/05 12:00,VRB,2,NIL,9999,,,,,,17,09,1021,59,,,,,,,,
"['13:00', '27/05']",27/05 13:00,VRB,2,NIL,9999,,,,,,20,09,1022,49,,,,,,,,
"['14:00', '27/05']",27/05 14:00,VRB,2,NIL,9999,,,,,,22,10,1021,46,,,,,,,,
"['15:00', '27/05']",27/05 15:00,280,3,275,9999,,,,,,25,11,1020,41,,,,,,,,
"['16:00', '27/05']",27/05 16:00,270,14,NIL,9999,,,,,,27,08,1019,30,,,,,,,,
"['17:00', '27/05']",27/05 17:00,310,9,305,9999,,,,,,28,09,1019,30,,,,,,,,
"['18:00', '27/05']",27/05 18:00,290,11,NIL,9999,,,,,,28,08,1019,28,,,,,,,,
"['19:00', '27/05']",27/05 19:00,280,8,285,9999,,,,,,27,10,1018,34,,,,,,,,
"['20:00', '27/05']",27/05 20:00,300,7,NIL,9999,,,,,,26,09,1019,34,,,,,,,,
"['21:00', '27/05']",27/05 21:00,VRB,1,NIL,9999,,,,,,25,08,1019,34,,,,,,,,
"['22:00', '27/05']",27/05 22:00,150,4,155,9999,,,,,,22,10,1019,46,,,,,,,,
"['23:00', '27/05']",27/05 23:00,VRB,2,NIL,9999,,,,,,21,10,1020,49,,,,,,,,
"['00:00', '28/05']",28/05 00:00,VRB,2,NIL,9999,,,,,,19,11,1020,60,,,,,,,,
"['01:00', '28/05']",28/05 01:00,VRB,2,NIL,9999,,,,,,16,11,1021,72,,,,,,,,
"['02:00', '28/05']",28/05 02:00,VRB,2,NIL,9999,,,,,,16,11,1021,72,,,,,,,,
"['03:00', '28/05']",28/05 03:00,VRB,2,NIL,9999,,,,,,15,11,1021,77,,,,,,,,
"['04:00', '28/05']",28/05 04:00,250,3,NIL,9999,,,,,,13,11,1021,88,,,,,,,,
"['05:00', '28/05']",28/05 05:00,VRB,1,NIL,9999,,,,,,13,10,1020,82,,,,,,,,
"['06:00', '28/05']",28/05 06:00,200,2,NIL,9999,,,,,,13,10,1020,82,,,,,,,,
"['07:00', '28/05']",28/05 07:00,0,0,NIL,9999,,,,,,12,10,1020,88,,,,,,,,
"['08:00', '28/05']",28/05 08:00,0,0,NIL,9999,,,,,,11,10,1020,94,,,,,,,,
"['09:00', '28/05']",28/05 09:00,VRB,1,NIL,9999,,,,,,10,09,1020,93,,,,,,,,
"['10:00', '28/05']",28/05 10:00,260,4,NIL,9999,,,,,,11,09,1021,87,,,,,,,,
"['11:00', '28/05']",28/05 11:00,0,0,NIL,9999,,,,,,14,11,1022,82,,,,,,,,
"['12:00', '28/05']",28/05 12:00,0,0,NIL,9999,,,,,,18,12,1022,68,,,,,,,,
"['13:00', '28/05']",28/05 13:00,70,5,65,9999,,,,,,21,10,1022,49,,,,,,,,
"['14:00', '28/05']",28/05 14:00,80,4,245,9999,,,,,,23,11,1022,47,,,,,,,,
"['15:00', '28/05']",28/05 15:00,50,4,200,9999,,,,,,24,11,1021,44,,,,,,,,
"['16:00', '28/05']",28/05 16:00,60,4,250,9999,,,,,,24,11,1021,44,,,,,,,,
"['17:00', '28/05']",28/05 17:00,VRB,3,NIL,9999,,,,,,26,08,1020,32,,,,,,,,
"['18:00', '28/05']",28/05 18:00,VRB,3,NIL,9999,,,,,,26,07,1019,30,,,,,,,,
"['19:00', '28/05']",28/05 19:00,50,4,220,9999,,,,,,27,09,1019,32,,,,,,,,
"['20:00', '28/05']",28/05 20:00,90,4,NIL,9999,,,,,,26,08,1019,32,,,,,,,,
"['21:00', '28/05']",28/05 21:00,130,6,125,9999,,,,,,24,12,1020,47,,,,,,,,
"['22:00', '28/05']",28/05 22:00,110,7,NIL,9999,,,,,,21,12,1020,56,,,,,,,,
"['23:00', '28/05']",28/05 23:00,VRB,1,NIL,9999,,,,,,19,12,1021,64,,,,,,,,
"['00:00', '29/05']",29/05 00:00,130,4,NIL,9999,,,,,,20,10,1022,53,,,,,,,,
"['01:00', '29/05']",29/05 01:00,VRB,2,NIL,9999,NIL,NIL,,,,16,12,1022,77,,,,,,,,
"['02:00', '29/05']",29/05 02:00,0,0,NIL,9999,NIL,NIL,,,,16,11,1022,72,,,,,,,,
"['03:00', '29/05']",29/05 03:00,170,5,NIL,9999,NIL,NIL,,,,17,11,1022,68,,,,,,,,
"['04:00', '29/05']",29/05 04:00,VRB,2,NIL,9999,NIL,NIL,,,,13,10,1022,82,,,,,,,,
"['05:00', '29/05']",29/05 05:00,280,3,NIL,9999,NIL,NIL,,,,12,10,1021,88,,,,,,,,
"['06:00', '29/05']",29/05 06:00,VRB,1,NIL,9999,NIL,NIL,,,,12,10,1021,88,,,,,,,,
"['07:00', '29/05']",29/05 07:00,VRB,2,NIL,9999,NIL,NIL,,,,14,10,1021,77,,,,,,,,
"['08:00', '29/05']",29/05 08:00,280,4,NIL,9999,NIL,NIL,,,,10,09,1021,93,,,,,,,,
"['09:00', '29/05']",29/05 09:00,VRB,2,NIL,9999,NIL,NIL,,,,11,09,1022,87,,,,,,,,
"['10:00', '29/05']",29/05 10:00,VRB,1,NIL,9999,NIL,NIL,,,,10,08,1022,87,,,,,,,,
"['11:00', '29/05']",29/05 11:00,290,1,NIL,9999,NIL,NIL,,,,13,09,1023,77,,,,,,,,
