validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoa_umida,vnt_rajada,pancada
"['02:00', '13/02']",13/02 02:00,90,9,NIL,9999,NIL,,NIL,2,28,25,1014,84,NIL,,NIL
"['03:00', '13/02']",13/02 03:00,100,8,NIL,9999,NIL,,NIL,3,28,25,1013,84,NIL,,NIL
"['04:00', '13/02']",13/02 04:00,100,7,NIL,9999,NIL,,NIL,3,28,25,1013,84,NIL,,NIL
"['05:00', '13/02']",13/02 05:00,90,7,NIL,9999,NIL,,NIL,3,28,25,1012,84,NIL,,NIL
"['06:00', '13/02']",13/02 06:00,100,7,NIL,9999,NIL,,NIL,3,28,24,1012,79,NIL,,NIL
"['07:00', '13/02']",13/02 07:00,80,5,NIL,9999,NIL,,NIL,3,27,24,1012,84,NIL,,NIL
"['08:00', '13/02']",13/02 08:00,320,3,NIL,9999,NIL,,1700,5,26,23,1012,84,NIL,,NIL
"['09:00', '13/02']",13/02 09:00,270,4,NIL,5000,1,,1700,5,25,22,1013,83,1,,1
"['09:15', '13/02']",13/02 09:15,270,6,NIL,8000,1,,1700,5,25,22,1013,83,NIL,,1
"['10:00', '13/02']",13/02 10:00,240,4,235,9999,NIL,,NIL,3,26,23,1013,84,NIL,,NIL
"['11:00', '13/02']",13/02 11:00,240,4,250,9999,NIL,,NIL,3,27,24,1013,84,NIL,,NIL
"['12:00', '13/02']",13/02 12:00,170,8,170,9999,NIL,,2000,5,28,25,1014,84,NIL,,NIL
"['13:00', '13/02']",13/02 13:00,140,6,130,9999,NIL,,NIL,3,29,25,1014,79,NIL,,NIL
"['14:00', '13/02']",13/02 14:00,140,5,140,9999,NIL,,NIL,3,30,27,1014,84,NIL,,NIL
"['15:00', '13/02']",13/02 15:00,150,9,150,9999,NIL,,NIL,3,30,26,1013,79,NIL,,NIL
"['16:00', '13/02']",13/02 16:00,130,8,125,9999,NIL,,NIL,3,30,27,1013,84,NIL,,NIL
"['17:00', '13/02']",13/02 17:00,140,10,140,9999,NIL,,NIL,3,30,27,1012,84,NIL,,NIL
"['18:00', '13/02']",13/02 18:00,120,11,85,9999,NIL,,NIL,3,30,27,1011,84,NIL,,NIL
"['19:00', '13/02']",13/02 19:00,120,10,120,9999,NIL,,NIL,3,30,27,1011,84,NIL,,NIL
"['20:00', '13/02']",13/02 20:00,120,9,120,9999,NIL,,NIL,3,30,26,1012,79,NIL,,NIL
"['21:00', '13/02']",13/02 21:00,110,8,NIL,9999,NIL,,NIL,3,29,26,1012,84,NIL,,NIL
"['22:00', '13/02']",13/02 22:00,100,9,NIL,9999,NIL,,NIL,3,29,25,1012,79,NIL,,NIL
"['23:00', '13/02']",13/02 23:00,100,10,NIL,9999,NIL,,NIL,3,29,25,1013,79,NIL,,NIL
"['00:00', '14/02']",14/02 00:00,100,10,NIL,9999,NIL,,NIL,2,29,25,1013,79,NIL,,NIL
"['01:00', '14/02']",14/02 01:00,90,10,NIL,9999,NIL,,NIL,2,29,25,1014,79,,,
"['02:00', '14/02']",14/02 02:00,90,10,NIL,9999,NIL,,NIL,2,29,25,1014,79,,,
"['03:00', '14/02']",14/02 03:00,80,10,NIL,9999,NIL,,NIL,2,28,25,1014,84,,,
"['04:00', '14/02']",14/02 04:00,90,9,NIL,9999,NIL,,2000,5,28,25,1013,84,,,
"['05:00', '14/02']",14/02 05:00,110,6,NIL,9999,NIL,,2000,5,28,25,1013,84,,,
"['06:00', '14/02']",14/02 06:00,100,7,NIL,9999,NIL,,NIL,3,28,25,1012,84,,,
"['07:00', '14/02']",14/02 07:00,90,7,NIL,9999,NIL,,NIL,2,28,25,1012,84,,,
"['08:00', '14/02']",14/02 08:00,100,6,NIL,9999,NIL,,NIL,2,28,25,1013,84,,,
"['09:00', '14/02']",14/02 09:00,90,5,NIL,9999,NIL,,NIL,3,28,25,1013,84,,,
"['10:00', '14/02']",14/02 10:00,80,6,NIL,9999,NIL,,7000,5,28,25,1013,84,,,
"['11:00', '14/02']",14/02 11:00,90,8,NIL,9999,NIL,,7000,5,29,26,1014,84,,,
"['12:00', '14/02']",14/02 12:00,80,9,NIL,9999,NIL,,7000,5,30,27,1014,84,,,
"['13:00', '14/02']",14/02 13:00,100,9,NIL,9999,NIL,,7000,5,30,27,1014,84,,,
"['14:00', '14/02']",14/02 14:00,90,9,85,9999,NIL,,7000,5,30,27,1014,84,,,
"['15:00', '14/02']",14/02 15:00,90,10,95,9999,NIL,,7000,5,31,28,1013,84,,,
"['16:00', '14/02']",14/02 16:00,100,10,NIL,9999,NIL,,7000,5,30,27,1012,84,,,
"['17:00', '14/02']",14/02 17:00,100,11,NIL,9999,NIL,,2000,5,31,28,1012,84,,,
"['18:00', '14/02']",14/02 18:00,70,9,NIL,9999,NIL,,7000,5,29,26,1011,84,,,
"['19:00', '14/02']",14/02 19:00,50,8,NIL,9999,1,,7000,5,27,24,1011,84,,,
"['20:00', '14/02']",14/02 20:00,70,12,NIL,9999,NIL,,7000,5,28,25,1012,84,,,
"['21:00', '14/02']",14/02 21:00,60,11,NIL,9999,NIL,,6000,5,27,24,1012,84,,,
"['22:00', '14/02']",14/02 22:00,50,7,NIL,9999,NIL,,7000,5,27,23,1012,79,,,
"['23:00', '14/02']",14/02 23:00,60,7,NIL,9999,NIL,,NIL,3,27,24,1013,84,,,
"['00:00', '15/02']",15/02 00:00,60,6,NIL,9999,NIL,,NIL,NIL,27,24,1013,84,,,
"['01:00', '15/02']",15/02 01:00,100,8,NIL,9999,,,NIL,NIL,28,25,1013,84,,,
"['02:00', '15/02']",15/02 02:00,100,7,NIL,9999,,,NIL,2,28,25,1013,84,,,
"['03:00', '15/02']",15/02 03:00,100,8,NIL,9999,,,NIL,2,28,25,1013,84,,,
"['04:00', '15/02']",15/02 04:00,90,11,NIL,9999,,,NIL,3,28,25,1013,84,,,
"['05:00', '15/02']",15/02 05:00,90,11,NIL,9999,,,2000,5,28,25,1013,84,,,
"['06:00', '15/02']",15/02 06:00,90,10,NIL,9999,,,NIL,3,28,25,1012,84,,,
"['07:00', '15/02']",15/02 07:00,90,10,NIL,9999,,,NIL,3,28,24,1012,79,,,
"['08:00', '15/02']",15/02 08:00,90,9,NIL,9999,,,NIL,3,27,24,1013,84,,,
"['09:00', '15/02']",15/02 09:00,100,6,NIL,9999,,,NIL,3,28,24,1013,79,,,
"['10:00', '15/02']",15/02 10:00,80,8,NIL,9999,,,NIL,3,29,25,1014,79,,,
"['11:00', '15/02']",15/02 11:00,100,8,NIL,9999,,,NIL,3,29,26,1014,84,,,
"['12:00', '15/02']",15/02 12:00,70,11,NIL,9999,,,NIL,3,30,27,1014,84,,,
"['13:00', '15/02']",15/02 13:00,70,11,85,9999,,,NIL,3,30,27,1014,84,,,
"['14:00', '15/02']",15/02 14:00,70,10,80,9999,,,NIL,3,30,27,1014,84,,,
"['15:00', '15/02']",15/02 15:00,100,10,90,9999,,,NIL,3,31,28,1013,84,,,
"['16:00', '15/02']",15/02 16:00,110,10,NIL,9999,,,NIL,2,31,28,1012,84,,,
"['17:00', '15/02']",15/02 17:00,100,11,NIL,9999,,,NIL,2,31,27,1012,79,,,
"['18:00', '15/02']",15/02 18:00,110,11,NIL,9999,,,NIL,3,31,27,1012,79,,,
"['19:00', '15/02']",15/02 19:00,100,10,NIL,9999,,,NIL,2,30,27,1012,84,,,
"['20:00', '15/02']",15/02 20:00,120,9,NIL,9999,,,NIL,2,30,27,1012,84,,,
"['21:00', '15/02']",15/02 21:00,120,9,NIL,9999,,,NIL,2,29,26,1012,84,,,
"['22:00', '15/02']",15/02 22:00,120,8,NIL,9999,,,NIL,2,29,26,1012,84,,,
"['23:00', '15/02']",15/02 23:00,110,9,NIL,9999,,,NIL,2,29,25,1013,79,,,
"['00:00', '16/02']",16/02 00:00,100,9,NIL,9999,,,NIL,2,29,25,1013,79,,,
"['01:00', '16/02']",16/02 01:00,100,9,NIL,9999,,,,2,28,25,1013,84,,,
"['02:00', '16/02']",16/02 02:00,90,10,NIL,9999,,,,2,28,25,1013,84,,,
"['03:00', '16/02']",16/02 03:00,90,9,NIL,9999,,,,2,28,25,1013,84,,,
"['04:00', '16/02']",16/02 04:00,90,9,NIL,9999,,,,3,28,25,1013,84,,,
"['05:00', '16/02']",16/02 05:00,350,6,NIL,9999,,,,2,26,22,1012,79,,,
"['06:00', '16/02']",16/02 06:00,0,0,NIL,9999,,,,2,25,22,1012,83,,,
"['07:00', '16/02']",16/02 07:00,360,1,NIL,9999,,,,2,25,22,1013,83,,,
"['08:00', '16/02']",16/02 08:00,260,2,NIL,9999,,,,2,25,22,1013,83,,,
"['09:00', '16/02']",16/02 09:00,120,5,NIL,9999,,,,3,28,24,1013,79,,,
"['10:00', '16/02']",16/02 10:00,100,8,NIL,9999,,,,3,29,25,1013,79,,,
"['11:00', '16/02']",16/02 11:00,90,10,90,9999,,,,3,29,26,1014,84,,,
"['12:00', '16/02']",16/02 12:00,90,11,NIL,9999,,,,3,30,26,1014,79,,,
"['13:00', '16/02']",16/02 13:00,90,11,105,9999,,,,3,30,27,1014,84,,,
"['14:00', '16/02']",16/02 14:00,100,11,100,9999,,,,3,30,27,1014,84,,,
"['15:00', '16/02']",16/02 15:00,90,10,NIL,9999,,,,3,30,27,1013,84,,,
"['16:00', '16/02']",16/02 16:00,100,12,100,9999,,,,3,31,28,1013,84,,,
"['17:00', '16/02']",16/02 17:00,120,9,NIL,9999,,,,3,31,27,1013,79,,,
"['18:00', '16/02']",16/02 18:00,120,8,120,9999,,,,3,30,27,1012,84,,,
"['19:00', '16/02']",16/02 19:00,120,9,120,9999,,,,3,30,27,1012,84,,,
"['20:00', '16/02']",16/02 20:00,120,9,120,9999,,,,3,30,27,1012,84,,,
"['21:00', '16/02']",16/02 21:00,100,9,NIL,9999,,,,2,29,26,1012,84,,,
"['22:00', '16/02']",16/02 22:00,100,9,NIL,9999,,,,2,29,26,1013,84,,,
"['23:00', '16/02']",16/02 23:00,110,9,115,9999,,,,2,29,25,1013,79,,,
"['00:00', '17/02']",17/02 00:00,100,8,NIL,9999,,,,2,29,25,1014,79,,,
"['01:00', '17/02']",17/02 01:00,90,9,NIL,9999,NIL,,NIL,2,28,25,1014,84,NIL,,NIL
"['02:00', '17/02']",17/02 02:00,90,9,NIL,9999,NIL,,NIL,2,28,25,1014,84,NIL,,NIL
"['03:00', '17/02']",17/02 03:00,100,8,NIL,9999,NIL,,NIL,3,28,25,1014,84,NIL,,NIL
"['04:00', '17/02']",17/02 04:00,110,6,NIL,9999,NIL,,NIL,3,27,24,1013,84,NIL,,NIL
"['05:00', '17/02']",17/02 05:00,100,6,NIL,9999,NIL,,NIL,3,28,24,1013,79,NIL,,NIL
"['06:00', '17/02']",17/02 06:00,90,6,NIL,9999,NIL,,NIL,3,27,24,1012,84,NIL,,NIL
"['07:00', '17/02']",17/02 07:00,60,9,NIL,9999,NIL,,NIL,3,27,23,1012,79,NIL,,NIL
"['08:00', '17/02']",17/02 08:00,270,2,NIL,9999,NIL,,NIL,3,25,22,1013,83,NIL,,NIL
"['09:00', '17/02']",17/02 09:00,260,2,NIL,9999,NIL,,NIL,3,26,23,1013,84,NIL,,NIL
"['10:00', '17/02']",17/02 10:00,VRB,3,NIL,9999,NIL,,NIL,3,28,25,1013,84,NIL,,NIL
"['11:00', '17/02']",17/02 11:00,90,6,NIL,6000,1,,1700,5,29,25,1014,79,NIL,,1
"['12:00', '17/02']",17/02 12:00,100,8,NIL,3000,1,,900,5,25,22,1015,83,1,,1
"['12:25', '17/02']",17/02 12:25,270,4,NIL,8000,1,,1500,5,26,23,1015,84,NIL,,NIL
"['13:00', '17/02']",17/02 13:00,310,2,NIL,9999,NIL,,7000,5,29,25,1014,79,NIL,,NIL
"['14:00', '17/02']",17/02 14:00,100,6,NIL,9999,NIL,,NIL,3,29,26,1014,84,NIL,,NIL
"['15:00', '17/02']",17/02 15:00,110,8,120,9999,NIL,,NIL,3,29,26,1013,84,NIL,,NIL
"['16:00', '17/02']",17/02 16:00,130,9,NIL,9999,NIL,,NIL,3,30,27,1013,84,NIL,,NIL
"['17:00', '17/02']",17/02 17:00,130,9,135,9999,NIL,,NIL,3,31,27,1012,79,NIL,,NIL
"['18:00', '17/02']",17/02 18:00,120,10,120,9999,NIL,,NIL,3,30,27,1012,84,NIL,,NIL
"['19:00', '17/02']",17/02 19:00,120,10,NIL,9999,NIL,,NIL,3,30,27,1012,84,NIL,,NIL
"['20:00', '17/02']",17/02 20:00,90,13,NIL,9999,NIL,,NIL,3,28,25,1012,84,NIL,,NIL
"['21:00', '17/02']",17/02 21:00,140,3,145,9999,1,,2000,5,27,24,1012,84,NIL,,NIL
"['22:00', '17/02']",17/02 22:00,100,8,NIL,9999,NIL,,7000,5,28,25,1012,84,NIL,,NIL
"['23:00', '17/02']",17/02 23:00,110,8,NIL,9999,NIL,,7000,5,28,25,1013,84,NIL,,NIL
"['00:00', '18/02']",18/02 00:00,110,11,NIL,9999,NIL,,NIL,3,28,25,1013,84,NIL,,NIL
"['01:00', '18/02']",18/02 01:00,90,13,NIL,9999,NIL,,NIL,3,28,24,1014,79,,,NIL
"['02:00', '18/02']",18/02 02:00,90,13,NIL,9999,NIL,,NIL,3,28,24,1014,79,,,NIL
"['03:00', '18/02']",18/02 03:00,70,18,NIL,9999,NIL,,NIL,3,27,23,1014,79,,,NIL
"['04:00', '18/02']",18/02 04:00,80,9,NIL,9999,NIL,,7000,5,27,24,1013,84,,,NIL
"['05:00', '18/02']",18/02 05:00,100,5,NIL,9999,NIL,,NIL,3,28,24,1013,79,,,NIL
"['06:00', '18/02']",18/02 06:00,30,9,NIL,9999,NIL,,NIL,3,27,23,1013,79,,,NIL
"['06:12', '18/02']",18/02 06:12,100,10,110,9999,1,,7000,5,26,22,1013,79,,,1
"['07:00', '18/02']",18/02 07:00,160,7,145,7000,1,,1700,5,25,22,1013,83,,,NIL
"['07:48', '18/02']",18/02 07:48,20,9,NIL,6000,1,,1700,5,24,21,1013,83,,,1
"['08:00', '18/02']",18/02 08:00,10,6,NIL,7000,1,,1700,5,24,21,1013,83,,,1
"['08:30', '18/02']",18/02 08:30,70,3,90,3000,1,,1500,5,25,22,1013,83,,,NIL
"['09:00', '18/02']",18/02 09:00,VRB,5,NIL,5000,1,,1500,5,25,22,1013,83,,,NIL
"['10:00', '18/02']",18/02 10:00,VRB,2,NIL,9999,NIL,,NIL,3,25,22,1014,83,,,NIL
"['11:00', '18/02']",18/02 11:00,280,3,285,9999,NIL,,NIL,3,26,23,1014,84,,,NIL
"['12:00', '18/02']",18/02 12:00,70,8,85,9999,NIL,,NIL,3,27,24,1015,84,,,NIL
"['13:00', '18/02']",18/02 13:00,110,8,NIL,9999,NIL,,NIL,3,29,26,1015,84,,,NIL
"['14:00', '18/02']",18/02 14:00,100,10,NIL,9999,NIL,,NIL,3,30,27,1015,84,,,NIL
"['15:00', '18/02']",18/02 15:00,70,13,NIL,9999,NIL,,7000,5,29,26,1014,84,,,NIL
"['16:00', '18/02']",18/02 16:00,110,9,110,9999,NIL,,7000,5,30,27,1013,84,,,NIL
"['17:00', '18/02']",18/02 17:00,110,14,NIL,9999,NIL,,2000,5,29,26,1013,84,,,NIL
"['18:00', '18/02']",18/02 18:00,110,10,NIL,9999,NIL,,2000,5,30,26,1012,79,,,NIL
"['19:00', '18/02']",18/02 19:00,110,9,NIL,9999,NIL,,2000,5,29,26,1012,84,,,NIL
"['20:00', '18/02']",18/02 20:00,100,10,NIL,9999,NIL,,NIL,3,29,26,1012,84,,,NIL
"['21:00', '18/02']",18/02 21:00,110,9,NIL,9999,NIL,,NIL,3,29,25,1012,79,,,NIL
"['22:00', '18/02']",18/02 22:00,100,8,NIL,9999,NIL,,NIL,3,28,25,1012,84,,,NIL
"['23:00', '18/02']",18/02 23:00,100,8,NIL,9999,NIL,,NIL,3,28,25,1013,84,,,NIL
"['00:00', '19/02']",19/02 00:00,100,8,NIL,9999,NIL,,NIL,3,28,25,1013,84,,,NIL
"['01:00', '19/02']",19/02 01:00,110,8,NIL,9999,NIL,NIL,NIL,3,28,25,1014,84,NIL,,NIL
"['02:00', '19/02']",19/02 02:00,110,9,NIL,9999,NIL,NIL,NIL,3,28,25,1013,84,NIL,,NIL
"['03:00', '19/02']",19/02 03:00,90,7,NIL,9999,NIL,NIL,NIL,3,28,25,1013,84,NIL,,NIL
"['04:00', '19/02']",19/02 04:00,80,7,NIL,9999,NIL,NIL,NIL,3,28,24,1012,79,NIL,,NIL
"['05:00', '19/02']",19/02 05:00,60,6,NIL,9999,NIL,NIL,NIL,3,27,24,1011,84,NIL,,NIL
"['06:00', '19/02']",19/02 06:00,80,5,NIL,9999,NIL,NIL,NIL,3,27,24,1011,84,NIL,,NIL
"['07:00', '19/02']",19/02 07:00,280,2,NIL,9999,NIL,NIL,NIL,3,26,22,1011,79,NIL,,NIL
"['08:00', '19/02']",19/02 08:00,320,3,NIL,9999,NIL,NIL,NIL,3,26,22,1011,79,NIL,,NIL
"['08:35', '19/02']",19/02 08:35,180,4,NIL,6000,1,NIL,1500,5,25,22,1011,83,NIL,,1
"['09:00', '19/02']",19/02 09:00,60,11,NIL,2000,1,1,500,8,24,21,1012,83,1,,1
"['09:25', '19/02']",19/02 09:25,40,6,NIL,5000,1,1,1500,5,23,20,1012,83,1,,NIL
"['10:00', '19/02']",19/02 10:00,VRB,1,NIL,8000,1,1,6000,5,24,21,1013,83,NIL,,NIL
"['11:00', '19/02']",19/02 11:00,260,4,NIL,9000,NIL,1,1500,5,25,21,1014,79,NIL,,NIL
"['12:00', '19/02']",19/02 12:00,330,5,155,4000,1,1,1500,5,25,22,1014,83,1,,NIL
"['12:15', '19/02']",19/02 12:15,280,3,285,8000,NIL,1,6000,5,25,21,1014,79,NIL,,NIL
"['13:00', '19/02']",19/02 13:00,300,3,130,8000,NIL,1,1700,5,25,22,1014,83,NIL,,NIL
"['14:00', '19/02']",19/02 14:00,VRB,3,NIL,9999,NIL,1,6000,5,28,24,1013,79,NIL,,NIL
"['15:00', '19/02']",19/02 15:00,70,17,NIL,9999,NIL,NIL,1700,5,28,25,1012,84,NIL,,NIL
"['16:00', '19/02']",19/02 16:00,60,12,NIL,9999,NIL,NIL,6000,5,28,25,1011,84,NIL,,NIL
"['17:00', '19/02']",19/02 17:00,60,9,NIL,9999,NIL,NIL,7000,5,28,25,1011,84,NIL,,NIL
"['18:00', '19/02']",19/02 18:00,90,7,NIL,9999,NIL,NIL,NIL,3,28,25,1011,84,NIL,,NIL
"['19:00', '19/02']",19/02 19:00,140,8,NIL,9999,NIL,NIL,NIL,3,28,25,1010,84,NIL,,NIL
"['20:00', '19/02']",19/02 20:00,120,7,120,9999,NIL,NIL,NIL,3,28,25,1010,84,NIL,,NIL
"['21:00', '19/02']",19/02 21:00,100,7,120,9999,NIL,NIL,NIL,3,28,25,1010,84,NIL,,NIL
"['22:00', '19/02']",19/02 22:00,110,7,NIL,9999,NIL,NIL,NIL,3,28,25,1011,84,NIL,,NIL
"['23:00', '19/02']",19/02 23:00,90,8,NIL,9999,NIL,NIL,NIL,3,28,24,1011,79,NIL,,NIL
"['00:00', '20/02']",20/02 00:00,90,9,NIL,9999,NIL,NIL,NIL,3,27,24,1012,84,NIL,,NIL
"['01:00', '20/02']",20/02 01:00,80,6,NIL,9999,,,NIL,2,27,24,1013,84,,,
"['02:00', '20/02']",20/02 02:00,60,5,NIL,9999,,,NIL,2,27,24,1013,84,,,
"['03:00', '20/02']",20/02 03:00,290,2,NIL,9999,,,NIL,3,26,22,1012,79,,,
"['04:00', '20/02']",20/02 04:00,100,8,NIL,9999,,,NIL,3,27,24,1012,84,,,
"['05:00', '20/02']",20/02 05:00,90,6,110,9999,,,NIL,3,27,24,1011,84,,,
"['06:00', '20/02']",20/02 06:00,10,1,NIL,9999,,,NIL,3,26,23,1011,84,,,
"['07:00', '20/02']",20/02 07:00,0,0,NIL,9999,,,NIL,2,25,22,1011,83,,,
"['08:00', '20/02']",20/02 08:00,VRB,2,NIL,9999,,,NIL,3,25,22,1011,83,,,
"['09:00', '20/02']",20/02 09:00,280,3,305,9999,,,NIL,3,25,22,1012,83,,,
"['10:00', '20/02']",20/02 10:00,260,3,275,9999,,,NIL,3,27,23,1012,79,,,
"['11:00', '20/02']",20/02 11:00,0,0,NIL,9999,,,NIL,3,29,26,1013,84,,,
"['12:00', '20/02']",20/02 12:00,90,5,NIL,9999,,,NIL,3,29,26,1013,84,,,
"['13:00', '20/02']",20/02 13:00,VRB,4,NIL,9999,,,NIL,3,30,27,1013,84,,,
"['14:00', '20/02']",20/02 14:00,120,6,NIL,9999,,,2000,5,31,27,1013,79,,,
"['15:00', '20/02']",20/02 15:00,160,8,160,9999,,,7000,5,30,27,1012,84,,,
"['16:00', '20/02']",20/02 16:00,160,9,160,9999,,,7000,5,30,27,1011,84,,,
"['17:00', '20/02']",20/02 17:00,150,10,NIL,9999,,,8000,5,31,27,1010,79,,,
"['18:00', '20/02']",20/02 18:00,140,9,NIL,9999,,,8000,5,31,28,1010,84,,,
"['19:00', '20/02']",20/02 19:00,140,10,NIL,9999,,,NIL,3,30,27,1009,84,,,
"['20:00', '20/02']",20/02 20:00,130,8,NIL,9999,,,NIL,3,30,27,1010,84,,,
"['21:00', '20/02']",20/02 21:00,110,9,NIL,9999,,,NIL,3,29,26,1010,84,,,
"['22:00', '20/02']",20/02 22:00,100,9,NIL,9999,,,NIL,3,29,26,1011,84,,,
"['23:00', '20/02']",20/02 23:00,90,11,NIL,9999,,,NIL,3,29,26,1012,84,,,
"['00:00', '21/02']",21/02 00:00,90,9,NIL,9999,,,NIL,3,29,25,1013,79,,,
"['01:00', '21/02']",21/02 01:00,70,10,NIL,9999,,,2000,5,28,25,1013,84,,,
"['02:00', '21/02']",21/02 02:00,70,9,NIL,9999,,,NIL,3,28,25,1013,84,,,
"['03:00', '21/02']",21/02 03:00,40,8,NIL,9999,,,NIL,3,28,25,1012,84,,,
"['04:00', '21/02']",21/02 04:00,20,4,NIL,9999,,,NIL,3,27,24,1012,84,,,
"['05:00', '21/02']",21/02 05:00,10,3,NIL,9999,,,NIL,2,26,23,1011,84,,,
"['06:00', '21/02']",21/02 06:00,360,4,NIL,9999,,,NIL,2,26,23,1011,84,,,
"['07:00', '21/02']",21/02 07:00,320,3,NIL,9999,,,NIL,2,26,23,1011,84,,,
"['08:00', '21/02']",21/02 08:00,310,2,NIL,9999,,,NIL,2,26,22,1011,79,,,
"['09:00', '21/02']",21/02 09:00,270,2,NIL,9999,,,10000,5,25,22,1011,83,,,
"['10:00', '21/02']",21/02 10:00,VRB,2,NIL,9999,,,10000,5,27,23,1012,79,,,
"['11:00', '21/02']",21/02 11:00,10,2,NIL,9999,,,7000,5,28,25,1012,84,,,
"['12:00', '21/02']",21/02 12:00,120,4,100,9999,,,10000,5,29,26,1013,84,,,
"['13:00', '21/02']",21/02 13:00,70,5,75,9999,,,10000,5,29,26,1013,84,,,
"['14:00', '21/02']",21/02 14:00,100,6,110,9999,,,NIL,3,31,28,1013,84,,,
"['15:00', '21/02']",21/02 15:00,130,8,NIL,9999,,,NIL,3,31,28,1012,84,,,
"['16:00', '21/02']",21/02 16:00,120,9,NIL,9999,,,NIL,3,30,27,1012,84,,,
"['17:00', '21/02']",21/02 17:00,110,9,NIL,9999,,,NIL,3,30,27,1011,84,,,
"['18:00', '21/02']",21/02 18:00,120,8,135,9999,,,NIL,3,30,26,1011,79,,,
"['19:00', '21/02']",21/02 19:00,120,8,130,9999,,,NIL,3,30,27,1010,84,,,
"['20:00', '21/02']",21/02 20:00,100,8,NIL,9999,,,NIL,3,30,26,1010,79,,,
"['21:00', '21/02']",21/02 21:00,90,10,100,9999,,,10000,5,29,26,1010,84,,,
"['22:00', '21/02']",21/02 22:00,80,10,NIL,9999,,,NIL,3,29,26,1011,84,,,
"['23:00', '21/02']",21/02 23:00,80,10,NIL,9999,,,NIL,3,29,25,1012,79,,,
"['00:00', '22/02']",22/02 00:00,80,10,NIL,9999,,,NIL,2,29,25,1012,79,,,
"['01:00', '22/02']",22/02 01:00,60,10,NIL,9999,,,,2,28,25,1013,84,,,
"['02:00', '22/02']",22/02 02:00,60,8,NIL,9999,,,,3,28,25,1013,84,,,
"['03:00', '22/02']",22/02 03:00,60,11,NIL,9999,,,,3,28,25,1013,84,,,
"['04:00', '22/02']",22/02 04:00,60,8,NIL,9999,,,,3,28,24,1012,79,,,
"['05:00', '22/02']",22/02 05:00,40,5,NIL,9999,,,,2,28,24,1012,79,,,
"['06:00', '22/02']",22/02 06:00,10,3,NIL,9999,,,,2,27,23,1011,79,,,
"['07:00', '22/02']",22/02 07:00,340,3,NIL,9999,,,,2,27,23,1012,79,,,
"['08:00', '22/02']",22/02 08:00,320,2,NIL,9999,,,,2,26,23,1012,84,,,
"['09:00', '22/02']",22/02 09:00,330,2,NIL,9999,,,,3,26,23,1012,84,,,
"['10:00', '22/02']",22/02 10:00,320,5,145,9999,,,,3,27,24,1013,84,,,
"['11:00', '22/02']",22/02 11:00,360,6,NIL,9999,,,,3,29,25,1014,79,,,
"['12:00', '22/02']",22/02 12:00,340,7,165,9999,,,,3,30,26,1014,79,,,
"['13:00', '22/02']",22/02 13:00,VRB,4,NIL,9999,,,,3,31,28,1014,84,,,
"['14:00', '22/02']",22/02 14:00,90,8,NIL,9999,,,,3,32,28,1013,80,,,
"['15:00', '22/02']",22/02 15:00,130,9,140,9999,,,,3,32,28,1013,80,,,
"['16:00', '22/02']",22/02 16:00,130,8,NIL,9999,,,,3,31,28,1012,84,,,
"['17:00', '22/02']",22/02 17:00,110,10,NIL,9999,,,,3,30,27,1011,84,,,
"['18:00', '22/02']",22/02 18:00,120,9,NIL,9999,,,,3,30,27,1011,84,,,
"['19:00', '22/02']",22/02 19:00,110,9,NIL,9999,,,,3,30,27,1010,84,,,
"['20:00', '22/02']",22/02 20:00,90,11,NIL,9999,,,,3,29,26,1010,84,,,
"['21:00', '22/02']",22/02 21:00,80,9,NIL,9999,,,,3,29,26,1011,84,,,
"['22:00', '22/02']",22/02 22:00,80,11,NIL,9999,,,,2,29,25,1011,79,,,
"['23:00', '22/02']",22/02 23:00,70,11,NIL,9999,,,,2,29,25,1012,79,,,
"['00:00', '23/02']",23/02 00:00,70,12,NIL,9999,,,,2,29,25,1013,79,,,
"['01:00', '23/02']",23/02 01:00,70,12,NIL,9999,,,,2,28,25,1014,84,,,
"['02:00', '23/02']",23/02 02:00,60,10,NIL,9999,,,,2,28,25,1014,84,,,
"['03:00', '23/02']",23/02 03:00,60,8,NIL,9999,,,,2,28,25,1013,84,,,
"['04:00', '23/02']",23/02 04:00,50,7,NIL,9999,,,,2,28,24,1012,79,,,
"['05:00', '23/02']",23/02 05:00,10,4,195,9999,,,,3,27,24,1012,84,,,
"['06:00', '23/02']",23/02 06:00,360,4,NIL,9999,,,,3,26,23,1011,84,,,
"['07:00', '23/02']",23/02 07:00,340,3,165,9999,,,,3,26,23,1012,84,,,
"['08:00', '23/02']",23/02 08:00,340,2,NIL,9999,,,,2,26,23,1012,84,,,
"['09:00', '23/02']",23/02 09:00,310,3,150,9999,,,,2,26,22,1013,79,,,
"['10:00', '23/02']",23/02 10:00,300,3,305,9999,,,,2,27,23,1014,79,,,
"['11:00', '23/02']",23/02 11:00,340,4,165,9999,,,,2,29,25,1015,79,,,
"['12:00', '23/02']",23/02 12:00,360,6,185,9999,,,,3,29,26,1015,84,,,
"['13:00', '23/02']",23/02 13:00,30,5,225,9999,,,,3,30,27,1015,84,,,
"['14:00', '23/02']",23/02 14:00,90,10,NIL,9999,,,,3,31,27,1014,79,,,
