validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoa_umida,vnt_rajada,pancada
"['11:00', '03/08']",03/08 11:00,160,13,NIL,9999,NIL,,NIL,3,25,20,1022,74,NIL,NIL,
"['12:00', '03/08']",03/08 12:00,160,14,NIL,9999,NIL,,NIL,3,26,20,1023,70,NIL,NIL,
"['13:00', '03/08']",03/08 13:00,150,14,NIL,9999,NIL,,NIL,3,26,20,1023,70,NIL,NIL,
"['14:00', '03/08']",03/08 14:00,140,13,NIL,9999,NIL,,NIL,3,27,20,1023,66,NIL,NIL,
"['15:00', '03/08']",03/08 15:00,150,12,145,9999,NIL,,NIL,3,27,20,1023,66,NIL,NIL,
"['16:00', '03/08']",03/08 16:00,160,16,NIL,9999,NIL,,NIL,3,26,20,1022,70,NIL,NIL,
"['17:00', '03/08']",03/08 17:00,140,12,NIL,9999,NIL,,2000,5,25,21,1021,79,NIL,NIL,
"['17:22', '03/08']",03/08 17:22,160,14,NIL,4000,1,,1000,8,23,21,1021,89,1,NIL,
"['17:35', '03/08']",03/08 17:35,170,10,NIL,8000,NIL,,1500,8,23,21,1021,89,NIL,NIL,
"['18:00', '03/08']",03/08 18:00,170,9,NIL,8000,NIL,,1500,8,24,22,1021,89,NIL,NIL,
"['19:00', '03/08']",03/08 19:00,190,9,NIL,9999,NIL,,1500,8,23,21,1021,89,NIL,NIL,
"['19:09', '03/08']",03/08 19:09,200,9,190,4000,1,,1300,8,23,21,1021,89,1,NIL,
"['19:42', '03/08']",03/08 19:42,170,17,155,2000,1,,900,8,23,22,1021,94,1,NIL,
"['20:00', '03/08']",03/08 20:00,150,12,155,4000,1,,1000,8,23,22,1021,94,1,25,
"['21:00', '03/08']",03/08 21:00,150,16,NIL,8000,NIL,,1500,8,24,21,1021,83,NIL,26,
"['22:00', '03/08']",03/08 22:00,140,14,NIL,8000,NIL,,1700,8,25,20,1021,74,NIL,NIL,
"['22:17', '03/08']",03/08 22:17,150,15,NIL,8000,NIL,,1500,8,24,20,1022,78,NIL,30,
"['23:00', '03/08']",03/08 23:00,160,14,NIL,9999,NIL,,1500,8,24,21,1022,83,NIL,NIL,
"['23:32', '03/08']",03/08 23:32,130,17,NIL,5000,1,,900,8,22,21,1023,94,1,NIL,
"['00:00', '04/08']",04/08 00:00,140,14,NIL,9999,NIL,,NIL,NIL,24,21,1023,83,NIL,NIL,
"['01:00', '04/08']",04/08 01:00,150,17,NIL,5000,1,,1500,5,23,20,1023,83,NIL,28,NIL
"['01:25', '04/08']",04/08 01:25,150,14,NIL,4000,1,,1000,8,23,20,1023,83,1,NIL,NIL
"['02:00', '04/08']",04/08 02:00,150,15,NIL,3500,1,,1000,8,22,20,1023,88,NIL,NIL,NIL
"['03:00', '04/08']",04/08 03:00,160,14,NIL,5000,1,,1500,8,22,21,1023,94,1,NIL,NIL
"['03:30', '04/08']",04/08 03:30,170,12,NIL,3000,1,,1000,8,22,20,1022,88,1,NIL,NIL
"['03:45', '04/08']",04/08 03:45,160,15,NIL,5000,1,,1500,5,22,20,1022,88,1,NIL,NIL
"['04:00', '04/08']",04/08 04:00,160,14,NIL,5000,1,,1500,5,22,21,1022,94,NIL,NIL,NIL
"['04:18', '04/08']",04/08 04:18,150,13,NIL,3000,1,,1000,8,22,20,1022,88,NIL,NIL,NIL
"['04:33', '04/08']",04/08 04:33,140,9,135,5000,1,,1500,8,22,21,1021,94,NIL,NIL,NIL
"['04:42', '04/08']",04/08 04:42,150,8,135,3000,1,,1000,8,22,20,1021,88,NIL,18,NIL
"['05:00', '04/08']",04/08 05:00,140,12,140,5000,1,,1500,8,22,21,1021,94,NIL,NIL,NIL
"['05:17', '04/08']",04/08 05:17,130,17,NIL,3500,1,,1000,8,22,20,1021,88,1,27,NIL
"['05:32', '04/08']",04/08 05:32,140,13,NIL,2000,1,,800,8,21,20,1021,94,1,NIL,NIL
"['06:00', '04/08']",04/08 06:00,160,14,NIL,4000,1,,1000,8,21,20,1021,94,1,NIL,NIL
"['06:10', '04/08']",04/08 06:10,160,10,NIL,5000,1,,1500,5,22,20,1021,88,NIL,NIL,NIL
"['06:25', '04/08']",04/08 06:25,170,10,NIL,2000,1,,800,5,22,20,1021,88,NIL,NIL,NIL
"['06:45', '04/08']",04/08 06:45,160,15,NIL,4000,1,,1000,5,21,20,1021,94,NIL,NIL,NIL
"['07:00', '04/08']",04/08 07:00,160,12,NIL,4000,1,,1000,5,22,21,1021,94,1,NIL,NIL
"['08:00', '04/08']",04/08 08:00,150,13,NIL,8000,NIL,,1700,5,22,20,1021,88,NIL,NIL,NIL
"['08:35', '04/08']",04/08 08:35,170,10,NIL,3000,1,,1000,5,22,21,1021,94,1,NIL,NIL
"['09:00', '04/08']",04/08 09:00,160,8,150,4000,1,,1000,8,22,21,1021,94,1,NIL,NIL
"['09:03', '04/08']",04/08 09:03,150,13,NIL,2000,1,,800,8,22,21,1021,94,1,24,1
"['09:18', '04/08']",04/08 09:18,150,14,NIL,4000,1,,1000,5,22,21,1022,94,1,NIL,1
"['10:00', '04/08']",04/08 10:00,120,10,NIL,5000,1,,1700,5,23,21,1022,89,1,24,NIL
"['11:00', '04/08']",04/08 11:00,110,15,NIL,5000,1,,1700,5,22,21,1022,94,1,NIL,NIL
"['12:00', '04/08']",04/08 12:00,140,17,NIL,4000,1,,1700,5,23,21,1023,89,1,NIL,NIL
"['12:10', '04/08']",04/08 12:10,130,16,NIL,5000,1,,1700,5,23,21,1023,89,1,26,NIL
"['13:00', '04/08']",04/08 13:00,150,14,NIL,9999,NIL,,5000,5,25,22,1023,83,NIL,NIL,NIL
"['14:00', '04/08']",04/08 14:00,130,15,130,5000,1,,1700,5,23,22,1023,94,1,NIL,NIL
"['15:00', '04/08']",04/08 15:00,130,14,135,8000,NIL,,1700,5,24,21,1022,83,NIL,NIL,NIL
"['16:00', '04/08']",04/08 16:00,140,15,NIL,8000,NIL,,1500,5,24,21,1022,83,NIL,NIL,NIL
"['17:00', '04/08']",04/08 17:00,140,16,NIL,8000,NIL,,1500,5,24,21,1021,83,NIL,NIL,NIL
"['18:00', '04/08']",04/08 18:00,140,14,NIL,8000,NIL,,6000,5,24,20,1021,78,NIL,NIL,NIL
"['18:20', '04/08']",04/08 18:20,130,17,NIL,4000,1,,1000,5,22,20,1021,88,NIL,27,NIL
"['18:30', '04/08']",04/08 18:30,130,17,NIL,3000,1,,1000,5,22,21,1021,94,1,NIL,NIL
"['18:45', '04/08']",04/08 18:45,150,11,NIL,5000,1,,1500,5,22,21,1021,94,1,NIL,NIL
"['19:00', '04/08']",04/08 19:00,160,11,NIL,6000,1,,1500,5,22,21,1021,94,NIL,NIL,NIL
"['19:25', '04/08']",04/08 19:25,130,11,NIL,4000,1,,1500,5,22,20,1021,88,1,NIL,NIL
"['20:00', '04/08']",04/08 20:00,160,16,NIL,5000,1,,1500,5,22,20,1021,88,1,NIL,NIL
"['21:00', '04/08']",04/08 21:00,150,14,NIL,8000,NIL,,6000,5,23,20,1021,83,NIL,NIL,NIL
"['22:00', '04/08']",04/08 22:00,160,14,NIL,9999,NIL,,6000,5,23,19,1021,78,NIL,NIL,NIL
