validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,cobertura,tt,po,qnh,ur,teto,chuva,pancada,nevoa_umida,vis_setor,vis_setor_dir,trovoada,vnt_rajada,nevoa_seca,chuvisco
"['07:00', '18/03']",18/03 07:00,140,4,NIL,9999,2,25,20,1010,74,NIL,,,,,,,,,
"['08:00', '18/03']",18/03 08:00,200,2,NIL,9999,3,24,20,1010,78,NIL,,,,,,,,,
"['09:00', '18/03']",18/03 09:00,190,3,NIL,9999,5,24,20,1010,78,2000,,,,,,,,,
"['10:00', '18/03']",18/03 10:00,VRB,2,NIL,9999,5,24,21,1011,83,1500,,,,,,,,,
"['11:00', '18/03']",18/03 11:00,90,4,85,9999,5,25,21,1012,79,5000,,,,,,,,,
"['12:00', '18/03']",18/03 12:00,VRB,4,NIL,9999,5,27,20,1012,66,2200,,,,,,,,,
"['13:00', '18/03']",18/03 13:00,100,5,90,9999,5,27,21,1013,70,1700,,,,,,,,,
"['14:00', '18/03']",18/03 14:00,40,8,45,8000,8,24,21,1013,83,1500,,,,,,,,,
"['15:00', '18/03']",18/03 15:00,50,3,230,9999,5,26,21,1012,74,5300,,,,,,,,,
"['16:00', '18/03']",18/03 16:00,VRB,5,NIL,9999,5,28,21,1011,66,7000,,,,,,,,,
"['17:00', '18/03']",18/03 17:00,VRB,5,NIL,9999,3,28,21,1010,66,NIL,,,,,,,,,
"['18:00', '18/03']",18/03 18:00,90,6,80,9999,3,27,21,1009,70,NIL,,,,,,,,,
"['19:00', '18/03']",18/03 19:00,110,7,110,9999,5,27,21,1009,70,10000,,,,,,,,,
"['20:00', '18/03']",18/03 20:00,80,7,70,9999,5,27,21,1009,70,10000,,,,,,,,,
"['21:00', '18/03']",18/03 21:00,80,5,NIL,9999,5,27,20,1009,66,10000,,,,,,,,,
"['22:00', '18/03']",18/03 22:00,80,6,70,9999,3,27,21,1010,70,NIL,,,,,,,,,
"['23:00', '18/03']",18/03 23:00,100,5,NIL,9999,3,27,21,1011,70,NIL,,,,,,,,,
"['00:00', '19/03']",19/03 00:00,90,4,NIL,9999,3,27,21,1011,70,NIL,,,,,,,,,
"['01:00', '19/03']",19/03 01:00,90,4,NIL,9999,3,27,21,1012,70,,NIL,,,,,,,,
"['02:00', '19/03']",19/03 02:00,90,6,NIL,9999,3,27,21,1011,70,,NIL,,,,,,,,
