validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,chuva,teto,cobertura,tt,po,qnh,ur,vnt_vrb,pancada,trovoada,nevoa_umida,vnt_rajada,vis_setor,vis_setor_dir,chuvisco
"['15:00', '02/04']",02/04 15:00,150,10,9999,NIL,NIL,3,31,24,1012,66,NIL,,,NIL,,,,
"['16:00', '02/04']",02/04 16:00,150,10,9999,NIL,NIL,3,31,25,1011,71,NIL,,,NIL,,,,
"['16:32', '02/04']",02/04 16:32,160,6,3000,1,900,5,28,26,1011,89,NIL,,,1,,,,
"['17:00', '02/04']",02/04 17:00,160,13,5000,1,900,5,28,26,1011,89,NIL,,,NIL,,,,
"['18:00', '02/04']",02/04 18:00,130,6,9999,NIL,1500,5,28,26,1011,89,130,,,NIL,,,,
"['19:00', '02/04']",02/04 19:00,140,8,9999,NIL,5000,5,28,25,1011,84,NIL,,,NIL,,,,
"['20:00', '02/04']",02/04 20:00,140,7,9999,NIL,NIL,3,28,25,1011,84,NIL,,,NIL,,,,
"['21:00', '02/04']",02/04 21:00,170,8,9999,NIL,NIL,3,28,25,1012,84,NIL,,,NIL,,,,
"['22:00', '02/04']",02/04 22:00,180,8,9999,NIL,1500,5,28,25,1012,84,NIL,,,NIL,,,,
"['23:00', '02/04']",02/04 23:00,200,6,9999,NIL,NIL,3,27,25,1013,89,NIL,,,NIL,,,,
"['00:00', '03/04']",03/04 00:00,210,5,9999,NIL,NIL,3,27,24,1013,84,NIL,,,NIL,,,,
"['01:00', '03/04']",03/04 01:00,210,5,9999,NIL,NIL,3,26,24,1013,89,NIL,,NIL,NIL,,,,
"['02:00', '03/04']",03/04 02:00,170,8,5000,1,1500,5,26,24,1013,89,NIL,,NIL,1,,,,
"['02:05', '03/04']",03/04 02:05,190,5,3500,1,1300,5,25,24,1013,94,NIL,,1,NIL,,,,
"['03:00', '03/04']",03/04 03:00,200,3,9999,NIL,1500,5,26,24,1012,89,NIL,,1,NIL,,,,
"['04:00', '03/04']",03/04 04:00,190,5,5000,1,1500,5,25,24,1012,94,NIL,,NIL,NIL,,,,
"['05:00', '03/04']",03/04 05:00,200,6,4000,1,1500,5,25,24,1011,94,NIL,,NIL,NIL,,,,
"['06:00', '03/04']",03/04 06:00,200,6,5000,1,7000,5,24,23,1011,94,NIL,,NIL,NIL,,,,
"['07:00', '03/04']",03/04 07:00,190,6,8000,NIL,1500,5,25,24,1011,94,NIL,,NIL,NIL,,,,
"['08:00', '03/04']",03/04 08:00,200,7,8000,NIL,1500,5,25,24,1012,94,NIL,,NIL,NIL,,,,
"['09:00', '03/04']",03/04 09:00,190,2,5000,NIL,1500,5,25,24,1012,94,NIL,,NIL,1,,,,
"['10:00', '03/04']",03/04 10:00,200,4,9999,NIL,7000,5,25,24,1013,94,205,,NIL,NIL,,,,
"['11:00', '03/04']",03/04 11:00,200,3,9999,NIL,8000,5,26,24,1013,89,210,,NIL,NIL,,,,
"['12:00', '03/04']",03/04 12:00,200,6,9999,NIL,NIL,3,27,24,1014,84,200,,NIL,NIL,,,,
"['13:00', '03/04']",03/04 13:00,180,9,9999,NIL,NIL,3,29,24,1013,74,185,,NIL,NIL,,,,
"['14:00', '03/04']",03/04 14:00,130,9,9999,NIL,NIL,3,30,25,1012,75,140,,NIL,NIL,,,,
"['15:00', '03/04']",03/04 15:00,150,10,9999,NIL,NIL,3,29,25,1012,79,150,,NIL,NIL,,,,
"['16:00', '03/04']",03/04 16:00,130,10,9999,NIL,NIL,3,30,26,1010,79,NIL,,NIL,NIL,,,,
"['17:00', '03/04']",03/04 17:00,160,8,9999,NIL,NIL,2,30,25,1009,75,NIL,,NIL,NIL,,,,
"['18:00', '03/04']",03/04 18:00,140,5,9999,NIL,NIL,2,30,25,1009,75,NIL,,NIL,NIL,,,,
"['19:00', '03/04']",03/04 19:00,110,6,9999,NIL,NIL,2,30,25,1009,75,NIL,,NIL,NIL,,,,
"['20:00', '03/04']",03/04 20:00,110,7,9999,NIL,NIL,2,29,24,1009,74,NIL,,NIL,NIL,,,,
"['21:00', '03/04']",03/04 21:00,110,6,9999,NIL,NIL,2,29,25,1009,79,NIL,,NIL,NIL,,,,
"['22:00', '03/04']",03/04 22:00,110,4,9999,NIL,NIL,2,29,25,1010,79,NIL,,NIL,NIL,,,,
"['23:00', '03/04']",03/04 23:00,70,5,9999,NIL,1500,5,29,25,1011,79,NIL,,NIL,NIL,,,,
"['00:00', '04/04']",04/04 00:00,50,4,9999,NIL,1700,5,29,25,1012,79,50,,NIL,NIL,,,,
"['01:00', '04/04']",04/04 01:00,60,3,9999,NIL,NIL,3,29,25,1012,79,60,NIL,,,,,,
"['02:00', '04/04']",04/04 02:00,100,3,9999,NIL,NIL,2,28,25,1011,84,100,NIL,,,,,,
"['03:00', '04/04']",04/04 03:00,VRB,2,9999,NIL,NIL,3,28,25,1011,84,NIL,NIL,,,,,,
"['04:00', '04/04']",04/04 04:00,220,2,9999,NIL,NIL,3,28,25,1010,84,NIL,NIL,,,,,,
"['05:00', '04/04']",04/04 05:00,330,3,9999,NIL,NIL,3,27,25,1010,89,NIL,NIL,,,,,,
"['06:00', '04/04']",04/04 06:00,320,2,9999,NIL,NIL,3,26,25,1009,94,NIL,NIL,,,,,,
"['07:00', '04/04']",04/04 07:00,290,2,9999,NIL,NIL,3,26,25,1009,94,NIL,NIL,,,,,,
"['08:00', '04/04']",04/04 08:00,330,1,9999,NIL,NIL,3,26,25,1010,94,NIL,NIL,,,,,,
"['09:00', '04/04']",04/04 09:00,0,0,9999,NIL,2000,5,26,25,1011,94,NIL,NIL,,,,,,
"['10:00', '04/04']",04/04 10:00,0,0,9999,1,NIL,3,27,25,1011,89,NIL,1,,,,,,
"['11:00', '04/04']",04/04 11:00,150,2,9999,NIL,2000,5,29,26,1012,84,NIL,NIL,,,,,,
"['12:00', '04/04']",04/04 12:00,90,5,9999,NIL,2000,5,30,26,1012,79,NIL,NIL,,,,,,
"['13:00', '04/04']",04/04 13:00,80,6,9999,NIL,2000,5,31,26,1012,75,NIL,NIL,,,,,,
"['14:00', '04/04']",04/04 14:00,100,6,9999,NIL,2000,5,31,25,1012,71,NIL,NIL,,,,,,
"['15:00', '04/04']",04/04 15:00,110,7,9999,NIL,NIL,3,31,25,1011,71,NIL,NIL,,,,,,
"['16:00', '04/04']",04/04 16:00,80,7,9999,NIL,2000,5,31,26,1010,75,NIL,NIL,,,,,,
"['17:00', '04/04']",04/04 17:00,90,7,9999,NIL,NIL,3,31,25,1009,71,NIL,NIL,,,,,,
"['18:00', '04/04']",04/04 18:00,80,8,9999,NIL,7000,5,30,25,1009,75,NIL,NIL,,,,,,
"['19:00', '04/04']",04/04 19:00,100,6,9999,NIL,8000,5,30,25,1009,75,NIL,NIL,,,,,,
"['20:00', '04/04']",04/04 20:00,80,4,9999,NIL,7000,5,30,25,1010,75,NIL,NIL,,,,,,
"['21:00', '04/04']",04/04 21:00,80,5,9999,NIL,NIL,3,30,25,1011,75,NIL,NIL,,,,,,
"['22:00', '04/04']",04/04 22:00,60,4,9999,NIL,NIL,3,29,25,1011,79,NIL,NIL,,,,,,
"['23:00', '04/04']",04/04 23:00,60,4,9999,NIL,NIL,3,29,25,1012,79,NIL,NIL,,,,,,
"['00:00', '05/04']",05/04 00:00,60,3,9999,NIL,2000,5,29,25,1013,79,NIL,NIL,,,,,,
"['01:00', '05/04']",05/04 01:00,60,5,9999,,2000,5,29,25,1013,79,NIL,,,,,,,
"['02:00', '05/04']",05/04 02:00,60,4,9999,,1500,5,29,25,1013,79,NIL,,,,,,,
"['03:00', '05/04']",05/04 03:00,60,3,9999,,NIL,3,29,25,1012,79,NIL,,,,,,,
"['04:00', '05/04']",05/04 04:00,60,2,9999,,NIL,3,29,25,1012,79,NIL,,,,,,,
"['05:00', '05/04']",05/04 05:00,120,3,9999,,NIL,3,29,25,1011,79,NIL,,,,,,,
"['06:00', '05/04']",05/04 06:00,110,3,9999,,NIL,3,28,25,1011,84,NIL,,,,,,,
"['07:00', '05/04']",05/04 07:00,80,4,9999,,NIL,3,29,25,1011,79,NIL,,,,,,,
"['08:00', '05/04']",05/04 08:00,0,0,9999,,1500,5,28,25,1011,84,NIL,,,,,,,
"['09:00', '05/04']",05/04 09:00,330,3,9999,,1500,5,27,25,1011,89,NIL,,,,,,,
"['10:00', '05/04']",05/04 10:00,320,3,9999,,1500,5,28,26,1012,89,NIL,,,,,,,
"['11:00', '05/04']",05/04 11:00,110,5,9999,,NIL,3,30,25,1012,75,NIL,,,,,,,
"['12:00', '05/04']",05/04 12:00,120,8,9999,,NIL,3,31,25,1013,71,NIL,,,,,,,
"['13:00', '05/04']",05/04 13:00,80,7,9999,,NIL,3,31,25,1013,71,NIL,,,,,,,
"['14:00', '05/04']",05/04 14:00,100,7,9999,,NIL,3,31,25,1012,71,NIL,,,,,,,
"['15:00', '05/04']",05/04 15:00,110,8,9999,,NIL,3,31,25,1012,71,NIL,,,,,,,
"['16:00', '05/04']",05/04 16:00,90,8,9999,,NIL,3,31,25,1011,71,NIL,,,,,,,
"['17:00', '05/04']",05/04 17:00,100,8,9999,,NIL,3,31,26,1010,75,NIL,,,,,,,
"['18:00', '05/04']",05/04 18:00,90,7,9999,,NIL,3,31,25,1010,71,100,,,,,,,
"['19:00', '05/04']",05/04 19:00,90,8,9999,,NIL,2,30,25,1010,75,90,,,,,,,
"['20:00', '05/04']",05/04 20:00,100,7,9999,,NIL,3,30,25,1011,75,100,,,,,,,
"['21:00', '05/04']",05/04 21:00,100,5,9999,,NIL,3,30,25,1012,75,NIL,,,,,,,
"['22:00', '05/04']",05/04 22:00,100,6,9999,,NIL,3,30,25,1012,75,100,,,,,,,
"['23:00', '05/04']",05/04 23:00,90,7,9999,,NIL,3,30,25,1013,75,NIL,,,,,,,
"['00:00', '06/04']",06/04 00:00,90,6,9999,,NIL,3,30,25,1014,75,90,,,,,,,
"['01:00', '06/04']",06/04 01:00,100,6,9999,,NIL,3,29,25,1014,79,NIL,,,,,,,
"['02:00', '06/04']",06/04 02:00,90,6,9999,,NIL,3,29,25,1014,79,NIL,,,,,,,
"['03:00', '06/04']",06/04 03:00,100,5,9999,,NIL,3,29,25,1013,79,NIL,,,,,,,
"['04:00', '06/04']",06/04 04:00,110,6,9999,,NIL,3,29,25,1012,79,NIL,,,,,,,
"['05:00', '06/04']",06/04 05:00,90,4,9999,,NIL,3,29,24,1012,74,NIL,,,,,,,
"['06:00', '06/04']",06/04 06:00,90,5,9999,,NIL,3,29,25,1012,79,NIL,,,,,,,
"['07:00', '06/04']",06/04 07:00,120,5,9999,,NIL,3,29,25,1012,79,NIL,,,,,,,
"['08:00', '06/04']",06/04 08:00,90,2,8000,,NIL,3,28,25,1012,84,NIL,,,,,,,
"['09:00', '06/04']",06/04 09:00,10,1,9999,,NIL,3,28,25,1013,84,NIL,,,,,,,
"['10:00', '06/04']",06/04 10:00,0,0,9999,,NIL,3,28,25,1013,84,NIL,,,,,,,
"['11:00', '06/04']",06/04 11:00,140,7,9999,,NIL,3,30,25,1014,75,130,,,,,,,
"['12:00', '06/04']",06/04 12:00,110,9,9999,,NIL,3,29,25,1015,79,NIL,,,,,,,
"['13:00', '06/04']",06/04 13:00,130,8,9999,,NIL,2,31,23,1015,63,NIL,,,,,,,
"['14:00', '06/04']",06/04 14:00,130,8,9999,,NIL,2,31,25,1014,71,NIL,,,,,,,
"['15:00', '06/04']",06/04 15:00,130,8,9999,,NIL,2,31,26,1013,75,130,,,,,,,
"['16:00', '06/04']",06/04 16:00,140,9,9999,,NIL,3,31,25,1013,71,140,,,,,,,
"['17:00', '06/04']",06/04 17:00,120,9,9999,,NIL,3,31,25,1012,71,NIL,,,,,,,
"['18:00', '06/04']",06/04 18:00,120,8,9999,,2000,5,31,25,1012,71,NIL,,,,,,,
"['19:00', '06/04']",06/04 19:00,120,9,9999,,NIL,3,30,25,1011,75,NIL,,,,,,,
"['20:00', '06/04']",06/04 20:00,130,8,9999,,NIL,3,30,24,1012,70,NIL,,,,,,,
"['21:00', '06/04']",06/04 21:00,130,8,9999,,NIL,3,29,24,1012,74,NIL,,,,,,,
"['22:00', '06/04']",06/04 22:00,130,7,9999,,NIL,3,29,24,1012,74,NIL,,,,,,,
"['23:00', '06/04']",06/04 23:00,130,7,9999,,NIL,3,29,24,1013,74,NIL,,,,,,,
"['00:00', '07/04']",07/04 00:00,130,7,9999,,NIL,3,29,24,1014,74,NIL,,,,,,,
"['01:00', '07/04']",07/04 01:00,120,6,9999,,NIL,3,29,23,1014,70,115,,,,,,,
"['02:00', '07/04']",07/04 02:00,120,5,9999,,NIL,3,29,24,1013,74,120,,,,,,,
"['03:00', '07/04']",07/04 03:00,140,6,9999,,2300,5,28,24,1012,79,NIL,,,,,,,
"['04:00', '07/04']",07/04 04:00,150,7,9999,,NIL,3,28,24,1012,79,NIL,,,,,,,
"['05:00', '07/04']",07/04 05:00,130,7,9999,,NIL,3,28,23,1012,74,NIL,,,,,,,
"['06:00', '07/04']",07/04 06:00,VRB,5,9999,,NIL,2,28,23,1012,74,NIL,,,,,,,
"['07:00', '07/04']",07/04 07:00,160,6,9999,,NIL,3,28,23,1011,74,175,,,,,,,
"['08:00', '07/04']",07/04 08:00,220,4,9999,,NIL,3,26,24,1011,89,NIL,,,,,,,
"['09:00', '07/04']",07/04 09:00,240,4,9999,,NIL,3,27,24,1012,84,NIL,,,,,,,
"['10:00', '07/04']",07/04 10:00,220,4,9999,,2500,5,27,24,1013,84,220,,,,,,,
"['11:00', '07/04']",07/04 11:00,120,5,9999,,2200,5,28,24,1013,79,120,,,,,,,
"['12:00', '07/04']",07/04 12:00,120,9,9999,,NIL,3,30,24,1014,70,120,,,,,,,
"['13:00', '07/04']",07/04 13:00,140,9,9999,,NIL,3,31,25,1014,71,140,,,,,,,
"['14:00', '07/04']",07/04 14:00,140,10,9999,,NIL,3,31,24,1013,66,130,,,,,,,
"['15:00', '07/04']",07/04 15:00,140,12,9999,,NIL,3,31,23,1013,63,135,,,,,,,
"['16:00', '07/04']",07/04 16:00,130,10,9999,,NIL,3,31,24,1012,66,NIL,,,,,,,
"['17:00', '07/04']",07/04 17:00,130,10,9999,,NIL,3,31,24,1011,66,135,,,,,,,
"['18:00', '07/04']",07/04 18:00,120,9,9999,,NIL,3,31,24,1011,66,125,,,,,,,
"['19:00', '07/04']",07/04 19:00,130,10,9999,,NIL,3,30,24,1011,70,NIL,,,,,,,
"['20:00', '07/04']",07/04 20:00,110,8,9999,,NIL,3,29,23,1012,70,NIL,,,,,,,
"['21:00', '07/04']",07/04 21:00,130,8,9999,,NIL,2,29,23,1012,70,NIL,,,,,,,
"['22:00', '07/04']",07/04 22:00,120,7,9999,,NIL,2,29,23,1012,70,NIL,,,,,,,
"['23:00', '07/04']",07/04 23:00,110,6,9999,,NIL,2,29,23,1013,70,NIL,,,,,,,
"['00:00', '08/04']",08/04 00:00,130,6,9999,,NIL,2,29,23,1013,70,NIL,,,,,,,
"['01:00', '08/04']",08/04 01:00,130,7,9999,,,2,29,23,1013,70,NIL,,,,,,,
"['02:00', '08/04']",08/04 02:00,120,7,9999,,,3,29,23,1013,70,NIL,,,,,,,
"['03:00', '08/04']",08/04 03:00,130,7,9999,,,3,28,23,1012,74,NIL,,,,,,,
"['04:00', '08/04']",08/04 04:00,130,7,9999,,,3,28,23,1012,74,NIL,,,,,,,
"['05:00', '08/04']",08/04 05:00,120,7,9999,,,3,29,23,1011,70,NIL,,,,,,,
"['06:00', '08/04']",08/04 06:00,120,4,9999,,,3,28,23,1011,74,NIL,,,,,,,
"['07:00', '08/04']",08/04 07:00,130,4,9999,,,3,28,23,1011,74,NIL,,,,,,,
"['08:00', '08/04']",08/04 08:00,230,4,9999,,,3,26,23,1011,84,NIL,,,,,,,
"['09:00', '08/04']",08/04 09:00,200,3,9999,,,3,26,23,1011,84,NIL,,,,,,,
"['10:00', '08/04']",08/04 10:00,220,4,9999,,,3,27,24,1012,84,NIL,,,,,,,
"['11:00', '08/04']",08/04 11:00,200,4,9999,,,3,29,24,1012,74,205,,,,,,,
"['12:00', '08/04']",08/04 12:00,150,9,9999,,,3,30,23,1012,66,NIL,,,,,,,
"['13:00', '08/04']",08/04 13:00,150,10,9999,,,3,30,24,1012,70,NIL,,,,,,,
"['14:00', '08/04']",08/04 14:00,140,9,9999,,,3,31,25,1011,71,NIL,,,,,,,
"['15:00', '08/04']",08/04 15:00,150,10,9999,,,3,31,25,1011,71,NIL,,,,,,,
"['16:00', '08/04']",08/04 16:00,130,11,9999,,,3,31,24,1010,66,NIL,,,,,,,
"['17:00', '08/04']",08/04 17:00,140,12,9999,,,3,31,23,1009,63,NIL,,,,,,,
"['18:00', '08/04']",08/04 18:00,130,9,9999,,,2,30,23,1009,66,135,,,,,,,
"['19:00', '08/04']",08/04 19:00,150,10,9999,,,2,30,24,1009,70,NIL,,,,,,,
"['20:00', '08/04']",08/04 20:00,140,9,9999,,,2,29,23,1010,70,NIL,,,,,,,
"['21:00', '08/04']",08/04 21:00,130,7,9999,,,2,29,23,1010,70,135,,,,,,,
"['22:00', '08/04']",08/04 22:00,130,6,9999,,,2,29,24,1011,74,NIL,,,,,,,
"['23:00', '08/04']",08/04 23:00,130,7,9999,,,2,29,23,1011,70,NIL,,,,,,,
"['00:00', '09/04']",09/04 00:00,140,5,9999,,,2,28,24,1012,79,NIL,,,,,,,
"['01:00', '09/04']",09/04 01:00,140,5,9999,NIL,,2,28,23,1012,74,NIL,,,,,,,
"['02:00', '09/04']",09/04 02:00,130,5,9999,NIL,,2,28,23,1012,74,NIL,,,,,,,
"['03:00', '09/04']",09/04 03:00,150,6,9999,NIL,,2,28,24,1011,79,NIL,,,,,,,
"['04:00', '09/04']",09/04 04:00,220,2,9999,NIL,,2,27,24,1011,84,NIL,,,,,,,
"['05:00', '09/04']",09/04 05:00,220,3,9999,1,,3,27,24,1011,84,NIL,,,,,,,
"['06:00', '09/04']",09/04 06:00,230,4,9999,NIL,,3,26,24,1010,89,NIL,,,,,,,
"['07:00', '09/04']",09/04 07:00,VRB,2,9999,NIL,,3,26,24,1010,89,NIL,,,,,,,
"['08:00', '09/04']",09/04 08:00,0,0,9999,NIL,,3,26,23,1011,84,NIL,,,,,,,
"['09:00', '09/04']",09/04 09:00,0,0,9999,NIL,,3,26,24,1011,89,NIL,,,,,,,
"['10:00', '09/04']",09/04 10:00,0,0,9999,NIL,,3,27,24,1012,84,NIL,,,,,,,
"['11:00', '09/04']",09/04 11:00,190,3,9999,NIL,,3,29,25,1012,79,180,,,,,,,
"['12:00', '09/04']",09/04 12:00,130,5,9999,NIL,,3,31,25,1012,71,125,,,,,,,
"['13:00', '09/04']",09/04 13:00,110,6,9999,NIL,,3,31,25,1012,71,115,,,,,,,
"['14:00', '09/04']",09/04 14:00,120,5,9999,NIL,,3,30,25,1011,75,120,,,,,,,
"['15:00', '09/04']",09/04 15:00,130,7,9999,NIL,,3,30,24,1011,70,125,,,,,,,
"['16:00', '09/04']",09/04 16:00,120,7,9999,NIL,,3,31,25,1010,71,115,,,,,,,
"['17:00', '09/04']",09/04 17:00,100,6,9999,NIL,,3,30,25,1010,75,NIL,,,,,,,
"['18:00', '09/04']",09/04 18:00,110,7,9999,NIL,,3,30,24,1009,70,100,,,,,,,
"['19:00', '09/04']",09/04 19:00,90,6,9999,NIL,,2,30,24,1009,70,90,,,,,,,
"['20:00', '09/04']",09/04 20:00,110,7,9999,NIL,,NIL,30,24,1009,70,NIL,,,,,,,
"['21:00', '09/04']",09/04 21:00,110,7,9999,NIL,,NIL,29,24,1010,74,NIL,,,,,,,
"['22:00', '09/04']",09/04 22:00,110,6,9999,NIL,,2,29,24,1010,74,NIL,,,,,,,
"['23:00', '09/04']",09/04 23:00,110,6,9999,NIL,,3,29,24,1011,74,105,,,,,,,
"['00:00', '10/04']",10/04 00:00,110,5,9999,NIL,,3,29,24,1012,74,110,,,,,,,
"['01:00', '10/04']",10/04 01:00,110,5,9999,,NIL,3,29,24,1012,74,100,,,,,,,
"['02:00', '10/04']",10/04 02:00,110,5,9999,,NIL,3,29,24,1012,74,NIL,,,,,,,
"['03:00', '10/04']",10/04 03:00,110,3,9999,,NIL,3,29,24,1011,74,100,,,,,,,
"['04:00', '10/04']",10/04 04:00,130,4,9999,,NIL,3,29,24,1011,74,NIL,,,,,,,
"['05:00', '10/04']",10/04 05:00,220,3,9999,,2200,5,28,24,1011,79,200,,,,,,,
"['06:00', '10/04']",10/04 06:00,220,3,9999,,NIL,3,27,24,1011,84,NIL,,,,,,,
"['07:00', '10/04']",10/04 07:00,VRB,2,9999,,NIL,2,26,24,1011,89,NIL,,,,,,,
"['08:00', '10/04']",10/04 08:00,0,0,9999,,NIL,3,26,24,1011,89,NIL,,,,,,,
"['09:00', '10/04']",10/04 09:00,210,2,9999,,NIL,2,26,24,1011,89,NIL,,,,,,,
"['10:00', '10/04']",10/04 10:00,190,4,9999,,NIL,3,28,25,1012,84,NIL,,,,,,,
"['11:00', '10/04']",10/04 11:00,VRB,5,9999,,NIL,3,30,25,1012,75,NIL,,,,,,,
"['12:00', '10/04']",10/04 12:00,100,7,9999,,NIL,3,31,25,1013,71,NIL,,,,,,,
"['13:00', '10/04']",10/04 13:00,120,8,9999,,NIL,3,31,25,1013,71,110,,,,,,,
"['14:00', '10/04']",10/04 14:00,120,9,9999,,NIL,3,31,25,1013,71,NIL,,,,,,,
"['15:00', '10/04']",10/04 15:00,90,7,9999,,NIL,3,32,25,1012,67,85,,,,,,,
"['16:00', '10/04']",10/04 16:00,120,7,9999,,NIL,3,32,25,1011,67,135,,,,,,,
"['17:00', '10/04']",10/04 17:00,100,8,9999,,NIL,3,31,25,1010,71,NIL,,,,,,,
"['18:00', '10/04']",10/04 18:00,120,9,9999,,NIL,3,31,25,1010,71,NIL,,,,,,,
"['19:00', '10/04']",10/04 19:00,90,7,9999,,NIL,3,31,25,1010,71,85,,,,,,,
"['20:00', '10/04']",10/04 20:00,110,7,9999,,NIL,3,30,25,1010,75,NIL,,,,,,,
"['21:00', '10/04']",10/04 21:00,90,7,9999,,NIL,3,30,25,1011,75,NIL,,,,,,,
"['22:00', '10/04']",10/04 22:00,80,5,9999,,NIL,3,30,25,1011,75,95,,,,,,,
"['23:00', '10/04']",10/04 23:00,80,6,9999,,NIL,3,30,25,1012,75,NIL,,,,,,,
"['00:00', '11/04']",11/04 00:00,90,6,9999,,NIL,3,30,25,1012,75,95,,,,,,,
"['01:00', '11/04']",11/04 01:00,100,5,9999,NIL,NIL,3,29,24,1013,74,NIL,,,,,,,
"['02:00', '11/04']",11/04 02:00,100,4,9999,NIL,NIL,3,29,25,1012,79,NIL,,,,,,,
"['03:00', '11/04']",11/04 03:00,70,2,9999,NIL,NIL,3,29,24,1012,74,NIL,,,,,,,
"['04:00', '11/04']",11/04 04:00,170,5,5000,1,NIL,3,28,25,1012,84,175,,,,,,,
"['05:00', '11/04']",11/04 05:00,90,6,9999,NIL,1700,5,27,26,1011,94,NIL,,,,,,,
"['06:00', '11/04']",11/04 06:00,310,2,9999,NIL,NIL,3,27,25,1011,89,NIL,,,,,,,
"['07:00', '11/04']",11/04 07:00,20,1,9999,NIL,NIL,3,27,25,1011,89,NIL,,,,,,,
"['08:00', '11/04']",11/04 08:00,270,2,9999,NIL,2000,5,26,25,1011,94,NIL,,,,,,,
"['09:00', '11/04']",11/04 09:00,330,2,9999,NIL,NIL,3,27,25,1011,89,NIL,,,,,,,
"['10:00', '11/04']",11/04 10:00,90,7,9999,NIL,NIL,3,29,25,1012,79,NIL,,,,,,,
"['11:00', '11/04']",11/04 11:00,80,6,9999,NIL,NIL,3,31,24,1013,66,NIL,,,,,,,
"['12:00', '11/04']",11/04 12:00,100,7,9999,NIL,NIL,3,30,24,1013,70,NIL,,,,,,,
"['13:00', '11/04']",11/04 13:00,90,6,9999,NIL,NIL,3,31,24,1013,66,250,,,,,,,
"['14:00', '11/04']",11/04 14:00,VRB,6,9999,NIL,NIL,3,32,25,1012,67,NIL,,,,,,,
"['15:00', '11/04']",11/04 15:00,90,6,9999,NIL,NIL,3,31,24,1012,66,95,,,,,,,
"['16:00', '11/04']",11/04 16:00,90,7,9999,NIL,NIL,3,31,25,1011,71,NIL,,,,,,,
"['17:00', '11/04']",11/04 17:00,80,7,9999,NIL,NIL,2,32,25,1010,67,90,,,,,,,
"['18:00', '11/04']",11/04 18:00,100,9,9999,NIL,NIL,2,31,23,1010,63,95,,,,,,,
"['19:00', '11/04']",11/04 19:00,100,7,9999,NIL,NIL,2,30,24,1010,70,105,,,,,,,
"['20:00', '11/04']",11/04 20:00,100,7,9999,NIL,NIL,2,30,24,1011,70,100,,,,,,,
"['21:00', '11/04']",11/04 21:00,110,6,9999,NIL,NIL,2,29,23,1011,70,110,,,,,,,
"['22:00', '11/04']",11/04 22:00,120,7,9999,NIL,NIL,2,29,24,1011,74,110,,,,,,,
"['23:00', '11/04']",11/04 23:00,120,8,9999,NIL,NIL,2,29,23,1012,70,NIL,,,,,,,
"['00:00', '12/04']",12/04 00:00,120,6,9999,NIL,NIL,2,29,23,1013,70,NIL,,,,,,,
"['01:00', '12/04']",12/04 01:00,110,5,9999,NIL,NIL,2,29,23,1013,70,NIL,,,,,,,
"['02:00', '12/04']",12/04 02:00,110,6,9999,NIL,NIL,2,29,23,1013,70,NIL,,,,,,,
"['03:00', '12/04']",12/04 03:00,110,4,9999,NIL,NIL,2,29,24,1012,74,105,,,,,,,
"['04:00', '12/04']",12/04 04:00,110,6,9999,NIL,NIL,2,29,24,1012,74,NIL,,,,,,,
"['05:00', '12/04']",12/04 05:00,100,4,9999,NIL,NIL,2,28,23,1012,74,NIL,,,,,,,
"['06:00', '12/04']",12/04 06:00,100,5,9999,NIL,NIL,2,29,23,1012,70,NIL,,,,,,,
"['07:00', '12/04']",12/04 07:00,120,3,9999,NIL,NIL,2,28,23,1012,74,125,,,,,,,
"['08:00', '12/04']",12/04 08:00,280,3,8000,1,NIL,3,27,24,1012,84,NIL,,,,,,,
"['09:00', '12/04']",12/04 09:00,250,4,9999,NIL,2000,5,27,24,1012,84,280,,,,,,,
"['10:00', '12/04']",12/04 10:00,290,3,9000,NIL,NIL,3,28,25,1012,84,280,,,,,,,
"['11:00', '12/04']",12/04 11:00,110,9,9999,NIL,NIL,2,30,24,1013,70,115,,,,,,,
"['12:00', '12/04']",12/04 12:00,120,8,9999,NIL,NIL,3,31,24,1014,66,95,,,,,,,
"['13:00', '12/04']",12/04 13:00,100,8,9999,NIL,NIL,2,31,24,1013,66,90,,,,,,,
"['14:00', '12/04']",12/04 14:00,120,8,9999,NIL,NIL,2,31,23,1013,63,120,,,,,,,
"['15:00', '12/04']",12/04 15:00,90,8,9999,NIL,NIL,2,31,23,1012,63,90,,,,,,,
"['16:00', '12/04']",12/04 16:00,130,6,9999,NIL,NIL,2,31,24,1011,66,110,,,,,,,
"['17:00', '12/04']",12/04 17:00,120,8,9999,NIL,NIL,3,31,23,1011,63,105,,,,,,,
"['18:00', '12/04']",12/04 18:00,100,7,9999,NIL,NIL,3,31,24,1010,66,NIL,,,,,,,
"['19:00', '12/04']",12/04 19:00,130,8,9999,NIL,NIL,3,30,24,1011,70,NIL,,,,,,,
"['20:00', '12/04']",12/04 20:00,120,7,9999,NIL,NIL,2,30,23,1010,66,NIL,,,,,,,
"['21:00', '12/04']",12/04 21:00,110,6,9999,NIL,NIL,2,29,23,1011,70,105,,,,,,,
"['22:00', '12/04']",12/04 22:00,120,7,9999,NIL,NIL,3,29,24,1011,74,NIL,,,,,,,
"['23:00', '12/04']",12/04 23:00,100,5,9999,NIL,NIL,3,29,23,1012,70,NIL,,,,,,,
