validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,chuva,teto,cobertura,tt,po,qnh,ur,vnt_vrb,pancada,trovoada,nevoa_umida,vnt_rajada,vis_setor,vis_setor_dir,chuvisco
"['23:00', '05/07']",05/07 23:00,130,14,9999,NIL,2500,5,26,23,1014,84,130,,,NIL,NIL,,,
"['00:00', '06/07']",06/07 00:00,120,9,9999,NIL,7000,5,26,22,1014,79,NIL,,,NIL,NIL,,,
"['01:00', '06/07']",06/07 01:00,140,10,8000,NIL,5000,5,26,23,1014,84,NIL,,,NIL,,,,
"['02:00', '06/07']",06/07 02:00,140,8,8000,NIL,6000,5,25,23,1014,89,NIL,,,NIL,,,,
"['03:00', '06/07']",06/07 03:00,140,9,9999,NIL,NIL,3,26,22,1014,79,NIL,,,NIL,,,,
"['04:00', '06/07']",06/07 04:00,150,15,5000,1,1500,5,24,22,1013,89,NIL,,,1,,,,
"['05:00', '06/07']",06/07 05:00,160,10,5000,1,1500,5,25,23,1013,89,NIL,,,1,,,,
"['06:00', '06/07']",06/07 06:00,120,12,5000,1,1400,5,25,22,1013,83,NIL,,,1,,,,
"['07:00', '06/07']",06/07 07:00,140,8,8000,NIL,NIL,3,25,22,1012,83,NIL,,,NIL,,,,
"['08:00', '06/07']",06/07 08:00,140,12,9999,NIL,NIL,3,26,22,1012,79,NIL,,,NIL,,,,
"['09:00', '06/07']",06/07 09:00,140,9,9999,NIL,NIL,3,26,22,1013,79,NIL,,,NIL,,,,
"['10:00', '06/07']",06/07 10:00,130,9,9999,NIL,6000,5,26,22,1014,79,NIL,,,NIL,,,,
"['11:00', '06/07']",06/07 11:00,150,12,9999,NIL,NIL,3,27,23,1014,79,NIL,,,NIL,,,,
"['12:00', '06/07']",06/07 12:00,150,15,9999,NIL,NIL,3,26,23,1015,84,NIL,,,NIL,,,,
"['13:00', '06/07']",06/07 13:00,150,12,9999,NIL,5000,5,26,22,1015,79,NIL,,,NIL,,,,
"['14:00', '06/07']",06/07 14:00,140,14,9999,NIL,NIL,3,28,22,1014,70,NIL,,,NIL,,,,
"['15:00', '06/07']",06/07 15:00,160,16,9999,NIL,5000,5,28,22,1014,70,NIL,,,NIL,,,,
"['16:00', '06/07']",06/07 16:00,150,15,9999,NIL,NIL,3,28,21,1013,66,NIL,,,NIL,,,,
"['17:00', '06/07']",06/07 17:00,150,15,9999,NIL,NIL,3,27,21,1012,70,NIL,,,NIL,,,,
"['18:00', '06/07']",06/07 18:00,160,14,9999,NIL,NIL,3,28,21,1012,66,NIL,,,NIL,,,,
"['19:00', '06/07']",06/07 19:00,170,14,9999,NIL,NIL,3,27,21,1012,70,NIL,,,NIL,,,,
"['20:00', '06/07']",06/07 20:00,170,12,9999,NIL,NIL,3,26,20,1013,70,NIL,,,NIL,,,,
"['21:00', '06/07']",06/07 21:00,180,9,9999,NIL,NIL,2,26,20,1013,70,NIL,,,NIL,,,,
"['22:00', '06/07']",06/07 22:00,190,6,9999,NIL,NIL,3,25,20,1013,74,190,,,NIL,,,,
"['23:00', '06/07']",06/07 23:00,210,5,9999,NIL,NIL,3,24,20,1014,78,195,,,NIL,,,,
"['00:00', '07/07']",07/07 00:00,210,6,9999,NIL,NIL,3,24,20,1014,78,NIL,,,NIL,,,,
"['01:00', '07/07']",07/07 01:00,210,7,9999,NIL,2000,5,23,21,1015,89,NIL,,,,,,,
"['02:00', '07/07']",07/07 02:00,230,5,9999,NIL,2500,5,23,21,1014,89,NIL,,,,,,,
"['03:00', '07/07']",07/07 03:00,130,4,9999,1,4000,5,23,21,1014,89,NIL,,,,,,,
"['04:00', '07/07']",07/07 04:00,0,0,9999,NIL,NIL,3,22,21,1014,94,NIL,,,,,,,
"['05:00', '07/07']",07/07 05:00,250,2,9999,NIL,NIL,3,22,20,1013,88,NIL,,,,,,,
"['06:00', '07/07']",07/07 06:00,260,2,9999,NIL,NIL,3,22,20,1013,88,NIL,,,,,,,
"['07:00', '07/07']",07/07 07:00,220,4,9999,NIL,NIL,2,22,20,1013,88,NIL,,,,,,,
"['08:00', '07/07']",07/07 08:00,230,4,9999,NIL,NIL,2,22,20,1013,88,NIL,,,,,,,
"['09:00', '07/07']",07/07 09:00,220,3,9999,NIL,NIL,2,22,20,1013,88,NIL,,,,,,,
"['10:00', '07/07']",07/07 10:00,200,6,9999,NIL,NIL,3,23,21,1014,89,NIL,,,,,,,
"['11:00', '07/07']",07/07 11:00,210,6,9999,NIL,NIL,2,25,21,1014,79,210,,,,,,,
"['12:00', '07/07']",07/07 12:00,200,5,9999,NIL,NIL,3,27,21,1015,70,200,,,,,,,
"['13:00', '07/07']",07/07 13:00,160,10,9999,NIL,NIL,3,28,21,1014,66,NIL,,,,,,,
"['14:00', '07/07']",07/07 14:00,160,11,9999,NIL,NIL,3,28,21,1014,66,NIL,,,,,,,
"['15:00', '07/07']",07/07 15:00,170,10,9999,NIL,NIL,3,28,21,1013,66,NIL,,,,,,,
"['16:00', '07/07']",07/07 16:00,150,12,9999,NIL,NIL,3,28,21,1013,66,150,,,,,,,
"['17:00', '07/07']",07/07 17:00,160,15,9999,NIL,NIL,3,28,22,1012,70,NIL,,,,,,,
"['18:00', '07/07']",07/07 18:00,160,12,9999,NIL,NIL,3,27,21,1012,70,NIL,,,,,,,
"['19:00', '07/07']",07/07 19:00,170,9,9999,NIL,NIL,3,27,20,1012,66,170,,,,,,,
"['20:00', '07/07']",07/07 20:00,190,8,9999,NIL,NIL,3,26,21,1013,74,NIL,,,,,,,
"['21:00', '07/07']",07/07 21:00,190,7,9999,NIL,6000,5,25,21,1013,79,NIL,,,,,,,
"['22:00', '07/07']",07/07 22:00,200,6,9999,NIL,6000,5,25,21,1013,79,NIL,,,,,,,
"['23:00', '07/07']",07/07 23:00,210,6,9999,NIL,NIL,3,24,21,1013,83,NIL,,,,,,,
"['00:00', '08/07']",08/07 00:00,200,4,9999,NIL,NIL,3,24,21,1014,83,NIL,,,,,,,
"['01:00', '08/07']",08/07 01:00,VRB,2,9999,NIL,NIL,3,23,21,1014,89,NIL,,,,,,,
"['02:00', '08/07']",08/07 02:00,220,3,9999,NIL,NIL,3,23,21,1014,89,220,,,,,,,
"['03:00', '08/07']",08/07 03:00,240,4,9999,NIL,NIL,3,23,21,1013,89,240,,,,,,,
"['04:00', '08/07']",08/07 04:00,340,3,5000,1,1800,5,23,21,1013,89,150,,,,,,,
"['05:00', '08/07']",08/07 05:00,270,3,8000,NIL,NIL,3,23,21,1012,89,NIL,,,,,,,
"['06:00', '08/07']",08/07 06:00,0,0,9999,NIL,5000,5,23,21,1012,89,NIL,,,,,,,
"['07:00', '08/07']",08/07 07:00,320,2,9999,NIL,5000,5,22,21,1012,94,NIL,,,,,,,
"['08:00', '08/07']",08/07 08:00,240,5,9000,1,5000,5,23,21,1013,89,NIL,,,,,,,
"['09:00', '08/07']",08/07 09:00,270,2,9999,NIL,5000,5,22,21,1013,94,NIL,,,,,,,
"['10:00', '08/07']",08/07 10:00,220,5,9999,NIL,5000,5,23,21,1013,89,220,,,,,,,
"['11:00', '08/07']",08/07 11:00,250,4,9999,NIL,4000,5,24,22,1014,89,245,,,,,,,
"['12:00', '08/07']",08/07 12:00,230,3,9999,NIL,5000,5,26,22,1014,79,225,,,,,,,
"['13:00', '08/07']",08/07 13:00,190,4,9999,NIL,6000,5,27,23,1014,79,185,,,,,,,
"['14:00', '08/07']",08/07 14:00,VRB,5,9999,NIL,NIL,3,28,22,1014,70,NIL,,,,,,,
"['15:00', '08/07']",08/07 15:00,VRB,5,9999,NIL,NIL,3,29,22,1013,66,NIL,,,,,,,
"['16:00', '08/07']",08/07 16:00,130,6,9999,NIL,NIL,3,29,22,1013,66,115,,,,,,,
"['17:00', '08/07']",08/07 17:00,140,6,9999,NIL,NIL,3,29,23,1012,70,NIL,,,,,,,
"['18:00', '08/07']",08/07 18:00,150,9,9999,NIL,NIL,3,28,23,1012,74,NIL,,,,,,,
"['19:00', '08/07']",08/07 19:00,160,9,9999,NIL,NIL,2,27,23,1013,79,NIL,,,,,,,
"['20:00', '08/07']",08/07 20:00,160,9,9999,NIL,NIL,2,26,23,1013,84,NIL,,,,,,,
"['21:00', '08/07']",08/07 21:00,170,7,9999,NIL,NIL,NIL,26,23,1013,84,NIL,,,,,,,
"['22:00', '08/07']",08/07 22:00,160,9,9999,NIL,NIL,3,26,23,1014,84,NIL,,,,,,,
"['23:00', '08/07']",08/07 23:00,180,6,9999,NIL,NIL,2,26,23,1014,84,NIL,,,,,,,
"['00:00', '09/07']",09/07 00:00,220,4,9999,NIL,NIL,3,25,23,1015,89,NIL,,,,,,,
"['01:00', '09/07']",09/07 01:00,220,4,9999,,NIL,2,25,23,1015,89,NIL,,,,,,,
"['02:00', '09/07']",09/07 02:00,210,4,9999,,NIL,3,25,23,1015,89,NIL,,,,,,,
"['03:00', '09/07']",09/07 03:00,200,5,9999,,NIL,3,24,22,1015,89,NIL,,,,,,,
"['04:00', '09/07']",09/07 04:00,210,5,9999,,NIL,3,24,22,1014,89,NIL,,,,,,,
"['05:00', '09/07']",09/07 05:00,190,5,9999,,NIL,3,24,23,1014,94,190,,,,,,,
"['06:00', '09/07']",09/07 06:00,240,3,9999,,NIL,3,24,23,1014,94,230,,,,,,,
"['07:00', '09/07']",09/07 07:00,VRB,5,9999,,NIL,3,26,23,1014,84,NIL,,,,,,,
"['08:00', '09/07']",09/07 08:00,130,6,9999,,NIL,3,26,23,1014,84,115,,,,,,,
"['09:00', '09/07']",09/07 09:00,130,7,9999,,2000,5,27,23,1014,79,NIL,,,,,,,
"['10:00', '09/07']",09/07 10:00,120,7,9999,,6000,5,26,22,1014,79,NIL,,,,,,,
"['11:00', '09/07']",09/07 11:00,0,0,9999,,2000,5,27,24,1015,84,NIL,,,,,,,
"['12:00', '09/07']",09/07 12:00,80,4,9999,,2000,5,26,23,1016,84,NIL,,,,,,,
"['13:00', '09/07']",09/07 13:00,110,8,9999,,6000,5,29,23,1016,70,NIL,,,,,,,
"['14:00', '09/07']",09/07 14:00,110,8,9999,,2000,5,28,23,1016,74,NIL,,,,,,,
"['15:00', '09/07']",09/07 15:00,100,8,9999,,7000,5,29,23,1015,70,NIL,,,,,,,
"['16:00', '09/07']",09/07 16:00,100,10,9999,,9000,5,29,23,1015,70,NIL,,,,,,,
"['17:00', '09/07']",09/07 17:00,100,9,9999,,9000,5,29,22,1015,66,NIL,,,,,,,
"['18:00', '09/07']",09/07 18:00,120,9,9999,,NIL,3,28,22,1015,70,110,,,,,,,
"['19:00', '09/07']",09/07 19:00,100,8,9999,,5000,5,28,22,1015,70,100,,,,,,,
"['20:00', '09/07']",09/07 20:00,110,6,9999,,5000,5,28,22,1015,70,105,,,,,,,
"['21:00', '09/07']",09/07 21:00,120,6,9999,,2300,5,27,22,1015,74,120,,,,,,,
"['22:00', '09/07']",09/07 22:00,120,7,9999,,5000,5,27,23,1016,79,120,,,,,,,
"['23:00', '09/07']",09/07 23:00,140,6,9999,,NIL,3,27,23,1016,79,NIL,,,,,,,
"['00:00', '10/07']",10/07 00:00,110,4,9999,,2000,5,26,23,1017,84,NIL,,,,,,,
"['01:00', '10/07']",10/07 01:00,130,6,9999,NIL,NIL,3,26,23,1016,84,NIL,,,,,,,
"['02:00', '10/07']",10/07 02:00,130,6,9999,NIL,2000,5,26,22,1016,79,NIL,,,,,,,
"['03:00', '10/07']",10/07 03:00,130,5,9999,NIL,2000,5,26,22,1016,79,NIL,,,,,,,
"['04:00', '10/07']",10/07 04:00,130,6,9999,NIL,NIL,3,25,22,1016,83,NIL,,,,,,,
"['05:00', '10/07']",10/07 05:00,130,8,9999,NIL,NIL,3,26,22,1015,79,NIL,,,,,,,
"['06:00', '10/07']",10/07 06:00,130,5,9999,1,2000,5,26,22,1015,79,NIL,,,,,,,
"['07:00', '10/07']",10/07 07:00,140,6,9999,NIL,NIL,3,25,22,1015,83,NIL,,,,,,,
"['08:00', '10/07']",10/07 08:00,120,7,9999,NIL,NIL,3,26,22,1015,79,NIL,,,,,,,
"['09:00', '10/07']",10/07 09:00,120,4,9999,NIL,NIL,3,26,22,1015,79,NIL,,,,,,,
"['10:00', '10/07']",10/07 10:00,120,6,9999,NIL,2000,5,27,22,1016,74,NIL,,,,,,,
"['11:00', '10/07']",10/07 11:00,120,9,9999,NIL,NIL,3,28,22,1016,70,110,,,,,,,
"['12:00', '10/07']",10/07 12:00,120,10,9999,NIL,NIL,3,28,23,1016,74,130,,,,,,,
"['13:00', '10/07']",10/07 13:00,120,8,9999,NIL,2200,5,29,23,1016,70,120,,,,,,,
"['14:00', '10/07']",10/07 14:00,130,10,9999,NIL,NIL,3,29,23,1016,70,125,,,,,,,
"['15:00', '10/07']",10/07 15:00,140,10,9999,NIL,NIL,3,29,23,1015,70,130,,,,,,,
"['16:00', '10/07']",10/07 16:00,150,10,9999,NIL,2500,5,28,23,1015,74,150,,,,,,,
"['17:00', '10/07']",10/07 17:00,160,11,9999,NIL,2300,5,29,23,1014,70,NIL,,,,,,,
