validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,nevoeiro,nevoa_umida,chuvisco,pancada,vis_setor,vis_setor_dir,vnt_vrb
"['18:00', '09/02']",09/02 18:00,300,12,9999,NIL,,8000,5,26,19,1018,65,NIL,NIL,NIL,,,,,
"['18:16', '09/02']",09/02 18:16,260,16,2000,1,,3000,5,20,19,1019,94,29,NIL,1,,,,,
"['19:00', '09/02']",09/02 19:00,240,3,4000,1,,8000,5,20,20,1018,100,NIL,NIL,1,,,,,
"['19:35', '09/02']",09/02 19:35,210,3,9999,NIL,,8000,5,24,21,1018,83,NIL,NIL,NIL,,,,,
"['20:00', '09/02']",09/02 20:00,270,7,9999,NIL,,NIL,3,25,19,1018,69,NIL,NIL,NIL,,,,,
"['21:00', '09/02']",09/02 21:00,270,5,9999,NIL,,NIL,3,24,20,1018,78,NIL,NIL,NIL,,,,,
"['22:00', '09/02']",09/02 22:00,310,4,9999,NIL,,NIL,3,23,19,1018,78,NIL,NIL,NIL,,,,,
"['23:00', '09/02']",09/02 23:00,30,7,9999,NIL,,NIL,2,22,19,1019,83,NIL,NIL,NIL,,,,,
"['00:00', '10/02']",10/02 00:00,10,5,9999,NIL,,NIL,3,22,19,1020,83,NIL,NIL,NIL,,,,,
"['01:00', '10/02']",10/02 01:00,350,7,9999,,,8000,5,21,18,1021,83,,,,,,,,
"['02:00', '10/02']",10/02 02:00,340,6,9999,,,NIL,NIL,21,18,1021,83,,,,,,,,
"['03:00', '10/02']",10/02 03:00,350,9,9999,,,NIL,NIL,21,18,1020,83,,,,,,,,
"['04:00', '10/02']",10/02 04:00,340,8,9999,,,4500,5,20,18,1020,88,,,,,,,,
"['05:00', '10/02']",10/02 05:00,350,8,9999,,,4500,5,20,18,1020,88,,,,,,,,
"['06:00', '10/02']",10/02 06:00,320,4,9999,,,4500,5,21,18,1019,83,,,,,,,,
"['07:00', '10/02']",10/02 07:00,340,6,9999,,,4500,5,20,19,1019,94,,,,,,,,
"['08:00', '10/02']",10/02 08:00,320,4,9999,,,NIL,3,20,19,1019,94,,,,,,,,
"['09:00', '10/02']",10/02 09:00,340,7,9999,,,7000,5,20,19,1020,94,,,,,,,,
"['10:00', '10/02']",10/02 10:00,320,7,9999,,,8000,5,21,19,1021,88,,,,,,,,
"['11:00', '10/02']",10/02 11:00,300,10,9999,,,8000,5,22,18,1021,78,,,,,,,,
"['12:00', '10/02']",10/02 12:00,310,7,9999,,,8000,5,22,18,1022,78,,,,,,,,
"['13:00', '10/02']",10/02 13:00,310,9,9999,,,9000,5,23,19,1022,78,,,,,,,,
"['14:00', '10/02']",10/02 14:00,300,9,9999,,,10000,5,25,19,1021,69,,,,,,,,
"['15:00', '10/02']",10/02 15:00,310,11,9999,,,3500,5,27,19,1020,62,,,,,,,,
"['16:00', '10/02']",10/02 16:00,290,8,9999,,,3500,5,27,19,1020,62,,,,,,,,
"['17:00', '10/02']",10/02 17:00,280,11,9999,,,4000,5,28,19,1018,58,,,,,,,,
"['18:00', '10/02']",10/02 18:00,270,9,9999,,,4000,5,29,18,1018,52,,,,,,,,
"['19:00', '10/02']",10/02 19:00,290,10,9999,,,4000,5,27,18,1017,58,,,,,,,,
"['20:00', '10/02']",10/02 20:00,330,9,9999,,,4500,5,28,18,1017,55,,,,,,,,
"['21:00', '10/02']",10/02 21:00,310,6,9999,,,NIL,3,26,18,1017,61,,,,,,,,
"['22:00', '10/02']",10/02 22:00,310,5,9999,,,NIL,3,25,19,1018,69,,,,,,,,
"['23:00', '10/02']",10/02 23:00,270,2,9999,,,NIL,3,24,18,1018,69,,,,,,,,
"['00:00', '11/02']",11/02 00:00,280,2,9999,,,NIL,3,24,19,1019,74,,,,,,,,
"['01:00', '11/02']",11/02 01:00,210,12,9999,NIL,NIL,10000,5,22,18,1020,78,,NIL,NIL,NIL,,,,
"['02:00', '11/02']",11/02 02:00,230,7,9999,NIL,NIL,10000,5,22,18,1020,78,,NIL,NIL,NIL,,,,
"['03:00', '11/02']",11/02 03:00,160,5,9999,NIL,NIL,10000,5,20,18,1019,88,,NIL,NIL,NIL,,,,
"['04:00', '11/02']",11/02 04:00,160,2,9999,NIL,NIL,NIL,3,20,19,1019,94,,NIL,NIL,NIL,,,,
"['05:00', '11/02']",11/02 05:00,140,3,9999,NIL,NIL,NIL,3,20,18,1019,88,,NIL,NIL,NIL,,,,
"['06:00', '11/02']",11/02 06:00,230,2,9999,NIL,NIL,NIL,3,20,16,1018,78,,NIL,NIL,NIL,,,,
"['07:00', '11/02']",11/02 07:00,210,3,9999,NIL,NIL,NIL,3,19,19,1017,100,,NIL,NIL,NIL,,,,
"['08:00', '11/02']",11/02 08:00,210,3,9999,NIL,NIL,NIL,3,20,19,1018,94,,NIL,NIL,NIL,,,,
"['09:00', '11/02']",11/02 09:00,310,1,9999,NIL,NIL,3000,5,20,19,1018,94,,NIL,NIL,NIL,,,,
"['10:00', '11/02']",11/02 10:00,180,3,3000,NIL,NIL,3000,5,20,20,1019,100,,1,NIL,NIL,,,,
"['11:00', '11/02']",11/02 11:00,90,2,3000,1,NIL,3500,5,20,20,1020,100,,NIL,NIL,NIL,,,,
"['12:00', '11/02']",11/02 12:00,110,2,5000,1,NIL,4500,5,22,20,1020,88,,NIL,1,NIL,,,,
"['12:38', '11/02']",11/02 12:38,160,2,9999,NIL,NIL,800,5,23,20,1020,83,,NIL,NIL,NIL,,,,
"['13:00', '11/02']",11/02 13:00,0,0,9999,NIL,NIL,1100,5,24,20,1020,78,,NIL,NIL,NIL,,,,
"['14:00', '11/02']",11/02 14:00,20,7,7000,NIL,NIL,3000,5,23,21,1020,89,,NIL,NIL,NIL,,,,
"['15:00', '11/02']",11/02 15:00,340,12,9999,NIL,NIL,1100,5,25,21,1019,79,,NIL,NIL,NIL,,,,
"['15:22', '11/02']",11/02 15:22,320,3,4000,1,NIL,1300,5,22,20,1019,88,,NIL,NIL,NIL,,,,
"['16:00', '11/02']",11/02 16:00,310,6,4000,1,1,3000,5,22,21,1019,94,,NIL,NIL,NIL,,,,
"['17:00', '11/02']",11/02 17:00,320,7,7000,NIL,1,1200,5,22,19,1018,83,,NIL,NIL,NIL,,,,
"['18:00', '11/02']",11/02 18:00,320,3,9999,NIL,NIL,10000,5,23,19,1018,78,,NIL,NIL,NIL,,,,
"['19:00', '11/02']",11/02 19:00,340,4,9999,NIL,NIL,10000,5,22,21,1017,94,,NIL,NIL,NIL,,,,
"['20:00', '11/02']",11/02 20:00,320,2,9999,NIL,NIL,10000,5,23,19,1017,78,,NIL,NIL,NIL,,,,
"['21:00', '11/02']",11/02 21:00,240,3,7000,NIL,NIL,10000,5,22,21,1017,94,,NIL,NIL,1,,,,
"['22:00', '11/02']",11/02 22:00,150,3,7000,1,NIL,8000,5,21,21,1018,100,,NIL,NIL,NIL,,,,
"['23:00', '11/02']",11/02 23:00,140,4,7000,NIL,NIL,8000,5,21,21,1018,100,,NIL,NIL,1,,,,
"['23:41', '11/02']",11/02 23:41,150,3,4000,1,NIL,7000,5,21,21,1018,100,,NIL,NIL,NIL,,,,
"['00:00', '12/02']",12/02 00:00,140,3,3000,1,NIL,7000,5,21,21,1018,100,,NIL,1,NIL,,,,
"['01:00', '12/02']",12/02 01:00,70,7,4000,1,,8000,5,21,20,1019,94,,NIL,1,NIL,,,,NIL
"['02:00', '12/02']",12/02 02:00,80,6,9999,NIL,,10000,5,21,20,1019,94,,NIL,NIL,NIL,,,,NIL
"['03:00', '12/02']",12/02 03:00,80,5,9999,NIL,,4500,5,21,20,1019,94,,NIL,NIL,NIL,,,,NIL
"['03:26', '12/02']",12/02 03:26,160,4,800,NIL,,10000,5,20,20,1018,100,,1,NIL,NIL,,,,NIL
"['04:00', '12/02']",12/02 04:00,180,4,2000,NIL,,10000,5,20,20,1018,100,,NIL,1,NIL,,,,NIL
"['05:00', '12/02']",12/02 05:00,140,6,3000,1,,4500,5,20,20,1017,100,,NIL,1,NIL,,,,NIL
"['06:00', '12/02']",12/02 06:00,160,5,4000,1,,7000,5,19,19,1017,100,,NIL,1,NIL,,,,NIL
"['06:31', '12/02']",12/02 06:31,160,4,900,NIL,,300,5,19,19,1017,100,,1,NIL,NIL,,,,NIL
"['07:00', '12/02']",12/02 07:00,160,5,2000,1,,200,5,20,20,1017,100,,NIL,1,NIL,,,,NIL
"['08:00', '12/02']",12/02 08:00,110,6,3000,1,,7000,5,20,20,1017,100,,NIL,1,NIL,,,,NIL
"['09:00', '12/02']",12/02 09:00,170,2,2000,1,,200,8,20,20,1018,100,,1,NIL,NIL,,,,NIL
"['10:00', '12/02']",12/02 10:00,250,4,1000,NIL,,200,5,20,20,1019,100,,NIL,1,1,,,,NIL
"['10:10', '12/02']",12/02 10:10,310,3,4000,NIL,,1000,5,20,20,1019,100,,NIL,1,1,,,,NIL
"['11:00', '12/02']",12/02 11:00,70,4,4000,1,,1000,5,20,20,1019,100,,NIL,1,NIL,,,,NIL
"['12:00', '12/02']",12/02 12:00,140,3,4000,1,,2500,5,21,21,1019,100,,NIL,NIL,NIL,,,,NIL
"['12:20', '12/02']",12/02 12:20,180,3,4000,1,,200,5,21,21,1019,100,,NIL,NIL,NIL,,,,NIL
"['13:00', '12/02']",12/02 13:00,170,2,9999,1,,400,5,21,21,1020,100,,NIL,NIL,NIL,,,,NIL
"['13:10', '12/02']",12/02 13:10,60,2,9999,NIL,,500,5,21,21,1019,100,,NIL,NIL,NIL,,,,NIL
"['14:00', '12/02']",12/02 14:00,40,4,9999,NIL,,700,5,23,21,1019,89,,NIL,NIL,NIL,,,,NIL
"['15:00', '12/02']",12/02 15:00,20,3,9999,NIL,,1000,5,24,21,1019,83,,NIL,NIL,NIL,,,,NIL
"['16:00', '12/02']",12/02 16:00,250,3,9999,NIL,,2500,5,21,21,1018,100,,NIL,NIL,NIL,,,,NIL
"['17:00', '12/02']",12/02 17:00,60,10,9999,NIL,,2500,5,23,21,1017,89,,NIL,NIL,NIL,,,,NIL
"['18:00', '12/02']",12/02 18:00,30,9,9999,NIL,,2500,5,24,21,1016,83,,NIL,NIL,NIL,,,,NIL
"['19:00', '12/02']",12/02 19:00,50,9,9999,NIL,,10000,5,24,20,1015,78,,NIL,NIL,NIL,,,,NIL
"['20:00', '12/02']",12/02 20:00,100,5,9999,NIL,,10000,5,24,19,1015,74,,NIL,NIL,NIL,,,,NIL
"['21:00', '12/02']",12/02 21:00,70,6,9999,NIL,,10000,5,24,20,1015,78,,NIL,NIL,NIL,,,,105
"['21:38', '12/02']",12/02 21:38,10,8,3000,1,,10000,5,21,19,1016,88,,NIL,1,NIL,,,,NIL
"['22:00', '12/02']",12/02 22:00,10,5,3000,1,,10000,5,20,19,1017,94,,NIL,1,NIL,,,,NIL
"['23:00', '12/02']",12/02 23:00,360,9,8000,1,,10000,5,20,19,1017,94,,NIL,NIL,NIL,,,,NIL
"['00:00', '13/02']",13/02 00:00,20,9,3000,NIL,,200,5,20,19,1017,94,,NIL,1,1,,,,NIL
"['01:00', '13/02']",13/02 01:00,10,8,1500,NIL,NIL,200,5,20,19,1018,94,,NIL,1,1,,NIL,NIL,
"['01:44', '13/02']",13/02 01:44,60,7,500,NIL,NIL,100,5,20,20,1017,100,,1,NIL,NIL,,NIL,NIL,
"['02:00', '13/02']",13/02 02:00,60,5,500,NIL,NIL,NIL,NIL,20,20,1017,100,,1,NIL,NIL,,NIL,NIL,
"['02:20', '13/02']",13/02 02:20,60,3,3000,NIL,NIL,300,5,20,20,1017,100,,1,NIL,NIL,,1000,0,
"['03:00', '13/02']",13/02 03:00,80,5,5000,NIL,NIL,300,5,20,20,1017,100,,NIL,1,NIL,,NIL,NIL,
"['04:00', '13/02']",13/02 04:00,170,4,1000,NIL,NIL,NIL,NIL,20,20,1017,100,,NIL,1,NIL,,NIL,NIL,
"['05:00', '13/02']",13/02 05:00,240,5,500,1,NIL,100,5,20,20,1016,100,,1,NIL,NIL,,NIL,NIL,
"['06:00', '13/02']",13/02 06:00,210,4,4000,NIL,NIL,300,5,20,20,1015,100,,NIL,1,NIL,,NIL,NIL,
"['07:00', '13/02']",13/02 07:00,260,4,9999,NIL,NIL,1200,5,20,20,1016,100,,NIL,NIL,NIL,,NIL,NIL,
"['08:00', '13/02']",13/02 08:00,270,4,9999,NIL,NIL,1500,5,20,20,1016,100,,NIL,NIL,NIL,,NIL,NIL,
"['09:00', '13/02']",13/02 09:00,330,4,9999,NIL,NIL,1200,5,20,19,1017,94,,NIL,NIL,NIL,,NIL,NIL,
"['10:00', '13/02']",13/02 10:00,0,0,9999,NIL,NIL,1400,5,20,20,1018,100,,NIL,NIL,NIL,,NIL,NIL,
"['11:00', '13/02']",13/02 11:00,240,2,9999,NIL,NIL,1000,5,21,20,1018,94,,NIL,NIL,NIL,,NIL,NIL,
"['12:00', '13/02']",13/02 12:00,250,1,9999,NIL,NIL,2000,5,22,19,1019,83,,NIL,NIL,NIL,,NIL,NIL,
"['13:00', '13/02']",13/02 13:00,230,4,9999,NIL,NIL,3000,5,23,19,1019,78,,NIL,NIL,NIL,,NIL,NIL,
"['14:00', '13/02']",13/02 14:00,190,6,9999,NIL,NIL,2500,5,24,19,1019,74,,NIL,NIL,NIL,,NIL,NIL,
"['15:00', '13/02']",13/02 15:00,190,7,9999,1,NIL,2500,5,22,19,1019,83,,NIL,NIL,NIL,,NIL,NIL,
"['16:00', '13/02']",13/02 16:00,170,3,9999,NIL,NIL,10000,5,23,18,1018,73,,NIL,NIL,NIL,,NIL,NIL,
"['17:00', '13/02']",13/02 17:00,40,6,9999,1,NIL,10000,5,23,18,1017,73,,NIL,NIL,NIL,,NIL,NIL,
"['18:00', '13/02']",13/02 18:00,30,5,9999,1,NIL,8000,5,22,19,1017,83,,NIL,NIL,NIL,,NIL,NIL,
"['19:00', '13/02']",13/02 19:00,80,9,9999,NIL,NIL,8000,5,24,19,1016,74,,NIL,NIL,NIL,,NIL,NIL,
"['20:00', '13/02']",13/02 20:00,70,5,9999,NIL,NIL,8000,5,23,19,1017,78,,NIL,NIL,NIL,,NIL,NIL,
"['21:00', '13/02']",13/02 21:00,80,7,9999,NIL,NIL,7000,5,22,19,1017,83,,NIL,NIL,NIL,,NIL,NIL,
"['22:00', '13/02']",13/02 22:00,110,9,9999,NIL,NIL,7000,5,20,18,1017,88,,NIL,NIL,NIL,,NIL,NIL,
"['22:41', '13/02']",13/02 22:41,150,6,7000,1,1,3000,5,19,18,1019,94,,NIL,NIL,NIL,,NIL,NIL,
"['23:00', '13/02']",13/02 23:00,130,5,7000,1,1,3000,8,19,19,1019,100,,NIL,NIL,NIL,,NIL,NIL,
"['00:00', '14/02']",14/02 00:00,60,2,7000,1,1,3500,5,19,19,1018,100,,NIL,NIL,NIL,,NIL,NIL,
"['00:12', '14/02']",14/02 00:12,30,8,4000,1,1,3000,5,19,19,1018,100,,NIL,NIL,NIL,,NIL,NIL,
"['01:00', '14/02']",14/02 01:00,280,3,8000,1,1,3000,5,19,19,1019,100,,NIL,NIL,,,,,
"['02:00', '14/02']",14/02 02:00,10,5,5000,1,NIL,2000,5,20,19,1019,94,,NIL,NIL,,,,,
"['02:40', '14/02']",14/02 02:40,170,4,2000,1,NIL,700,5,19,19,1019,100,,NIL,NIL,,,,,
"['03:00', '14/02']",14/02 03:00,200,3,500,NIL,NIL,200,5,19,19,1019,100,,1,NIL,,,,,
"['03:18', '14/02']",14/02 03:18,110,2,3000,NIL,NIL,700,5,19,19,1018,100,,NIL,1,,,,,
"['04:00', '14/02']",14/02 04:00,130,3,5000,NIL,NIL,5000,5,19,19,1018,100,,NIL,1,,,,,
"['05:00', '14/02']",14/02 05:00,130,2,7000,NIL,NIL,5000,5,18,18,1017,100,,NIL,NIL,,,,,
"['06:00', '14/02']",14/02 06:00,170,1,2000,NIL,NIL,5000,5,18,18,1017,100,,NIL,1,,,,,
"['06:30', '14/02']",14/02 06:30,140,2,500,NIL,NIL,5000,5,18,18,1017,100,,1,NIL,,,,,
"['07:00', '14/02']",14/02 07:00,130,5,300,NIL,NIL,NIL,NIL,18,18,1017,100,,1,NIL,,,,,
"['07:12', '14/02']",14/02 07:12,130,5,800,NIL,NIL,300,5,18,18,1017,100,,1,NIL,,,,,
"['08:00', '14/02']",14/02 08:00,140,4,2000,NIL,NIL,200,5,18,18,1017,100,,NIL,1,,,,,
"['09:00', '14/02']",14/02 09:00,130,5,5000,NIL,NIL,NIL,3,18,18,1018,100,,1,NIL,,,,,
"['09:20', '14/02']",14/02 09:20,130,4,4000,NIL,NIL,NIL,3,18,18,1018,100,,1,1,,,,,
"['10:00', '14/02']",14/02 10:00,150,4,2000,NIL,NIL,NIL,3,18,18,1018,100,,1,1,,,,,
"['10:20', '14/02']",14/02 10:20,140,3,8000,NIL,NIL,NIL,3,19,19,1018,100,,1,NIL,,,,,
"['11:00', '14/02']",14/02 11:00,150,4,9999,NIL,NIL,NIL,2,20,20,1019,100,,NIL,NIL,,,,,
"['12:00', '14/02']",14/02 12:00,100,3,9999,NIL,NIL,NIL,2,22,20,1019,88,,NIL,NIL,,,,,
"['13:00', '14/02']",14/02 13:00,90,3,9999,NIL,NIL,NIL,2,25,20,1019,74,,NIL,NIL,,,,,
"['14:00', '14/02']",14/02 14:00,60,3,9999,NIL,NIL,NIL,2,25,19,1019,69,,NIL,NIL,,,,,
"['15:00', '14/02']",14/02 15:00,100,3,9999,NIL,NIL,3000,5,27,19,1018,62,,NIL,NIL,,,,,
"['16:00', '14/02']",14/02 16:00,VRB,2,9999,NIL,NIL,3500,5,29,20,1017,58,,NIL,NIL,,,,,
"['17:00', '14/02']",14/02 17:00,90,3,9999,NIL,NIL,4500,5,28,19,1016,58,,NIL,NIL,,,,,
"['18:00', '14/02']",14/02 18:00,20,5,9999,NIL,NIL,4000,5,30,20,1016,55,,NIL,NIL,,,,,
"['19:00', '14/02']",14/02 19:00,30,4,9999,NIL,NIL,4500,5,28,19,1015,58,,NIL,NIL,,,,,
"['20:00', '14/02']",14/02 20:00,50,3,9999,NIL,NIL,4500,5,28,19,1015,58,,NIL,NIL,,,,,
"['21:00', '14/02']",14/02 21:00,40,10,9999,NIL,NIL,NIL,3,26,20,1016,70,,NIL,NIL,,,,,
"['22:00', '14/02']",14/02 22:00,40,7,9999,NIL,NIL,NIL,3,25,20,1016,74,,NIL,NIL,,,,,
"['23:00', '14/02']",14/02 23:00,130,3,9999,NIL,NIL,NIL,3,24,20,1017,78,,NIL,NIL,,,,,
"['00:00', '15/02']",15/02 00:00,130,9,9999,NIL,NIL,NIL,3,22,19,1018,83,,NIL,NIL,,,,,
"['01:00', '15/02']",15/02 01:00,100,8,9999,,,NIL,3,23,19,1019,78,,NIL,,,,,,
"['02:00', '15/02']",15/02 02:00,80,4,9999,,,NIL,3,23,19,1018,78,,NIL,,,,,,
"['03:00', '15/02']",15/02 03:00,100,3,9999,,,NIL,3,22,19,1018,83,,NIL,,,,,,
"['04:00', '15/02']",15/02 04:00,110,5,9999,,,NIL,3,21,19,1018,88,,NIL,,,,,,
"['05:00', '15/02']",15/02 05:00,120,3,9999,,,NIL,3,20,17,1017,83,,NIL,,,,,,
"['06:00', '15/02']",15/02 06:00,120,4,9999,,,NIL,3,20,19,1017,94,,NIL,,,,,,
"['07:00', '15/02']",15/02 07:00,100,4,9999,,,NIL,3,20,19,1018,94,,NIL,,,,,,
"['08:00', '15/02']",15/02 08:00,120,4,9999,,,NIL,3,20,19,1018,94,,NIL,,,,,,
"['09:00', '15/02']",15/02 09:00,180,2,8000,,,NIL,NIL,20,19,1018,94,,1,,,,,,
"['10:00', '15/02']",15/02 10:00,160,3,9999,,,NIL,2,21,20,1018,94,,NIL,,,,,,
"['11:00', '15/02']",15/02 11:00,160,5,9999,,,NIL,2,23,20,1018,83,,NIL,,,,,,
"['12:00', '15/02']",15/02 12:00,80,3,9999,,,NIL,3,25,19,1019,69,,NIL,,,,,,
"['13:00', '15/02']",15/02 13:00,30,5,9999,,,NIL,3,26,19,1019,65,,NIL,,,,,,
"['14:00', '15/02']",15/02 14:00,30,6,9999,,,2500,5,27,19,1018,62,,NIL,,,,,,
"['15:00', '15/02']",15/02 15:00,360,8,9999,,,3500,5,28,18,1017,55,,NIL,,,,,,
"['16:00', '15/02']",15/02 16:00,40,7,9999,,,3000,5,28,19,1017,58,,NIL,,,,,,
"['17:00', '15/02']",15/02 17:00,40,6,9999,,,4000,5,29,19,1016,55,,NIL,,,,,,
"['18:00', '15/02']",15/02 18:00,20,5,9999,,,NIL,3,29,19,1016,55,,NIL,,,,,,
"['19:00', '15/02']",15/02 19:00,350,6,9999,,,NIL,3,30,19,1015,52,,NIL,,,,,,
"['20:00', '15/02']",15/02 20:00,50,6,9999,,,NIL,3,28,19,1015,58,,NIL,,,,,,
"['21:00', '15/02']",15/02 21:00,60,5,9999,,,NIL,3,28,19,1015,58,,NIL,,,,,,
"['22:00', '15/02']",15/02 22:00,110,7,9999,,,NIL,3,27,19,1016,62,,NIL,,,,,,
"['23:00', '15/02']",15/02 23:00,130,4,9999,,,NIL,2,25,19,1017,69,,NIL,,,,,,
"['00:00', '16/02']",16/02 00:00,80,5,9999,,,NIL,3,25,19,1017,69,,NIL,,,,,,
"['01:00', '16/02']",16/02 01:00,180,1,9999,NIL,NIL,NIL,3,24,19,1017,74,,,,,,NIL,NIL,
"['02:00', '16/02']",16/02 02:00,180,2,9999,NIL,NIL,8000,5,23,19,1018,78,,,,,,NIL,NIL,
"['03:00', '16/02']",16/02 03:00,110,6,9999,NIL,NIL,8000,5,23,20,1017,83,,,,,,NIL,NIL,
"['04:00', '16/02']",16/02 04:00,110,5,9999,NIL,NIL,8000,5,23,20,1017,83,,,,,,NIL,NIL,
"['05:00', '16/02']",16/02 05:00,160,3,9999,NIL,NIL,NIL,3,22,19,1016,83,,,,,,NIL,NIL,
"['06:00', '16/02']",16/02 06:00,210,3,9999,NIL,NIL,NIL,3,21,19,1016,88,,,,,,NIL,NIL,
"['07:00', '16/02']",16/02 07:00,200,2,9999,NIL,NIL,8000,5,21,19,1016,88,,,,,,NIL,NIL,
"['08:00', '16/02']",16/02 08:00,200,2,9999,NIL,NIL,8000,5,21,19,1016,88,,,,,,NIL,NIL,
"['09:00', '16/02']",16/02 09:00,80,3,9999,NIL,NIL,10000,5,22,19,1017,83,,,,,,NIL,NIL,
"['10:00', '16/02']",16/02 10:00,130,4,9999,NIL,NIL,6000,5,22,19,1018,83,,,,,,NIL,NIL,
"['11:00', '16/02']",16/02 11:00,80,3,9999,NIL,NIL,8000,5,23,19,1019,78,,,,,,NIL,NIL,
"['12:00', '16/02']",16/02 12:00,80,6,9999,NIL,NIL,10000,5,23,19,1019,78,,,,,,NIL,NIL,
"['13:00', '16/02']",16/02 13:00,20,4,9999,NIL,NIL,NIL,3,25,20,1019,74,,,,,,NIL,NIL,
"['14:00', '16/02']",16/02 14:00,70,6,9999,NIL,NIL,3000,5,26,20,1019,70,,,,,,NIL,NIL,
"['15:00', '16/02']",16/02 15:00,90,4,9999,NIL,NIL,10000,5,26,21,1018,74,,,,,,NIL,NIL,
"['16:00', '16/02']",16/02 16:00,90,4,9999,NIL,NIL,10000,5,28,20,1017,62,,,,,,NIL,NIL,
"['17:00', '16/02']",16/02 17:00,70,4,9999,NIL,NIL,10000,5,28,20,1016,62,,,,,,NIL,NIL,
"['18:00', '16/02']",16/02 18:00,80,3,9999,NIL,NIL,10000,5,29,20,1016,58,,,,,,NIL,NIL,
"['19:00', '16/02']",16/02 19:00,250,12,9999,1,NIL,10000,5,23,21,1016,89,,,,,,2000,180,
"['19:07', '16/02']",16/02 19:07,190,10,9999,1,1,10000,5,22,21,1016,94,,,,,,2000,135,
"['20:00', '16/02']",16/02 20:00,140,6,9999,1,1,10000,5,22,19,1016,83,,,,,,NIL,NIL,
"['21:00', '16/02']",16/02 21:00,10,3,9999,1,1,10000,5,23,21,1017,89,,,,,,NIL,NIL,
"['22:00', '16/02']",16/02 22:00,180,2,9999,1,NIL,10000,5,22,21,1017,94,,,,,,NIL,NIL,
"['23:00', '16/02']",16/02 23:00,110,2,9999,NIL,NIL,10000,5,21,20,1017,94,,,,,,NIL,NIL,
"['00:00', '17/02']",17/02 00:00,120,3,9999,NIL,NIL,10000,5,22,20,1017,88,,,,,,NIL,NIL,
"['01:00', '17/02']",17/02 01:00,150,4,9999,NIL,NIL,10000,5,21,21,1018,100,,NIL,NIL,,NIL,NIL,NIL,
"['02:00', '17/02']",17/02 02:00,190,3,9999,NIL,NIL,NIL,3,22,21,1018,94,,NIL,NIL,,NIL,NIL,NIL,
"['03:00', '17/02']",17/02 03:00,320,3,9999,NIL,NIL,NIL,3,22,21,1018,94,,NIL,NIL,,NIL,NIL,NIL,
"['04:00', '17/02']",17/02 04:00,140,2,9999,NIL,NIL,NIL,NIL,22,21,1017,94,,NIL,NIL,,NIL,NIL,NIL,
"['05:00', '17/02']",17/02 05:00,100,6,9999,NIL,NIL,NIL,NIL,22,20,1017,88,,NIL,NIL,,NIL,NIL,NIL,
"['06:00', '17/02']",17/02 06:00,80,5,9999,NIL,NIL,10000,5,22,20,1017,88,,NIL,NIL,,NIL,NIL,NIL,
"['07:00', '17/02']",17/02 07:00,150,3,9999,NIL,NIL,10000,5,21,20,1017,94,,NIL,NIL,,NIL,NIL,NIL,
"['08:00', '17/02']",17/02 08:00,240,4,9999,NIL,NIL,10000,5,21,20,1018,94,,NIL,NIL,,NIL,NIL,NIL,
"['09:00', '17/02']",17/02 09:00,260,3,8000,NIL,NIL,8000,5,21,20,1018,94,,NIL,NIL,,NIL,NIL,NIL,
"['09:18', '17/02']",17/02 09:18,250,11,9999,1,NIL,700,5,19,18,1019,94,,NIL,NIL,,1,4000,0,
"['10:00', '17/02']",17/02 10:00,220,5,4000,1,NIL,700,5,18,17,1019,94,,NIL,1,,NIL,NIL,NIL,
"['11:00', '17/02']",17/02 11:00,170,3,3000,1,NIL,700,8,18,17,1019,94,,NIL,1,,NIL,NIL,NIL,
"['12:00', '17/02']",17/02 12:00,90,8,4000,NIL,NIL,10000,5,21,20,1019,94,,1,1,,NIL,NIL,NIL,
"['12:32', '17/02']",17/02 12:32,170,4,9999,NIL,NIL,10000,5,21,19,1019,88,,NIL,NIL,,NIL,NIL,NIL,
"['13:00', '17/02']",17/02 13:00,180,7,9999,NIL,NIL,10000,5,21,19,1019,88,,NIL,NIL,,NIL,NIL,NIL,
"['14:00', '17/02']",17/02 14:00,VRB,2,9999,NIL,NIL,10000,5,24,19,1019,74,,NIL,NIL,,NIL,NIL,NIL,
"['15:00', '17/02']",17/02 15:00,20,8,9999,NIL,NIL,10000,5,26,20,1018,70,,NIL,NIL,,NIL,NIL,NIL,
"['16:00', '17/02']",17/02 16:00,20,8,9999,NIL,NIL,3000,5,27,20,1017,66,,NIL,NIL,,NIL,NIL,NIL,
"['17:00', '17/02']",17/02 17:00,340,7,9999,NIL,NIL,3000,5,28,20,1016,62,,NIL,NIL,,NIL,NIL,NIL,
"['17:42', '17/02']",17/02 17:42,50,12,4000,1,1,3000,5,25,21,1016,79,,NIL,NIL,,NIL,NIL,NIL,
"['18:00', '17/02']",17/02 18:00,60,7,4000,1,1,3000,5,25,20,1016,74,,NIL,NIL,,NIL,NIL,NIL,
"['19:00', '17/02']",17/02 19:00,150,6,7000,1,1,3000,5,24,21,1016,83,,NIL,NIL,,NIL,NIL,NIL,
"['20:00', '17/02']",17/02 20:00,250,2,9999,NIL,1,7000,5,24,20,1016,78,,NIL,NIL,,NIL,NIL,NIL,
"['21:00', '17/02']",17/02 21:00,230,3,9999,NIL,NIL,10000,5,24,21,1016,83,,NIL,NIL,,NIL,NIL,NIL,
