validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,nevoeiro,nevoa_umida,chuvisco,pancada,vis_setor,vis_setor_dir,vnt_vrb
"['03:00', '13/07']",13/07 03:00,70,2,9999,,,,,16,12,1021,77,,,,,,,,
"['04:00', '13/07']",13/07 04:00,90,3,9999,,,,,15,12,1021,82,,,,,,,,
"['05:00', '13/07']",13/07 05:00,180,3,9999,,,,,14,12,1021,88,,,,,,,,
"['06:00', '13/07']",13/07 06:00,0,0,9999,,,,,13,12,1020,94,,,,,,,,
"['07:00', '13/07']",13/07 07:00,140,2,9999,,,,,14,12,1020,88,,,,,,,,
"['08:00', '13/07']",13/07 08:00,150,2,9999,,,,,13,12,1020,94,,,,,,,,
"['09:00', '13/07']",13/07 09:00,170,3,9999,,,,,12,12,1021,100,,,,,,,,
"['10:00', '13/07']",13/07 10:00,170,2,9999,,,,,12,11,1021,94,,,,,,,,
"['11:00', '13/07']",13/07 11:00,180,2,9999,,,,,14,12,1022,88,,,,,,,,
"['12:00', '13/07']",13/07 12:00,150,2,9999,,,,,16,13,1022,82,,,,,,,,
"['13:00', '13/07']",13/07 13:00,150,3,9999,,,,,20,13,1022,64,,,,,,,,
"['14:00', '13/07']",13/07 14:00,300,2,9999,,,,,24,13,1022,50,,,,,,,,
"['15:00', '13/07']",13/07 15:00,10,3,9999,,,,,25,12,1022,44,,,,,,,,
"['16:00', '13/07']",13/07 16:00,50,2,9999,,,,,26,12,1021,42,,,,,,,,
"['17:00', '13/07']",13/07 17:00,50,3,9999,,,,,26,12,1020,42,,,,,,,,
"['18:00', '13/07']",13/07 18:00,90,3,9999,,,,,27,12,1020,39,,,,,,,,
"['19:00', '13/07']",13/07 19:00,120,3,9999,,,,,27,12,1019,39,,,,,,,,
"['20:00', '13/07']",13/07 20:00,90,3,9999,,,,,26,11,1020,39,,,,,,,,
"['21:00', '13/07']",13/07 21:00,40,7,9999,,,,,24,12,1020,47,,,,,,,,
"['22:00', '13/07']",13/07 22:00,50,8,9999,,,,,22,13,1020,57,,,,,,,,
