validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,chuva,pancada,vis_setor,vis_setor_dir,vnt_rajada,nevoeiro,trovoada,chuvisco,nevoa_umida
"['16:00', '23/08']",23/08 16:00,10,7,NIL,9999,,2,34,22,1009,50,,,,,,,,,
"['17:00', '23/08']",23/08 17:00,70,7,NIL,9999,,3,33,22,1008,53,,,,,,,,,
"['18:00', '23/08']",23/08 18:00,70,9,80,9999,,3,34,21,1007,47,,,,,,,,,
"['19:00', '23/08']",23/08 19:00,80,8,85,9999,,3,34,21,1006,47,,,,,,,,,
"['20:00', '23/08']",23/08 20:00,60,8,60,9999,,3,34,22,1005,50,,,,,,,,,
"['21:00', '23/08']",23/08 21:00,60,4,NIL,9999,,2,34,22,1005,50,,,,,,,,,
"['22:00', '23/08']",23/08 22:00,80,6,NIL,9999,,3,32,23,1005,59,,,,,,,,,
"['23:00', '23/08']",23/08 23:00,80,5,NIL,9999,,NIL,31,24,1006,66,,,,,,,,,
"['00:00', '24/08']",24/08 00:00,10,3,NIL,9999,,NIL,29,24,1007,74,,,,,,,,,
"['01:00', '24/08']",24/08 01:00,340,2,,9999,,NIL,28,24,1008,79,,,,,,,,,
"['02:00', '24/08']",24/08 02:00,20,2,,9999,,NIL,27,24,1008,84,,,,,,,,,
"['03:00', '24/08']",24/08 03:00,30,1,,9999,,NIL,26,24,1009,89,,,,,,,,,
"['04:00', '24/08']",24/08 04:00,70,3,,9999,,NIL,27,23,1008,79,,,,,,,,,
"['05:00', '24/08']",24/08 05:00,0,0,,9999,,NIL,25,23,1008,89,,,,,,,,,
"['06:00', '24/08']",24/08 06:00,310,2,,9999,,NIL,24,23,1007,94,,,,,,,,,
"['07:00', '24/08']",24/08 07:00,10,3,,9999,,NIL,24,23,1007,94,,,,,,,,,
"['08:00', '24/08']",24/08 08:00,0,0,,9999,,NIL,24,23,1007,94,,,,,,,,,
"['09:00', '24/08']",24/08 09:00,330,3,,9999,,NIL,23,22,1008,94,,,,,,,,,
"['10:00', '24/08']",24/08 10:00,40,2,,9999,,NIL,24,22,1008,89,,,,,,,,,
"['11:00', '24/08']",24/08 11:00,310,2,,9999,,NIL,24,23,1009,94,,,,,,,,,
"['12:00', '24/08']",24/08 12:00,10,4,,9999,,NIL,27,23,1009,79,,,,,,,,,
"['13:00', '24/08']",24/08 13:00,30,9,,9999,,NIL,31,22,1010,59,,,,,,,,,
"['14:00', '24/08']",24/08 14:00,20,7,,9999,,NIL,33,23,1010,56,,,,,,,,,
"['15:00', '24/08']",24/08 15:00,20,11,,9999,,NIL,34,22,1009,50,,,,,,,,,
"['16:00', '24/08']",24/08 16:00,20,9,,9999,,2,34,22,1009,50,,,,,,,,,
"['17:00', '24/08']",24/08 17:00,360,8,,9999,,2,35,21,1007,44,,,,,,,,,
"['18:00', '24/08']",24/08 18:00,50,7,,9999,,2,34,22,1006,50,,,,,,,,,
"['19:00', '24/08']",24/08 19:00,50,8,,9999,,2,34,22,1006,50,,,,,,,,,
"['20:00', '24/08']",24/08 20:00,10,5,,9999,,2,35,22,1005,47,,,,,,,,,
"['21:00', '24/08']",24/08 21:00,80,5,,9999,,2,33,22,1005,53,,,,,,,,,
"['22:00', '24/08']",24/08 22:00,80,6,,9999,,2,32,22,1005,56,,,,,,,,,
"['23:00', '24/08']",24/08 23:00,80,5,,9999,,2,31,23,1006,63,,,,,,,,,
"['00:00', '25/08']",25/08 00:00,80,6,,9999,,NIL,30,23,1007,66,,,,,,,,,
"['01:00', '25/08']",25/08 01:00,80,5,,9999,,NIL,30,23,1008,66,,,,,,,,,
"['02:00', '25/08']",25/08 02:00,60,5,,9999,,NIL,29,24,1008,74,,,,,,,,,
"['03:00', '25/08']",25/08 03:00,50,8,,9999,,NIL,29,23,1008,70,,,,,,,,,
"['04:00', '25/08']",25/08 04:00,40,8,,9999,,NIL,29,23,1008,70,,,,,,,,,
"['05:00', '25/08']",25/08 05:00,30,7,,9999,,NIL,29,23,1007,70,,,,,,,,,
"['06:00', '25/08']",25/08 06:00,20,5,,9999,,NIL,28,23,1007,74,,,,,,,,,
"['07:00', '25/08']",25/08 07:00,20,5,,9999,,NIL,28,23,1007,74,,,,,,,,,
"['08:00', '25/08']",25/08 08:00,20,4,,9999,,NIL,27,22,1007,74,,,,,,,,,
"['09:00', '25/08']",25/08 09:00,30,4,,9999,,NIL,26,22,1008,79,,,,,,,,,
"['10:00', '25/08']",25/08 10:00,40,5,,9999,,NIL,26,23,1008,84,,,,,,,,,
"['11:00', '25/08']",25/08 11:00,20,6,,9999,,NIL,27,23,1009,79,,,,,,,,,
"['12:00', '25/08']",25/08 12:00,10,6,,9999,,NIL,29,23,1010,70,,,,,,,,,
"['13:00', '25/08']",25/08 13:00,10,7,,9999,,NIL,31,23,1010,63,,,,,,,,,
"['14:00', '25/08']",25/08 14:00,30,9,,9999,,2,32,23,1010,59,,,,,,,,,
"['15:00', '25/08']",25/08 15:00,20,9,,9999,,3,33,23,1010,56,,,,,,,,,
"['16:00', '25/08']",25/08 16:00,360,7,,9999,,3,34,23,1010,53,,,,,,,,,
"['17:00', '25/08']",25/08 17:00,360,8,,9999,,3,34,22,1009,50,,,,,,,,,
"['18:00', '25/08']",25/08 18:00,10,6,,9999,,3,35,22,1008,47,,,,,,,,,
"['19:00', '25/08']",25/08 19:00,10,5,,9999,,3,35,21,1007,44,,,,,,,,,
"['20:00', '25/08']",25/08 20:00,20,6,,9999,,3,34,21,1007,47,,,,,,,,,
"['21:00', '25/08']",25/08 21:00,360,4,,9999,,2,34,21,1007,47,,,,,,,,,
"['22:00', '25/08']",25/08 22:00,10,4,,9999,,2,33,21,1007,49,,,,,,,,,
"['23:00', '25/08']",25/08 23:00,40,3,,9999,,NIL,31,22,1007,59,,,,,,,,,
"['00:00', '26/08']",26/08 00:00,50,4,,9999,,NIL,30,23,1008,66,,,,,,,,,
"['01:00', '26/08']",26/08 01:00,60,3,,9999,,NIL,29,24,1009,74,,,,,,,,,
"['02:00', '26/08']",26/08 02:00,0,0,,9999,,NIL,28,24,1010,79,,,,,,,,,
"['03:00', '26/08']",26/08 03:00,50,3,,9999,,NIL,27,24,1010,84,,,,,,,,,
"['04:00', '26/08']",26/08 04:00,50,3,,9999,,NIL,27,23,1009,79,,,,,,,,,
"['05:00', '26/08']",26/08 05:00,30,5,,9999,,NIL,27,22,1009,74,,,,,,,,,
"['06:00', '26/08']",26/08 06:00,20,3,,9999,,NIL,26,22,1008,79,,,,,,,,,
"['07:00', '26/08']",26/08 07:00,30,5,,9999,,NIL,27,22,1008,74,,,,,,,,,
"['08:00', '26/08']",26/08 08:00,30,3,,9999,,NIL,26,22,1009,79,,,,,,,,,
"['09:00', '26/08']",26/08 09:00,10,3,,9999,,NIL,26,22,1009,79,,,,,,,,,
"['10:00', '26/08']",26/08 10:00,60,2,,9999,,NIL,25,22,1009,83,,,,,,,,,
"['11:00', '26/08']",26/08 11:00,30,2,,9999,,NIL,26,22,1010,79,,,,,,,,,
"['12:00', '26/08']",26/08 12:00,20,4,,9999,,NIL,29,23,1011,70,,,,,,,,,
