validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,chuva,pancada,vis_setor,vis_setor_dir,vnt_rajada,nevoeiro,trovoada,chuvisco,nevoa_umida
"['00:00', '06/03']",06/03 00:00,100,3,,9999,NIL,3,25,24,1010,94,NIL,NIL,NIL,NIL,NIL,,NIL,,
"['01:00', '06/03']",06/03 01:00,0,0,NIL,9999,NIL,2,25,24,1011,94,,,,,,,NIL,,
"['02:00', '06/03']",06/03 02:00,0,0,NIL,9999,NIL,2,24,24,1011,100,,,,,,,NIL,,
"['03:00', '06/03']",06/03 03:00,0,0,NIL,9999,NIL,2,24,24,1012,100,,,,,,,NIL,,
"['04:00', '06/03']",06/03 04:00,310,2,NIL,9999,NIL,2,24,23,1012,94,,,,,,,NIL,,
"['05:00', '06/03']",06/03 05:00,0,0,NIL,9999,8000,5,24,23,1011,94,,,,,,,NIL,,
"['06:00', '06/03']",06/03 06:00,290,1,NIL,9999,8000,5,24,23,1011,94,,,,,,,NIL,,
"['07:00', '06/03']",06/03 07:00,320,2,NIL,9999,8000,5,24,23,1010,94,,,,,,,NIL,,
"['08:00', '06/03']",06/03 08:00,0,0,NIL,9999,10000,5,24,23,1010,94,,,,,,,NIL,,
"['09:00', '06/03']",06/03 09:00,310,1,NIL,9999,10000,5,23,23,1010,100,,,,,,,NIL,,
"['10:00', '06/03']",06/03 10:00,0,0,NIL,9999,7000,5,23,23,1011,100,,,,,,,NIL,,
"['11:00', '06/03']",06/03 11:00,0,0,NIL,9999,8000,5,23,23,1012,100,,,,,,,NIL,,
"['12:00', '06/03']",06/03 12:00,0,0,NIL,9999,10000,5,25,24,1013,94,,,,,,,NIL,,
"['13:00', '06/03']",06/03 13:00,300,1,NIL,9999,4000,5,27,24,1014,84,,,,,,,NIL,,
"['14:00', '06/03']",06/03 14:00,0,0,NIL,9999,4000,5,28,24,1014,79,,,,,,,NIL,,
"['15:00', '06/03']",06/03 15:00,360,3,NIL,9999,1500,5,28,24,1014,79,,,,,,,1,,
"['16:00', '06/03']",06/03 16:00,120,5,NIL,9999,1700,5,27,24,1013,84,,,,,,,1,,
"['17:00', '06/03']",06/03 17:00,80,10,NIL,9999,1700,5,25,23,1012,89,,,,,,,NIL,,
"['17:25', '06/03']",06/03 17:25,70,8,NIL,9999,800,5,25,24,1011,94,,,,,,,NIL,,
"['18:00', '06/03']",06/03 18:00,60,11,NIL,9999,600,5,25,24,1011,94,,,,,,,NIL,,
"['19:00', '06/03']",06/03 19:00,50,11,NIL,9999,8000,5,25,22,1010,83,,,,,,,NIL,,
"['20:00', '06/03']",06/03 20:00,70,10,NIL,9999,NIL,3,26,23,1009,84,,,,,,,NIL,,
"['21:00', '06/03']",06/03 21:00,50,7,40,9999,NIL,3,26,22,1008,79,,,,,,,NIL,,
"['22:00', '06/03']",06/03 22:00,40,5,NIL,9999,NIL,3,26,22,1008,79,,,,,,,NIL,,
"['23:00', '06/03']",06/03 23:00,70,7,NIL,9999,NIL,3,25,22,1009,83,,,,,,,NIL,,
"['00:00', '07/03']",07/03 00:00,80,6,NIL,9999,NIL,2,24,22,1010,89,,,,,,,NIL,,
"['01:00', '07/03']",07/03 01:00,80,5,,9999,NIL,2,24,23,1011,94,NIL,NIL,,,,,,,
"['02:00', '07/03']",07/03 02:00,80,3,,9999,1000,5,24,23,1012,94,NIL,NIL,,,,,,,
"['02:15', '07/03']",07/03 02:15,0,0,,9999,NIL,3,24,23,1012,94,NIL,NIL,,,,,,,
"['03:00', '07/03']",07/03 03:00,10,2,,9999,NIL,2,23,23,1013,100,NIL,NIL,,,,,,,
"['04:00', '07/03']",07/03 04:00,260,1,,9999,NIL,2,23,23,1012,100,NIL,NIL,,,,,,,
"['05:00', '07/03']",07/03 05:00,0,0,,9999,NIL,NIL,23,23,1011,100,NIL,NIL,,,,,,,
"['06:00', '07/03']",07/03 06:00,0,0,,9999,NIL,NIL,23,23,1011,100,NIL,NIL,,,,,,,
"['07:00', '07/03']",07/03 07:00,200,2,,9999,NIL,NIL,23,23,1011,100,NIL,NIL,,,,,,,
"['08:00', '07/03']",07/03 08:00,0,0,,9999,NIL,NIL,23,23,1010,100,NIL,NIL,,,,,,,
"['09:00', '07/03']",07/03 09:00,0,0,,9999,NIL,2,23,23,1011,100,NIL,NIL,,,,,,,
"['10:00', '07/03']",07/03 10:00,0,0,,9999,8000,5,23,22,1011,94,NIL,NIL,,,,,,,
"['11:00', '07/03']",07/03 11:00,0,0,,9999,9000,5,23,23,1012,100,NIL,NIL,,,,,,,
"['12:00', '07/03']",07/03 12:00,140,2,,9999,NIL,3,26,24,1013,89,NIL,NIL,,,,,,,
"['13:00', '07/03']",07/03 13:00,60,4,,9999,NIL,3,28,24,1014,79,NIL,NIL,,,,,,,
"['14:00', '07/03']",07/03 14:00,10,7,,9999,NIL,3,28,24,1014,79,NIL,NIL,,,,,,,
"['15:00', '07/03']",07/03 15:00,360,5,,9999,NIL,3,29,25,1013,79,NIL,NIL,,,,,,,
"['16:00', '07/03']",07/03 16:00,50,7,,9999,NIL,3,30,24,1013,70,NIL,NIL,,,,,,,
"['17:00', '07/03']",07/03 17:00,60,5,,9999,NIL,3,31,23,1011,63,NIL,NIL,,,,,,,
"['18:00', '07/03']",07/03 18:00,40,6,,9999,NIL,3,30,24,1010,70,NIL,NIL,,,,,,,
"['19:00', '07/03']",07/03 19:00,20,5,,9999,NIL,3,31,24,1008,66,NIL,NIL,,,,,,,
"['20:00', '07/03']",07/03 20:00,350,3,,9999,NIL,3,31,24,1007,66,NIL,NIL,,,,,,,
"['21:00', '07/03']",07/03 21:00,340,6,,9999,NIL,3,28,25,1007,84,1,1,,,,,,,
"['22:00', '07/03']",07/03 22:00,70,4,,9999,NIL,3,28,24,1008,79,NIL,NIL,,,,,,,
"['23:00', '07/03']",07/03 23:00,0,0,,9999,NIL,3,27,25,1008,89,NIL,NIL,,,,,,,
"['00:00', '08/03']",08/03 00:00,20,3,,9999,NIL,3,26,25,1009,94,NIL,NIL,,,,,,,
"['01:00', '08/03']",08/03 01:00,50,3,,9999,NIL,2,26,25,1010,94,NIL,NIL,NIL,NIL,,,NIL,,
"['02:00', '08/03']",08/03 02:00,30,2,,9999,NIL,3,25,24,1012,94,NIL,NIL,NIL,NIL,,,NIL,,
"['03:00', '08/03']",08/03 03:00,360,2,,9999,NIL,3,26,24,1012,89,NIL,NIL,NIL,NIL,,,NIL,,
"['04:00', '08/03']",08/03 04:00,0,0,,9999,NIL,NIL,25,24,1011,94,NIL,NIL,NIL,NIL,,,NIL,,
"['05:00', '08/03']",08/03 05:00,40,2,,9999,NIL,NIL,25,24,1011,94,NIL,NIL,NIL,NIL,,,NIL,,
"['06:00', '08/03']",08/03 06:00,0,0,,9999,NIL,NIL,25,24,1010,94,NIL,NIL,NIL,NIL,,,NIL,,
"['07:00', '08/03']",08/03 07:00,0,0,,9999,NIL,NIL,25,24,1010,94,NIL,NIL,NIL,NIL,,,NIL,,
"['07:17', '08/03']",08/03 07:17,0,0,,9999,NIL,3,25,24,1010,94,1,1,NIL,NIL,,,NIL,,
"['07:30', '08/03']",08/03 07:30,110,3,,9999,7000,5,25,24,1010,94,1,1,NIL,NIL,,,NIL,,
"['08:00', '08/03']",08/03 08:00,270,2,,9999,7000,5,25,24,1010,94,1,1,NIL,NIL,,,NIL,,
"['09:00', '08/03']",08/03 09:00,180,2,,9999,10000,5,24,24,1010,100,NIL,NIL,NIL,NIL,,,NIL,,
"['10:00', '08/03']",08/03 10:00,10,2,,9999,NIL,3,24,24,1010,100,NIL,NIL,NIL,NIL,,,1,,
"['11:00', '08/03']",08/03 11:00,0,0,,9999,2000,5,24,24,1011,100,NIL,NIL,NIL,NIL,,,1,,
"['11:10', '08/03']",08/03 11:10,320,2,,6000,1000,5,25,24,1011,94,1,1,NIL,NIL,,,NIL,,
"['11:20', '08/03']",08/03 11:20,310,2,,1500,1000,5,25,24,1012,94,1,1,NIL,NIL,,,NIL,,
"['11:34', '08/03']",08/03 11:34,20,6,,9999,1000,5,24,24,1012,100,1,NIL,3000,270,,,NIL,,
"['12:00', '08/03']",08/03 12:00,40,7,,9999,1000,5,25,24,1012,94,NIL,NIL,NIL,NIL,,,NIL,,
"['13:00', '08/03']",08/03 13:00,310,2,,9999,800,5,25,24,1013,94,NIL,NIL,NIL,NIL,,,NIL,,
"['14:00', '08/03']",08/03 14:00,0,0,,9999,1200,5,26,24,1014,89,NIL,NIL,NIL,NIL,,,NIL,,
"['15:00', '08/03']",08/03 15:00,220,4,,9999,1000,5,26,25,1013,94,NIL,NIL,NIL,NIL,,,NIL,,
"['16:00', '08/03']",08/03 16:00,250,5,,9999,700,5,26,25,1013,94,NIL,NIL,NIL,NIL,,,NIL,,
"['16:42', '08/03']",08/03 16:42,260,7,,3000,700,5,25,24,1012,94,1,NIL,NIL,NIL,,,NIL,,
"['17:00', '08/03']",08/03 17:00,270,8,,4000,800,5,25,24,1012,94,1,NIL,NIL,NIL,,,NIL,,
"['18:00', '08/03']",08/03 18:00,310,3,,3000,700,5,25,24,1011,94,1,NIL,NIL,NIL,,,NIL,,
"['18:16', '08/03']",08/03 18:16,300,5,,9999,700,5,25,24,1010,94,NIL,NIL,NIL,NIL,,,NIL,,
"['19:00', '08/03']",08/03 19:00,310,4,,9999,500,5,25,24,1010,94,NIL,NIL,NIL,NIL,,,NIL,,
"['19:10', '08/03']",08/03 19:10,320,3,,3000,500,5,25,24,1011,94,1,NIL,NIL,NIL,,,NIL,,
"['19:27', '08/03']",08/03 19:27,10,11,,1500,500,5,25,24,1011,94,1,NIL,NIL,NIL,,,NIL,,
"['20:00', '08/03']",08/03 20:00,350,5,,6000,800,5,24,23,1010,94,1,NIL,NIL,NIL,,,NIL,,
"['20:27', '08/03']",08/03 20:27,350,4,,9999,7000,5,23,23,1009,100,NIL,NIL,NIL,NIL,,,NIL,,
"['21:00', '08/03']",08/03 21:00,320,2,,9999,7000,5,23,23,1009,100,NIL,NIL,NIL,NIL,,,NIL,,
"['22:00', '08/03']",08/03 22:00,270,3,,9999,7000,5,23,23,1009,100,NIL,NIL,NIL,NIL,,,NIL,,
"['23:00', '08/03']",08/03 23:00,140,3,,9999,10000,5,23,23,1010,100,NIL,NIL,NIL,NIL,,,NIL,,
"['00:00', '09/03']",09/03 00:00,150,2,,9999,10000,5,23,23,1010,100,NIL,NIL,NIL,NIL,,,NIL,,
"['01:00', '09/03']",09/03 01:00,0,0,NIL,9999,10000,5,23,23,1011,100,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['02:00', '09/03']",09/03 02:00,0,0,NIL,9999,NIL,3,23,23,1013,100,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['03:00', '09/03']",09/03 03:00,100,1,NIL,9999,NIL,3,23,23,1013,100,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['04:00', '09/03']",09/03 04:00,20,1,NIL,9999,NIL,3,23,23,1013,100,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['05:00', '09/03']",09/03 05:00,0,0,NIL,9999,10000,5,24,23,1012,94,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['06:00', '09/03']",09/03 06:00,0,0,NIL,9999,800,5,23,23,1011,100,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['07:00', '09/03']",09/03 07:00,170,2,NIL,9999,600,5,24,23,1011,94,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['07:17', '09/03']",09/03 07:17,160,2,NIL,9999,10000,5,24,23,1010,94,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['08:00', '09/03']",09/03 08:00,130,3,NIL,9999,10000,5,24,23,1010,94,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['09:00', '09/03']",09/03 09:00,150,2,NIL,9999,10000,5,24,24,1011,100,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['10:00', '09/03']",09/03 10:00,140,3,NIL,9999,600,5,24,24,1011,100,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['11:00', '09/03']",09/03 11:00,120,3,NIL,9999,600,5,24,24,1012,100,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['12:00', '09/03']",09/03 12:00,140,4,NIL,9999,1000,5,25,24,1012,94,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['13:00', '09/03']",09/03 13:00,160,4,NIL,9999,1000,5,26,24,1013,89,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['14:00', '09/03']",09/03 14:00,150,5,NIL,9999,1200,5,27,24,1013,84,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['15:00', '09/03']",09/03 15:00,170,4,NIL,9999,1500,5,27,24,1013,84,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['15:07', '09/03']",09/03 15:07,140,5,105,3000,1500,5,26,24,1013,89,1,1,1000,90,NIL,,NIL,NIL,
"['15:37', '09/03']",09/03 15:37,60,5,NIL,5000,NIL,3,25,25,1012,100,1,1,NIL,NIL,NIL,,NIL,NIL,
"['16:00', '09/03']",09/03 16:00,260,3,NIL,8000,NIL,3,25,25,1012,100,1,NIL,2000,180,NIL,,1,NIL,
"['16:05', '09/03']",09/03 16:05,340,7,NIL,2000,600,5,25,24,1012,94,1,NIL,1000,270,NIL,,1,NIL,
"['16:40', '09/03']",09/03 16:40,80,8,NIL,4000,600,5,23,22,1012,94,1,NIL,NIL,NIL,NIL,,1,NIL,
"['17:00', '09/03']",09/03 17:00,90,7,NIL,8000,600,5,23,23,1012,100,1,NIL,NIL,NIL,NIL,,1,NIL,
"['17:14', '09/03']",09/03 17:14,70,8,NIL,9999,10000,5,23,23,1011,100,1,NIL,NIL,NIL,NIL,,1,NIL,
"['18:00', '09/03']",09/03 18:00,50,4,NIL,9999,9000,5,23,23,1010,100,1,NIL,NIL,NIL,NIL,,1,NIL,
"['19:00', '09/03']",09/03 19:00,40,6,NIL,9999,7000,5,24,23,1010,94,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['20:00', '09/03']",09/03 20:00,360,4,NIL,9999,7000,5,24,24,1010,100,NIL,NIL,NIL,NIL,NIL,,NIL,1,
"['20:12', '09/03']",09/03 20:12,350,6,NIL,4000,500,5,24,23,1010,94,1,NIL,NIL,NIL,NIL,,1,NIL,
"['20:22', '09/03']",09/03 20:22,360,10,NIL,5000,500,5,23,22,1010,94,1,NIL,2000,270,22,,1,NIL,
"['20:37', '09/03']",09/03 20:37,360,10,NIL,9999,1000,5,23,22,1010,94,1,NIL,NIL,NIL,NIL,,1,NIL,
"['21:00', '09/03']",09/03 21:00,350,5,NIL,9999,1000,5,23,22,1009,94,NIL,NIL,NIL,NIL,NIL,,1,NIL,
"['22:00', '09/03']",09/03 22:00,360,5,NIL,9999,7000,5,23,22,1009,94,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['23:00', '09/03']",09/03 23:00,350,3,NIL,9999,10000,5,22,21,1009,94,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['00:00', '10/03']",10/03 00:00,0,0,NIL,9999,NIL,3,22,22,1010,100,NIL,NIL,NIL,NIL,NIL,,NIL,NIL,
"['01:00', '10/03']",10/03 01:00,0,0,NIL,9999,NIL,NIL,22,22,1012,100,NIL,,,,NIL,,NIL,,
"['02:00', '10/03']",10/03 02:00,0,0,NIL,9999,NIL,NIL,22,22,1013,100,NIL,,,,NIL,,NIL,,
"['03:00', '10/03']",10/03 03:00,0,0,NIL,9999,NIL,NIL,22,22,1013,100,NIL,,,,NIL,,NIL,,
"['04:00', '10/03']",10/03 04:00,360,2,NIL,9999,NIL,NIL,22,22,1012,100,NIL,,,,NIL,,NIL,,
"['05:00', '10/03']",10/03 05:00,0,0,NIL,9999,NIL,NIL,22,22,1012,100,NIL,,,,NIL,,NIL,,
"['06:00', '10/03']",10/03 06:00,250,1,NIL,9999,NIL,NIL,22,22,1011,100,NIL,,,,NIL,,NIL,,
"['07:00', '10/03']",10/03 07:00,120,1,NIL,9999,NIL,NIL,22,22,1011,100,NIL,,,,NIL,,NIL,,
"['08:00', '10/03']",10/03 08:00,0,0,NIL,9999,NIL,NIL,22,22,1011,100,NIL,,,,NIL,,NIL,,
"['09:00', '10/03']",10/03 09:00,60,2,NIL,9999,NIL,NIL,23,22,1011,94,NIL,,,,NIL,,NIL,,
"['10:00', '10/03']",10/03 10:00,350,3,NIL,9999,NIL,NIL,22,22,1011,100,NIL,,,,NIL,,NIL,,
"['11:00', '10/03']",10/03 11:00,320,3,NIL,9999,NIL,NIL,23,22,1012,94,NIL,,,,NIL,,NIL,,
"['12:00', '10/03']",10/03 12:00,310,2,NIL,9999,8000,5,24,23,1013,94,NIL,,,,NIL,,NIL,,
"['13:00', '10/03']",10/03 13:00,340,4,NIL,9999,10000,5,25,23,1014,89,NIL,,,,NIL,,NIL,,
"['14:00', '10/03']",10/03 14:00,330,3,NIL,9999,10000,5,26,23,1014,84,NIL,,,,NIL,,NIL,,
"['15:00', '10/03']",10/03 15:00,290,5,NIL,9999,NIL,3,28,23,1014,74,NIL,,,,NIL,,NIL,,
"['16:00', '10/03']",10/03 16:00,270,4,NIL,9999,2000,5,29,24,1013,74,NIL,,,,NIL,,NIL,,
"['17:00', '10/03']",10/03 17:00,230,6,230,9999,2000,5,30,25,1010,75,NIL,,,,NIL,,NIL,,
"['17:33', '10/03']",10/03 17:33,260,10,115,3000,1000,5,26,23,1010,84,1,,,,NIL,,1,,
"['17:44', '10/03']",10/03 17:44,330,12,145,1000,700,5,24,23,1010,94,1,,,,NIL,,1,,
"['18:00', '10/03']",10/03 18:00,320,11,325,1500,800,5,24,23,1010,94,1,,,,21,,1,,
"['18:17', '10/03']",10/03 18:17,300,5,NIL,3500,800,5,23,23,1010,100,1,,,,NIL,,1,,
"['18:27', '10/03']",10/03 18:27,300,4,NIL,5000,8000,5,23,23,1010,100,1,,,,NIL,,1,,
"['19:00', '10/03']",10/03 19:00,270,5,NIL,9999,8000,5,23,23,1010,100,1,,,,NIL,,1,,
"['20:00', '10/03']",10/03 20:00,230,4,NIL,9999,10000,5,24,23,1009,94,NIL,,,,NIL,,NIL,,
"['21:00', '10/03']",10/03 21:00,270,3,NIL,9999,10000,5,23,23,1009,100,NIL,,,,NIL,,NIL,,
"['22:00', '10/03']",10/03 22:00,260,3,NIL,9999,10000,5,24,23,1009,94,NIL,,,,NIL,,NIL,,
"['23:00', '10/03']",10/03 23:00,310,3,NIL,9999,10000,5,23,23,1010,100,1,,,,NIL,,NIL,,
"['23:42', '10/03']",10/03 23:42,320,3,NIL,8000,800,5,23,23,1011,100,1,,,,NIL,,NIL,,
"['00:00', '11/03']",11/03 00:00,310,4,NIL,6000,800,5,23,23,1011,100,1,,,,NIL,,NIL,,
"['01:00', '11/03']",11/03 01:00,290,4,,8000,800,5,23,23,1012,100,1,,,,,,,,
"['02:00', '11/03']",11/03 02:00,230,4,,9999,700,5,23,23,1013,100,NIL,,,,,,,,
"['03:00', '11/03']",11/03 03:00,280,2,,9999,600,5,23,23,1013,100,NIL,,,,,,,,
"['04:00', '11/03']",11/03 04:00,300,2,,9999,700,5,23,23,1013,100,NIL,,,,,,,,
"['05:00', '11/03']",11/03 05:00,0,0,,9999,8000,5,23,23,1011,100,NIL,,,,,,,,
"['06:00', '11/03']",11/03 06:00,60,2,,9999,10000,5,23,23,1011,100,NIL,,,,,,,,
"['07:00', '11/03']",11/03 07:00,100,4,,6000,7000,5,23,23,1011,100,1,,,,,,,,
"['09:00', '11/03']",11/03 09:00,90,4,,7000,500,5,23,23,1011,100,1,,,,,,,,
"['10:00', '11/03']",11/03 10:00,0,0,,9999,600,5,23,23,1012,100,NIL,,,,,,,,
"['11:00', '11/03']",11/03 11:00,0,0,,9999,700,5,23,23,1013,100,NIL,,,,,,,,
"['12:00', '11/03']",11/03 12:00,60,2,,9999,10000,5,24,23,1014,94,1,,,,,,,,
"['13:00', '11/03']",11/03 13:00,80,8,,9999,8000,5,24,23,1014,94,NIL,,,,,,,,
"['14:00', '11/03']",11/03 14:00,80,9,,9999,7000,5,25,24,1015,94,1,,,,,,,,
"['15:00', '11/03']",11/03 15:00,70,5,,9999,7000,5,26,24,1015,89,1,,,,,,,,
"['16:00', '11/03']",11/03 16:00,60,5,,9999,8000,5,26,24,1014,89,NIL,,,,,,,,
"['17:00', '11/03']",11/03 17:00,10,3,,9999,1500,5,26,23,1014,84,1,,,,,,,,
"['19:00', '11/03']",11/03 19:00,30,4,,9999,8000,5,27,23,1011,79,NIL,,,,,,,,
"['20:00', '11/03']",11/03 20:00,60,6,,9999,8000,5,27,23,1010,79,NIL,,,,,,,,
"['21:00', '11/03']",11/03 21:00,70,6,,9999,1900,5,26,23,1010,84,NIL,,,,,,,,
"['22:00', '11/03']",11/03 22:00,10,5,,9999,NIL,3,25,23,1010,89,NIL,,,,,,,,
"['23:00', '11/03']",11/03 23:00,10,2,,9999,NIL,3,24,22,1010,89,NIL,,,,,,,,
"['00:00', '12/03']",12/03 00:00,290,2,,9999,NIL,NIL,23,23,1010,100,NIL,,,,,,,,
"['01:00', '12/03']",12/03 01:00,310,2,,9999,NIL,2,23,23,1011,100,,,,,,,,,
"['02:00', '12/03']",12/03 02:00,0,0,,9999,NIL,2,23,23,1012,100,,,,,,,,,
"['03:00', '12/03']",12/03 03:00,300,3,,9999,NIL,2,23,23,1012,100,,,,,,,,,
"['04:00', '12/03']",12/03 04:00,320,3,,9999,NIL,2,23,23,1012,100,,,,,,,,,
"['05:00', '12/03']",12/03 05:00,0,0,,9999,NIL,2,23,23,1012,100,,,,,,,,,
"['06:00', '12/03']",12/03 06:00,0,0,,9999,NIL,3,23,22,1012,94,,,,,,,,,
"['07:00', '12/03']",12/03 07:00,30,3,,9999,NIL,3,23,23,1012,100,,,,,,,,,
"['08:00', '12/03']",12/03 08:00,30,3,,9999,10000,5,23,22,1021,94,,,,,,,,,
"['09:00', '12/03']",12/03 09:00,60,4,,9999,10000,5,23,23,1012,100,,,,,,,,,
"['10:00', '12/03']",12/03 10:00,90,3,,9999,10000,5,23,22,1013,94,,,,,,,,,
"['11:00', '12/03']",12/03 11:00,0,0,,9999,8000,5,23,23,1014,100,,,,,,,,,
"['12:00', '12/03']",12/03 12:00,110,3,,9999,7000,5,24,23,1015,94,,,,,,,,,
"['13:00', '12/03']",12/03 13:00,80,7,,9999,7000,5,26,24,1015,89,,,,,,,,,
"['14:00', '12/03']",12/03 14:00,90,6,,9999,8000,5,27,24,1015,84,,,,,,,,,
"['15:00', '12/03']",12/03 15:00,70,7,,9999,2000,5,29,23,1015,70,,,,,,,,,
"['16:00', '12/03']",12/03 16:00,120,4,,9999,2000,5,29,23,1014,70,,,,,,,,,
"['17:00', '12/03']",12/03 17:00,70,5,,9999,NIL,3,30,23,1013,66,,,,,,,,,
"['18:00', '12/03']",12/03 18:00,70,7,,9999,NIL,3,31,22,1011,59,,,,,,,,,
"['19:00', '12/03']",12/03 19:00,100,6,,9999,NIL,3,31,23,1009,63,,,,,,,,,
"['20:00', '12/03']",12/03 20:00,60,5,,9999,NIL,3,31,22,1009,59,,,,,,,,,
"['21:00', '12/03']",12/03 21:00,40,5,,9999,NIL,3,30,22,1009,62,,,,,,,,,
"['22:00', '12/03']",12/03 22:00,310,4,,9999,NIL,3,27,24,1010,84,,,,,,,,,
"['23:00', '12/03']",12/03 23:00,310,3,,9999,NIL,2,25,24,1010,94,,,,,,,,,
"['00:00', '13/03']",13/03 00:00,0,0,,9999,NIL,2,25,23,1011,89,,,,,,,,,
"['01:00', '13/03']",13/03 01:00,310,3,,9999,NIL,2,24,23,1012,94,NIL,,,,,,,,
"['02:00', '13/03']",13/03 02:00,0,0,,9999,NIL,2,25,23,1013,89,NIL,,,,,,,,
"['03:00', '13/03']",13/03 03:00,220,2,,9999,NIL,3,25,24,1014,94,NIL,,,,,,,,
"['04:00', '13/03']",13/03 04:00,0,0,,9999,NIL,2,24,23,1014,94,NIL,,,,,,,,
"['05:00', '13/03']",13/03 05:00,280,3,,9999,NIL,3,24,23,1013,94,NIL,,,,,,,,
"['06:00', '13/03']",13/03 06:00,290,3,,9999,NIL,3,24,24,1012,100,NIL,,,,,,,,
"['07:00', '13/03']",13/03 07:00,290,3,,9999,NIL,2,24,23,1012,94,NIL,,,,,,,,
"['08:00', '13/03']",13/03 08:00,300,2,,9999,NIL,3,24,23,1011,94,NIL,,,,,,,,
"['09:00', '13/03']",13/03 09:00,320,2,,9999,NIL,3,24,23,1012,94,NIL,,,,,,,,
"['10:00', '13/03']",13/03 10:00,330,2,,9999,8000,5,24,23,1012,94,1,,,,,,,,
"['11:00', '13/03']",13/03 11:00,330,2,,9999,7000,8,23,23,1014,100,1,,,,,,,,
"['12:00', '13/03']",13/03 12:00,10,2,,4000,7000,5,23,23,1015,100,1,,,,,,,,
"['13:00', '13/03']",13/03 13:00,10,1,,6000,7000,5,23,23,1016,100,1,,,,,,,,
"['14:00', '13/03']",13/03 14:00,40,2,,8000,7000,5,24,23,1016,94,1,,,,,,,,
"['15:00', '13/03']",13/03 15:00,360,3,,9999,600,5,24,23,1016,94,NIL,,,,,,,,
"['17:00', '13/03']",13/03 17:00,130,2,,9999,8000,5,27,23,1014,79,NIL,,,,,,,,
"['18:00', '13/03']",13/03 18:00,180,7,,9999,1800,5,27,23,1012,79,NIL,,,,,,,,
"['19:00', '13/03']",13/03 19:00,220,4,,9999,8000,5,29,23,1011,70,NIL,,,,,,,,
"['20:00', '13/03']",13/03 20:00,260,5,,9999,10000,5,29,23,1010,70,NIL,,,,,,,,
"['21:00', '13/03']",13/03 21:00,310,2,,9999,10000,5,28,23,1009,74,NIL,,,,,,,,
"['22:00', '13/03']",13/03 22:00,300,1,,9999,NIL,3,27,24,1009,84,NIL,,,,,,,,
"['23:00', '13/03']",13/03 23:00,190,2,,9999,NIL,2,25,24,1011,94,NIL,,,,,,,,
"['00:00', '14/03']",14/03 00:00,0,0,,9999,NIL,2,25,24,1012,94,NIL,,,,,,,,
"['01:00', '14/03']",14/03 01:00,290,3,,9999,2000,5,24,24,1012,100,,,,,,,NIL,,
"['02:00', '14/03']",14/03 02:00,0,0,,9999,2000,5,25,24,1013,94,,,,,,,NIL,,
"['03:00', '14/03']",14/03 03:00,300,1,,9999,NIL,2,24,24,1013,100,,,,,,,NIL,,
"['04:00', '14/03']",14/03 04:00,310,1,,9999,NIL,2,24,24,1013,100,,,,,,,NIL,,
"['05:00', '14/03']",14/03 05:00,310,3,,9999,NIL,2,24,23,1012,94,,,,,,,NIL,,
"['06:00', '14/03']",14/03 06:00,0,0,,9999,NIL,2,24,23,1012,94,,,,,,,NIL,,
"['07:00', '14/03']",14/03 07:00,320,2,,9999,NIL,2,24,23,1011,94,,,,,,,NIL,,
"['08:00', '14/03']",14/03 08:00,0,0,,9999,NIL,2,24,23,1011,94,,,,,,,NIL,,
"['09:00', '14/03']",14/03 09:00,30,2,,9999,NIL,3,24,23,1012,94,,,,,,,NIL,,
"['10:00', '14/03']",14/03 10:00,20,2,,9999,8000,5,24,23,1012,94,,,,,,,NIL,,
"['11:00', '14/03']",14/03 11:00,0,0,,9999,8000,5,24,23,1013,94,,,,,,,NIL,,
"['12:00', '14/03']",14/03 12:00,80,2,,9999,10000,5,25,24,1014,94,,,,,,,NIL,,
"['13:00', '14/03']",14/03 13:00,50,3,,9999,NIL,3,26,24,1015,89,,,,,,,NIL,,
"['14:00', '14/03']",14/03 14:00,40,3,,9999,10000,5,29,24,1015,74,,,,,,,NIL,,
"['15:00', '14/03']",14/03 15:00,20,5,,9999,2000,5,28,23,1015,74,,,,,,,NIL,,
