validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,vis_setor,vis_setor_dir,chuva,teto,trovoada,nevoa_umida,vnt_vrb,pancada,nevoa_seca,chuvisco,vnt_rajada,nevoeiro
"['07:00', '12/02']",12/02 07:00,20,3,7000,8,21,20,1014,94,,,NIL,1800,,NIL,,,,,,
"['08:00', '12/02']",12/02 08:00,340,1,8000,8,21,20,1015,94,,,NIL,1000,,NIL,,,,,,
"['09:00', '12/02']",12/02 09:00,290,3,8000,8,21,20,1015,94,,,1,1000,,NIL,,,,,,
"['10:00', '12/02']",12/02 10:00,290,3,9000,8,22,20,1015,88,,,NIL,1000,,NIL,,,,,,
"['10:25', '12/02']",12/02 10:25,230,2,4000,8,21,20,1016,94,,,1,700,,NIL,,,,,,
"['11:00', '12/02']",12/02 11:00,240,5,3000,8,22,20,1016,88,,,1,700,,1,,,,,,
"['12:00', '12/02']",12/02 12:00,310,3,3000,8,22,21,1016,94,,,1,800,,1,,,,,,
"['13:00', '12/02']",12/02 13:00,260,2,6000,8,23,21,1016,89,,,1,1200,,NIL,,,,,,
"['14:00', '12/02']",12/02 14:00,330,2,9999,8,23,21,1016,89,,,NIL,1300,,NIL,,,,,,
"['15:00', '12/02']",12/02 15:00,150,3,9999,5,25,20,1015,74,,,NIL,2500,,NIL,,,,,,
"['16:00', '12/02']",12/02 16:00,110,4,7000,8,24,20,1015,78,,,NIL,2000,,NIL,,,,,,
"['17:00', '12/02']",12/02 17:00,130,2,7000,8,23,20,1014,83,,,1,2500,,NIL,,,,,,
"['18:00', '12/02']",12/02 18:00,150,4,6000,8,23,20,1014,83,,,1,2500,,NIL,,,,,,
"['19:00', '12/02']",12/02 19:00,140,3,4000,8,22,20,1014,88,,,1,2500,,1,,,,,,
"['20:00', '12/02']",12/02 20:00,260,5,4000,8,22,20,1014,88,,,1,1200,,1,,,,,,
"['21:00', '12/02']",12/02 21:00,320,3,5000,8,22,21,1014,94,,,1,1200,,1,,,,,,
"['22:00', '12/02']",12/02 22:00,240,5,3000,8,22,21,1014,94,,,1,1200,,1,,,,,,
"['23:00', '12/02']",12/02 23:00,220,4,4000,8,22,20,1014,88,,,1,1200,,1,,,,,,
"['00:00', '13/02']",13/02 00:00,260,5,5000,8,21,20,1015,94,,,1,1200,,1,,,,,,
"['01:00', '13/02']",13/02 01:00,260,5,4000,8,22,20,1015,88,,,1,1200,,1,NIL,,,,,
"['02:00', '13/02']",13/02 02:00,VRB,3,5000,8,21,20,1015,94,,,1,1300,,1,NIL,,,,,
"['03:00', '13/02']",13/02 03:00,310,4,5000,8,21,20,1015,94,,,1,800,,1,145,,,,,
"['03:20', '13/02']",13/02 03:20,300,4,5000,8,21,20,1015,94,,,1,400,,1,290,,,,,
"['04:00', '13/02']",13/02 04:00,290,5,6000,8,21,20,1015,94,,,1,400,,NIL,NIL,,,,,
"['04:18', '13/02']",13/02 04:18,280,5,8000,8,21,20,1014,94,,,1,800,,NIL,NIL,,,,,
"['05:00', '13/02']",13/02 05:00,250,3,9999,8,21,20,1014,94,,,NIL,1000,,NIL,NIL,,,,,
"['06:00', '13/02']",13/02 06:00,240,4,9999,8,21,20,1013,94,,,NIL,3000,,NIL,NIL,,,,,
"['07:00', '13/02']",13/02 07:00,280,4,9999,8,21,20,1013,94,,,NIL,1800,,NIL,295,,,,,
"['08:00', '13/02']",13/02 08:00,260,3,9999,8,21,20,1013,94,,,NIL,1900,,NIL,NIL,,,,,
"['09:00', '13/02']",13/02 09:00,280,5,6000,8,21,20,1013,94,,,1,2000,,NIL,NIL,,,,,
"['10:00', '13/02']",13/02 10:00,260,5,6000,8,22,20,1014,88,,,NIL,1500,,NIL,NIL,,,,,
"['11:00', '13/02']",13/02 11:00,290,6,9999,8,22,21,1014,94,,,NIL,1600,,NIL,NIL,,,,,
"['12:00', '13/02']",13/02 12:00,290,7,9999,8,23,20,1015,83,,,NIL,1800,,NIL,NIL,,,,,
"['13:00', '13/02']",13/02 13:00,270,7,9999,5,24,21,1015,83,,,NIL,1200,,NIL,NIL,,,,,
"['14:00', '13/02']",13/02 14:00,260,6,9999,5,26,21,1014,74,,,NIL,2500,,NIL,NIL,,,,,
"['15:00', '13/02']",13/02 15:00,280,7,9999,5,26,22,1014,79,,,NIL,10000,,NIL,NIL,,,,,
"['16:00', '13/02']",13/02 16:00,250,7,9999,5,28,22,1012,70,,,NIL,2500,,NIL,NIL,,,,,
"['17:00', '13/02']",13/02 17:00,200,5,9999,8,26,21,1012,74,,,NIL,2500,,NIL,NIL,,,,,
"['18:00', '13/02']",13/02 18:00,120,6,9999,8,25,21,1012,79,,,NIL,2500,,NIL,NIL,,,,,
"['19:00', '13/02']",13/02 19:00,230,7,9999,8,25,21,1012,79,,,NIL,2500,,NIL,NIL,,,,,
"['20:00', '13/02']",13/02 20:00,260,9,9999,8,25,21,1012,79,,,NIL,3000,,NIL,NIL,,,,,
"['21:00', '13/02']",13/02 21:00,270,7,9999,8,25,21,1013,79,,,NIL,3000,,NIL,NIL,,,,,
"['22:00', '13/02']",13/02 22:00,260,9,9999,8,24,21,1014,83,,,NIL,3000,,NIL,NIL,,,,,
"['23:00', '13/02']",13/02 23:00,250,7,9999,8,24,21,1014,83,,,NIL,1700,,NIL,NIL,,,,,
"['00:00', '14/02']",14/02 00:00,240,7,9999,8,24,21,1014,83,,,NIL,2000,,NIL,NIL,,,,,
"['01:00', '14/02']",14/02 01:00,250,8,9999,8,23,21,1015,89,,,,2000,,,,,,,,
"['02:00', '14/02']",14/02 02:00,260,7,9999,5,23,21,1015,89,,,,3500,,,,,,,,
"['03:00', '14/02']",14/02 03:00,290,5,9999,3,22,21,1015,94,,,,NIL,,,,,,,,
"['04:00', '14/02']",14/02 04:00,280,5,9999,2,23,21,1014,89,,,,NIL,,,,,,,,
"['05:00', '14/02']",14/02 05:00,280,7,9999,2,22,21,1014,94,,,,NIL,,,,,,,,
"['06:00', '14/02']",14/02 06:00,250,7,9999,3,22,20,1013,88,,,,NIL,,,,,,,,
"['07:00', '14/02']",14/02 07:00,260,5,9999,3,22,20,1013,88,,,,NIL,,,,,,,,
"['08:00', '14/02']",14/02 08:00,270,6,9999,3,22,20,1013,88,,,,NIL,,,,,,,,
"['09:00', '14/02']",14/02 09:00,290,6,9999,3,22,20,1014,88,,,,NIL,,,,,,,,
"['10:00', '14/02']",14/02 10:00,250,7,9999,3,23,20,1014,83,,,,NIL,,,,,,,,
"['11:00', '14/02']",14/02 11:00,360,6,9999,3,24,20,1015,78,,,,NIL,,,,,,,,
"['12:00', '14/02']",14/02 12:00,260,6,9999,3,26,19,1015,65,,,,NIL,,,,,,,,
"['13:00', '14/02']",14/02 13:00,320,5,9999,3,27,19,1015,62,,,,NIL,,,,,,,,
"['14:00', '14/02']",14/02 14:00,270,4,9999,5,28,20,1014,62,,,,3300,,,,,,,,
"['15:00', '14/02']",14/02 15:00,120,9,9999,5,27,21,1014,70,,,,4000,,,,,,,,
"['16:00', '14/02']",14/02 16:00,130,10,9999,3,27,20,1013,66,,,,NIL,,,,,,,,
"['17:00', '14/02']",14/02 17:00,110,12,9999,3,28,21,1013,66,,,,NIL,,,,,,,,
"['18:00', '14/02']",14/02 18:00,130,10,9999,3,27,21,1013,70,,,,NIL,,,,,,,,
"['19:00', '14/02']",14/02 19:00,120,10,9999,5,27,21,1013,70,,,,4000,,,,,,,,
"['20:00', '14/02']",14/02 20:00,130,5,9999,5,26,21,1013,74,,,,4000,,,,,,,,
"['21:00', '14/02']",14/02 21:00,130,9,9999,8,25,20,1014,74,,,,4000,,,,,,,,
"['22:00', '14/02']",14/02 22:00,120,6,9999,8,25,20,1014,74,,,,4000,,,,,,,,
"['23:00', '14/02']",14/02 23:00,110,5,9999,8,25,20,1015,74,,,,4000,,,,,,,,
"['00:00', '15/02']",15/02 00:00,100,5,9999,8,25,20,1016,74,,,,4000,,,,,,,,
"['01:00', '15/02']",15/02 01:00,50,6,9999,5,25,21,1016,79,,,,8000,,,NIL,,,,,
"['02:00', '15/02']",15/02 02:00,70,5,9999,5,24,22,1015,89,,,,10000,,,NIL,,,,,
"['03:00', '15/02']",15/02 03:00,30,3,9999,8,25,21,1014,79,,,,4000,,,NIL,,,,,
"['04:00', '15/02']",15/02 04:00,120,1,9999,5,24,21,1014,83,,,,10000,,,NIL,,,,,
"['05:00', '15/02']",15/02 05:00,140,1,9999,5,24,21,1013,83,,,,10000,,,NIL,,,,,
