validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,vis_setor,vis_setor_dir,nevoa_umida,nevoeiro,pancada,nevoa_seca,chuvisco,fumaca
"['07:00', '28/03']",28/03 07:00,120,10,NIL,9999,,,NIL,NIL,18,15,1017,83,,,,,,,,,
"['08:00', '28/03']",28/03 08:00,120,9,NIL,9999,,,NIL,NIL,18,16,1017,88,,,,,,,,,
"['09:00', '28/03']",28/03 09:00,120,8,NIL,9999,,,NIL,NIL,18,16,1017,88,,,,,,,,,
"['10:00', '28/03']",28/03 10:00,120,8,NIL,9999,,,NIL,NIL,18,16,1018,88,,,,,,,,,
"['11:00', '28/03']",28/03 11:00,130,8,NIL,9999,,,NIL,NIL,20,16,1019,78,,,,,,,,,
"['12:00', '28/03']",28/03 12:00,110,6,NIL,9999,,,NIL,NIL,22,17,1020,73,,,,,,,,,
"['13:00', '28/03']",28/03 13:00,40,6,NIL,9999,,,NIL,NIL,25,16,1020,57,,,,,,,,,
"['14:00', '28/03']",28/03 14:00,40,6,NIL,9999,,,NIL,NIL,26,15,1020,51,,,,,,,,,
"['15:00', '28/03']",28/03 15:00,350,5,NIL,9999,,,10000,5,28,15,1019,45,,,,,,,,,
"['16:00', '28/03']",28/03 16:00,350,5,NIL,9999,,,NIL,3,29,15,1018,43,,,,,,,,,
"['17:00', '28/03']",28/03 17:00,270,4,NIL,9999,,,NIL,3,30,15,1018,40,,,,,,,,,
"['18:00', '28/03']",28/03 18:00,140,5,NIL,9999,,,NIL,3,30,14,1017,38,,,,,,,,,
"['19:00', '28/03']",28/03 19:00,200,6,190,9999,,,NIL,3,30,14,1016,38,,,,,,,,,
"['20:00', '28/03']",28/03 20:00,120,4,NIL,9999,,,NIL,3,29,14,1016,40,,,,,,,,,
"['21:00', '28/03']",28/03 21:00,160,6,NIL,9999,,,7000,5,28,14,1016,42,,,,,,,,,
"['22:00', '28/03']",28/03 22:00,180,4,NIL,9999,,,7000,5,28,16,1016,48,,,,,,,,,
"['23:00', '28/03']",28/03 23:00,130,10,NIL,9999,,,NIL,NIL,25,18,1017,65,,,,,,,,,
"['00:00', '29/03']",29/03 00:00,130,12,NIL,9999,,,NIL,NIL,24,18,1018,69,,,,,,,,,
"['01:00', '29/03']",29/03 01:00,120,10,NIL,9999,NIL,,NIL,NIL,23,18,1018,73,,NIL,NIL,,,,,,
"['02:00', '29/03']",29/03 02:00,120,10,NIL,9999,NIL,,NIL,NIL,23,18,1018,73,,NIL,NIL,,,,,,
"['03:00', '29/03']",29/03 03:00,120,9,NIL,9999,NIL,,NIL,NIL,22,18,1018,78,,NIL,NIL,,,,,,
"['04:00', '29/03']",29/03 04:00,0,0,NIL,9000,1,,3000,5,21,19,1019,88,,NIL,NIL,,,,,,
"['05:00', '29/03']",29/03 05:00,230,5,NIL,9000,1,,4000,5,21,19,1018,88,,NIL,NIL,,,,,,
"['06:00', '29/03']",29/03 06:00,150,7,NIL,9999,NIL,,7000,5,21,19,1018,88,,NIL,NIL,,,,,,
"['07:00', '29/03']",29/03 07:00,120,6,NIL,9999,NIL,,7000,5,21,18,1018,83,,NIL,NIL,,,,,,
"['08:00', '29/03']",29/03 08:00,100,5,NIL,9999,NIL,,NIL,NIL,21,18,1018,83,,NIL,NIL,,,,,,
"['09:00', '29/03']",29/03 09:00,120,6,NIL,9999,NIL,,NIL,NIL,21,18,1019,83,,NIL,NIL,,,,,,
"['10:00', '29/03']",29/03 10:00,110,5,NIL,9999,NIL,,NIL,NIL,20,18,1019,88,,NIL,NIL,,,,,,
"['11:00', '29/03']",29/03 11:00,130,6,NIL,9999,NIL,,4700,5,23,19,1021,78,,NIL,NIL,,,,,,
"['12:00', '29/03']",29/03 12:00,0,0,NIL,9999,NIL,,NIL,3,23,19,1021,78,,NIL,NIL,,,,,,
"['13:00', '29/03']",29/03 13:00,360,6,NIL,9999,NIL,,8000,5,23,19,1022,78,,NIL,NIL,,,,,,
"['14:00', '29/03']",29/03 14:00,60,6,NIL,9999,1,,7000,5,22,19,1022,83,,4000,90,,,,,,
"['15:00', '29/03']",29/03 15:00,10,5,NIL,9999,1,,7000,5,22,20,1021,88,,3000,0,,,,,,
"['16:00', '29/03']",29/03 16:00,VRB,4,NIL,9999,NIL,,NIL,3,24,20,1020,78,,NIL,NIL,,,,,,
"['17:00', '29/03']",29/03 17:00,0,0,NIL,9999,NIL,,NIL,3,26,19,1019,65,,NIL,NIL,,,,,,
"['18:00', '29/03']",29/03 18:00,120,4,110,9999,NIL,,NIL,3,26,19,1018,65,,NIL,NIL,,,,,,
"['19:00', '29/03']",29/03 19:00,340,6,NIL,9999,NIL,,NIL,3,26,20,1018,70,,NIL,NIL,,,,,,
"['20:00', '29/03']",29/03 20:00,340,6,NIL,9999,NIL,,NIL,2,25,19,1018,69,,NIL,NIL,,,,,,
"['21:00', '29/03']",29/03 21:00,310,9,NIL,9999,1,,NIL,3,23,20,1019,83,,NIL,NIL,,,,,,
"['21:37', '29/03']",29/03 21:37,210,13,NIL,9999,1,,NIL,3,20,18,1020,88,,NIL,NIL,,,,,,
"['22:00', '29/03']",29/03 22:00,180,13,NIL,6000,1,,NIL,3,19,18,1021,94,,NIL,NIL,,,,,,
"['23:00', '29/03']",29/03 23:00,100,7,NIL,9999,1,,NIL,3,19,18,1021,94,,NIL,NIL,,,,,,
"['00:00', '30/03']",30/03 00:00,80,5,NIL,9999,1,,NIL,3,19,18,1021,94,,NIL,NIL,,,,,,
"['01:00', '30/03']",30/03 01:00,150,3,,9999,,,NIL,NIL,19,17,1021,88,,NIL,NIL,NIL,NIL,,,,
"['02:00', '30/03']",30/03 02:00,90,4,,9999,,,8300,5,19,17,1021,88,,NIL,NIL,NIL,NIL,,,,
"['03:00', '30/03']",30/03 03:00,90,5,,9999,,,8000,5,19,18,1020,94,,NIL,NIL,NIL,NIL,,,,
"['04:00', '30/03']",30/03 04:00,160,6,,9999,,,8000,5,19,18,1019,94,,NIL,NIL,NIL,NIL,,,,
"['05:00', '30/03']",30/03 05:00,210,3,,9999,,,9000,5,20,18,1019,88,,NIL,NIL,NIL,NIL,,,,
"['06:00', '30/03']",30/03 06:00,160,4,,9999,,,NIL,3,19,18,1018,94,,NIL,NIL,NIL,NIL,,,,
"['07:00', '30/03']",30/03 07:00,170,4,,9999,,,NIL,2,19,18,1018,94,,NIL,NIL,NIL,NIL,,,,
"['07:30', '30/03']",30/03 07:30,180,5,,800,,,100,5,19,18,1017,94,,NIL,NIL,NIL,1,,,,
"['08:00', '30/03']",30/03 08:00,180,6,,6000,,,NIL,2,19,18,1018,94,,NIL,NIL,NIL,NIL,,,,
"['09:00', '30/03']",30/03 09:00,110,3,,7000,,,NIL,NIL,18,17,1018,94,,3000,315,NIL,1,,,,
"['10:00', '30/03']",30/03 10:00,180,5,,6000,,,9000,5,19,18,1018,94,,2000,0,NIL,1,,,,
"['11:00', '30/03']",30/03 11:00,230,3,,4000,,,NIL,2,20,18,1019,88,,NIL,NIL,1,NIL,,,,
"['12:00', '30/03']",30/03 12:00,110,4,,6000,,,NIL,2,21,18,1020,83,,NIL,NIL,NIL,NIL,,,,
"['13:00', '30/03']",30/03 13:00,VRB,3,,9999,,,NIL,2,24,19,1020,74,,NIL,NIL,NIL,NIL,,,,
"['14:00', '30/03']",30/03 14:00,0,0,,9999,,,NIL,3,25,19,1019,69,,NIL,NIL,NIL,NIL,,,,
"['15:00', '30/03']",30/03 15:00,0,0,,9999,,,NIL,3,26,18,1019,61,,NIL,NIL,NIL,NIL,,,,
"['16:00', '30/03']",30/03 16:00,VRB,6,,9999,,,10000,5,27,18,1018,58,,NIL,NIL,NIL,NIL,,,,
"['17:00', '30/03']",30/03 17:00,VRB,5,,9999,,,10000,5,28,18,1017,55,,NIL,NIL,NIL,NIL,,,,
"['18:00', '30/03']",30/03 18:00,VRB,6,,9999,,,NIL,3,29,19,1016,55,,NIL,NIL,NIL,NIL,,,,
"['19:00', '30/03']",30/03 19:00,190,7,,9999,,,NIL,3,27,18,1015,58,,NIL,NIL,NIL,NIL,,,,
"['20:00', '30/03']",30/03 20:00,200,5,,9999,,,NIL,3,27,18,1015,58,,NIL,NIL,NIL,NIL,,,,
"['21:00', '30/03']",30/03 21:00,210,5,,9999,,,NIL,2,27,18,1016,58,,NIL,NIL,NIL,NIL,,,,
"['22:00', '30/03']",30/03 22:00,130,10,,9999,,,NIL,2,25,18,1016,65,,NIL,NIL,NIL,NIL,,,,
"['23:00', '30/03']",30/03 23:00,140,13,,9999,,,NIL,3,24,18,1017,69,,NIL,NIL,NIL,NIL,,,,
"['00:00', '31/03']",31/03 00:00,130,11,,9999,,,NIL,2,22,17,1018,73,,NIL,NIL,NIL,NIL,,,,
"['01:00', '31/03']",31/03 01:00,120,10,NIL,9999,,,NIL,2,21,18,1018,83,,,,,,,,,
"['02:00', '31/03']",31/03 02:00,120,10,NIL,9999,,,NIL,NIL,21,17,1018,78,,,,,,,,,
"['03:00', '31/03']",31/03 03:00,110,8,100,9999,,,NIL,NIL,20,17,1017,83,,,,,,,,,
"['04:00', '31/03']",31/03 04:00,120,8,NIL,9999,,,NIL,NIL,20,17,1017,83,,,,,,,,,
"['05:00', '31/03']",31/03 05:00,120,8,NIL,9999,,,NIL,NIL,19,17,1016,88,,,,,,,,,
"['06:00', '31/03']",31/03 06:00,110,6,NIL,9999,,,NIL,NIL,19,17,1016,88,,,,,,,,,
"['07:00', '31/03']",31/03 07:00,120,6,NIL,9999,,,NIL,NIL,19,17,1015,88,,,,,,,,,
"['08:00', '31/03']",31/03 08:00,120,4,NIL,9999,,,NIL,NIL,18,17,1015,94,,,,,,,,,
"['09:00', '31/03']",31/03 09:00,150,5,NIL,9999,,,NIL,NIL,19,17,1016,88,,,,,,,,,
"['10:00', '31/03']",31/03 10:00,130,4,NIL,9999,,,NIL,NIL,19,17,1016,88,,,,,,,,,
"['11:00', '31/03']",31/03 11:00,120,5,NIL,9999,,,NIL,NIL,21,18,1017,83,,,,,,,,,
"['12:00', '31/03']",31/03 12:00,120,3,NIL,9999,,,NIL,NIL,23,18,1018,73,,,,,,,,,
"['13:00', '31/03']",31/03 13:00,VRB,1,NIL,9999,,,NIL,NIL,25,18,1018,65,,,,,,,,,
"['14:00', '31/03']",31/03 14:00,VRB,3,NIL,9999,,,NIL,2,26,18,1017,61,,,,,,,,,
"['15:00', '31/03']",31/03 15:00,260,5,275,9999,,,NIL,3,27,18,1016,58,,,,,,,,,
"['16:00', '31/03']",31/03 16:00,VRB,3,NIL,9999,,,4500,5,28,17,1015,51,,,,,,,,,
"['17:00', '31/03']",31/03 17:00,230,8,NIL,9999,,,4500,5,29,18,1015,52,,,,,,,,,
"['18:00', '31/03']",31/03 18:00,250,7,235,9999,,,NIL,3,29,18,1015,52,,,,,,,,,
"['19:00', '31/03']",31/03 19:00,VRB,6,NIL,9999,,,NIL,2,30,17,1014,46,,,,,,,,,
"['20:00', '31/03']",31/03 20:00,210,8,NIL,9999,,,NIL,2,29,17,1014,48,,,,,,,,,
"['21:00', '31/03']",31/03 21:00,200,6,NIL,9999,,,NIL,NIL,28,17,1014,51,,,,,,,,,
"['22:00', '31/03']",31/03 22:00,150,9,NIL,9999,,,NIL,NIL,26,19,1015,65,,,,,,,,,
"['23:00', '31/03']",31/03 23:00,130,13,NIL,9999,,,NIL,NIL,24,19,1015,74,,,,,,,,,
"['00:00', '01/04']",01/04 00:00,130,11,NIL,9999,,,NIL,NIL,23,18,1016,73,,,,,,,,,
"['01:00', '01/04']",01/04 01:00,120,10,NIL,9999,,,,NIL,22,18,1017,78,,,,,,,,,
"['02:00', '01/04']",01/04 02:00,120,10,NIL,9999,,,,NIL,21,17,1017,78,,,,,,,,,
"['03:00', '01/04']",01/04 03:00,120,10,NIL,9999,,,,NIL,20,17,1017,83,,,,,,,,,
"['04:00', '01/04']",01/04 04:00,130,10,NIL,9999,,,,NIL,19,17,1016,88,,,,,,,,,
"['05:00', '01/04']",01/04 05:00,150,7,NIL,9999,,,,NIL,19,17,1016,88,,,,,,,,,
"['06:00', '01/04']",01/04 06:00,130,6,NIL,9999,,,,NIL,18,17,1016,94,,,,,,,,,
"['07:00', '01/04']",01/04 07:00,140,7,NIL,9999,,,,NIL,18,16,1015,88,,,,,,,,,
"['08:00', '01/04']",01/04 08:00,140,7,NIL,9999,,,,NIL,18,16,1016,88,,,,,,,,,
"['09:00', '01/04']",01/04 09:00,130,9,NIL,9999,,,,NIL,18,16,1016,88,,,,,,,,,
"['10:00', '01/04']",01/04 10:00,130,7,NIL,8000,,,,NIL,18,16,1017,88,,,,,,,,,
"['11:00', '01/04']",01/04 11:00,130,11,NIL,9999,,,,2,20,17,1018,83,,,,,,,,,
"['12:00', '01/04']",01/04 12:00,120,11,NIL,9999,,,,2,22,18,1018,78,,,,,,,,,
"['13:00', '01/04']",01/04 13:00,110,6,105,9999,,,,NIL,24,18,1018,69,,,,,,,,,
"['14:00', '01/04']",01/04 14:00,160,5,160,9999,,,,2,26,18,1018,61,,,,,,,,,
"['15:00', '01/04']",01/04 15:00,170,5,180,9999,,,,2,28,17,1017,51,,,,,,,,,
"['16:00', '01/04']",01/04 16:00,140,5,135,9999,,,,2,29,17,1016,48,,,,,,,,,
"['17:00', '01/04']",01/04 17:00,VRB,4,NIL,9999,,,,2,30,16,1015,43,,,,,,,,,
"['18:00', '01/04']",01/04 18:00,VRB,5,NIL,9999,,,,2,30,14,1015,38,,,,,,,,,
"['19:00', '01/04']",01/04 19:00,VRB,3,NIL,9999,,,,NIL,30,14,1015,38,,,,,,,,,
"['20:00', '01/04']",01/04 20:00,160,7,170,9999,,,,NIL,30,14,1015,38,,,,,,,,,
"['21:00', '01/04']",01/04 21:00,140,7,NIL,9999,,,,NIL,28,15,1016,45,,,,,,,,,
"['22:00', '01/04']",01/04 22:00,130,8,NIL,9999,,,,NIL,26,16,1016,54,,,,,,,,,
"['23:00', '01/04']",01/04 23:00,130,11,NIL,9999,,,,NIL,24,18,1016,69,,,,,,,,,
"['00:00', '02/04']",02/04 00:00,130,11,NIL,9999,,,,NIL,23,18,1017,73,,,,,,,,,
"['01:00', '02/04']",02/04 01:00,130,11,NIL,9999,,,,NIL,22,18,1017,78,,NIL,NIL,,,,,,
"['02:00', '02/04']",02/04 02:00,120,12,NIL,9999,,,,NIL,22,18,1017,78,,NIL,NIL,,,,,,
"['03:00', '02/04']",02/04 03:00,120,11,NIL,9999,,,,NIL,21,18,1017,83,,NIL,NIL,,,,,,
"['04:00', '02/04']",02/04 04:00,120,11,NIL,9999,,,,NIL,21,18,1016,83,,NIL,NIL,,,,,,
"['05:00', '02/04']",02/04 05:00,120,10,NIL,9999,,,,NIL,20,18,1016,88,,NIL,NIL,,,,,,
"['06:00', '02/04']",02/04 06:00,110,8,NIL,9999,,,,NIL,20,18,1015,88,,NIL,NIL,,,,,,
"['07:00', '02/04']",02/04 07:00,120,6,NIL,9999,,,,NIL,20,18,1015,88,,NIL,NIL,,,,,,
"['08:00', '02/04']",02/04 08:00,110,6,NIL,9999,,,,NIL,19,17,1016,88,,NIL,NIL,,,,,,
"['09:00', '02/04']",02/04 09:00,100,4,NIL,9999,,,,NIL,19,17,1016,88,,NIL,NIL,,,,,,
"['10:00', '02/04']",02/04 10:00,110,4,NIL,9000,,,,NIL,19,17,1017,88,,3000,135,,,,,,
"['11:00', '02/04']",02/04 11:00,70,5,NIL,9000,,,,NIL,22,18,1017,78,,NIL,NIL,,,,,,
"['12:00', '02/04']",02/04 12:00,20,8,NIL,9999,,,,NIL,24,18,1017,69,,NIL,NIL,,,,,,
"['13:00', '02/04']",02/04 13:00,360,9,NIL,9999,,,,NIL,26,18,1017,61,,NIL,NIL,,,,,,
"['14:00', '02/04']",02/04 14:00,350,9,175,9999,,,,2,28,20,1017,62,,NIL,NIL,,,,,,
"['15:00', '02/04']",02/04 15:00,360,9,180,9999,,,,2,29,19,1016,55,,NIL,NIL,,,,,,
"['16:00', '02/04']",02/04 16:00,330,10,325,9999,,,,3,30,18,1015,49,,NIL,NIL,,,,,,
"['17:00', '02/04']",02/04 17:00,300,11,285,9999,,,,3,31,16,1014,40,,NIL,NIL,,,,,,
"['18:00', '02/04']",02/04 18:00,280,13,NIL,9999,,,,3,31,17,1013,43,,NIL,NIL,,,,,,
"['19:00', '02/04']",02/04 19:00,290,12,285,9999,,,,2,32,17,1012,41,,NIL,NIL,,,,,,
"['20:00', '02/04']",02/04 20:00,280,10,NIL,9999,,,,2,30,17,1012,46,,NIL,NIL,,,,,,
"['21:00', '02/04']",02/04 21:00,280,5,NIL,9999,,,,2,29,18,1012,52,,NIL,NIL,,,,,,
"['22:00', '02/04']",02/04 22:00,290,7,NIL,9999,,,,2,28,18,1013,55,,NIL,NIL,,,,,,
"['23:00', '02/04']",02/04 23:00,330,4,NIL,9999,,,,NIL,26,19,1013,65,,NIL,NIL,,,,,,
"['00:00', '03/04']",03/04 00:00,320,3,NIL,9999,,,,NIL,26,18,1013,61,,NIL,NIL,,,,,,
"['01:00', '03/04']",03/04 01:00,350,5,,9999,NIL,,NIL,NIL,25,18,1013,65,,,,,,,,,
"['02:00', '03/04']",03/04 02:00,340,5,,9999,NIL,,NIL,NIL,24,19,1013,74,,,,,,,,,
"['03:00', '03/04']",03/04 03:00,360,5,,9999,NIL,,NIL,NIL,24,19,1012,74,,,,,,,,,
"['04:00', '03/04']",03/04 04:00,10,5,,9999,NIL,,NIL,NIL,23,19,1012,78,,,,,,,,,
"['05:00', '03/04']",03/04 05:00,10,5,,9999,NIL,,NIL,NIL,23,19,1011,78,,,,,,,,,
"['06:00', '03/04']",03/04 06:00,10,5,,9999,NIL,,NIL,NIL,22,19,1011,83,,,,,,,,,
"['07:00', '03/04']",03/04 07:00,10,6,,9999,NIL,,NIL,NIL,22,19,1010,83,,,,,,,,,
"['08:00', '03/04']",03/04 08:00,360,5,,9999,NIL,,NIL,3,22,19,1010,83,,,,,,,,,
"['09:00', '03/04']",03/04 09:00,360,6,,9999,NIL,,8000,5,21,19,1011,88,,,,,,,,,
"['09:35', '03/04']",03/04 09:35,VRB,2,,9999,1,,4000,5,21,19,1011,88,,,,,,,,,
"['10:00', '03/04']",03/04 10:00,360,3,,9999,1,,4000,5,21,19,1011,88,,,,,,,,,
"['11:00', '03/04']",03/04 11:00,350,5,,6000,NIL,,8000,5,22,20,1012,88,,,,,,,,,
"['12:00', '03/04']",03/04 12:00,350,6,,8000,NIL,,8000,5,23,20,1012,83,,,,,,,,,
"['13:00', '03/04']",03/04 13:00,350,7,,9999,NIL,,10000,5,24,20,1012,78,,,,,,,,,
"['14:00', '03/04']",03/04 14:00,330,7,,9999,NIL,,10000,5,27,20,1015,66,,,,,,,,,
"['15:00', '03/04']",03/04 15:00,320,13,,9999,NIL,,NIL,3,28,19,1011,58,,,,,,,,,
"['16:00', '03/04']",03/04 16:00,280,11,,9999,NIL,,8000,5,28,19,1010,58,,,,,,,,,
"['17:00', '03/04']",03/04 17:00,280,20,,9999,NIL,,8000,5,29,17,1009,48,,,,,,,,,
"['17:45', '03/04']",03/04 17:45,230,19,,5000,1,,NIL,3,27,20,1009,66,,,,,,,,,
"['18:00', '03/04']",03/04 18:00,240,14,,9999,1,,NIL,3,26,20,1009,70,,,,,,,,,
"['19:00', '03/04']",03/04 19:00,240,7,,9999,NIL,,9000,5,28,20,1009,62,,,,,,,,,
"['20:00', '03/04']",03/04 20:00,280,6,,9999,NIL,,NIL,3,28,19,1009,58,,,,,,,,,
"['21:00', '03/04']",03/04 21:00,280,4,,9999,NIL,,NIL,2,27,19,1009,62,,,,,,,,,
"['22:00', '03/04']",03/04 22:00,270,5,,9999,NIL,,NIL,2,26,19,1009,65,,,,,,,,,
"['23:00', '03/04']",03/04 23:00,250,3,,9999,NIL,,NIL,2,25,18,1010,65,,,,,,,,,
"['00:00', '04/04']",04/04 00:00,120,10,,9999,NIL,,NIL,NIL,21,16,1011,73,,,,,,,,,
"['01:00', '04/04']",04/04 01:00,120,10,NIL,9999,,,,NIL,20,11,1012,56,,,,,,,,,
"['02:00', '04/04']",04/04 02:00,120,10,NIL,9999,,,,NIL,20,11,1012,56,,,,,,,,,
"['03:00', '04/04']",04/04 03:00,110,8,NIL,9999,,,,NIL,19,10,1012,56,,,,,,,,,
"['04:00', '04/04']",04/04 04:00,120,8,NIL,9999,,,,NIL,18,10,1012,60,,,,,,,,,
"['05:00', '04/04']",04/04 05:00,140,9,NIL,9999,,,,NIL,17,11,1012,68,,,,,,,,,
"['06:00', '04/04']",04/04 06:00,140,11,NIL,9999,,,,NIL,17,12,1011,72,,,,,,,,,
"['07:00', '04/04']",04/04 07:00,140,8,NIL,9999,,,,NIL,16,13,1012,82,,,,,,,,,
"['08:00', '04/04']",04/04 08:00,140,6,NIL,9999,,,,NIL,16,13,1012,82,,,,,,,,,
"['09:00', '04/04']",04/04 09:00,130,7,NIL,9999,,,,2,16,13,1013,82,,,,,,,,,
"['10:00', '04/04']",04/04 10:00,130,8,NIL,9999,,,,2,17,13,1014,77,,,,,,,,,
"['11:00', '04/04']",04/04 11:00,120,8,NIL,9999,,,,NIL,19,13,1014,68,,,,,,,,,
"['12:00', '04/04']",04/04 12:00,120,9,NIL,9999,,,,NIL,20,13,1015,64,,,,,,,,,
"['13:00', '04/04']",04/04 13:00,110,7,NIL,9999,,,,NIL,22,13,1016,57,,,,,,,,,
"['14:00', '04/04']",04/04 14:00,VRB,6,NIL,9999,,,,NIL,24,14,1016,54,,,,,,,,,
"['15:00', '04/04']",04/04 15:00,170,5,175,9999,,,,NIL,25,10,1015,39,,,,,,,,,
"['16:00', '04/04']",04/04 16:00,0,0,NIL,9999,,,,NIL,26,09,1014,34,,,,,,,,,
"['17:00', '04/04']",04/04 17:00,VRB,5,NIL,9999,,,,2,27,10,1013,34,,,,,,,,,
"['18:00', '04/04']",04/04 18:00,VRB,5,NIL,9999,,,,2,28,08,1013,28,,,,,,,,,
"['19:00', '04/04']",04/04 19:00,270,9,NIL,9999,,,,2,28,08,1013,28,,,,,,,,,
"['20:00', '04/04']",04/04 20:00,250,6,280,9999,,,,2,28,09,1013,30,,,,,,,,,
"['21:00', '04/04']",04/04 21:00,240,6,NIL,9999,,,,NIL,26,11,1014,39,,,,,,,,,
"['22:00', '04/04']",04/04 22:00,210,5,NIL,9999,,,,NIL,25,11,1014,41,,,,,,,,,
"['23:00', '04/04']",04/04 23:00,180,5,NIL,9999,,,,NIL,24,11,1015,44,,,,,,,,,
"['00:00', '05/04']",05/04 00:00,120,12,NIL,9999,,,,NIL,20,15,1016,73,,,,,,,,,
"['01:00', '05/04']",05/04 01:00,120,12,NIL,9999,,,,,19,15,1016,78,,,,,,,,,
"['02:00', '05/04']",05/04 02:00,120,15,NIL,9999,,,,,19,15,1017,78,,,,,,,,,
"['03:00', '05/04']",05/04 03:00,120,13,NIL,9999,,,,,18,15,1016,83,,,,,,,,,
"['04:00', '05/04']",05/04 04:00,120,15,NIL,9999,,,,,18,15,1016,83,,,,,,,,,
"['05:00', '05/04']",05/04 05:00,120,13,NIL,9999,,,,,17,15,1015,88,,,,,,,,,
"['06:00', '05/04']",05/04 06:00,120,14,NIL,9999,,,,,17,14,1016,83,,,,,,,,,
"['07:00', '05/04']",05/04 07:00,120,11,NIL,9999,,,,,17,14,1015,83,,,,,,,,,
"['08:00', '05/04']",05/04 08:00,120,11,NIL,9999,,,,,17,14,1016,83,,,,,,,,,
"['09:00', '05/04']",05/04 09:00,120,12,NIL,9999,,,,,16,14,1016,88,,,,,,,,,
"['10:00', '05/04']",05/04 10:00,120,12,NIL,9999,,,,,17,14,1016,83,,,,,,,,,
"['11:00', '05/04']",05/04 11:00,120,10,NIL,9999,,,,,18,15,1017,83,,,,,,,,,
"['12:00', '05/04']",05/04 12:00,100,7,100,9999,,,,,21,15,1018,69,,,,,,,,,
"['13:00', '05/04']",05/04 13:00,90,5,245,9999,,,,,23,15,1019,61,,,,,,,,,
"['14:00', '05/04']",05/04 14:00,VRB,3,NIL,9999,,,,,25,13,1019,47,,,,,,,,,
"['15:00', '05/04']",05/04 15:00,VRB,3,NIL,9999,,,,,27,13,1018,42,,,,,,,,,
"['16:00', '05/04']",05/04 16:00,VRB,3,NIL,9999,,,,,28,12,1017,37,,,,,,,,,
"['17:00', '05/04']",05/04 17:00,VRB,3,NIL,9999,,,,,29,12,1016,35,,,,,,,,,
"['18:00', '05/04']",05/04 18:00,VRB,3,NIL,9999,,,,,29,11,1015,33,,,,,,,,,
"['19:00', '05/04']",05/04 19:00,VRB,4,NIL,9999,,,,,29,10,1015,31,,,,,,,,,
"['20:00', '05/04']",05/04 20:00,VRB,3,NIL,9999,,,,,29,10,1015,31,,,,,,,,,
"['21:00', '05/04']",05/04 21:00,210,6,NIL,9999,,,,,27,11,1015,37,,,,,,,,,
"['22:00', '05/04']",05/04 22:00,210,6,NIL,9999,,,,,26,11,1016,39,,,,,,,,,
"['23:00', '05/04']",05/04 23:00,180,6,NIL,9999,,,,,25,12,1017,44,,,,,,,,,
"['00:00', '06/04']",06/04 00:00,130,11,NIL,9999,,,,,22,15,1017,65,,,,,,,,,
"['01:00', '06/04']",06/04 01:00,120,11,NIL,9999,,,NIL,NIL,21,16,1017,73,,,,NIL,,,,,
"['02:00', '06/04']",06/04 02:00,120,11,NIL,9999,,,NIL,NIL,20,16,1018,78,,,,NIL,,,,,
"['03:00', '06/04']",06/04 03:00,130,14,NIL,9999,,,NIL,NIL,19,16,1018,83,,,,NIL,,,,,
"['04:00', '06/04']",06/04 04:00,120,14,NIL,9999,,,NIL,NIL,19,16,1018,83,,,,NIL,,,,,
"['05:00', '06/04']",06/04 05:00,120,12,NIL,9999,,,NIL,NIL,18,16,1017,88,,,,NIL,,,,,
"['06:00', '06/04']",06/04 06:00,120,14,NIL,9999,,,NIL,NIL,18,16,1017,88,,,,NIL,,,,,
"['07:00', '06/04']",06/04 07:00,110,10,NIL,9999,,,NIL,NIL,18,16,1017,88,,,,NIL,,,,,
"['08:00', '06/04']",06/04 08:00,130,9,NIL,9999,,,NIL,NIL,17,16,1017,94,,,,NIL,,,,,
"['09:00', '06/04']",06/04 09:00,120,9,NIL,9999,,,NIL,2,17,15,1017,88,,,,NIL,,,,,
"['09:30', '06/04']",06/04 09:30,110,7,NIL,3000,,,200,5,16,15,1017,94,,,,1,,,,,
"['10:00', '06/04']",06/04 10:00,130,9,NIL,3000,,,200,5,16,15,1018,94,,,,1,,,,,
"['10:35', '06/04']",06/04 10:35,120,6,NIL,5000,,,NIL,2,18,16,1018,88,,,,1,,,,,
"['11:00', '06/04']",06/04 11:00,120,5,NIL,6000,,,NIL,2,19,17,1018,88,,,,NIL,,,,,
"['12:00', '06/04']",06/04 12:00,90,4,NIL,9999,,,NIL,NIL,22,16,1018,69,,,,NIL,,,,,
"['13:00', '06/04']",06/04 13:00,40,3,205,9999,,,NIL,NIL,25,16,1018,57,,,,NIL,,,,,
"['14:00', '06/04']",06/04 14:00,10,6,200,9999,,,NIL,NIL,27,14,1018,45,,,,NIL,,,,,
"['15:00', '06/04']",06/04 15:00,330,5,160,9999,,,NIL,NIL,29,14,1017,40,,,,NIL,,,,,
"['16:00', '06/04']",06/04 16:00,290,8,280,9999,,,NIL,2,30,13,1016,35,,,,NIL,,,,,
"['17:00', '06/04']",06/04 17:00,330,6,155,9999,,,NIL,2,31,13,1015,33,,,,NIL,,,,,
"['18:00', '06/04']",06/04 18:00,290,9,NIL,9999,,,NIL,2,31,13,1015,33,,,,NIL,,,,,
"['19:00', '06/04']",06/04 19:00,310,6,NIL,9999,,,NIL,NIL,30,14,1014,38,,,,NIL,,,,,
