validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,vis_setor,vis_setor_dir,nevoa_umida,nevoeiro,pancada,nevoa_seca,chuvisco,fumaca
"['14:00', '27/11']",27/11 14:00,VRB,5,NIL,9999,NIL,NIL,NIL,2,30,17,1018,46,,NIL,NIL,,,,,,
"['15:00', '27/11']",27/11 15:00,VRB,4,NIL,9999,NIL,NIL,NIL,3,31,16,1018,40,,NIL,NIL,,,,,,
"['16:00', '27/11']",27/11 16:00,VRB,4,NIL,9999,NIL,NIL,NIL,3,32,16,1017,38,,NIL,NIL,,,,,,
"['17:00', '27/11']",27/11 17:00,310,6,295,9999,NIL,NIL,NIL,3,32,15,1016,36,,NIL,NIL,,,,,,
"['18:00', '27/11']",27/11 18:00,200,12,NIL,9999,NIL,NIL,4500,5,32,17,1015,41,,NIL,NIL,,,,,,
"['19:00', '27/11']",27/11 19:00,200,18,NIL,9999,NIL,NIL,NIL,3,32,16,1015,38,,NIL,NIL,,,,,,
"['19:31', '27/11']",27/11 19:31,120,15,NIL,9999,1,1,NIL,3,26,17,1016,58,,4000,90,,,,,,
"['20:00', '27/11']",27/11 20:00,130,19,NIL,9999,1,1,NIL,3,23,18,1017,73,,3000,45,,,,,,
"['21:00', '27/11']",27/11 21:00,120,9,NIL,9999,NIL,1,NIL,3,24,15,1016,57,,NIL,NIL,,,,,,
"['21:17', '27/11']",27/11 21:17,120,9,NIL,9999,NIL,1,NIL,2,23,16,1016,65,,NIL,NIL,,,,,,
"['22:00', '27/11']",27/11 22:00,170,9,NIL,9999,NIL,1,NIL,2,23,17,1017,69,,NIL,NIL,,,,,,
"['23:00', '27/11']",27/11 23:00,130,11,NIL,9999,NIL,NIL,NIL,3,23,18,1018,73,,NIL,NIL,,,,,,
"['00:00', '28/11']",28/11 00:00,150,13,NIL,9999,NIL,NIL,10000,5,24,18,1019,69,,NIL,NIL,,,,,,
"['01:00', '28/11']",28/11 01:00,140,13,NIL,9999,NIL,,NIL,NIL,23,17,1020,69,,,,,,,,,
"['02:00', '28/11']",28/11 02:00,130,15,NIL,9999,NIL,,NIL,NIL,22,17,1020,73,,,,,,,,,
"['03:00', '28/11']",28/11 03:00,120,14,NIL,9999,NIL,,NIL,NIL,22,17,1018,73,,,,,,,,,
"['04:00', '28/11']",28/11 04:00,130,10,135,9999,NIL,,NIL,NIL,21,17,1019,78,,,,,,,,,
"['05:00', '28/11']",28/11 05:00,120,7,105,9999,NIL,,NIL,NIL,20,17,1018,83,,,,,,,,,
"['06:00', '28/11']",28/11 06:00,130,9,NIL,9999,NIL,,NIL,NIL,20,17,1018,83,,,,,,,,,
"['07:00', '28/11']",28/11 07:00,130,11,NIL,9999,NIL,,NIL,NIL,20,17,1018,83,,,,,,,,,
"['08:00', '28/11']",28/11 08:00,120,12,NIL,9999,NIL,,NIL,NIL,20,17,1018,83,,,,,,,,,
"['09:00', '28/11']",28/11 09:00,120,11,NIL,8000,NIL,,NIL,NIL,20,17,1019,83,,,,,,,,,
"['10:00', '28/11']",28/11 10:00,120,11,NIL,9999,NIL,,NIL,NIL,21,17,1020,78,,,,,,,,,
"['11:00', '28/11']",28/11 11:00,110,8,NIL,9999,NIL,,NIL,NIL,24,18,1020,69,,,,,,,,,
"['12:00', '28/11']",28/11 12:00,60,7,55,9999,NIL,,NIL,NIL,26,17,1020,58,,,,,,,,,
"['13:00', '28/11']",28/11 13:00,50,6,230,9999,NIL,,NIL,NIL,28,17,1020,51,,,,,,,,,
"['14:00', '28/11']",28/11 14:00,VRB,4,NIL,9999,NIL,,NIL,2,30,16,1020,43,,,,,,,,,
"['15:00', '28/11']",28/11 15:00,100,5,95,9999,NIL,,NIL,2,31,15,1019,38,,,,,,,,,
"['16:00', '28/11']",28/11 16:00,VRB,5,NIL,9999,NIL,,NIL,3,31,15,1018,38,,,,,,,,,
"['17:00', '28/11']",28/11 17:00,VRB,3,NIL,9999,NIL,,NIL,3,33,16,1017,36,,,,,,,,,
"['18:00', '28/11']",28/11 18:00,140,5,140,9999,NIL,,NIL,3,32,16,1017,38,,,,,,,,,
"['19:00', '28/11']",28/11 19:00,220,5,215,9999,1,,7000,5,31,16,1016,40,,,,,,,,,
"['20:00', '28/11']",28/11 20:00,220,9,NIL,9999,NIL,,8000,5,29,17,1016,48,,,,,,,,,
"['21:00', '28/11']",28/11 21:00,200,13,NIL,9999,NIL,,7000,5,27,20,1017,66,,,,,,,,,
"['22:00', '28/11']",28/11 22:00,200,14,NIL,9999,1,,8000,5,24,19,1018,74,,,,,,,,,
"['23:00', '28/11']",28/11 23:00,170,3,NIL,9999,1,,7000,5,23,20,1019,83,,,,,,,,,
"['00:00', '29/11']",29/11 00:00,180,9,NIL,9999,1,,8000,5,23,20,1019,83,,,,,,,,,
"['01:00', '29/11']",29/11 01:00,190,8,NIL,9999,,,7000,5,23,19,1020,78,,,,,,,,,
"['02:00', '29/11']",29/11 02:00,120,12,NIL,9999,,,8000,5,23,17,1019,69,,,,,,,,,
"['03:00', '29/11']",29/11 03:00,130,10,NIL,9999,,,NIL,NIL,23,17,1019,69,,,,,,,,,
"['04:00', '29/11']",29/11 04:00,90,11,NIL,9999,,,NIL,NIL,23,17,1018,69,,,,,,,,,
"['05:00', '29/11']",29/11 05:00,140,8,NIL,9999,,,NIL,NIL,21,17,1017,78,,,,,,,,,
"['06:00', '29/11']",29/11 06:00,110,6,NIL,9999,,,NIL,NIL,21,18,1017,83,,,,,,,,,
"['07:00', '29/11']",29/11 07:00,120,4,NIL,9999,,,NIL,NIL,20,18,1017,88,,,,,,,,,
"['08:00', '29/11']",29/11 08:00,100,3,NIL,9999,,,NIL,NIL,21,17,1017,78,,,,,,,,,
"['09:00', '29/11']",29/11 09:00,70,3,NIL,9999,,,NIL,NIL,21,17,1018,78,,,,,,,,,
"['10:00', '29/11']",29/11 10:00,320,3,150,9999,,,NIL,NIL,24,17,1019,65,,,,,,,,,
"['11:00', '29/11']",29/11 11:00,20,4,205,9999,,,NIL,NIL,26,16,1020,54,,,,,,,,,
"['12:00', '29/11']",29/11 12:00,10,10,NIL,9999,,,NIL,NIL,27,15,1020,48,,,,,,,,,
"['13:00', '29/11']",29/11 13:00,20,10,195,9999,,,NIL,NIL,28,15,1020,45,,,,,,,,,
"['14:00', '29/11']",29/11 14:00,20,10,200,9999,,,NIL,2,30,15,1018,40,,,,,,,,,
"['15:00', '29/11']",29/11 15:00,30,10,NIL,9999,,,NIL,2,31,15,1017,38,,,,,,,,,
"['16:00', '29/11']",29/11 16:00,310,8,135,9999,,,NIL,3,31,14,1017,36,,,,,,,,,
"['17:00', '29/11']",29/11 17:00,320,8,160,9999,,,4500,5,32,15,1016,36,,,,,,,,,
"['18:00', '29/11']",29/11 18:00,300,7,NIL,9999,,,NIL,3,31,15,1015,38,,,,,,,,,
"['19:00', '29/11']",29/11 19:00,320,8,NIL,9999,,,NIL,3,32,15,1014,36,,,,,,,,,
"['20:00', '29/11']",29/11 20:00,310,7,NIL,9999,,,NIL,3,32,15,1014,36,,,,,,,,,
"['21:00', '29/11']",29/11 21:00,290,5,NIL,9999,,,NIL,2,32,15,1014,36,,,,,,,,,
"['22:00', '29/11']",29/11 22:00,250,3,230,9999,,,NIL,3,31,15,1015,38,,,,,,,,,
"['23:00', '29/11']",29/11 23:00,120,8,NIL,9999,,,7000,5,27,17,1016,54,,,,,,,,,
"['00:00', '30/11']",30/11 00:00,110,7,NIL,9999,,,7000,5,26,18,1017,61,,,,,,,,,
"['01:00', '30/11']",30/11 01:00,120,5,NIL,9999,NIL,NIL,NIL,2,25,18,1017,65,NIL,NIL,NIL,,,,,,
