validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,vnt_vrb,teto,chuva,nevoa_umida,vnt_rajada,pancada,trovoada,vis_setor,vis_setor_dir,nevoeiro
"['15:00', '18/07']",18/07 15:00,160,6,9999,3,27,21,1017,70,160,NIL,,,,,,,,
"['16:00', '18/07']",18/07 16:00,170,6,9999,3,27,21,1017,70,155,NIL,,,,,,,,
"['17:00', '18/07']",18/07 17:00,170,6,9999,3,27,20,1016,66,195,NIL,,,,,,,,
"['18:00', '18/07']",18/07 18:00,VRB,5,9999,2,26,21,1016,74,NIL,NIL,,,,,,,,
"['19:00', '18/07']",18/07 19:00,160,5,9999,2,26,20,1015,70,155,NIL,,,,,,,,
"['20:00', '18/07']",18/07 20:00,140,5,9999,2,25,21,1016,79,NIL,NIL,,,,,,,,
"['21:00', '18/07']",18/07 21:00,140,3,9999,2,25,21,1016,79,NIL,NIL,,,,,,,,
"['22:00', '18/07']",18/07 22:00,150,4,9999,2,25,21,1016,79,NIL,NIL,,,,,,,,
"['23:00', '18/07']",18/07 23:00,130,4,9999,3,25,21,1017,79,140,NIL,,,,,,,,
"['00:00', '19/07']",19/07 00:00,100,6,9999,3,25,21,1017,79,NIL,NIL,,,,,,,,
"['01:00', '19/07']",19/07 01:00,100,6,9999,2,25,20,1017,74,NIL,NIL,NIL,NIL,,,,,,
"['02:00', '19/07']",19/07 02:00,90,7,9999,2,25,21,1017,79,NIL,NIL,NIL,NIL,,,,,,
"['03:00', '19/07']",19/07 03:00,100,8,9999,2,25,20,1017,74,NIL,NIL,NIL,NIL,,,,,,
"['04:00', '19/07']",19/07 04:00,90,7,9999,2,25,21,1016,79,NIL,NIL,NIL,NIL,,,,,,
"['05:00', '19/07']",19/07 05:00,90,6,9999,2,24,21,1016,83,NIL,NIL,NIL,NIL,,,,,,
"['06:00', '19/07']",19/07 06:00,90,4,9999,3,24,21,1015,83,NIL,NIL,NIL,NIL,,,,,,
"['07:00', '19/07']",19/07 07:00,90,2,9999,2,23,20,1015,83,NIL,NIL,NIL,NIL,,,,,,
"['08:00', '19/07']",19/07 08:00,270,3,9999,2,22,20,1016,88,NIL,NIL,NIL,NIL,,,,,,
"['09:00', '19/07']",19/07 09:00,270,2,9999,3,22,20,1016,88,NIL,NIL,NIL,NIL,,,,,,
"['10:00', '19/07']",19/07 10:00,300,2,9999,3,23,20,1017,83,NIL,NIL,NIL,NIL,,,,,,
"['11:00', '19/07']",19/07 11:00,290,1,9999,3,25,21,1017,79,NIL,NIL,NIL,NIL,,,,,,
"['12:00', '19/07']",19/07 12:00,70,4,9999,3,26,21,1018,74,70,NIL,NIL,NIL,,,,,,
"['13:00', '19/07']",19/07 13:00,110,5,9999,NIL,27,20,1018,66,110,NIL,NIL,NIL,,,,,,
"['14:00', '19/07']",19/07 14:00,VRB,5,9999,5,27,21,1017,70,NIL,2000,NIL,NIL,,,,,,
"['15:00', '19/07']",19/07 15:00,120,3,7000,5,25,22,1017,83,115,2000,1,NIL,,,,,,
"['16:00', '19/07']",19/07 16:00,100,7,9999,5,27,21,1016,70,100,2000,NIL,NIL,,,,,,
"['17:00', '19/07']",19/07 17:00,140,7,9999,5,26,20,1015,70,140,2000,NIL,NIL,,,,,,
"['18:00', '19/07']",19/07 18:00,90,7,8000,5,27,21,1015,70,100,2000,NIL,NIL,,,,,,
"['19:00', '19/07']",19/07 19:00,80,10,5000,5,24,21,1015,83,NIL,1500,1,1,,,,,,
"['20:00', '19/07']",19/07 20:00,70,6,9999,5,25,22,1015,83,NIL,6000,NIL,NIL,,,,,,
"['21:00', '19/07']",19/07 21:00,80,5,9999,5,24,21,1016,83,NIL,1600,NIL,NIL,,,,,,
"['22:00', '19/07']",19/07 22:00,50,5,9999,5,24,21,1016,83,NIL,6000,NIL,NIL,,,,,,
"['23:00', '19/07']",19/07 23:00,70,4,9999,3,24,21,1016,83,NIL,NIL,NIL,NIL,,,,,,
"['00:00', '20/07']",20/07 00:00,60,9,9000,5,24,22,1017,89,NIL,1500,NIL,NIL,,,,,,
"['01:00', '20/07']",20/07 01:00,80,6,9999,3,24,22,1017,89,NIL,NIL,NIL,,,NIL,,,,
"['02:00', '20/07']",20/07 02:00,60,5,9999,3,24,22,1017,89,NIL,NIL,NIL,,,NIL,,,,
"['03:00', '20/07']",20/07 03:00,50,5,9999,3,24,21,1017,83,NIL,NIL,NIL,,,NIL,,,,
"['04:00', '20/07']",20/07 04:00,100,3,8000,5,24,22,1017,89,NIL,1700,NIL,,,NIL,,,,
"['05:00', '20/07']",20/07 05:00,0,0,9999,3,23,21,1016,89,NIL,NIL,NIL,,,NIL,,,,
"['06:00', '20/07']",20/07 06:00,150,2,9999,3,23,22,1016,94,NIL,NIL,NIL,,,NIL,,,,
"['07:00', '20/07']",20/07 07:00,50,2,9999,3,23,21,1016,89,NIL,NIL,NIL,,,NIL,,,,
"['08:00', '20/07']",20/07 08:00,20,2,5000,5,23,22,1016,94,NIL,1500,1,,,1,,,,
"['09:00', '20/07']",20/07 09:00,VRB,1,8000,5,23,22,1017,94,NIL,1500,NIL,,,NIL,,,,
"['10:00', '20/07']",20/07 10:00,0,0,6000,5,23,22,1017,94,NIL,1500,1,,,NIL,,,,
"['11:00', '20/07']",20/07 11:00,80,4,9999,3,25,23,1018,89,80,NIL,NIL,,,NIL,,,,
"['12:00', '20/07']",20/07 12:00,100,7,9999,5,26,23,1019,84,NIL,1600,NIL,,,NIL,,,,
"['13:00', '20/07']",20/07 13:00,120,9,9999,3,27,22,1019,74,NIL,NIL,NIL,,,NIL,,,,
"['14:00', '20/07']",20/07 14:00,100,9,9999,3,27,22,1018,74,125,NIL,NIL,,,NIL,,,,
"['15:00', '20/07']",20/07 15:00,100,11,9999,3,28,22,1018,70,NIL,NIL,NIL,,,NIL,,,,
"['16:00', '20/07']",20/07 16:00,100,10,9999,3,28,22,1017,70,NIL,NIL,NIL,,,NIL,,,,
"['17:00', '20/07']",20/07 17:00,110,10,9999,5,27,21,1017,70,NIL,2000,NIL,,,NIL,,,,
"['18:00', '20/07']",20/07 18:00,120,11,9999,3,27,21,1017,70,NIL,NIL,NIL,,,NIL,,,,
"['19:00', '20/07']",20/07 19:00,130,9,9999,3,27,21,1017,70,NIL,NIL,NIL,,,NIL,,,,
"['20:00', '20/07']",20/07 20:00,130,7,9999,3,26,20,1018,70,NIL,NIL,NIL,,,NIL,,,,
"['21:00', '20/07']",20/07 21:00,120,9,9999,3,26,20,1018,70,NIL,NIL,NIL,,,NIL,,,,
"['22:00', '20/07']",20/07 22:00,130,9,9999,3,26,20,1019,70,NIL,NIL,NIL,,,NIL,,,,
"['23:00', '20/07']",20/07 23:00,140,9,9999,3,25,20,1019,74,NIL,NIL,NIL,,,NIL,,,,
"['00:00', '21/07']",21/07 00:00,160,12,9999,3,26,19,1020,65,NIL,NIL,NIL,,,NIL,,,,
"['01:00', '21/07']",21/07 01:00,160,12,9999,3,25,19,1020,69,NIL,NIL,NIL,,,,,,,
"['02:00', '21/07']",21/07 02:00,160,13,9999,3,25,19,1020,69,NIL,NIL,NIL,,,,,,,
"['03:00', '21/07']",21/07 03:00,150,14,9999,3,25,20,1020,74,NIL,NIL,NIL,,,,,,,
"['04:00', '21/07']",21/07 04:00,110,16,8000,5,22,20,1020,88,NIL,2300,1,,,,,,,
"['05:00', '21/07']",21/07 05:00,110,7,8000,5,23,18,1019,73,NIL,2300,NIL,,,,,,,
"['06:00', '21/07']",21/07 06:00,160,3,9999,5,23,20,1019,83,170,6000,NIL,,,,,,,
"['07:00', '21/07']",21/07 07:00,150,9,9999,5,24,20,1019,78,NIL,6000,NIL,,,,,,,
"['08:00', '21/07']",21/07 08:00,150,8,9999,3,24,19,1019,74,NIL,NIL,NIL,,,,,,,
"['09:00', '21/07']",21/07 09:00,160,9,9999,3,24,20,1020,78,NIL,NIL,NIL,,,,,,,
"['10:00', '21/07']",21/07 10:00,160,9,8000,3,24,20,1021,78,NIL,NIL,NIL,,,,,,,
"['11:00', '21/07']",21/07 11:00,160,10,9999,3,25,20,1022,74,NIL,NIL,NIL,,,,,,,
"['12:00', '21/07']",21/07 12:00,170,11,9999,3,24,20,1022,78,NIL,NIL,NIL,,,,,,,
"['13:00', '21/07']",21/07 13:00,150,8,9999,3,26,20,1022,70,NIL,NIL,NIL,,,,,,,
"['14:00', '21/07']",21/07 14:00,150,9,9999,3,27,20,1022,66,150,NIL,NIL,,,,,,,
"['15:00', '21/07']",21/07 15:00,180,11,9999,3,26,21,1022,74,NIL,NIL,NIL,,,,,,,
"['16:00', '21/07']",21/07 16:00,160,11,9999,3,26,20,1021,70,170,NIL,NIL,,,,,,,
"['17:00', '21/07']",21/07 17:00,170,12,9999,3,26,21,1021,74,NIL,NIL,NIL,,,,,,,
"['18:00', '21/07']",21/07 18:00,170,12,9999,3,26,20,1020,70,NIL,NIL,NIL,,,,,,,
"['19:00', '21/07']",21/07 19:00,160,11,9999,3,25,19,1020,69,NIL,NIL,NIL,,,,,,,
"['20:00', '21/07']",21/07 20:00,160,11,9999,3,25,19,1021,69,NIL,NIL,NIL,,,,,,,
"['21:00', '21/07']",21/07 21:00,160,16,9999,5,25,19,1021,69,NIL,2000,NIL,,,,,,,
"['22:00', '21/07']",21/07 22:00,160,14,9999,5,25,19,1022,69,NIL,2000,NIL,,,,,,,
"['23:00', '21/07']",21/07 23:00,160,15,9999,5,24,20,1022,78,NIL,6000,NIL,,,,,,,
"['00:00', '22/07']",22/07 00:00,160,14,9999,5,24,19,1023,74,NIL,6000,NIL,,,,,,,
"['01:00', '22/07']",22/07 01:00,160,13,9999,5,23,20,1023,83,NIL,6000,NIL,,,NIL,,,,
"['02:00', '22/07']",22/07 02:00,170,7,9999,5,23,19,1023,78,NIL,6000,NIL,,,NIL,,,,
"['03:00', '22/07']",22/07 03:00,150,11,9999,5,24,20,1023,78,NIL,6000,NIL,,,NIL,,,,
"['04:00', '22/07']",22/07 04:00,140,13,9999,5,23,19,1022,78,NIL,6000,NIL,,,NIL,,,,
"['04:09', '22/07']",22/07 04:09,140,7,4000,5,23,20,1022,83,NIL,1500,1,,,1,,,,
"['04:22', '22/07']",22/07 04:22,100,5,8000,5,22,20,1022,88,NIL,2000,1,,,1,,,,
"['05:00', '22/07']",22/07 05:00,170,11,9999,5,24,20,1021,78,NIL,2000,NIL,,,NIL,,,,
"['06:00', '22/07']",22/07 06:00,170,12,9999,5,24,20,1021,78,NIL,6000,NIL,,,NIL,,,,
"['07:00', '22/07']",22/07 07:00,150,11,7000,5,24,21,1021,83,NIL,1600,1,,,NIL,,,,
"['08:00', '22/07']",22/07 08:00,170,10,9999,5,24,21,1022,83,NIL,1600,NIL,,,NIL,,,,
"['09:00', '22/07']",22/07 09:00,180,7,8000,5,23,21,1022,89,NIL,1600,NIL,,,NIL,,,,
"['10:00', '22/07']",22/07 10:00,170,5,8000,3,24,21,1023,83,NIL,NIL,1,,,NIL,,,,
"['11:00', '22/07']",22/07 11:00,120,12,9999,5,23,21,1024,89,NIL,2000,1,,,NIL,,,,
"['12:00', '22/07']",22/07 12:00,110,7,9999,3,25,20,1024,74,NIL,NIL,NIL,,,NIL,,,,
"['13:00', '22/07']",22/07 13:00,100,10,9999,3,26,20,1024,70,115,NIL,NIL,,,NIL,,,,
"['14:00', '22/07']",22/07 14:00,90,8,9999,3,26,20,1024,70,90,NIL,NIL,,,NIL,,,,
"['15:00', '22/07']",22/07 15:00,130,7,9999,3,27,20,1023,66,125,NIL,NIL,,,NIL,,,,
"['16:00', '22/07']",22/07 16:00,150,9,9999,5,27,20,1022,66,140,7000,NIL,,,NIL,,,,
"['17:00', '22/07']",22/07 17:00,150,8,9999,5,27,21,1021,70,160,7000,NIL,,,NIL,,,,
"['18:00', '22/07']",22/07 18:00,150,9,9999,5,27,20,1021,66,NIL,7000,NIL,,,NIL,,,,
"['19:00', '22/07']",22/07 19:00,100,8,9999,3,25,19,1021,69,NIL,NIL,NIL,,,NIL,,,,
"['20:00', '22/07']",22/07 20:00,140,5,9000,3,25,20,1021,74,NIL,NIL,NIL,,,NIL,,,,
"['21:00', '22/07']",22/07 21:00,140,6,9999,3,25,20,1021,74,NIL,NIL,NIL,,,NIL,,,,
"['22:00', '22/07']",22/07 22:00,90,5,9999,3,23,19,1022,78,NIL,NIL,NIL,,,NIL,,,,
"['23:00', '22/07']",22/07 23:00,130,4,9000,5,24,20,1022,78,NIL,6000,NIL,,,NIL,,,,
"['00:00', '23/07']",23/07 00:00,190,2,9999,5,23,20,1022,83,NIL,6000,NIL,,,NIL,,,,
"['01:00', '23/07']",23/07 01:00,230,3,9999,5,23,21,1022,89,NIL,1800,NIL,,NIL,NIL,,,,
"['02:00', '23/07']",23/07 02:00,120,7,9999,5,25,20,1022,74,NIL,7000,NIL,,NIL,NIL,,,,
"['03:00', '23/07']",23/07 03:00,120,10,9999,5,25,20,1022,74,NIL,7000,NIL,,NIL,NIL,,,,
"['03:45', '23/07']",23/07 03:45,140,13,3000,8,23,20,1022,83,NIL,800,1,,NIL,1,,,,
"['04:00', '23/07']",23/07 04:00,140,16,5000,8,22,20,1022,88,135,1500,1,,NIL,1,,,,
"['05:00', '23/07']",23/07 05:00,130,6,9999,5,23,19,1021,78,NIL,6000,NIL,,NIL,NIL,,,,
"['06:00', '23/07']",23/07 06:00,130,12,8000,5,22,20,1021,88,NIL,800,NIL,,NIL,NIL,,,,
"['07:00', '23/07']",23/07 07:00,130,15,9999,5,22,19,1021,83,NIL,1800,NIL,,NIL,NIL,,,,
"['08:00', '23/07']",23/07 08:00,140,12,9999,5,23,19,1021,78,NIL,2000,NIL,,NIL,NIL,,,,
"['09:00', '23/07']",23/07 09:00,150,12,9999,8,23,19,1021,78,NIL,1800,NIL,,NIL,NIL,,,,
"['10:00', '23/07']",23/07 10:00,160,14,9000,5,23,19,1022,78,NIL,3300,NIL,,NIL,NIL,,,,
"['11:00', '23/07']",23/07 11:00,160,13,9000,5,24,19,1022,74,NIL,4000,NIL,,NIL,NIL,,,,
"['12:00', '23/07']",23/07 12:00,150,19,7000,5,22,19,1023,83,NIL,1500,1,,NIL,NIL,,,,
"['13:00', '23/07']",23/07 13:00,240,14,9000,5,25,17,1023,61,NIL,1600,NIL,,NIL,NIL,,,,
"['14:00', '23/07']",23/07 14:00,140,13,5000,5,23,18,1023,73,140,1500,1,,NIL,NIL,,,,
"['15:00', '23/07']",23/07 15:00,160,11,8000,5,23,18,1022,73,NIL,3300,NIL,,NIL,NIL,,,,
"['16:00', '23/07']",23/07 16:00,130,10,8000,5,24,19,1022,74,NIL,3300,NIL,,NIL,NIL,,,,
"['17:00', '23/07']",23/07 17:00,150,13,8000,5,24,18,1021,69,145,3300,NIL,,NIL,NIL,,,,
"['18:00', '23/07']",23/07 18:00,180,8,8000,5,23,20,1021,83,NIL,2000,NIL,,NIL,NIL,,,,
"['19:00', '23/07']",23/07 19:00,130,7,9999,5,23,20,1020,83,NIL,1600,NIL,,NIL,NIL,,,,
"['20:00', '23/07']",23/07 20:00,140,12,9999,5,23,19,1020,78,NIL,2000,NIL,,NIL,NIL,,,,
"['20:27', '23/07']",23/07 20:27,140,13,9999,5,24,18,1020,69,NIL,2000,NIL,,25,NIL,,,,
"['21:00', '23/07']",23/07 21:00,160,14,9999,5,24,18,1020,69,NIL,2000,NIL,,NIL,NIL,,,,
"['22:00', '23/07']",23/07 22:00,160,16,9999,5,24,17,1021,65,NIL,2000,NIL,,NIL,NIL,,,,
"['23:00', '23/07']",23/07 23:00,170,13,9999,5,24,17,1021,65,NIL,2000,NIL,,NIL,NIL,,,,
"['00:00', '24/07']",24/07 00:00,170,14,9999,5,24,16,1021,61,NIL,2000,NIL,,NIL,NIL,,,,
"['01:00', '24/07']",24/07 01:00,140,12,9999,5,23,18,1021,73,NIL,2000,NIL,NIL,NIL,NIL,,,,
"['02:00', '24/07']",24/07 02:00,160,13,9999,5,24,17,1021,65,NIL,2300,NIL,NIL,NIL,NIL,,,,
"['03:00', '24/07']",24/07 03:00,170,8,6000,5,22,20,1021,88,NIL,6000,1,NIL,NIL,1,,,,
"['04:00', '24/07']",24/07 04:00,150,10,9999,5,23,21,1020,89,NIL,1600,1,NIL,NIL,1,,,,
"['05:00', '24/07']",24/07 05:00,140,15,9999,5,22,20,1019,88,NIL,6000,NIL,NIL,NIL,NIL,,,,
"['06:00', '24/07']",24/07 06:00,130,10,9999,5,23,20,1019,83,NIL,5000,1,NIL,NIL,1,,,,
"['07:00', '24/07']",24/07 07:00,150,10,9999,5,23,21,1018,89,NIL,6000,NIL,NIL,NIL,NIL,,,,
"['08:00', '24/07']",24/07 08:00,140,11,9999,5,23,21,1018,89,NIL,6000,NIL,NIL,NIL,NIL,,,,
"['09:00', '24/07']",24/07 09:00,150,9,1000,5,23,21,1018,89,NIL,2000,1,NIL,NIL,1,,,,
"['09:10', '24/07']",24/07 09:10,140,11,9000,5,22,20,1018,88,NIL,2000,NIL,NIL,NIL,NIL,,,,
"['10:00', '24/07']",24/07 10:00,140,14,9999,5,24,19,1019,74,NIL,2000,NIL,NIL,NIL,NIL,,,,
"['11:00', '24/07']",24/07 11:00,140,14,8000,5,25,19,1020,69,140,1800,NIL,NIL,NIL,NIL,,,,
"['12:00', '24/07']",24/07 12:00,140,14,9999,5,25,20,1020,74,140,1800,NIL,NIL,NIL,NIL,,,,
"['13:00', '24/07']",24/07 13:00,150,13,9999,5,25,19,1021,69,NIL,6000,NIL,NIL,NIL,NIL,,,,
"['14:00', '24/07']",24/07 14:00,130,15,9999,5,24,19,1021,74,130,6000,NIL,NIL,NIL,NIL,,,,
"['15:00', '24/07']",24/07 15:00,150,12,9999,5,25,20,1020,74,NIL,6000,NIL,NIL,NIL,NIL,,,,
"['16:00', '24/07']",24/07 16:00,150,14,5000,5,24,21,1020,83,NIL,1800,1,1,NIL,NIL,,,,
"['16:04', '24/07']",24/07 16:04,160,14,3000,5,23,21,1019,89,NIL,1500,1,1,NIL,NIL,,,,
"['16:19', '24/07']",24/07 16:19,160,14,6000,5,24,21,1019,83,NIL,1500,1,NIL,NIL,NIL,,,,
"['17:00', '24/07']",24/07 17:00,130,15,3000,8,23,21,1019,89,120,800,1,NIL,NIL,NIL,,,,
"['17:25', '24/07']",24/07 17:25,110,13,6000,8,23,21,1018,89,NIL,1700,1,NIL,NIL,NIL,,,,
"['18:00', '24/07']",24/07 18:00,150,10,9999,8,24,21,1018,83,NIL,1700,NIL,NIL,NIL,NIL,,,,
"['19:00', '24/07']",24/07 19:00,150,12,8000,8,24,20,1018,78,NIL,1500,NIL,NIL,NIL,NIL,,,,
"['20:00', '24/07']",24/07 20:00,160,13,8000,8,24,20,1018,78,NIL,1500,NIL,NIL,NIL,NIL,,,,
"['20:25', '24/07']",24/07 20:25,170,9,3000,8,23,21,1018,89,170,800,1,NIL,NIL,NIL,,,,
"['21:00', '24/07']",24/07 21:00,180,10,8000,8,23,21,1018,89,NIL,1500,NIL,NIL,NIL,NIL,,,,
"['22:00', '24/07']",24/07 22:00,160,12,8000,8,24,21,1018,83,NIL,1500,NIL,NIL,NIL,NIL,,,,
"['22:02', '24/07']",24/07 22:02,110,15,3000,8,22,20,1019,88,NIL,800,1,NIL,NIL,NIL,,,,
"['23:00', '24/07']",24/07 23:00,140,8,8000,8,23,21,1019,89,145,1700,1,NIL,NIL,NIL,,,,
"['23:02', '24/07']",24/07 23:02,150,13,3000,8,22,20,1019,88,NIL,800,1,NIL,24,NIL,,,,
"['23:20', '24/07']",24/07 23:20,130,6,8000,8,23,21,1019,89,140,1500,1,NIL,NIL,NIL,,,,
"['00:00', '25/07']",25/07 00:00,140,11,5000,8,23,20,1019,83,130,1700,1,NIL,NIL,NIL,,,,
"['01:00', '25/07']",25/07 01:00,110,11,8000,5,23,21,1019,89,NIL,1700,NIL,,,NIL,,,,
"['02:00', '25/07']",25/07 02:00,120,12,8000,5,23,20,1019,83,NIL,1500,1,,,NIL,,,,
"['02:02', '25/07']",25/07 02:02,120,9,3000,8,23,20,1019,83,NIL,1000,1,,,1,,,,
"['02:25', '25/07']",25/07 02:25,110,13,8000,5,24,20,1019,78,NIL,1500,1,,,1,,,,
"['03:00', '25/07']",25/07 03:00,130,13,8000,8,24,20,1019,78,NIL,1500,1,,,1,,,,
"['04:00', '25/07']",25/07 04:00,120,16,9999,5,24,20,1019,78,NIL,6000,NIL,,,NIL,,,,
"['05:00', '25/07']",25/07 05:00,120,15,9999,5,24,19,1018,74,NIL,7000,NIL,,,NIL,,,,
"['06:00', '25/07']",25/07 06:00,120,14,9999,5,24,19,1018,74,NIL,7000,NIL,,,NIL,,,,
"['07:00', '25/07']",25/07 07:00,110,14,9999,5,24,18,1018,69,NIL,7000,NIL,,,NIL,,,,
"['08:00', '25/07']",25/07 08:00,120,13,9999,5,24,17,1018,65,NIL,7000,NIL,,,NIL,,,,
"['09:00', '25/07']",25/07 09:00,120,12,9999,3,24,16,1018,61,NIL,NIL,NIL,,,NIL,,,,
"['10:00', '25/07']",25/07 10:00,120,11,9999,3,25,18,1019,65,NIL,NIL,NIL,,,NIL,,,,
"['11:00', '25/07']",25/07 11:00,130,11,9999,3,25,17,1019,61,NIL,NIL,NIL,,,NIL,,,,
"['12:00', '25/07']",25/07 12:00,130,11,9999,3,26,18,1020,61,130,NIL,NIL,,,NIL,,,,
"['13:00', '25/07']",25/07 13:00,140,10,9999,3,26,17,1020,58,NIL,NIL,NIL,,,NIL,,,,
"['14:00', '25/07']",25/07 14:00,130,11,9999,3,27,18,1020,58,130,NIL,NIL,,,NIL,,,,
"['15:00', '25/07']",25/07 15:00,140,11,9999,5,27,17,1020,54,130,6000,NIL,,,NIL,,,,
"['16:00', '25/07']",25/07 16:00,110,13,9999,5,26,19,1019,65,120,6000,NIL,,,NIL,,,,
"['17:00', '25/07']",25/07 17:00,130,13,9999,5,25,19,1018,69,NIL,6000,NIL,,,NIL,,,,
"['18:00', '25/07']",25/07 18:00,150,9,9999,5,25,17,1018,61,NIL,6000,NIL,,,NIL,,,,
"['19:00', '25/07']",25/07 19:00,170,9,9999,5,25,17,1018,61,NIL,6000,NIL,,,NIL,,,,
"['20:00', '25/07']",25/07 20:00,160,8,9999,5,25,18,1018,65,NIL,6000,NIL,,,NIL,,,,
"['21:00', '25/07']",25/07 21:00,150,7,9999,5,25,18,1018,65,150,6000,NIL,,,NIL,,,,
"['22:00', '25/07']",25/07 22:00,120,10,9999,5,24,19,1019,74,120,2000,NIL,,,NIL,,,,
"['23:00', '25/07']",25/07 23:00,170,8,9999,5,24,17,1019,65,NIL,6000,NIL,,,NIL,,,,
"['00:00', '26/07']",26/07 00:00,150,13,9999,5,24,19,1020,74,NIL,6000,NIL,,,NIL,,,,
"['01:00', '26/07']",26/07 01:00,160,12,9999,5,24,19,1020,74,NIL,7000,NIL,NIL,,,,,,
"['02:00', '26/07']",26/07 02:00,170,9,9999,5,24,19,1019,74,NIL,7000,NIL,NIL,,,,,,
"['03:00', '26/07']",26/07 03:00,140,5,9999,5,24,20,1019,78,140,7000,NIL,NIL,,,,,,
"['04:00', '26/07']",26/07 04:00,120,10,9999,5,24,19,1018,74,NIL,7000,NIL,NIL,,,,,,
"['05:00', '26/07']",26/07 05:00,120,9,9999,3,24,20,1018,78,NIL,NIL,NIL,NIL,,,,,,
"['06:00', '26/07']",26/07 06:00,130,8,9999,3,24,19,1017,74,NIL,NIL,NIL,NIL,,,,,,
"['07:00', '26/07']",26/07 07:00,140,9,9999,3,24,20,1017,78,135,NIL,NIL,NIL,,,,,,
"['08:00', '26/07']",26/07 08:00,80,6,4000,5,23,20,1018,83,245,2000,1,NIL,,,,,,
"['09:00', '26/07']",26/07 09:00,90,4,5000,5,23,20,1018,83,75,1500,1,NIL,,,,,,
"['10:00', '26/07']",26/07 10:00,120,10,9999,3,25,19,1018,69,NIL,NIL,NIL,NIL,,,,,,
"['11:00', '26/07']",26/07 11:00,120,8,9999,5,26,20,1019,70,NIL,10000,NIL,NIL,,,,,,
"['12:00', '26/07']",26/07 12:00,120,8,9999,5,26,20,1019,70,NIL,10000,NIL,NIL,,,,,,
"['13:00', '26/07']",26/07 13:00,100,9,9999,5,27,20,1019,66,NIL,10000,NIL,NIL,,,,,,
"['14:00', '26/07']",26/07 14:00,130,8,9999,5,27,21,1019,70,NIL,2300,NIL,NIL,,,,,,
"['15:00', '26/07']",26/07 15:00,120,8,9999,5,27,20,1018,66,NIL,2300,NIL,NIL,,,,,,
"['16:00', '26/07']",26/07 16:00,100,11,9999,5,27,20,1017,66,NIL,2300,NIL,NIL,,,,,,
"['17:00', '26/07']",26/07 17:00,110,10,9999,5,27,20,1017,66,NIL,2300,NIL,NIL,,,,,,
"['18:00', '26/07']",26/07 18:00,110,13,8000,3,26,20,1016,70,NIL,NIL,NIL,NIL,,,,,,
"['18:12', '26/07']",26/07 18:12,80,15,3000,5,23,20,1017,83,NIL,1500,1,1,,,,,,
"['18:25', '26/07']",26/07 18:25,60,12,3000,5,22,20,1016,88,NIL,1500,1,NIL,,,,,,
"['18:40', '26/07']",26/07 18:40,60,4,8000,5,23,20,1016,83,NIL,2000,1,NIL,,,,,,
"['19:00', '26/07']",26/07 19:00,50,4,8000,5,24,20,1016,78,NIL,2000,1,NIL,,,,,,
"['20:00', '26/07']",26/07 20:00,100,14,8000,5,25,20,1016,74,NIL,6000,NIL,NIL,,,,,,
"['21:00', '26/07']",26/07 21:00,100,10,8000,5,25,20,1017,74,NIL,7000,NIL,NIL,,,,,,
"['22:00', '26/07']",26/07 22:00,100,8,9999,5,25,20,1017,74,NIL,7000,NIL,NIL,,,,,,
"['23:00', '26/07']",26/07 23:00,100,9,9999,5,25,20,1018,74,NIL,7000,NIL,NIL,,,,,,
"['00:00', '27/07']",27/07 00:00,100,8,9999,3,25,20,1018,74,NIL,NIL,NIL,NIL,,,,,,
"['01:00', '27/07']",27/07 01:00,90,7,9999,2,24,20,1018,78,NIL,NIL,NIL,NIL,,,,,,
"['02:00', '27/07']",27/07 02:00,100,5,9999,2,24,20,1018,78,NIL,NIL,NIL,NIL,,,,,,
"['03:00', '27/07']",27/07 03:00,100,6,9999,2,24,19,1018,74,NIL,NIL,NIL,NIL,,,,,,
"['04:00', '27/07']",27/07 04:00,100,5,9999,NIL,24,20,1018,78,NIL,NIL,NIL,NIL,,,,,,
"['05:00', '27/07']",27/07 05:00,80,5,9999,3,24,20,1017,78,NIL,NIL,NIL,NIL,,,,,,
"['06:00', '27/07']",27/07 06:00,260,4,9999,5,22,20,1017,88,NIL,7000,NIL,NIL,,,,,,
"['07:00', '27/07']",27/07 07:00,280,2,9999,5,22,20,1016,88,NIL,6000,NIL,NIL,,,,,,
"['08:00', '27/07']",27/07 08:00,270,2,9999,5,22,21,1017,94,NIL,7000,NIL,NIL,,,,,,
"['09:00', '27/07']",27/07 09:00,290,3,9999,5,22,20,1017,88,NIL,7000,NIL,NIL,,,,,,
"['10:00', '27/07']",27/07 10:00,350,7,4000,5,22,20,1017,88,NIL,1000,1,NIL,,,,,,
"['10:25', '27/07']",27/07 10:25,330,4,7000,5,22,20,1018,88,NIL,1500,1,NIL,,,,,,
"['10:35', '27/07']",27/07 10:35,10,3,4000,5,22,20,1018,88,195,1500,1,1,,,,,,
"['11:00', '27/07']",27/07 11:00,VRB,2,4000,5,22,21,1018,94,NIL,1500,1,1,,,,,,
"['11:10', '27/07']",27/07 11:10,VRB,2,8000,5,22,21,1018,94,NIL,1500,1,NIL,,,,,,
"['12:00', '27/07']",27/07 12:00,210,3,8000,5,22,21,1018,94,185,1500,1,NIL,,,,,,
"['13:00', '27/07']",27/07 13:00,80,7,8000,5,25,21,1018,79,95,6000,NIL,NIL,,,,,,
