validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,cobertura,tt,po,qnh,ur,vnt_vrb,teto,chuva,nevoa_umida,vnt_rajada,pancada,trovoada,vis_setor,vis_setor_dir,nevoeiro
"['20:00', '08/03']",08/03 20:00,80,12,9999,2,29,22,1010,66,NIL,NIL,,,,,,,,
"['21:00', '08/03']",08/03 21:00,70,14,9999,2,28,21,1010,66,NIL,NIL,,,,,,,,
"['22:00', '08/03']",08/03 22:00,70,13,9999,2,28,22,1010,70,NIL,NIL,,,,,,,,
"['23:00', '08/03']",08/03 23:00,70,10,9999,2,27,21,1011,70,NIL,NIL,,,,,,,,
"['00:00', '09/03']",09/03 00:00,60,11,9999,2,27,22,1012,74,NIL,NIL,,,,,,,,
"['01:00', '09/03']",09/03 01:00,60,10,9999,2,27,22,1012,74,NIL,NIL,,,,,,,,
"['02:00', '09/03']",09/03 02:00,60,9,9999,2,27,22,1012,74,NIL,NIL,,,,,,,,
"['03:00', '09/03']",09/03 03:00,50,9,9999,2,27,22,1012,74,NIL,NIL,,,,,,,,
"['04:00', '09/03']",09/03 04:00,60,8,9999,2,26,21,1011,74,NIL,NIL,,,,,,,,
"['05:00', '09/03']",09/03 05:00,60,10,9999,2,26,21,1011,74,NIL,NIL,,,,,,,,
"['06:00', '09/03']",09/03 06:00,40,5,9999,2,26,20,1010,70,NIL,NIL,,,,,,,,
"['07:00', '09/03']",09/03 07:00,340,3,9999,2,24,20,1010,78,NIL,NIL,,,,,,,,
"['08:00', '09/03']",09/03 08:00,340,2,9999,2,23,20,1011,83,NIL,NIL,,,,,,,,
"['09:00', '09/03']",09/03 09:00,330,2,9999,2,23,21,1011,89,NIL,NIL,,,,,,,,
"['10:00', '09/03']",09/03 10:00,VRB,1,9999,3,25,21,1012,79,NIL,NIL,,,,,,,,
"['11:00', '09/03']",09/03 11:00,360,5,9999,3,28,21,1012,66,190,NIL,,,,,,,,
"['12:00', '09/03']",09/03 12:00,10,6,9999,5,27,20,1013,66,NIL,2000,,,,,,,,
"['13:00', '09/03']",09/03 13:00,70,10,9999,3,29,19,1013,55,70,NIL,,,,,,,,
"['14:00', '09/03']",09/03 14:00,100,11,9999,3,29,19,1013,55,100,NIL,,,,,,,,
"['15:00', '09/03']",09/03 15:00,100,12,9999,3,30,20,1012,55,NIL,NIL,,,,,,,,
"['16:00', '09/03']",09/03 16:00,100,12,9999,3,30,19,1011,52,NIL,NIL,,,,,,,,
"['17:00', '09/03']",09/03 17:00,110,11,9999,2,30,20,1010,55,NIL,NIL,,,,,,,,
"['18:00', '09/03']",09/03 18:00,110,10,9999,NIL,29,19,1010,55,NIL,NIL,,,,,,,,
"['19:00', '09/03']",09/03 19:00,110,11,9999,NIL,29,20,1009,58,NIL,NIL,,,,,,,,
"['20:00', '09/03']",09/03 20:00,100,12,9999,NIL,29,20,1009,58,NIL,NIL,,,,,,,,
"['21:00', '09/03']",09/03 21:00,90,10,9999,NIL,27,20,1009,66,NIL,NIL,,,,,,,,
"['22:00', '09/03']",09/03 22:00,80,10,9999,NIL,27,19,1009,62,NIL,NIL,,,,,,,,
"['23:00', '09/03']",09/03 23:00,90,11,9999,NIL,27,20,1010,66,NIL,NIL,,,,,,,,
"['00:00', '10/03']",10/03 00:00,80,11,9999,NIL,27,20,1011,66,NIL,NIL,,,,,,,,
"['01:00', '10/03']",10/03 01:00,80,9,9999,NIL,26,20,1011,70,NIL,,,,,,,,,
"['02:00', '10/03']",10/03 02:00,70,9,9999,NIL,26,20,1011,70,NIL,,,,,,,,,
"['03:00', '10/03']",10/03 03:00,60,9,9999,NIL,26,20,1011,70,NIL,,,,,,,,,
"['04:00', '10/03']",10/03 04:00,60,10,9999,2,26,20,1010,70,NIL,,,,,,,,,
"['05:00', '10/03']",10/03 05:00,70,12,9999,2,26,20,1010,70,NIL,,,,,,,,,
"['06:00', '10/03']",10/03 06:00,60,10,9999,2,26,20,1010,70,NIL,,,,,,,,,
"['07:00', '10/03']",10/03 07:00,50,8,9999,2,26,19,1010,65,NIL,,,,,,,,,
"['08:00', '10/03']",10/03 08:00,60,9,9999,2,24,19,1011,74,NIL,,,,,,,,,
"['09:00', '10/03']",10/03 09:00,350,2,9999,3,23,19,1012,78,NIL,,,,,,,,,
"['10:00', '10/03']",10/03 10:00,10,3,9999,3,25,20,1012,74,NIL,,,,,,,,,
"['11:00', '10/03']",10/03 11:00,20,6,9999,3,27,20,1013,66,210,,,,,,,,,
"['12:00', '10/03']",10/03 12:00,60,11,9999,3,29,19,1013,55,NIL,,,,,,,,,
"['13:00', '10/03']",10/03 13:00,80,11,9999,3,30,19,1013,52,NIL,,,,,,,,,
"['14:00', '10/03']",10/03 14:00,80,13,9999,3,29,19,1013,55,NIL,,,,,,,,,
"['15:00', '10/03']",10/03 15:00,80,13,9999,3,30,20,1012,55,NIL,,,,,,,,,
"['16:00', '10/03']",10/03 16:00,90,13,9999,3,30,21,1011,59,NIL,,,,,,,,,
"['17:00', '10/03']",10/03 17:00,100,12,9999,2,30,21,1010,59,NIL,,,,,,,,,
"['18:00', '10/03']",10/03 18:00,90,12,9999,2,30,21,1010,59,NIL,,,,,,,,,
"['19:00', '10/03']",10/03 19:00,90,13,9999,2,29,21,1009,62,NIL,,,,,,,,,
"['20:00', '10/03']",10/03 20:00,90,12,9999,NIL,29,21,1009,62,NIL,,,,,,,,,
"['21:00', '10/03']",10/03 21:00,80,10,9999,2,28,21,1009,66,NIL,,,,,,,,,
"['22:00', '10/03']",10/03 22:00,90,10,9999,2,27,21,1010,70,NIL,,,,,,,,,
"['23:00', '10/03']",10/03 23:00,80,10,9999,2,27,21,1010,70,NIL,,,,,,,,,
"['00:00', '11/03']",11/03 00:00,80,10,9999,2,27,21,1011,70,NIL,,,,,,,,,
"['01:00', '11/03']",11/03 01:00,90,9,9999,2,27,22,1012,74,NIL,,,,,,,,,
"['02:00', '11/03']",11/03 02:00,80,10,9999,2,27,21,1012,70,NIL,,,,,,,,,
"['03:00', '11/03']",11/03 03:00,80,9,9999,2,27,21,1011,70,NIL,,,,,,,,,
"['04:00', '11/03']",11/03 04:00,60,6,9999,2,27,21,1011,70,NIL,,,,,,,,,
"['05:00', '11/03']",11/03 05:00,10,3,9999,2,26,21,1011,74,NIL,,,,,,,,,
"['06:00', '11/03']",11/03 06:00,VRB,1,9999,2,25,21,1011,79,NIL,,,,,,,,,
"['07:00', '11/03']",11/03 07:00,0,0,9999,2,24,21,1011,83,NIL,,,,,,,,,
"['08:00', '11/03']",11/03 08:00,0,0,9999,2,24,21,1011,83,NIL,,,,,,,,,
"['09:00', '11/03']",11/03 09:00,VRB,1,9999,3,24,21,1012,83,NIL,,,,,,,,,
"['10:00', '11/03']",11/03 10:00,280,2,9999,2,26,22,1013,79,NIL,,,,,,,,,
"['11:00', '11/03']",11/03 11:00,30,5,9999,3,28,22,1014,70,220,,,,,,,,,
"['12:00', '11/03']",11/03 12:00,80,8,9999,3,29,22,1014,66,NIL,,,,,,,,,
"['13:00', '11/03']",11/03 13:00,90,9,9999,3,30,21,1014,59,90,,,,,,,,,
"['14:00', '11/03']",11/03 14:00,90,12,9999,3,30,22,1014,62,NIL,,,,,,,,,
"['15:00', '11/03']",11/03 15:00,90,13,9999,3,30,21,1013,59,NIL,,,,,,,,,
"['16:00', '11/03']",11/03 16:00,90,13,9999,3,30,22,1012,62,NIL,,,,,,,,,
"['17:00', '11/03']",11/03 17:00,100,12,9999,3,30,22,1012,62,NIL,,,,,,,,,
"['18:00', '11/03']",11/03 18:00,100,12,9999,2,30,22,1011,62,NIL,,,,,,,,,
"['19:00', '11/03']",11/03 19:00,100,12,9999,2,30,22,1011,62,NIL,,,,,,,,,
"['20:00', '11/03']",11/03 20:00,100,11,9999,2,29,22,1011,66,NIL,,,,,,,,,
"['21:00', '11/03']",11/03 21:00,100,11,9999,2,28,22,1011,70,NIL,,,,,,,,,
"['22:00', '11/03']",11/03 22:00,100,10,9999,2,28,22,1011,70,NIL,,,,,,,,,
"['23:00', '11/03']",11/03 23:00,100,9,9999,2,27,22,1013,74,NIL,,,,,,,,,
"['00:00', '12/03']",12/03 00:00,100,7,9999,2,28,22,1014,70,NIL,,,,,,,,,
"['01:00', '12/03']",12/03 01:00,110,9,9999,2,28,22,1014,70,NIL,,,,,,,,,
"['02:00', '12/03']",12/03 02:00,120,7,9999,2,28,22,1014,70,NIL,,,,,,,,,
"['03:00', '12/03']",12/03 03:00,120,5,9999,3,27,22,1014,74,NIL,,,,,,,,,
"['04:00', '12/03']",12/03 04:00,60,8,9999,3,27,22,1013,74,NIL,,,,,,,,,
"['05:00', '12/03']",12/03 05:00,60,5,9999,3,27,22,1013,74,NIL,,,,,,,,,
"['06:00', '12/03']",12/03 06:00,360,1,9999,3,26,22,1012,79,NIL,,,,,,,,,
"['07:00', '12/03']",12/03 07:00,320,2,9999,3,25,22,1012,83,NIL,,,,,,,,,
"['08:00', '12/03']",12/03 08:00,0,0,9999,3,26,22,1013,79,NIL,,,,,,,,,
"['09:00', '12/03']",12/03 09:00,30,3,9999,3,25,22,1013,83,NIL,,,,,,,,,
"['10:00', '12/03']",12/03 10:00,330,3,9999,3,27,22,1013,74,NIL,,,,,,,,,
"['12:00', '12/03']",12/03 12:00,100,7,9999,3,29,22,1014,66,NIL,,,,,,,,,
"['13:00', '12/03']",12/03 13:00,90,8,9999,3,29,22,1014,66,NIL,,,,,,,,,
"['14:00', '12/03']",12/03 14:00,100,8,9999,3,29,21,1014,62,NIL,,,,,,,,,
"['15:00', '12/03']",12/03 15:00,120,9,9999,3,30,21,1013,59,NIL,,,,,,,,,
"['16:00', '12/03']",12/03 16:00,130,10,9999,2,30,20,1012,55,NIL,,,,,,,,,
"['17:00', '12/03']",12/03 17:00,140,12,9999,2,30,20,1012,55,NIL,,,,,,,,,
"['18:00', '12/03']",12/03 18:00,140,11,9999,2,30,21,1011,59,150,,,,,,,,,
"['19:00', '12/03']",12/03 19:00,120,10,9999,2,29,20,1011,58,NIL,,,,,,,,,
"['20:00', '12/03']",12/03 20:00,130,9,9999,2,29,20,1011,58,130,,,,,,,,,
"['21:00', '12/03']",12/03 21:00,130,8,9999,2,28,19,1011,58,NIL,,,,,,,,,
"['22:00', '12/03']",12/03 22:00,120,9,9999,2,28,19,1012,58,130,,,,,,,,,
"['23:00', '12/03']",12/03 23:00,120,7,9999,2,27,19,1012,62,120,,,,,,,,,
"['00:00', '13/03']",13/03 00:00,120,8,9999,2,27,19,1013,62,NIL,,,,,,,,,
"['01:00', '13/03']",13/03 01:00,130,6,9999,2,27,19,1014,62,NIL,NIL,NIL,,,,,,,
"['02:00', '13/03']",13/03 02:00,130,5,9999,2,27,20,1014,66,NIL,NIL,NIL,,,,,,,
"['03:00', '13/03']",13/03 03:00,130,6,9999,2,27,19,1013,62,NIL,NIL,NIL,,,,,,,
"['04:00', '13/03']",13/03 04:00,130,5,9999,2,27,20,1012,66,NIL,NIL,NIL,,,,,,,
"['05:00', '13/03']",13/03 05:00,110,4,6000,5,27,20,1012,66,NIL,7000,1,,,,,,,
"['06:00', '13/03']",13/03 06:00,240,2,9999,3,25,22,1012,83,NIL,NIL,NIL,,,,,,,
"['07:00', '13/03']",13/03 07:00,320,3,9999,3,25,22,1012,83,NIL,NIL,NIL,,,,,,,
"['08:00', '13/03']",13/03 08:00,30,2,9999,3,25,22,1012,83,NIL,NIL,NIL,,,,,,,
"['09:00', '13/03']",13/03 09:00,360,2,9999,3,24,21,1013,83,NIL,NIL,NIL,,,,,,,
"['10:00', '13/03']",13/03 10:00,280,3,9999,3,26,22,1013,79,NIL,NIL,NIL,,,,,,,
"['11:00', '13/03']",13/03 11:00,80,9,9999,3,28,21,1014,66,NIL,NIL,NIL,,,,,,,
"['12:00', '13/03']",13/03 12:00,70,8,9999,3,29,22,1014,66,70,NIL,NIL,,,,,,,
"['13:00', '13/03']",13/03 13:00,100,9,9999,3,29,22,1014,66,95,NIL,NIL,,,,,,,
"['14:00', '13/03']",13/03 14:00,90,10,9999,3,30,22,1015,62,NIL,NIL,NIL,,,,,,,
"['15:00', '13/03']",13/03 15:00,100,13,9999,3,29,22,1014,66,NIL,NIL,NIL,,,,,,,
"['16:00', '13/03']",13/03 16:00,100,14,9999,3,30,21,1013,59,NIL,NIL,NIL,,,,,,,
"['17:00', '13/03']",13/03 17:00,90,12,9999,3,29,21,1013,62,NIL,NIL,NIL,,,,,,,
"['18:00', '13/03']",13/03 18:00,90,12,9999,3,30,22,1012,62,90,NIL,NIL,,,,,,,
"['19:00', '13/03']",13/03 19:00,110,11,9999,3,29,21,1012,62,NIL,NIL,NIL,,,,,,,
"['20:00', '13/03']",13/03 20:00,120,9,9999,3,29,20,1012,58,NIL,NIL,NIL,,,,,,,
"['21:00', '13/03']",13/03 21:00,110,9,9999,3,28,21,1013,66,NIL,NIL,NIL,,,,,,,
"['22:00', '13/03']",13/03 22:00,110,8,9999,3,28,20,1013,62,NIL,NIL,NIL,,,,,,,
"['23:00', '13/03']",13/03 23:00,110,8,9999,3,28,20,1013,62,125,NIL,NIL,,,,,,,
"['00:00', '14/03']",14/03 00:00,110,9,9999,2,27,20,1014,66,NIL,NIL,NIL,,,,,,,
"['01:00', '14/03']",14/03 01:00,100,9,9999,2,27,20,1014,66,NIL,,,,,,,,,
"['02:00', '14/03']",14/03 02:00,110,9,9999,2,27,20,1014,66,NIL,,,,,,,,,
"['03:00', '14/03']",14/03 03:00,110,9,9999,3,27,19,1014,62,NIL,,,,,,,,,
"['04:00', '14/03']",14/03 04:00,110,6,9999,3,27,19,1014,62,NIL,,,,,,,,,
"['05:00', '14/03']",14/03 05:00,110,7,9999,3,27,20,1014,66,NIL,,,,,,,,,
"['06:00', '14/03']",14/03 06:00,100,7,9999,3,27,20,1013,66,NIL,,,,,,,,,
"['07:00', '14/03']",14/03 07:00,110,7,9999,3,27,20,1013,66,NIL,,,,,,,,,
"['08:00', '14/03']",14/03 08:00,100,8,9999,3,27,20,1013,66,NIL,,,,,,,,,
"['09:00', '14/03']",14/03 09:00,110,6,9999,3,27,19,1014,62,NIL,,,,,,,,,
"['10:00', '14/03']",14/03 10:00,100,7,9999,3,28,19,1014,58,NIL,,,,,,,,,
"['11:00', '14/03']",14/03 11:00,100,9,9999,2,29,19,1015,55,NIL,,,,,,,,,
"['12:00', '14/03']",14/03 12:00,90,10,9999,2,29,20,1016,58,NIL,,,,,,,,,
"['13:00', '14/03']",14/03 13:00,90,10,9999,2,29,20,1016,58,NIL,,,,,,,,,
"['14:00', '14/03']",14/03 14:00,90,11,9999,2,30,19,1016,52,NIL,,,,,,,,,
"['15:00', '14/03']",14/03 15:00,100,10,9999,2,30,19,1015,52,NIL,,,,,,,,,
"['16:00', '14/03']",14/03 16:00,100,10,9999,2,30,19,1014,52,NIL,,,,,,,,,
"['17:00', '14/03']",14/03 17:00,100,11,9999,2,30,20,1013,55,100,,,,,,,,,
"['18:00', '14/03']",14/03 18:00,100,11,9999,2,30,20,1013,55,NIL,,,,,,,,,
"['19:00', '14/03']",14/03 19:00,100,11,9999,2,29,19,1013,55,NIL,,,,,,,,,
"['20:00', '14/03']",14/03 20:00,100,11,9999,2,29,20,1013,58,90,,,,,,,,,
"['21:00', '14/03']",14/03 21:00,90,10,9999,NIL,28,19,1013,58,NIL,,,,,,,,,
"['22:00', '14/03']",14/03 22:00,80,10,9999,NIL,27,19,1014,62,NIL,,,,,,,,,
"['23:00', '14/03']",14/03 23:00,80,11,9999,NIL,27,19,1014,62,NIL,,,,,,,,,
"['00:00', '15/03']",15/03 00:00,90,9,9999,2,27,20,1014,66,NIL,,,,,,,,,
"['01:00', '15/03']",15/03 01:00,90,9,9999,2,27,19,1014,62,,NIL,,,,,,,,
"['02:00', '15/03']",15/03 02:00,90,11,9999,2,27,19,1014,62,,NIL,,,,,,,,
"['03:00', '15/03']",15/03 03:00,80,10,9999,2,26,20,1014,70,,NIL,,,,,,,,
"['04:00', '15/03']",15/03 04:00,90,10,9999,2,26,19,1014,65,,NIL,,,,,,,,
"['05:00', '15/03']",15/03 05:00,80,9,9999,2,26,19,1013,65,,NIL,,,,,,,,
"['06:00', '15/03']",15/03 06:00,90,7,9999,2,26,19,1013,65,,NIL,,,,,,,,
"['07:00', '15/03']",15/03 07:00,90,7,9999,2,26,20,1013,70,,NIL,,,,,,,,
"['08:00', '15/03']",15/03 08:00,VRB,2,9999,2,23,19,1013,78,,NIL,,,,,,,,
"['09:00', '15/03']",15/03 09:00,VRB,2,9999,2,23,19,1014,78,,NIL,,,,,,,,
"['10:00', '15/03']",15/03 10:00,250,2,9999,3,26,20,1014,70,,NIL,,,,,,,,
"['11:00', '15/03']",15/03 11:00,120,7,9999,3,28,20,1015,62,,NIL,,,,,,,,
"['12:00', '15/03']",15/03 12:00,120,8,9999,3,29,21,1015,62,,NIL,,,,,,,,
"['13:00', '15/03']",15/03 13:00,140,8,9999,3,28,21,1015,66,,NIL,,,,,,,,
