validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,trovoada,teto,cobertura,tt,po,qnh,ur,chuva,vnt_rajada,chuvisco,nevoeiro,nevoa_umida,pancada,vis_setor,vis_setor_dir,fumaca,vnt_vrb
"['07:00', '20/02']",20/02 07:00,320,5,9999,NIL,NIL,3,26,23,1009,84,NIL,,,,,,,,,
"['08:00', '20/02']",20/02 08:00,350,5,9999,NIL,NIL,3,25,23,1009,89,NIL,,,,,,,,,
"['09:00', '20/02']",20/02 09:00,310,6,9999,NIL,NIL,NIL,25,23,1009,89,NIL,,,,,,,,,
"['10:00', '20/02']",20/02 10:00,310,6,9999,NIL,10000,5,26,23,1010,84,NIL,,,,,,,,,
"['11:00', '20/02']",20/02 11:00,320,4,9999,NIL,8000,5,26,23,1010,84,NIL,,,,,,,,,
"['12:00', '20/02']",20/02 12:00,280,7,9999,NIL,10000,5,28,23,1011,74,NIL,,,,,,,,,
"['13:00', '20/02']",20/02 13:00,320,4,9999,NIL,10000,5,29,24,1012,74,NIL,,,,,,,,,
"['14:00', '20/02']",20/02 14:00,300,4,9999,NIL,10000,5,28,23,1012,74,NIL,,,,,,,,,
"['15:00', '20/02']",20/02 15:00,320,5,9999,NIL,1500,5,28,24,1011,79,NIL,,,,,,,,,
"['16:00', '20/02']",20/02 16:00,290,8,9999,NIL,10000,5,28,24,1010,79,NIL,,,,,,,,,
"['17:00', '20/02']",20/02 17:00,300,8,9999,NIL,2000,5,30,23,1009,66,NIL,,,,,,,,,
"['18:00', '20/02']",20/02 18:00,310,9,5000,1,2000,5,30,23,1009,66,1,,,,,,,,,
"['18:30', '20/02']",20/02 18:30,90,4,9999,1,NIL,3,25,23,1008,89,1,,,,,,,,,
"['19:00', '20/02']",20/02 19:00,210,2,9999,1,10000,5,26,24,1007,89,NIL,,,,,,,,,
"['20:00', '20/02']",20/02 20:00,30,2,9999,NIL,10000,5,27,25,1006,89,NIL,,,,,,,,,
"['21:00', '20/02']",20/02 21:00,330,6,9999,NIL,10000,5,27,24,1007,84,NIL,,,,,,,,,
"['22:00', '20/02']",20/02 22:00,90,2,9999,NIL,10000,5,27,24,1008,84,NIL,,,,,,,,,
"['23:00', '20/02']",20/02 23:00,230,2,9999,NIL,NIL,2,27,24,1009,84,NIL,,,,,,,,,
"['00:00', '21/02']",21/02 00:00,130,3,9999,NIL,NIL,3,27,25,1010,89,NIL,,,,,,,,,
"['01:00', '21/02']",21/02 01:00,120,6,9999,NIL,NIL,3,26,25,1011,94,NIL,,,,,,,,,
"['02:00', '21/02']",21/02 02:00,100,4,9999,NIL,10000,5,26,24,1012,89,NIL,,,,,,,,,
"['03:00', '21/02']",21/02 03:00,90,3,9999,NIL,10000,5,26,24,1011,89,NIL,,,,,,,,,
"['04:00', '21/02']",21/02 04:00,120,3,9999,NIL,10000,5,26,24,1011,89,NIL,,,,,,,,,
"['05:00', '21/02']",21/02 05:00,110,3,9999,NIL,10000,5,26,24,1011,89,NIL,,,,,,,,,
"['06:00', '21/02']",21/02 06:00,170,4,9999,NIL,600,5,26,24,1009,89,1,,,,,,,,,
"['06:20', '21/02']",21/02 06:20,20,4,2000,NIL,600,5,25,23,1009,89,1,,,,,,,,,
"['06:40', '21/02']",21/02 06:40,360,5,3000,NIL,400,5,24,23,1010,94,1,,,,,,,,,
"['07:00', '21/02']",21/02 07:00,360,4,4000,1,400,8,24,23,1010,94,1,,,,,,,,,
"['07:15', '21/02']",21/02 07:15,330,2,5000,1,700,8,24,23,1010,94,1,,,,,,,,,
"['07:48', '21/02']",21/02 07:48,250,2,9999,1,1000,5,24,23,1010,94,1,,,,,,,,,
"['08:00', '21/02']",21/02 08:00,360,4,9999,1,10000,5,25,23,1010,89,1,,,,,,,,,
"['09:00', '21/02']",21/02 09:00,90,3,9999,1,10000,5,24,23,1010,94,1,,,,,,,,,
"['10:00', '21/02']",21/02 10:00,50,5,9999,1,10000,5,24,23,1010,94,1,,,,,,,,,
"['10:30', '21/02']",21/02 10:30,360,2,9999,NIL,10000,5,24,23,1010,94,1,,,,,,,,,
"['11:00', '21/02']",21/02 11:00,10,2,9999,NIL,10000,5,24,23,1011,94,1,,,,,,,,,
"['12:00', '21/02']",21/02 12:00,90,2,9999,NIL,10000,5,25,23,1012,89,1,,,,,,,,,
"['13:00', '21/02']",21/02 13:00,340,5,9999,NIL,8000,5,26,23,1012,84,NIL,,,,,,,,,
"['14:00', '21/02']",21/02 14:00,360,9,9999,NIL,1500,5,27,23,1013,79,NIL,,,,,,,,,
"['15:00', '21/02']",21/02 15:00,340,6,9999,NIL,1500,5,28,23,1012,74,NIL,,,,,,,,,
"['16:00', '21/02']",21/02 16:00,360,2,9999,NIL,2000,5,30,23,1011,66,NIL,,,,,,,,,
"['17:00', '21/02']",21/02 17:00,340,2,9999,NIL,2000,5,31,23,1011,63,NIL,,,,,,,,,
"['18:00', '21/02']",21/02 18:00,20,4,9999,NIL,3000,5,31,24,1009,66,NIL,,,,,,,,,
"['19:00', '21/02']",21/02 19:00,170,5,9999,NIL,4000,5,29,24,1008,74,NIL,,,,,,,,,
"['20:00', '21/02']",21/02 20:00,180,5,9999,NIL,NIL,3,28,24,1008,79,NIL,,,,,,,,,
"['21:00', '21/02']",21/02 21:00,190,3,9999,NIL,NIL,2,29,24,1007,74,NIL,,,,,,,,,
"['22:00', '21/02']",21/02 22:00,180,3,9999,NIL,NIL,3,28,24,1009,79,NIL,,,,,,,,,
"['23:00', '21/02']",21/02 23:00,170,3,9999,NIL,NIL,2,27,24,1010,84,NIL,,,,,,,,,
"['00:00', '22/02']",22/02 00:00,90,4,9999,NIL,NIL,2,26,25,1011,94,NIL,,,,,,,,,
"['01:00', '22/02']",22/02 01:00,160,3,9999,NIL,NIL,2,27,24,1012,84,NIL,NIL,,,,,,,,
"['02:00', '22/02']",22/02 02:00,340,2,9999,NIL,NIL,3,26,24,1012,89,NIL,NIL,,,,,,,,
"['03:00', '22/02']",22/02 03:00,50,3,9999,NIL,1000,5,26,23,1012,84,NIL,NIL,,,,,,,,
"['03:20', '22/02']",22/02 03:20,40,4,9999,1,1000,5,25,23,1012,89,1,NIL,,,,,,,,
"['04:00', '22/02']",22/02 04:00,40,2,9999,1,NIL,3,25,23,1012,89,1,NIL,,,,,,,,
"['04:20', '22/02']",22/02 04:20,80,2,9999,1,700,5,25,23,1013,89,1,NIL,,,,,,,,
"['05:00', '22/02']",22/02 05:00,70,3,9999,1,700,5,25,23,1012,89,1,NIL,,,,,,,,
"['06:00', '22/02']",22/02 06:00,40,3,9999,1,1500,5,25,23,1012,89,1,NIL,,,,,,,,
"['07:00', '22/02']",22/02 07:00,360,4,9999,NIL,1500,5,24,23,1011,94,1,NIL,,,,,,,,
"['08:00', '22/02']",22/02 08:00,70,3,9999,NIL,1500,5,24,23,1012,94,1,NIL,,,,,,,,
"['09:00', '22/02']",22/02 09:00,40,2,9999,NIL,1500,5,24,23,1012,94,1,NIL,,,,,,,,
"['10:00', '22/02']",22/02 10:00,40,4,9999,NIL,2000,5,24,23,1013,94,1,NIL,,,,,,,,
"['11:00', '22/02']",22/02 11:00,10,5,9000,NIL,10000,5,24,23,1013,94,1,NIL,,,,,,,,
"['12:00', '22/02']",22/02 12:00,10,6,9000,NIL,10000,5,24,23,1013,94,1,NIL,,,,,,,,
"['13:00', '22/02']",22/02 13:00,360,6,9999,NIL,9000,5,26,23,1015,84,1,NIL,,,,,,,,
"['14:00', '22/02']",22/02 14:00,360,7,9999,NIL,10000,5,27,23,1015,79,NIL,NIL,,,,,,,,
"['15:00', '22/02']",22/02 15:00,360,5,9999,NIL,10000,5,28,23,1015,74,NIL,NIL,,,,,,,,
"['16:00', '22/02']",22/02 16:00,350,4,9999,NIL,2000,5,29,22,1014,66,NIL,NIL,,,,,,,,
"['17:00', '22/02']",22/02 17:00,0,0,9999,NIL,2000,5,30,22,1013,62,NIL,NIL,,,,,,,,
"['18:00', '22/02']",22/02 18:00,80,3,9999,NIL,2000,5,31,22,1011,59,NIL,NIL,,,,,,,,
"['19:00', '22/02']",22/02 19:00,80,5,9999,NIL,2000,5,30,23,1011,66,NIL,NIL,,,,,,,,
"['20:00', '22/02']",22/02 20:00,180,7,3000,1,2000,5,28,24,1011,79,1,NIL,,,,,,,,
"['20:02', '22/02']",22/02 20:02,330,15,600,1,2000,5,25,22,1011,83,1,25,,,,,,,,
"['20:23', '22/02']",22/02 20:23,80,2,3000,1,1700,5,24,23,1012,94,1,NIL,,,,,,,,
"['21:00', '22/02']",22/02 21:00,180,7,3000,1,1700,5,24,23,1012,94,1,NIL,,,,,,,,
"['21:33', '22/02']",22/02 21:33,170,7,3000,1,400,5,24,22,1012,89,1,NIL,,,,,,,,
"['22:00', '22/02']",22/02 22:00,180,5,8000,1,500,5,24,22,1012,89,1,NIL,,,,,,,,
"['22:14', '22/02']",22/02 22:14,180,6,8000,1,1000,5,24,22,1012,89,1,NIL,,,,,,,,
"['23:00', '22/02']",22/02 23:00,170,3,8000,1,600,5,24,23,1013,94,1,NIL,,,,,,,,
"['00:00', '23/02']",23/02 00:00,120,3,8000,1,800,5,24,23,1014,94,1,NIL,,,,,,,,
"['01:00', '23/02']",23/02 01:00,270,4,9000,1,800,5,25,23,1015,89,1,,NIL,,,,,,,
"['01:45', '23/02']",23/02 01:45,240,2,9000,NIL,400,5,24,23,1015,94,1,,NIL,,,,,,,
"['02:00', '23/02']",23/02 02:00,280,4,9999,NIL,400,5,24,22,1015,89,1,,NIL,,,,,,,
"['03:00', '23/02']",23/02 03:00,210,3,9999,NIL,400,5,24,23,1015,94,1,,NIL,,,,,,,
"['04:00', '23/02']",23/02 04:00,250,4,9999,NIL,400,8,24,22,1014,89,NIL,,1,,,,,,,
"['05:00', '23/02']",23/02 05:00,230,3,9999,NIL,400,8,24,22,1014,89,NIL,,1,,,,,,,
"['06:00', '23/02']",23/02 06:00,220,3,9999,NIL,400,8,24,22,1013,89,1,,NIL,,,,,,,
"['07:00', '23/02']",23/02 07:00,210,4,9999,NIL,400,8,23,22,1013,94,1,,NIL,,,,,,,
"['08:00', '23/02']",23/02 08:00,200,5,9999,NIL,600,8,23,21,1013,89,1,,NIL,,,,,,,
"['09:00', '23/02']",23/02 09:00,220,4,9999,NIL,600,8,23,21,1013,89,1,,NIL,,,,,,,
"['10:00', '23/02']",23/02 10:00,220,4,9999,NIL,500,8,23,21,1014,89,NIL,,NIL,,,,,,,
"['11:00', '23/02']",23/02 11:00,210,3,9999,NIL,400,8,23,21,1014,89,NIL,,NIL,,,,,,,
"['12:00', '23/02']",23/02 12:00,170,4,9999,NIL,500,8,24,21,1015,83,NIL,,NIL,,,,,,,
"['13:00', '23/02']",23/02 13:00,180,4,9999,NIL,500,8,24,22,1016,89,NIL,,NIL,,,,,,,
"['14:00', '23/02']",23/02 14:00,170,3,9999,NIL,700,8,25,22,1016,83,NIL,,NIL,,,,,,,
"['15:00', '23/02']",23/02 15:00,180,3,9999,NIL,900,8,26,22,1016,79,NIL,,NIL,,,,,,,
"['16:00', '23/02']",23/02 16:00,180,5,9999,NIL,1500,5,28,24,1015,79,NIL,,NIL,,,,,,,
"['17:00', '23/02']",23/02 17:00,190,4,9999,NIL,1500,5,28,23,1014,74,NIL,,NIL,,,,,,,
"['18:00', '23/02']",23/02 18:00,200,6,9999,NIL,2000,5,29,23,1012,70,NIL,,NIL,,,,,,,
"['19:00', '23/02']",23/02 19:00,180,5,9999,NIL,2000,5,30,23,1011,66,NIL,,NIL,,,,,,,
"['20:00', '23/02']",23/02 20:00,160,5,9999,NIL,2000,5,30,22,1011,62,NIL,,NIL,,,,,,,
"['21:00', '23/02']",23/02 21:00,160,7,9999,NIL,NIL,3,30,23,1010,66,NIL,,NIL,,,,,,,
"['22:00', '23/02']",23/02 22:00,130,5,9999,NIL,10000,5,28,23,1011,74,NIL,,NIL,,,,,,,
"['23:00', '23/02']",23/02 23:00,250,3,3000,NIL,6000,5,28,24,1012,79,1,,NIL,,,,,,,
"['00:00', '24/02']",24/02 00:00,350,3,5000,NIL,6000,5,23,22,1013,94,1,,NIL,,,,,,,
"['01:00', '24/02']",24/02 01:00,330,4,5000,,6000,5,24,22,1014,89,1,,,,,,,,,
"['02:00', '24/02']",24/02 02:00,290,4,9999,,6000,5,24,23,1014,94,1,,,,,,,,,
"['03:00', '24/02']",24/02 03:00,30,1,9999,,3000,5,24,22,1014,89,1,,,,,,,,,
"['04:00', '24/02']",24/02 04:00,50,2,9999,,3000,5,24,23,1014,94,1,,,,,,,,,
"['05:00', '24/02']",24/02 05:00,350,4,9999,,6000,5,24,22,1013,89,NIL,,,,,,,,,
"['06:00', '24/02']",24/02 06:00,350,4,9999,,6000,5,24,22,1012,89,NIL,,,,,,,,,
"['07:00', '24/02']",24/02 07:00,340,6,9999,,6000,5,24,22,1011,89,NIL,,,,,,,,,
"['08:00', '24/02']",24/02 08:00,330,6,9999,,6000,5,24,22,1011,89,NIL,,,,,,,,,
"['09:00', '24/02']",24/02 09:00,320,5,9999,,6000,5,24,22,1012,89,NIL,,,,,,,,,
"['10:00', '24/02']",24/02 10:00,320,6,9999,,10000,5,24,22,1012,89,NIL,,,,,,,,,
"['11:00', '24/02']",24/02 11:00,330,7,9999,,10000,5,24,22,1013,89,NIL,,,,,,,,,
"['12:00', '24/02']",24/02 12:00,330,6,9999,,10000,5,25,23,1014,89,1,,,,,,,,,
"['13:00', '24/02']",24/02 13:00,330,6,9999,,10000,5,26,23,1014,84,NIL,,,,,,,,,
"['14:00', '24/02']",24/02 14:00,340,8,9999,,10000,5,28,23,1014,74,NIL,,,,,,,,,
"['15:00', '24/02']",24/02 15:00,340,9,9999,,10000,5,29,24,1014,74,NIL,,,,,,,,,
"['16:00', '24/02']",24/02 16:00,330,8,9999,,NIL,3,29,24,1014,74,NIL,,,,,,,,,
"['17:00', '24/02']",24/02 17:00,330,10,9999,,NIL,3,29,22,1013,66,NIL,,,,,,,,,
"['18:00', '24/02']",24/02 18:00,320,9,9999,,NIL,3,30,23,1011,66,NIL,,,,,,,,,
"['19:00', '24/02']",24/02 19:00,310,7,9999,,NIL,3,31,23,1010,63,NIL,,,,,,,,,
"['20:00', '24/02']",24/02 20:00,310,8,9999,,NIL,3,31,22,1009,59,NIL,,,,,,,,,
"['21:00', '24/02']",24/02 21:00,310,7,9999,,NIL,2,30,22,1009,62,NIL,,,,,,,,,
"['22:00', '24/02']",24/02 22:00,300,7,9999,,NIL,2,29,22,1009,66,NIL,,,,,,,,,
"['23:00', '24/02']",24/02 23:00,310,5,9999,,NIL,NIL,27,23,1010,79,NIL,,,,,,,,,
"['00:00', '25/02']",25/02 00:00,310,6,9999,,NIL,NIL,27,23,1010,79,NIL,,,,,,,,,
"['01:00', '25/02']",25/02 01:00,300,3,9999,,NIL,NIL,27,23,1011,79,,,,,,,,,,
"['02:00', '25/02']",25/02 02:00,310,4,9999,,NIL,NIL,27,23,1012,79,,,,,,,,,,
"['03:00', '25/02']",25/02 03:00,310,5,9999,,NIL,NIL,26,24,1012,89,,,,,,,,,,
"['04:00', '25/02']",25/02 04:00,310,6,9999,,NIL,NIL,26,24,1012,89,,,,,,,,,,
"['05:00', '25/02']",25/02 05:00,330,5,9999,,NIL,NIL,26,24,1012,89,,,,,,,,,,
"['06:00', '25/02']",25/02 06:00,330,5,9999,,NIL,NIL,26,24,1012,89,,,,,,,,,,
"['07:00', '25/02']",25/02 07:00,330,4,9999,,8000,5,26,24,1011,89,,,,,,,,,,
"['08:00', '25/02']",25/02 08:00,330,4,9999,,7000,5,25,24,1011,94,,,,,,,,,,
"['09:00', '25/02']",25/02 09:00,310,6,9999,,NIL,NIL,26,24,1011,89,,,,,,,,,,
"['10:00', '25/02']",25/02 10:00,310,5,9999,,NIL,NIL,26,23,1011,84,,,,,,,,,,
"['11:00', '25/02']",25/02 11:00,320,5,9999,,NIL,NIL,26,23,1013,84,,,,,,,,,,
"['12:00', '25/02']",25/02 12:00,320,6,9999,,NIL,NIL,28,23,1014,74,,,,,,,,,,
"['13:00', '25/02']",25/02 13:00,330,8,9999,,NIL,NIL,29,24,1014,74,,,,,,,,,,
"['14:00', '25/02']",25/02 14:00,350,10,9999,,NIL,3,30,23,1014,66,,,,,,,,,,
"['15:00', '25/02']",25/02 15:00,340,7,9999,,NIL,3,31,24,1014,66,,,,,,,,,,
"['16:00', '25/02']",25/02 16:00,340,7,9999,,2500,5,31,23,1013,63,,,,,,,,,,
"['17:00', '25/02']",25/02 17:00,330,8,9999,,2500,5,32,23,1013,59,,,,,,,,,,
"['18:00', '25/02']",25/02 18:00,300,8,9999,,NIL,NIL,32,22,1010,56,,,,,,,,,,
"['19:00', '25/02']",25/02 19:00,310,10,9999,,NIL,2,32,22,1009,56,,,,,,,,,,
"['20:00', '25/02']",25/02 20:00,320,7,9999,,NIL,2,33,22,1008,53,,,,,,,,,,
"['21:00', '25/02']",25/02 21:00,320,6,9999,,NIL,2,32,22,1008,56,,,,,,,,,,
"['22:00', '25/02']",25/02 22:00,330,4,9999,,NIL,2,30,23,1009,66,,,,,,,,,,
"['23:00', '25/02']",25/02 23:00,360,3,9999,,NIL,2,30,22,1009,62,,,,,,,,,,
"['00:00', '26/02']",26/02 00:00,340,2,9999,,NIL,2,29,22,1009,66,,,,,,,,,,
"['01:00', '26/02']",26/02 01:00,0,0,9999,NIL,NIL,NIL,29,23,1011,70,,,,,,,,,,
"['02:00', '26/02']",26/02 02:00,40,4,9999,NIL,NIL,NIL,28,23,1012,74,,,,,,,,,,
"['03:00', '26/02']",26/02 03:00,350,3,9999,NIL,NIL,NIL,28,24,1012,79,,,,,,,,,,
"['04:00', '26/02']",26/02 04:00,320,3,9999,NIL,NIL,NIL,27,24,1012,84,,,,,,,,,,
"['05:00', '26/02']",26/02 05:00,300,6,9999,NIL,NIL,NIL,27,23,1012,79,,,,,,,,,,
"['06:00', '26/02']",26/02 06:00,340,11,9999,NIL,10000,5,27,23,1012,79,,,,,,,,,,
"['07:00', '26/02']",26/02 07:00,330,12,9999,NIL,10000,5,27,23,1011,79,,,,,,,,,,
"['08:00', '26/02']",26/02 08:00,310,10,9999,NIL,10000,5,26,23,1011,84,,,,,,,,,,
"['09:00', '26/02']",26/02 09:00,330,10,9999,NIL,10000,5,26,23,1011,84,,,,,,,,,,
"['10:00', '26/02']",26/02 10:00,260,7,9999,NIL,NIL,NIL,25,22,1012,83,,,,,,,,,,
"['11:00', '26/02']",26/02 11:00,250,5,9999,NIL,2000,5,26,23,1014,84,,,,,,,,,,
"['12:00', '26/02']",26/02 12:00,210,6,9999,NIL,5000,5,26,23,1014,84,,,,,,,,,,
"['13:00', '26/02']",26/02 13:00,220,3,9999,NIL,8000,5,25,23,1015,89,,,,,,,,,,
"['14:00', '26/02']",26/02 14:00,360,3,9999,NIL,10000,5,27,22,1014,74,,,,,,,,,,
"['15:00', '26/02']",26/02 15:00,300,2,9999,NIL,10000,5,29,22,1014,66,,,,,,,,,,
"['16:00', '26/02']",26/02 16:00,50,3,9999,NIL,NIL,2,30,22,1013,62,,,,,,,,,,
"['17:00', '26/02']",26/02 17:00,310,4,9999,NIL,NIL,3,32,22,1011,56,,,,,,,,,,
"['18:00', '26/02']",26/02 18:00,310,6,9999,NIL,NIL,3,33,22,1010,53,,,,,,,,,,
"['19:00', '26/02']",26/02 19:00,320,3,9999,NIL,NIL,3,33,23,1009,56,,,,,,,,,,
"['20:00', '26/02']",26/02 20:00,210,6,9999,NIL,NIL,3,33,21,1008,49,,,,,,,,,,
"['21:00', '26/02']",26/02 21:00,200,4,9999,NIL,NIL,3,33,22,1008,53,,,,,,,,,,
"['22:00', '26/02']",26/02 22:00,160,4,9999,NIL,NIL,3,31,23,1009,63,,,,,,,,,,
"['23:00', '26/02']",26/02 23:00,160,5,9999,1,NIL,3,28,23,1010,74,,,,,,,,,,
"['00:00', '27/02']",27/02 00:00,110,4,9999,1,NIL,3,27,23,1012,79,,,,,,,,,,
"['01:00', '27/02']",27/02 01:00,70,3,9999,1,2000,5,27,23,1012,79,NIL,,,,,,,,,
"['02:00', '27/02']",27/02 02:00,70,2,9999,NIL,NIL,3,26,24,1012,89,NIL,,,,,,,,,
"['03:00', '27/02']",27/02 03:00,160,8,9999,NIL,NIL,3,26,23,1012,84,1,,,,,,,,,
"['04:00', '27/02']",27/02 04:00,250,2,9999,NIL,NIL,3,26,23,1011,84,NIL,,,,,,,,,
"['05:00', '27/02']",27/02 05:00,310,4,9999,NIL,NIL,2,26,23,1011,84,NIL,,,,,,,,,
"['06:00', '27/02']",27/02 06:00,270,7,9999,NIL,NIL,3,26,23,1011,84,NIL,,,,,,,,,
"['07:00', '27/02']",27/02 07:00,260,9,9999,NIL,1000,5,24,22,1011,89,1,,,,,,,,,
"['08:00', '27/02']",27/02 08:00,320,5,9999,NIL,1500,5,24,22,1010,89,1,,,,,,,,,
"['09:00', '27/02']",27/02 09:00,280,5,9999,NIL,NIL,2,24,22,1011,89,NIL,,,,,,,,,
"['10:00', '27/02']",27/02 10:00,210,3,9999,NIL,10000,5,24,22,1011,89,NIL,,,,,,,,,
"['11:00', '27/02']",27/02 11:00,310,2,9999,NIL,1500,5,25,22,1012,83,NIL,,,,,,,,,
"['11:15', '27/02']",27/02 11:15,330,2,9999,NIL,800,5,25,23,1012,89,NIL,,,,,,,,,
"['12:00', '27/02']",27/02 12:00,270,4,9999,NIL,900,5,26,23,1013,84,NIL,,,,,,,,,
"['12:30', '27/02']",27/02 12:30,260,5,4000,NIL,1000,5,26,23,1013,84,1,,,,,,,,,
"['13:00', '27/02']",27/02 13:00,290,6,3000,NIL,1000,5,25,23,1014,89,1,,,,,,,,,
"['14:00', '27/02']",27/02 14:00,230,2,9999,NIL,1000,5,27,23,1013,79,NIL,,,,,,,,,
"['14:30', '27/02']",27/02 14:30,310,2,9999,NIL,1500,5,28,23,1013,74,NIL,,,,,,,,,
"['15:00', '27/02']",27/02 15:00,210,3,9999,NIL,1500,5,29,24,1013,74,NIL,,,,,,,,,
"['16:00', '27/02']",27/02 16:00,220,4,9999,NIL,2000,5,29,24,1012,74,NIL,,,,,,,,,
"['17:00', '27/02']",27/02 17:00,210,8,9999,NIL,2000,5,29,23,1011,70,NIL,,,,,,,,,
"['18:00', '27/02']",27/02 18:00,190,9,9999,NIL,2000,5,30,23,1010,66,NIL,,,,,,,,,
"['19:00', '27/02']",27/02 19:00,210,8,9999,NIL,NIL,3,29,23,1010,70,NIL,,,,,,,,,
"['20:00', '27/02']",27/02 20:00,190,9,9999,NIL,NIL,3,30,23,1009,66,NIL,,,,,,,,,
"['21:00', '27/02']",27/02 21:00,200,12,9999,NIL,NIL,3,30,22,1009,62,NIL,,,,,,,,,
"['22:00', '27/02']",27/02 22:00,180,5,9999,NIL,NIL,2,29,22,1010,66,NIL,,,,,,,,,
"['23:00', '27/02']",27/02 23:00,140,3,9999,NIL,NIL,2,27,23,1010,79,NIL,,,,,,,,,
"['00:00', '28/02']",28/02 00:00,150,3,9999,NIL,NIL,NIL,26,24,1011,89,NIL,,,,,,,,,
"['01:00', '28/02']",28/02 01:00,0,0,9999,,NIL,NIL,26,23,1012,84,,,,,,,,,,
"['02:00', '28/02']",28/02 02:00,0,0,9999,,NIL,NIL,26,23,1013,84,,,,,,,,,,
"['03:00', '28/02']",28/02 03:00,360,1,9999,,NIL,NIL,25,23,1013,89,,,,,,,,,,
"['04:00', '28/02']",28/02 04:00,0,0,9999,,NIL,NIL,25,24,1012,94,,,,,,,,,,
"['05:00', '28/02']",28/02 05:00,160,2,9999,,NIL,3,26,24,1012,89,,,,,,,,,,
"['06:00', '28/02']",28/02 06:00,0,0,9999,,NIL,3,26,23,1012,84,,,,,,,,,,
"['07:00', '28/02']",28/02 07:00,190,2,9999,,NIL,NIL,25,23,1011,89,,,,,,,,,,
"['08:00', '28/02']",28/02 08:00,200,2,9999,,NIL,2,26,23,1011,84,,,,,,,,,,
"['09:00', '28/02']",28/02 09:00,260,2,9999,,NIL,2,26,23,1012,84,,,,,,,,,,
"['10:00', '28/02']",28/02 10:00,250,1,9999,,NIL,3,25,23,1012,89,,,,,,,,,,
"['11:00', '28/02']",28/02 11:00,330,1,9999,,NIL,NIL,26,24,1013,89,,,,,,,,,,
"['12:00', '28/02']",28/02 12:00,240,4,9999,,NIL,2,27,22,1014,74,,,,,,,,,,
"['13:00', '28/02']",28/02 13:00,130,2,9999,,NIL,2,29,22,1014,66,,,,,,,,,,
"['14:00', '28/02']",28/02 14:00,190,3,9999,,NIL,3,29,23,1014,70,,,,,,,,,,
"['15:00', '28/02']",28/02 15:00,150,3,9999,,NIL,3,30,23,1014,66,,,,,,,,,,
"['16:00', '28/02']",28/02 16:00,360,5,9999,,5000,5,26,23,1014,84,,,,,,,,,,
"['17:00', '28/02']",28/02 17:00,10,2,9999,,5000,5,28,24,1012,79,,,,,,,,,,
"['18:00', '28/02']",28/02 18:00,350,2,9999,,5000,5,30,25,1012,75,,,,,,,,,,
"['19:00', '28/02']",28/02 19:00,310,4,9999,,7000,5,31,23,1011,63,,,,,,,,,,
"['20:00', '28/02']",28/02 20:00,210,7,9999,,NIL,3,29,24,1011,74,,,,,,,,,,
"['21:00', '28/02']",28/02 21:00,230,5,9999,,NIL,3,29,24,1011,74,,,,,,,,,,
"['22:00', '28/02']",28/02 22:00,180,4,9999,,NIL,3,28,23,1011,74,,,,,,,,,,
"['23:00', '28/02']",28/02 23:00,130,2,9999,,10000,5,27,24,1012,84,,,,,,,,,,
"['00:00', '29/02']",29/02 00:00,0,0,9999,,5000,5,27,24,1013,84,,,,,,,,,,
"['01:00', '29/02']",29/02 01:00,100,3,9999,,NIL,3,26,24,1013,89,NIL,,,,,,,,,
"['02:00', '29/02']",29/02 02:00,340,2,9999,,10000,5,26,24,1014,89,NIL,,,,,,,,,
"['03:00', '29/02']",29/02 03:00,310,3,9999,,10000,5,27,24,1014,84,NIL,,,,,,,,,
"['04:00', '29/02']",29/02 04:00,310,3,9999,,10000,5,26,24,1014,89,NIL,,,,,,,,,
"['05:00', '29/02']",29/02 05:00,310,2,9999,,10000,5,26,24,1014,89,NIL,,,,,,,,,
"['06:00', '29/02']",29/02 06:00,280,6,9999,,7000,5,27,23,1013,79,NIL,,,,,,,,,
"['07:00', '29/02']",29/02 07:00,290,6,9999,,7000,5,26,23,1013,84,NIL,,,,,,,,,
"['08:00', '29/02']",29/02 08:00,300,5,9999,,7000,5,26,23,1013,84,NIL,,,,,,,,,
"['09:00', '29/02']",29/02 09:00,320,6,9999,,6000,5,25,24,1013,94,NIL,,,,,,,,,
"['10:00', '29/02']",29/02 10:00,280,5,9999,,NIL,3,25,23,1014,89,NIL,,,,,,,,,
"['10:36', '29/02']",29/02 10:36,290,5,9999,,1000,5,26,23,1014,84,NIL,,,,,,,,,
"['11:00', '29/02']",29/02 11:00,290,5,9999,,1000,5,26,23,1014,84,NIL,,,,,,,,,
"['12:00', '29/02']",29/02 12:00,340,4,9999,,1000,5,26,24,1015,89,NIL,,,,,,,,,
"['13:00', '29/02']",29/02 13:00,350,3,9999,,9000,5,28,25,1016,84,NIL,,,,,,,,,
"['14:00', '29/02']",29/02 14:00,0,0,9999,,1500,5,29,24,1016,74,NIL,,,,,,,,,
"['15:00', '29/02']",29/02 15:00,170,3,9999,,8000,5,31,23,1015,63,NIL,,,,,,,,,
"['16:00', '29/02']",29/02 16:00,180,3,8000,,8000,5,31,23,1014,63,NIL,,,,,,,,,
"['16:38', '29/02']",29/02 16:38,330,10,3000,,8000,5,27,24,1014,84,1,,,,,,,,,
"['17:00', '29/02']",29/02 17:00,330,8,5000,,8000,5,26,23,1014,84,1,,,,,,,,,
