validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,trovoada,teto,cobertura,tt,po,qnh,ur,chuva,vnt_rajada,chuvisco,nevoeiro,nevoa_umida,pancada,vis_setor,vis_setor_dir,fumaca,vnt_vrb
"['09:00', '08/07']",08/07 09:00,320,6,9999,,,,21,13,1013,60,,,,,,,,,,
"['10:00', '08/07']",08/07 10:00,310,7,9999,,,,20,14,1014,68,,,,,,,,,,
"['11:00', '08/07']",08/07 11:00,320,5,9999,,,,21,14,1014,64,,,,,,,,,,
"['12:00', '08/07']",08/07 12:00,310,6,9999,,,,25,14,1015,50,,,,,,,,,,
"['13:00', '08/07']",08/07 13:00,270,3,9999,,,,27,14,1015,45,,,,,,,,,,
"['14:00', '08/07']",08/07 14:00,180,8,9999,,,,29,15,1016,43,,,,,,,,,,
"['15:00', '08/07']",08/07 15:00,200,11,9999,,,,29,15,1016,43,,,,,,,,,,
"['16:00', '08/07']",08/07 16:00,210,12,9999,,,,28,15,1015,45,,,,,,,,,,
"['17:00', '08/07']",08/07 17:00,190,12,9999,,,,29,14,1014,40,,,,,,,,,,
"['18:00', '08/07']",08/07 18:00,190,10,9999,,,,29,14,1013,40,,,,,,,,,,
"['19:00', '08/07']",08/07 19:00,180,10,9999,,,,29,14,1013,40,,,,,,,,,,
"['20:00', '08/07']",08/07 20:00,170,8,9999,,,,28,14,1013,42,,,,,,,,,,
"['21:00', '08/07']",08/07 21:00,180,7,9999,,,,28,14,1014,42,,,,,,,,,,
"['22:00', '08/07']",08/07 22:00,180,6,9999,,,,26,15,1014,51,,,,,,,,,,
"['23:00', '08/07']",08/07 23:00,180,7,9999,,,,25,15,1015,54,,,,,,,,,,
"['00:00', '09/07']",09/07 00:00,170,4,9999,,,,23,15,1016,61,,,,,,,,,,
"['01:00', '09/07']",09/07 01:00,170,4,9999,,NIL,NIL,22,15,1016,65,,,,,,,,,,
"['02:00', '09/07']",09/07 02:00,200,5,9999,,NIL,NIL,22,15,1016,65,,,,,,,,,,
"['03:00', '09/07']",09/07 03:00,200,7,9999,,NIL,NIL,21,15,1017,69,,,,,,,,,,
"['04:00', '09/07']",09/07 04:00,190,8,9999,,NIL,NIL,20,14,1017,68,,,,,,,,,,
"['05:00', '09/07']",09/07 05:00,180,7,9999,,NIL,NIL,19,14,1017,73,,,,,,,,,,
"['06:00', '09/07']",09/07 06:00,180,9,9999,,NIL,NIL,18,14,1017,77,,,,,,,,,,
"['07:00', '09/07']",09/07 07:00,160,8,9999,,NIL,NIL,17,13,1017,77,,,,,,,,,,
"['08:00', '09/07']",09/07 08:00,160,6,9999,,NIL,NIL,16,13,1018,82,,,,,,,,,,
"['09:00', '09/07']",09/07 09:00,160,1,9999,,NIL,NIL,16,13,1018,82,,,,,,,,,,
"['10:00', '09/07']",09/07 10:00,160,6,9999,,1200,5,16,13,1018,82,,,,,,,,,,
"['11:00', '09/07']",09/07 11:00,150,5,9999,,1100,5,16,13,1019,82,,,,,,,,,,
"['12:00', '09/07']",09/07 12:00,170,9,9999,,1000,8,17,13,1021,77,,,,,,,,,,
"['13:00', '09/07']",09/07 13:00,170,7,9999,,1000,8,17,13,1021,77,,,,,,,,,,
"['14:00', '09/07']",09/07 14:00,170,6,9999,,1100,8,18,13,1022,73,,,,,,,,,,
"['15:00', '09/07']",09/07 15:00,170,7,9999,,1300,8,19,13,1021,68,,,,,,,,,,
"['16:00', '09/07']",09/07 16:00,160,5,9999,,1600,8,20,14,1021,68,,,,,,,,,,
"['17:00', '09/07']",09/07 17:00,140,6,9999,,NIL,2,22,14,1019,60,,,,,,,,,,
"['18:00', '09/07']",09/07 18:00,170,7,9999,,NIL,NIL,24,14,1018,54,,,,,,,,,,
"['19:00', '09/07']",09/07 19:00,180,8,9999,,NIL,NIL,24,14,1018,54,,,,,,,,,,
"['20:00', '09/07']",09/07 20:00,140,7,9999,,NIL,NIL,24,14,1017,54,,,,,,,,,,
"['21:00', '09/07']",09/07 21:00,140,5,9999,,NIL,NIL,23,14,1017,57,,,,,,,,,,
"['22:00', '09/07']",09/07 22:00,150,3,9999,,NIL,NIL,21,14,1017,64,,,,,,,,,,
"['23:00', '09/07']",09/07 23:00,130,3,9999,,NIL,NIL,20,15,1017,73,,,,,,,,,,
"['00:00', '10/07']",10/07 00:00,150,4,9999,,NIL,NIL,19,14,1017,73,,,,,,,,,,
"['01:00', '10/07']",10/07 01:00,140,3,9999,,,,19,15,1017,78,,,,,,,,,,
"['02:00', '10/07']",10/07 02:00,140,3,9999,,,,19,15,1017,78,,,,,,,,,,
"['03:00', '10/07']",10/07 03:00,180,2,9999,,,,19,15,1017,78,,,,,,,,,,
"['04:00', '10/07']",10/07 04:00,0,0,9999,,,,18,15,1017,83,,,,,,,,,,
"['05:00', '10/07']",10/07 05:00,0,0,9999,,,,18,15,1017,83,,,,,,,,,,
"['06:00', '10/07']",10/07 06:00,190,2,9999,,,,17,15,1017,88,,,,,,,,,,
"['07:00', '10/07']",10/07 07:00,180,2,9999,,,,17,15,1017,88,,,,,,,,,,
"['08:00', '10/07']",10/07 08:00,220,2,9999,,,,18,15,1017,83,,,,,,,,,,
"['09:00', '10/07']",10/07 09:00,200,3,9999,,,,17,15,1017,88,,,,,,,,,,
"['10:00', '10/07']",10/07 10:00,60,2,9999,,,,16,15,1016,94,,,,,,,,,,
"['11:00', '10/07']",10/07 11:00,210,1,9999,,,,17,15,1017,88,,,,,,,,,,
"['12:00', '10/07']",10/07 12:00,50,1,9999,,,,21,15,1017,69,,,,,,,,,,
"['13:00', '10/07']",10/07 13:00,300,2,9999,,,,23,16,1017,65,,,,,,,,,,
"['14:00', '10/07']",10/07 14:00,220,3,9999,,,,25,16,1017,57,,,,,,,,,,
"['15:00', '10/07']",10/07 15:00,330,2,9999,,,,27,16,1016,51,,,,,,,,,,
"['16:00', '10/07']",10/07 16:00,250,4,9999,,,,29,16,1015,45,,,,,,,,,,
"['17:00', '10/07']",10/07 17:00,10,4,9999,,,,32,15,1013,36,,,,,,,,,,
"['18:00', '10/07']",10/07 18:00,270,5,9999,,,,33,14,1012,32,,,,,,,,,,
"['19:00', '10/07']",10/07 19:00,330,6,9999,,,,34,11,1012,25,,,,,,,,,,
"['20:00', '10/07']",10/07 20:00,350,8,9999,,,,34,12,1012,26,,,,,,,,,,
