validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,teto,cobertura,tt,po,qnh,ur,vnt_vrb,chuva,trovoada,pancada,vnt_rajada,vis_setor,vis_setor_dir,nevoeiro,nevoa_umida,chuvisco
"['02:00', '10/04']",10/04 02:00,0,0,9999,NIL,2,24,24,1012,100,,NIL,,,,,,NIL,,
"['03:00', '10/04']",10/04 03:00,0,0,9999,NIL,2,24,23,1012,94,,NIL,,,,,,NIL,,
"['04:00', '10/04']",10/04 04:00,150,4,9999,NIL,2,24,24,1012,100,,NIL,,,,,,NIL,,
"['05:00', '10/04']",10/04 05:00,150,2,9999,NIL,3,24,23,1012,94,,NIL,,,,,,NIL,,
"['06:00', '10/04']",10/04 06:00,130,2,9999,NIL,3,24,23,1011,94,,NIL,,,,,,NIL,,
"['07:00', '10/04']",10/04 07:00,300,1,9999,NIL,3,24,23,1011,94,,NIL,,,,,,NIL,,
"['08:00', '10/04']",10/04 08:00,0,0,9999,NIL,3,24,24,1011,100,,NIL,,,,,,NIL,,
"['09:00', '10/04']",10/04 09:00,0,0,9999,NIL,3,24,24,1011,100,,NIL,,,,,,NIL,,
"['10:00', '10/04']",10/04 10:00,340,2,9999,8000,5,24,24,1012,100,,NIL,,,,,,1,,
"['11:00', '10/04']",10/04 11:00,0,0,9999,8000,5,24,24,1013,100,,NIL,,,,,,NIL,,
"['12:00', '10/04']",10/04 12:00,160,2,9999,8000,5,25,24,1013,94,,NIL,,,,,,NIL,,
"['13:00', '10/04']",10/04 13:00,120,3,9999,9000,5,27,24,1014,84,,NIL,,,,,,NIL,,
"['14:00', '10/04']",10/04 14:00,130,3,9999,10000,5,28,24,1014,79,,NIL,,,,,,NIL,,
"['15:00', '10/04']",10/04 15:00,50,5,9999,NIL,3,30,25,1014,75,,NIL,,,,,,NIL,,
"['16:00', '10/04']",10/04 16:00,0,0,9999,2000,5,30,24,1013,70,,NIL,,,,,,NIL,,
"['17:00', '10/04']",10/04 17:00,110,5,9999,NIL,3,31,25,1012,71,,NIL,,,,,,NIL,,
"['18:00', '10/04']",10/04 18:00,140,5,9999,NIL,3,32,25,1010,67,,NIL,,,,,,NIL,,
"['19:00', '10/04']",10/04 19:00,160,7,9999,NIL,3,32,23,1008,59,,NIL,,,,,,NIL,,
"['20:00', '10/04']",10/04 20:00,180,6,9999,NIL,3,32,23,1008,59,,NIL,,,,,,NIL,,
"['21:00', '10/04']",10/04 21:00,150,3,9999,NIL,3,31,23,1008,63,,NIL,,,,,,NIL,,
