validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,vis_setor,vis_setor_dir,chuva,teto,cobertura,tt,po,qnh,ur,trovoada,nevoa_umida,fumaca,vnt_rajada,vnt_vrb,chuvisco,pancada,nevoeiro
"['12:00', '27/07']",27/07 12:00,110,8,9999,,,,,NIL,28,23,1014,74,,,,,110,,,
"['13:00', '27/07']",27/07 13:00,130,9,9999,,,,,NIL,30,22,1014,62,,,,,NIL,,,
"['14:00', '27/07']",27/07 14:00,160,8,9999,,,,,NIL,31,21,1013,55,,,,,NIL,,,
"['15:00', '27/07']",27/07 15:00,150,8,9999,,,,,2,32,21,1012,52,,,,,160,,,
"['16:00', '27/07']",27/07 16:00,150,11,9999,,,,,NIL,32,19,1012,46,,,,,150,,,
"['17:00', '27/07']",27/07 17:00,150,8,9999,,,,,3,33,19,1011,44,,,,,NIL,,,
"['18:00', '27/07']",27/07 18:00,130,9,9999,,,,,2,33,18,1010,41,,,,,145,,,
"['19:00', '27/07']",27/07 19:00,140,8,9999,,,,,NIL,33,17,1010,39,,,,,NIL,,,
"['20:00', '27/07']",27/07 20:00,130,10,9999,,,,,NIL,32,17,1010,41,,,,,NIL,,,
"['21:00', '27/07']",27/07 21:00,120,6,9999,,,,,NIL,31,17,1011,43,,,,,NIL,,,
"['22:00', '27/07']",27/07 22:00,110,4,9999,,,,,NIL,30,19,1011,52,,,,,NIL,,,
"['23:00', '27/07']",27/07 23:00,100,4,9999,,,,,NIL,28,20,1012,62,,,,,NIL,,,
"['00:00', '28/07']",28/07 00:00,70,9,9999,,,,,NIL,26,20,1013,70,,,,,NIL,,,
"['01:00', '28/07']",28/07 01:00,100,4,9999,,,,NIL,NIL,26,21,1013,74,,,,,,,,
"['02:00', '28/07']",28/07 02:00,90,8,9999,,,,NIL,NIL,26,20,1014,70,,,,,,,,
"['03:00', '28/07']",28/07 03:00,80,8,9999,,,,NIL,NIL,26,23,1013,84,,,,,,,,
"['04:00', '28/07']",28/07 04:00,90,1,9999,,,,NIL,NIL,26,23,1013,84,,,,,,,,
"['05:00', '28/07']",28/07 05:00,90,10,9000,,,,NIL,NIL,25,23,1012,89,,,,,,,,
"['06:00', '28/07']",28/07 06:00,100,9,9000,,,,NIL,NIL,25,23,1011,89,,,,,,,,
"['07:00', '28/07']",28/07 07:00,100,8,9000,,,,NIL,NIL,24,23,1011,94,,,,,,,,
"['08:00', '28/07']",28/07 08:00,110,7,9000,,,,NIL,NIL,24,23,1011,94,,,,,,,,
"['09:00', '28/07']",28/07 09:00,110,7,9000,,,,NIL,NIL,23,22,1012,94,,,,,,,,
"['10:00', '28/07']",28/07 10:00,120,5,9999,,,,NIL,NIL,23,22,1012,94,,,,,,,,
"['11:00', '28/07']",28/07 11:00,110,8,9999,,,,NIL,NIL,25,23,1013,89,,,,,,,,
"['12:00', '28/07']",28/07 12:00,100,9,9999,,,,NIL,2,27,23,1013,79,,,,,,,,
"['13:00', '28/07']",28/07 13:00,120,9,9999,,,,NIL,2,29,22,1013,66,,,,,,,,
"['14:00', '28/07']",28/07 14:00,120,10,9999,,,,NIL,2,30,21,1013,59,,,,,,,,
"['15:00', '28/07']",28/07 15:00,150,9,9999,,,,NIL,3,30,21,1013,59,,,,,,,,
"['16:00', '28/07']",28/07 16:00,140,11,9999,,,,NIL,3,31,20,1012,52,,,,,,,,
"['17:00', '28/07']",28/07 17:00,120,10,9999,,,,NIL,3,32,18,1011,43,,,,,,,,
"['18:00', '28/07']",28/07 18:00,120,9,9999,,,,NIL,3,32,19,1011,46,,,,,,,,
"['19:00', '28/07']",28/07 19:00,110,9,9999,,,,4000,5,32,20,1010,49,,,,,,,,
"['20:00', '28/07']",28/07 20:00,100,6,9999,,,,NIL,3,32,19,1010,46,,,,,,,,
"['21:00', '28/07']",28/07 21:00,70,7,9999,,,,4000,5,31,20,1011,52,,,,,,,,
"['22:00', '28/07']",28/07 22:00,10,6,9999,,,,4000,5,29,24,1012,74,,,,,,,,
