validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vis_setor,vis_setor_dir,nevoeiro,nevoa_umida,chuvisco,pancada,vnt_vrb,fumaca
"['11:00', '14/04']",14/04 11:00,110,8,,9999,,,NIL,3,20,15,1020,73,,,,,,,NIL,
"['12:00', '14/04']",14/04 12:00,130,7,,9999,,,NIL,NIL,21,15,1021,69,,,,,,,NIL,
"['13:00', '14/04']",14/04 13:00,130,6,,9999,,,NIL,NIL,23,16,1021,65,,,,,,,NIL,
"['14:00', '14/04']",14/04 14:00,130,7,,9999,,,3500,5,24,16,1021,61,,,,,,,NIL,
"['15:00', '14/04']",14/04 15:00,90,7,,9999,,,NIL,3,25,15,1021,54,,,,,,,NIL,
"['16:00', '14/04']",14/04 16:00,130,5,,9999,,,NIL,3,25,15,1019,54,,,,,,,NIL,
"['17:00', '14/04']",14/04 17:00,130,7,,9999,,,4000,5,25,16,1019,57,,,,,,,NIL,
"['18:00', '14/04']",14/04 18:00,180,5,,9999,,,4000,5,28,17,1018,51,,,,,,,190,
"['19:00', '14/04']",14/04 19:00,100,6,,9999,,,NIL,3,26,16,1018,54,,,,,,,130,
"['20:00', '14/04']",14/04 20:00,100,8,,9999,,,NIL,3,25,16,1018,57,,,,,,,NIL,
"['21:00', '14/04']",14/04 21:00,80,10,,9999,,,NIL,2,23,16,1018,65,,,,,,,NIL,
"['22:00', '14/04']",14/04 22:00,80,11,,9999,,,NIL,NIL,22,15,1019,65,,,,,,,NIL,
"['23:00', '14/04']",14/04 23:00,90,11,,9999,,,NIL,NIL,21,16,1020,73,,,,,,,NIL,
"['00:00', '15/04']",15/04 00:00,100,9,,9999,,,NIL,NIL,21,14,1020,64,,,,,,,NIL,
"['01:00', '15/04']",15/04 01:00,100,10,,9999,,,,NIL,20,14,1020,68,,,,,,,,
"['02:00', '15/04']",15/04 02:00,100,10,,9999,,,,NIL,19,13,1020,68,,,,,,,,
"['03:00', '15/04']",15/04 03:00,80,7,,9999,,,,NIL,18,12,1020,68,,,,,,,,
"['04:00', '15/04']",15/04 04:00,80,7,,9999,,,,NIL,18,11,1020,64,,,,,,,,
"['05:00', '15/04']",15/04 05:00,90,10,,9999,,,,NIL,17,12,1019,72,,,,,,,,
"['06:00', '15/04']",15/04 06:00,120,10,,9999,,,,NIL,16,12,1019,77,,,,,,,,
"['07:00', '15/04']",15/04 07:00,140,5,,9999,,,,NIL,15,12,1019,82,,,,,,,,
"['08:00', '15/04']",15/04 08:00,130,3,,9999,,,,NIL,15,12,1020,82,,,,,,,,
"['09:00', '15/04']",15/04 09:00,130,5,,9999,,,,NIL,15,12,1020,82,,,,,,,,
"['10:00', '15/04']",15/04 10:00,130,5,,9999,,,,NIL,16,13,1021,82,,,,,,,,
"['11:00', '15/04']",15/04 11:00,110,8,,9999,,,,2,19,14,1021,73,,,,,,,,
"['12:00', '15/04']",15/04 12:00,90,7,,9999,,,,2,21,11,1022,53,,,,,,,,
"['13:00', '15/04']",15/04 13:00,210,4,,9999,,,,3,22,15,1022,65,,,,,,,,
"['14:00', '15/04']",15/04 14:00,60,3,,9999,,,,3,23,14,1022,57,,,,,,,,
"['15:00', '15/04']",15/04 15:00,90,4,,9999,,,,3,24,14,1021,54,,,,,,,,
"['16:00', '15/04']",15/04 16:00,140,5,,9999,,,,3,24,13,1020,50,,,,,,,,
"['17:00', '15/04']",15/04 17:00,90,6,,9999,,,,2,25,12,1019,44,,,,,,,,
"['18:00', '15/04']",15/04 18:00,150,9,,9999,,,,2,26,13,1018,45,,,,,,,,
"['19:00', '15/04']",15/04 19:00,90,10,,9999,,,,NIL,25,13,1018,47,,,,,,,,
"['20:00', '15/04']",15/04 20:00,80,9,,9999,,,,NIL,25,12,1018,44,,,,,,,,
"['21:00', '15/04']",15/04 21:00,80,8,,9999,,,,NIL,23,12,1019,50,,,,,,,,
"['22:00', '15/04']",15/04 22:00,100,13,,9999,,,,NIL,22,12,1019,53,,,,,,,,
"['23:00', '15/04']",15/04 23:00,100,12,,9999,,,,NIL,21,13,1020,60,,,,,,,,
"['00:00', '16/04']",16/04 00:00,90,11,,9999,,,,NIL,20,12,1020,60,,,,,,,,
"['01:00', '16/04']",16/04 01:00,110,6,,9999,,,NIL,NIL,19,12,1020,64,,,,,,,,
"['02:00', '16/04']",16/04 02:00,100,7,,9999,,,NIL,NIL,19,12,1020,64,,,,,,,,
"['03:00', '16/04']",16/04 03:00,100,9,,9999,,,NIL,NIL,19,11,1020,60,,,,,,,,
"['04:00', '16/04']",16/04 04:00,120,5,,9999,,,NIL,NIL,16,12,1019,77,,,,,,,,
"['05:00', '16/04']",16/04 05:00,100,8,,9999,,,NIL,NIL,17,12,1019,72,,,,,,,,
"['06:00', '16/04']",16/04 06:00,90,7,,9999,,,NIL,NIL,17,12,1018,72,,,,,,,,
"['07:00', '16/04']",16/04 07:00,110,5,,9999,,,NIL,NIL,16,12,1019,77,,,,,,,,
"['08:00', '16/04']",16/04 08:00,140,4,,9999,,,NIL,NIL,14,12,1019,88,,,,,,,,
"['09:00', '16/04']",16/04 09:00,100,7,,9999,,,NIL,2,16,13,1019,82,,,,,,,,
"['10:00', '16/04']",16/04 10:00,160,3,,9999,,,NIL,2,15,12,1020,82,,,,,,,,
"['11:00', '16/04']",16/04 11:00,170,3,,9999,,,NIL,NIL,17,13,1021,77,,,,,,,,
"['12:00', '16/04']",16/04 12:00,160,2,,9999,,,NIL,2,20,15,1021,73,,,,,,,,
"['13:00', '16/04']",16/04 13:00,30,8,,9999,,,3000,5,22,13,1021,57,,,,,,,,
"['14:00', '16/04']",16/04 14:00,30,6,,9999,,,3500,5,22,13,1021,57,,,,,,,,
"['15:00', '16/04']",16/04 15:00,70,6,,9999,,,4000,5,24,13,1020,50,,,,,,,,
"['16:00', '16/04']",16/04 16:00,VRB,5,,9999,,,NIL,3,24,12,1019,47,,,,,,,,
"['17:00', '16/04']",16/04 17:00,80,5,,9999,,,NIL,3,26,13,1018,45,,,,,,,,
"['18:00', '16/04']",16/04 18:00,50,4,,9999,,,NIL,3,24,12,1018,47,,,,,,,,
"['19:00', '16/04']",16/04 19:00,80,7,,9999,,,NIL,NIL,25,12,1017,44,,,,,,,,
"['20:00', '16/04']",16/04 20:00,100,8,,9999,,,NIL,NIL,24,12,1017,47,,,,,,,,
"['21:00', '16/04']",16/04 21:00,90,8,,9999,,,NIL,NIL,22,12,1018,53,,,,,,,,
"['22:00', '16/04']",16/04 22:00,70,7,,9999,,,NIL,NIL,21,12,1017,56,,,,,,,,
"['23:00', '16/04']",16/04 23:00,60,7,,9999,,,NIL,NIL,20,12,1018,60,,,,,,,,
"['00:00', '17/04']",17/04 00:00,80,7,,9999,,,NIL,NIL,19,12,1019,64,,,,,,,,
"['01:00', '17/04']",17/04 01:00,110,4,,9999,,,,NIL,18,12,1019,68,,,,,,,,
"['02:00', '17/04']",17/04 02:00,140,3,,9999,,,,NIL,18,12,1019,68,,,,,,,,
"['03:00', '17/04']",17/04 03:00,80,4,,9999,,,,NIL,17,12,1019,72,,,,,,,,
"['04:00', '17/04']",17/04 04:00,90,6,,9999,,,,NIL,17,12,1018,72,,,,,,,,
"['05:00', '17/04']",17/04 05:00,80,4,,9999,,,,NIL,17,12,1018,72,,,,,,,,
"['06:00', '17/04']",17/04 06:00,130,3,,9999,,,,NIL,15,12,1017,82,,,,,,,,
"['07:00', '17/04']",17/04 07:00,0,0,,9999,,,,NIL,15,12,1017,82,,,,,,,,
"['08:00', '17/04']",17/04 08:00,120,3,,9999,,,,NIL,15,12,1018,82,,,,,,,,
"['09:00', '17/04']",17/04 09:00,160,2,,9999,,,,NIL,14,11,1019,82,,,,,,,,
"['10:00', '17/04']",17/04 10:00,150,3,,9999,,,,NIL,14,11,1019,82,,,,,,,,
"['11:00', '17/04']",17/04 11:00,170,3,,9999,,,,NIL,16,12,1020,77,,,,,,,,
"['12:00', '17/04']",17/04 12:00,100,3,,9999,,,,NIL,20,14,1020,68,,,,,,,,
"['13:00', '17/04']",17/04 13:00,30,5,,9999,,,,NIL,21,13,1020,60,,,,,,,,
"['14:00', '17/04']",17/04 14:00,20,4,,9999,,,,NIL,24,11,1019,44,,,,,,,,
"['15:00', '17/04']",17/04 15:00,320,4,,9999,,,,NIL,24,11,1019,44,,,,,,,,
"['16:00', '17/04']",17/04 16:00,20,4,,9999,,,,NIL,26,11,1018,39,,,,,,,,
"['17:00', '17/04']",17/04 17:00,70,5,,9999,,,,3,26,13,1016,45,,,,,,,,
"['18:00', '17/04']",17/04 18:00,70,3,,9999,,,,3,26,13,1016,45,,,,,,,,
"['19:00', '17/04']",17/04 19:00,30,4,,9999,,,,2,26,12,1016,42,,,,,,,,
"['20:00', '17/04']",17/04 20:00,60,5,,9999,,,,NIL,25,13,1016,47,,,,,,,,
"['21:00', '17/04']",17/04 21:00,70,7,,9999,,,,NIL,23,15,1016,61,,,,,,,,
"['22:00', '17/04']",17/04 22:00,70,7,,9999,,,,NIL,22,15,1016,65,,,,,,,,
"['23:00', '17/04']",17/04 23:00,130,2,,9999,,,,NIL,21,14,1016,64,,,,,,,,
"['00:00', '18/04']",18/04 00:00,70,5,,9999,,,,NIL,21,14,1017,64,,,,,,,,
"['01:00', '18/04']",18/04 01:00,190,2,,9999,,,NIL,NIL,19,14,1017,73,,,,,,,,
"['02:00', '18/04']",18/04 02:00,100,4,,9999,,,NIL,NIL,19,13,1017,68,,,,,,,,
"['03:00', '18/04']",18/04 03:00,110,4,,9999,,,NIL,NIL,19,13,1017,68,,,,,,,,
"['04:00', '18/04']",18/04 04:00,130,2,,9999,,,NIL,NIL,18,13,1016,73,,,,,,,,
"['05:00', '18/04']",18/04 05:00,190,3,,9999,,,NIL,NIL,18,14,1016,77,,,,,,,,
"['06:00', '18/04']",18/04 06:00,140,2,,9999,,,NIL,NIL,18,14,1016,77,,,,,,,,
"['07:00', '18/04']",18/04 07:00,110,3,,9999,,,NIL,NIL,18,14,1016,77,,,,,,,,
"['08:00', '18/04']",18/04 08:00,120,3,,9999,,,NIL,NIL,17,14,1016,83,,,,,,,,
"['09:00', '18/04']",18/04 09:00,170,2,,9999,,,NIL,NIL,16,14,1016,88,,,,,,,,
"['10:00', '18/04']",18/04 10:00,140,3,,9999,,,NIL,NIL,16,14,1017,88,,,,,,,,
"['11:00', '18/04']",18/04 11:00,140,3,,9999,,,NIL,NIL,18,15,1018,83,,,,,,,,
"['12:00', '18/04']",18/04 12:00,50,5,,9999,,,NIL,NIL,22,15,1018,65,,,,,,,,
"['13:00', '18/04']",18/04 13:00,360,6,,9999,,,NIL,NIL,24,16,1018,61,,,,,,,,
"['14:00', '18/04']",18/04 14:00,20,7,,9999,,,NIL,2,25,16,1018,57,,,,,,,,
"['15:00', '18/04']",18/04 15:00,330,6,,9999,,,10000,5,26,15,1017,51,,,,,,,,
"['16:00', '18/04']",18/04 16:00,360,8,,9999,,,10000,5,27,14,1016,45,,,,,,,,
"['17:00', '18/04']",18/04 17:00,340,9,,9999,,,NIL,3,28,14,1015,42,,,,,,,,
"['18:00', '18/04']",18/04 18:00,260,2,,9999,,,4500,5,27,14,1014,45,,,,,,,,
"['19:00', '18/04']",18/04 19:00,320,3,,9999,,,4500,5,26,15,1014,51,,,,,,,,
"['20:00', '18/04']",18/04 20:00,350,4,,9999,,,4000,5,26,15,1014,51,,,,,,,,
"['21:00', '18/04']",18/04 21:00,320,2,,9999,,,NIL,3,25,16,1014,57,,,,,,,,
"['22:00', '18/04']",18/04 22:00,330,3,,9999,,,NIL,NIL,24,15,1015,57,,,,,,,,
"['23:00', '18/04']",18/04 23:00,350,7,,9999,,,NIL,NIL,22,15,1015,65,,,,,,,,
"['00:00', '19/04']",19/04 00:00,50,6,,9999,,,NIL,NIL,21,16,1016,73,,,,,,,,
"['01:00', '19/04']",19/04 01:00,70,4,,9999,NIL,,NIL,NIL,21,16,1016,73,,,NIL,,,,,
"['02:00', '19/04']",19/04 02:00,0,0,,9999,NIL,,NIL,NIL,20,16,1016,78,,,NIL,,,,,
"['03:00', '19/04']",19/04 03:00,300,7,,9000,1,,4500,5,19,16,1016,83,,,NIL,,,,,
"['04:00', '19/04']",19/04 04:00,130,2,,9999,1,,NIL,3,18,17,1016,94,,,NIL,,,,,
"['05:00', '19/04']",19/04 05:00,140,3,,9999,NIL,,NIL,NIL,19,16,1015,83,,,NIL,,,,,
"['06:00', '19/04']",19/04 06:00,70,2,,9999,NIL,,7000,5,19,17,1015,88,,,NIL,,,,,
"['07:00', '19/04']",19/04 07:00,60,2,,9999,NIL,,NIL,2,19,16,1015,83,,,NIL,,,,,
"['08:00', '19/04']",19/04 08:00,0,0,,9999,NIL,,NIL,NIL,17,16,1015,94,,,NIL,,,,,
"['09:00', '19/04']",19/04 09:00,160,3,,9999,NIL,,NIL,2,17,15,1016,88,,,1,,,,,
"['10:00', '19/04']",19/04 10:00,250,1,,9999,NIL,,NIL,2,17,16,1016,94,,,NIL,,,,,
"['11:00', '19/04']",19/04 11:00,170,3,,9999,NIL,,NIL,2,19,17,1017,88,,,NIL,,,,,
"['12:00', '19/04']",19/04 12:00,140,2,,9999,NIL,,4000,5,22,17,1017,73,,,NIL,,,,,
"['13:00', '19/04']",19/04 13:00,260,3,,9999,NIL,,NIL,3,24,18,1017,69,,,NIL,,,,,
"['14:00', '19/04']",19/04 14:00,280,6,,9999,NIL,,NIL,3,25,18,1017,65,,,NIL,,,,,
"['15:00', '19/04']",19/04 15:00,310,6,,9999,NIL,,4000,5,26,17,1016,58,,,NIL,,,,,
"['16:00', '19/04']",19/04 16:00,240,6,,9999,NIL,,4000,5,26,17,1015,58,,,NIL,,,,,
"['17:00', '19/04']",19/04 17:00,280,9,,9999,NIL,,4000,5,28,16,1014,48,,,NIL,,,,,
"['18:00', '19/04']",19/04 18:00,270,11,,9999,NIL,,NIL,3,29,16,1013,45,,,NIL,,,,,
"['19:00', '19/04']",19/04 19:00,240,8,,9999,NIL,,NIL,3,28,16,1013,48,,,NIL,,,,,
"['20:00', '19/04']",19/04 20:00,20,8,,9999,NIL,,NIL,3,28,15,1013,45,,,NIL,,,,,
"['21:00', '19/04']",19/04 21:00,220,7,,9999,NIL,,NIL,2,25,15,1014,54,,,NIL,,,,,
"['22:00', '19/04']",19/04 22:00,230,5,,9999,NIL,,NIL,NIL,24,15,1014,57,,,NIL,,,,,
"['23:00', '19/04']",19/04 23:00,180,5,,9999,NIL,,NIL,2,22,15,1015,65,,,NIL,,,,,
"['00:00', '20/04']",20/04 00:00,170,4,,9999,NIL,,NIL,NIL,22,16,1015,69,,,NIL,,,,,
"['01:00', '20/04']",20/04 01:00,190,4,,9999,,,,NIL,22,16,1015,69,,,,,,,,
"['02:00', '20/04']",20/04 02:00,150,3,,9999,,,,NIL,21,16,1016,73,,,,,,,,
"['03:00', '20/04']",20/04 03:00,130,5,,9999,,,,NIL,20,16,1016,78,,,,,,,,
"['04:00', '20/04']",20/04 04:00,100,8,,9999,,,,NIL,20,17,1016,83,,,,,,,,
"['05:00', '20/04']",20/04 05:00,130,5,,9999,,,,NIL,19,16,1015,83,,,,,,,,
"['06:00', '20/04']",20/04 06:00,100,6,,9999,,,,NIL,19,17,1015,88,,,,,,,,
"['07:00', '20/04']",20/04 07:00,110,7,,9999,,,,NIL,19,16,1015,83,,,,,,,,
"['08:00', '20/04']",20/04 08:00,110,7,,9999,,,,NIL,18,16,1015,88,,,,,,,,
"['09:00', '20/04']",20/04 09:00,100,9,,9999,,,,NIL,18,15,1016,83,,,,,,,,
"['10:00', '20/04']",20/04 10:00,170,7,,9999,,,,NIL,18,15,1017,83,,,,,,,,
"['11:00', '20/04']",20/04 11:00,110,6,,9999,,,,NIL,18,15,1018,83,,,,,,,,
"['12:00', '20/04']",20/04 12:00,130,5,,9999,,,,NIL,21,16,1018,73,,,,,,,,
"['13:00', '20/04']",20/04 13:00,150,4,,9999,,,,2,23,16,1018,65,,,,,,,,
"['14:00', '20/04']",20/04 14:00,90,4,,9999,,,,2,24,15,1018,57,,,,,,,,
"['15:00', '20/04']",20/04 15:00,50,6,,9999,,,,3,25,14,1017,50,,,,,,,,
"['16:00', '20/04']",20/04 16:00,310,3,,9999,,,,3,27,15,1016,48,,,,,,,,
"['17:00', '20/04']",20/04 17:00,300,4,,9999,,,,3,27,14,1015,45,,,,,,,,
"['18:00', '20/04']",20/04 18:00,230,6,,9999,,,,3,28,14,1014,42,,,,,,,,
"['19:00', '20/04']",20/04 19:00,200,6,,9999,,,,2,27,14,1014,45,,,,,,,,
"['20:00', '20/04']",20/04 20:00,200,6,,9999,,,,2,25,14,1014,50,,,,,,,,
"['21:00', '20/04']",20/04 21:00,190,4,,9999,,,,NIL,24,13,1015,50,,,,,,,,
"['22:00', '20/04']",20/04 22:00,210,2,,9999,,,,NIL,23,13,1015,53,,,,,,,,
"['23:00', '20/04']",20/04 23:00,80,7,,9999,,,,NIL,23,14,1016,57,,,,,,,,
"['00:00', '21/04']",21/04 00:00,180,2,,9999,,,,NIL,20,14,1016,68,,,,,,,,
"['01:00', '21/04']",21/04 01:00,100,7,,9999,,,,NIL,21,14,1017,64,,,,,,,,
"['02:00', '21/04']",21/04 02:00,120,7,,9999,,,,NIL,20,15,1017,73,,,,,,,,
"['03:00', '21/04']",21/04 03:00,120,7,,9999,,,,NIL,19,14,1017,73,,,,,,,,
"['04:00', '21/04']",21/04 04:00,140,6,,9999,,,,NIL,18,14,1017,77,,,,,,,,
"['05:00', '21/04']",21/04 05:00,120,7,,9999,,,,NIL,18,14,1016,77,,,,,,,,
"['06:00', '21/04']",21/04 06:00,110,7,,9999,,,,NIL,18,14,1016,77,,,,,,,,
"['07:00', '21/04']",21/04 07:00,120,7,,9999,,,,NIL,17,14,1016,83,,,,,,,,
"['08:00', '21/04']",21/04 08:00,130,5,,9999,,,,NIL,16,13,1016,82,,,,,,,,
"['09:00', '21/04']",21/04 09:00,100,6,,9999,,,,NIL,16,13,1016,82,,,,,,,,
"['10:00', '21/04']",21/04 10:00,120,6,,9999,,,,NIL,16,13,1017,82,,,,,,,,
"['11:00', '21/04']",21/04 11:00,130,6,,9999,,,,NIL,18,14,1018,77,,,,,,,,
"['12:00', '21/04']",21/04 12:00,130,7,,9999,,,,NIL,20,13,1018,64,,,,,,,,
"['13:00', '21/04']",21/04 13:00,150,5,,9999,,,,NIL,23,12,1018,50,,,,,,,,
"['14:00', '21/04']",21/04 14:00,200,3,,9999,,,,NIL,25,12,1018,44,,,,,,,,
"['15:00', '21/04']",21/04 15:00,270,4,,9999,,,,2,26,12,1017,42,,,,,,,,
"['16:00', '21/04']",21/04 16:00,VRB,5,,9999,,,,2,27,12,1016,39,,,,,,,,
"['17:00', '21/04']",21/04 17:00,250,5,,9999,,,,3,27,12,1015,39,,,,,,,,
"['18:00', '21/04']",21/04 18:00,200,5,,9999,,,,2,28,11,1015,35,,,,,,,,
"['19:00', '21/04']",21/04 19:00,230,5,,9999,,,,2,28,11,1015,35,,,,,,,,
"['20:00', '21/04']",21/04 20:00,210,6,,9999,,,,NIL,26,11,1015,39,,,,,,,,
"['21:00', '21/04']",21/04 21:00,230,4,,9999,,,,NIL,24,10,1015,41,,,,,,,,
"['22:00', '21/04']",21/04 22:00,250,3,,9999,,,,NIL,23,10,1016,44,,,,,,,,
"['23:00', '21/04']",21/04 23:00,280,2,,9999,,,,NIL,22,10,1016,46,,,,,,,,
"['00:00', '22/04']",22/04 00:00,200,1,,9999,,,,NIL,20,11,1017,56,,,,,,,,
"['01:00', '22/04']",22/04 01:00,120,3,,9999,,,,NIL,19,11,1017,60,,,,,,,,
"['02:00', '22/04']",22/04 02:00,120,5,,9999,,,,NIL,20,13,1017,64,,,,,,,,
"['03:00', '22/04']",22/04 03:00,120,7,,9999,,,,NIL,17,13,1017,77,,,,,,,,
"['04:00', '22/04']",22/04 04:00,120,7,,9999,,,,NIL,18,13,1017,73,,,,,,,,
"['05:00', '22/04']",22/04 05:00,130,5,,9999,,,,NIL,17,13,1016,77,,,,,,,,
"['06:00', '22/04']",22/04 06:00,140,4,,9999,,,,NIL,16,13,1016,82,,,,,,,,
"['07:00', '22/04']",22/04 07:00,180,4,,9999,,,,NIL,15,12,1016,82,,,,,,,,
"['08:00', '22/04']",22/04 08:00,150,3,,9999,,,,NIL,16,13,1017,82,,,,,,,,
"['09:00', '22/04']",22/04 09:00,130,4,,9999,,,,NIL,16,14,1017,88,,,,,,,,
"['10:00', '22/04']",22/04 10:00,140,4,,9999,,,,NIL,16,14,1018,88,,,,,,,,
"['11:00', '22/04']",22/04 11:00,170,3,,9999,,,,NIL,18,15,1018,83,,,,,,,,
"['12:00', '22/04']",22/04 12:00,200,3,,9999,,,,NIL,21,15,1019,69,,,,,,,,
"['13:00', '22/04']",22/04 13:00,180,3,,9999,,,,NIL,24,16,1019,61,,,,,,,,
"['14:00', '22/04']",22/04 14:00,260,3,,9999,,,,NIL,26,16,1018,54,,,,,,,,
"['15:00', '22/04']",22/04 15:00,310,3,,9999,,,,3,25,14,1017,50,,,,,,,,
"['16:00', '22/04']",22/04 16:00,230,7,,9999,,,,3,27,13,1016,42,,,,,,,,
"['17:00', '22/04']",22/04 17:00,210,6,,9999,,,,3,28,12,1015,37,,,,,,,,
"['18:00', '22/04']",22/04 18:00,250,9,,9999,,,,3,28,11,1014,35,,,,,,,,
"['19:00', '22/04']",22/04 19:00,210,10,,9999,,,,3,27,12,1015,39,,,,,,,,
"['20:00', '22/04']",22/04 20:00,200,4,,9999,,,,3,27,12,1015,39,,,,,,,,
"['21:00', '22/04']",22/04 21:00,200,2,,9999,,,,NIL,25,11,1015,41,,,,,,,,
"['22:00', '22/04']",22/04 22:00,240,4,,9999,,,,NIL,24,11,1015,44,,,,,,,,
"['23:00', '22/04']",22/04 23:00,0,0,,9999,,,,NIL,22,11,1016,50,,,,,,,,
"['00:00', '23/04']",23/04 00:00,110,6,,9999,,,,NIL,21,11,1017,53,,,,,,,,
"['01:00', '23/04']",23/04 01:00,170,2,,9999,,,NIL,NIL,20,12,1017,60,,,,,,,,
"['02:00', '23/04']",23/04 02:00,150,3,,9999,,,NIL,NIL,18,13,1017,73,,,,,,,,
"['03:00', '23/04']",23/04 03:00,130,6,,9999,,,NIL,NIL,18,14,1017,77,,,,,,,,
"['04:00', '23/04']",23/04 04:00,130,5,,9999,,,NIL,NIL,18,14,1017,77,,,,,,,,
"['05:00', '23/04']",23/04 05:00,120,6,,9999,,,NIL,NIL,18,14,1016,77,,,,,,,,
"['06:00', '23/04']",23/04 06:00,120,4,,9999,,,NIL,NIL,17,14,1017,83,,,,,,,,
"['07:00', '23/04']",23/04 07:00,110,7,,9999,,,NIL,NIL,17,14,1016,83,,,,,,,,
"['08:00', '23/04']",23/04 08:00,150,3,,9999,,,NIL,NIL,16,14,1017,88,,,,,,,,
"['09:00', '23/04']",23/04 09:00,150,5,,9999,,,NIL,NIL,15,13,1018,88,,,,,,,,
"['10:00', '23/04']",23/04 10:00,140,4,,9999,,,NIL,2,16,13,1019,82,,,,,,,,
"['11:00', '23/04']",23/04 11:00,140,3,,9999,,,NIL,2,18,14,1019,77,,,,,,,,
"['12:00', '23/04']",23/04 12:00,140,4,,9999,,,NIL,NIL,22,15,1020,65,,,,,,,,
"['13:00', '23/04']",23/04 13:00,70,5,,9999,,,NIL,NIL,24,16,1020,61,,,,,,,,
"['14:00', '23/04']",23/04 14:00,350,5,,9999,,,NIL,2,25,16,1019,57,,,,,,,,
"['15:00', '23/04']",23/04 15:00,270,3,,9999,,,NIL,3,26,15,1018,51,,,,,,,,
"['16:00', '23/04']",23/04 16:00,290,4,,9999,,,4800,5,26,14,1017,48,,,,,,,,
"['17:00', '23/04']",23/04 17:00,330,5,,9999,,,NIL,3,28,14,1016,42,,,,,,,,
"['18:00', '23/04']",23/04 18:00,140,3,,9999,,,NIL,3,28,14,1015,42,,,,,,,,
"['19:00', '23/04']",23/04 19:00,240,6,,9999,,,NIL,2,29,11,1015,33,,,,,,,,
"['20:00', '23/04']",23/04 20:00,230,6,,9999,,,NIL,NIL,28,11,1015,35,,,,,,,,
"['21:00', '23/04']",23/04 21:00,210,3,,9999,,,NIL,NIL,25,11,1016,41,,,,,,,,
"['22:00', '23/04']",23/04 22:00,210,3,,9999,,,NIL,NIL,24,11,1016,44,,,,,,,,
"['23:00', '23/04']",23/04 23:00,230,1,,9999,,,NIL,NIL,22,12,1017,53,,,,,,,,
"['00:00', '24/04']",24/04 00:00,0,0,,9999,,,NIL,NIL,21,13,1017,60,,,,,,,,
"['01:00', '24/04']",24/04 01:00,90,5,,9999,,,,NIL,21,15,1018,69,,,,,,,,
"['02:00', '24/04']",24/04 02:00,190,2,,9999,,,,NIL,19,14,1018,73,,,,,,,,
"['03:00', '24/04']",24/04 03:00,120,4,,9999,,,,NIL,19,15,1017,78,,,,,,,,
"['04:00', '24/04']",24/04 04:00,140,3,,9999,,,,NIL,18,15,1017,83,,,,,,,,
"['05:00', '24/04']",24/04 05:00,0,0,,9999,,,,NIL,17,14,1016,83,,,,,,,,
"['06:00', '24/04']",24/04 06:00,130,3,,9999,,,,NIL,18,15,1016,83,,,,,,,,
"['07:00', '24/04']",24/04 07:00,130,2,,9999,,,,NIL,17,14,1016,83,,,,,,,,
"['08:00', '24/04']",24/04 08:00,0,0,,9999,,,,NIL,16,14,1016,88,,,,,,,,
"['09:00', '24/04']",24/04 09:00,150,3,,9999,,,,NIL,16,14,1018,88,,,,,,,,
"['10:00', '24/04']",24/04 10:00,140,2,,9999,,,,NIL,17,14,1018,83,,,,,,,,
"['11:00', '24/04']",24/04 11:00,180,2,,9999,,,,NIL,19,15,1018,78,,,,,,,,
"['12:00', '24/04']",24/04 12:00,160,4,,9999,,,,NIL,21,17,1019,78,,,,,,,,
"['13:00', '24/04']",24/04 13:00,100,4,,9999,,,,NIL,24,17,1019,65,,,,,,,,
"['14:00', '24/04']",24/04 14:00,60,5,,9999,,,,2,26,16,1018,54,,,,,,,,
"['15:00', '24/04']",24/04 15:00,340,3,,9999,,,,3,27,14,1017,45,,,,,,,,
"['16:00', '24/04']",24/04 16:00,250,5,,9999,,,,3,28,15,1016,45,,,,,,,,
"['17:00', '24/04']",24/04 17:00,330,4,,9999,,,,3,28,13,1015,40,,,,,,,,
"['18:00', '24/04']",24/04 18:00,350,2,,9999,,,,3,28,14,1014,42,,,,,,,,
"['19:00', '24/04']",24/04 19:00,230,7,,9999,,,,2,29,12,1014,35,,,,,,,,
"['20:00', '24/04']",24/04 20:00,230,6,,9999,,,,2,28,12,1015,37,,,,,,,,
"['21:00', '24/04']",24/04 21:00,250,3,,9999,,,,2,26,13,1015,45,,,,,,,,
"['22:00', '24/04']",24/04 22:00,240,2,,9999,,,,NIL,25,13,1015,47,,,,,,,,
"['23:00', '24/04']",24/04 23:00,290,1,,9999,,,,NIL,23,13,1016,53,,,,,,,,
"['00:00', '25/04']",25/04 00:00,140,4,,9999,,,,NIL,22,13,1016,57,,,,,,,,
"['01:00', '25/04']",25/04 01:00,260,2,,9999,,,,NIL,21,14,1016,64,,,,,,,,
"['02:00', '25/04']",25/04 02:00,130,2,,9999,,,,NIL,20,15,1017,73,,,,,,,,
"['03:00', '25/04']",25/04 03:00,130,3,,9999,,,,NIL,19,15,1017,78,,,,,,,,
"['04:00', '25/04']",25/04 04:00,150,3,,9999,,,,NIL,19,16,1016,83,,,,,,,,
"['05:00', '25/04']",25/04 05:00,120,2,,9999,,,,NIL,18,15,1016,83,,,,,,,,
"['06:00', '25/04']",25/04 06:00,200,1,,9999,,,,NIL,17,15,1016,88,,,,,,,,
