validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vis_setor,vis_setor_dir,nevoeiro,nevoa_umida,chuvisco,pancada,vnt_vrb,fumaca
"['19:00', '23/07']",23/07 19:00,100,11,,9999,,,,NIL,23,09,1025,41,,,,,,,,
"['20:00', '23/07']",23/07 20:00,90,11,,9999,,,,NIL,22,09,1025,43,,,,,,,,
"['21:00', '23/07']",23/07 21:00,100,10,,9999,,,,NIL,20,09,1025,49,,,,,,,,
"['22:00', '23/07']",23/07 22:00,80,11,,9999,,,,NIL,19,08,1025,49,,,,,,,,
"['23:00', '23/07']",23/07 23:00,90,12,,9999,,,,NIL,19,09,1026,52,,,,,,,,
"['00:00', '24/07']",24/07 00:00,100,8,,9999,,,,NIL,17,09,1026,59,,,,,,,,
"['01:00', '24/07']",24/07 01:00,70,6,,9999,,,,NIL,16,09,1026,63,,,,,,,NIL,
"['02:00', '24/07']",24/07 02:00,80,3,,9999,,,,NIL,16,09,1026,63,,,,,,,NIL,
"['03:00', '24/07']",24/07 03:00,200,2,,9999,,,,NIL,15,09,1026,67,,,,,,,NIL,
"['04:00', '24/07']",24/07 04:00,110,5,,9999,,,,NIL,14,09,1026,72,,,,,,,NIL,
"['05:00', '24/07']",24/07 05:00,150,3,,9999,,,,NIL,15,09,1026,67,,,,,,,NIL,
"['06:00', '24/07']",24/07 06:00,90,7,,9999,,,,NIL,14,09,1026,72,,,,,,,NIL,
"['07:00', '24/07']",24/07 07:00,130,6,,9999,,,,NIL,13,09,1025,77,,,,,,,NIL,
"['08:00', '24/07']",24/07 08:00,90,8,,9999,,,,NIL,13,09,1026,77,,,,,,,NIL,
"['09:00', '24/07']",24/07 09:00,110,6,,9999,,,,NIL,12,09,1026,82,,,,,,,NIL,
"['10:00', '24/07']",24/07 10:00,110,6,,9999,,,,2,13,09,1027,77,,,,,,,NIL,
"['11:00', '24/07']",24/07 11:00,100,8,,9999,,,,2,15,09,1027,67,,,,,,,NIL,
"['12:00', '24/07']",24/07 12:00,90,5,,9999,,,,2,16,10,1028,68,,,,,,,NIL,
"['13:00', '24/07']",24/07 13:00,60,7,,9999,,,,2,18,09,1028,56,,,,,,,NIL,
"['14:00', '24/07']",24/07 14:00,30,7,,9999,,,,NIL,20,09,1028,49,,,,,,,NIL,
"['15:00', '24/07']",24/07 15:00,40,7,,9999,,,,NIL,21,09,1027,46,,,,,,,NIL,
"['16:00', '24/07']",24/07 16:00,40,6,,9999,,,,NIL,23,09,1026,41,,,,,,,NIL,
"['17:00', '24/07']",24/07 17:00,VRB,5,,9999,,,,NIL,23,10,1024,44,,,,,,,NIL,
"['18:00', '24/07']",24/07 18:00,20,6,,9999,,,,NIL,23,09,1024,41,,,,,,,215,
"['19:00', '24/07']",24/07 19:00,VRB,7,,9999,,,,NIL,23,08,1023,38,,,,,,,NIL,
"['20:00', '24/07']",24/07 20:00,80,5,,9999,,,,NIL,23,09,1023,41,,,,,,,75,
"['21:00', '24/07']",24/07 21:00,50,4,,9999,,,,NIL,21,08,1024,43,,,,,,,NIL,
"['22:00', '24/07']",24/07 22:00,60,5,,9999,,,,NIL,20,09,1024,49,,,,,,,NIL,
"['23:00', '24/07']",24/07 23:00,80,5,,9999,,,,NIL,19,09,1025,52,,,,,,,NIL,
"['00:00', '25/07']",25/07 00:00,80,9,,9999,,,,NIL,18,10,1025,60,,,,,,,NIL,
"['01:00', '25/07']",25/07 01:00,80,11,,9999,,,,NIL,17,10,1025,63,,,,,,,NIL,
"['02:00', '25/07']",25/07 02:00,90,7,,9999,,,,NIL,16,10,1025,68,,,,,,,NIL,
"['03:00', '25/07']",25/07 03:00,70,4,,9999,,,,NIL,16,10,1025,68,,,,,,,NIL,
"['04:00', '25/07']",25/07 04:00,80,5,,9999,,,,NIL,15,09,1025,67,,,,,,,NIL,
"['05:00', '25/07']",25/07 05:00,90,8,,9999,,,,NIL,16,10,1024,68,,,,,,,NIL,
"['06:00', '25/07']",25/07 06:00,100,7,,9999,,,,NIL,15,10,1024,72,,,,,,,NIL,
"['07:00', '25/07']",25/07 07:00,90,8,,9999,,,,NIL,14,10,1024,77,,,,,,,NIL,
"['08:00', '25/07']",25/07 08:00,70,6,,9999,,,,NIL,13,10,1024,82,,,,,,,NIL,
"['09:00', '25/07']",25/07 09:00,90,4,,9999,,,,NIL,13,10,1024,82,,,,,,,NIL,
"['10:00', '25/07']",25/07 10:00,70,2,,9999,,,,2,14,10,1025,77,,,,,,,NIL,
"['11:00', '25/07']",25/07 11:00,150,3,,9999,,,,2,13,10,1025,82,,,,,,,NIL,
"['12:00', '25/07']",25/07 12:00,80,6,,9999,,,,2,18,11,1026,64,,,,,,,65,
"['13:00', '25/07']",25/07 13:00,VRB,6,,9999,,,,3,19,10,1026,56,,,,,,,NIL,
"['14:00', '25/07']",25/07 14:00,40,6,,9999,,,,2,21,10,1026,49,,,,,,,220,
"['15:00', '25/07']",25/07 15:00,50,7,,9999,,,,NIL,21,09,1025,46,,,,,,,225,
"['16:00', '25/07']",25/07 16:00,VRB,6,,9999,,,,NIL,23,09,1024,41,,,,,,,NIL,
"['17:00', '25/07']",25/07 17:00,50,8,,9999,,,,NIL,24,09,1022,38,,,,,,,NIL,
"['18:00', '25/07']",25/07 18:00,10,8,,9999,,,,NIL,24,09,1022,38,,,,,,,NIL,
"['19:00', '25/07']",25/07 19:00,20,6,,9999,,,,NIL,24,08,1022,36,,,,,,,NIL,
"['20:00', '25/07']",25/07 20:00,20,4,,9999,,,,NIL,23,08,1022,38,,,,,,,NIL,
"['21:00', '25/07']",25/07 21:00,90,7,,9999,,,,NIL,21,08,1022,43,,,,,,,NIL,
"['22:00', '25/07']",25/07 22:00,60,7,,9999,,,,NIL,20,08,1023,46,,,,,,,NIL,
"['23:00', '25/07']",25/07 23:00,60,7,,9999,,,,NIL,19,09,1023,52,,,,,,,NIL,
"['00:00', '26/07']",26/07 00:00,80,9,,9999,,,,NIL,18,10,1024,60,,,,,,,NIL,
"['01:00', '26/07']",26/07 01:00,80,8,,9999,,,,NIL,17,10,1024,63,,,,,,,,
"['02:00', '26/07']",26/07 02:00,130,6,,9999,,,,NIL,15,10,1024,72,,,,,,,,
"['03:00', '26/07']",26/07 03:00,130,3,,9999,,,,NIL,15,10,1024,72,,,,,,,,
"['04:00', '26/07']",26/07 04:00,130,2,,9999,,,,NIL,14,10,1024,77,,,,,,,,
"['05:00', '26/07']",26/07 05:00,140,2,,9999,,,,NIL,14,10,1023,77,,,,,,,,
"['06:00', '26/07']",26/07 06:00,140,2,,9999,,,,NIL,13,10,1023,82,,,,,,,,
"['07:00', '26/07']",26/07 07:00,VRB,2,,9999,,,,NIL,13,10,1023,82,,,,,,,,
"['08:00', '26/07']",26/07 08:00,130,2,,9999,,,,NIL,13,10,1023,82,,,,,,,,
"['09:00', '26/07']",26/07 09:00,150,3,,9999,,,,NIL,12,10,1023,88,,,,,,,,
"['10:00', '26/07']",26/07 10:00,120,2,,9999,,,,NIL,13,10,1023,82,,,,,,,,
"['11:00', '26/07']",26/07 11:00,170,2,,9999,,,,NIL,13,11,1024,88,,,,,,,,
"['12:00', '26/07']",26/07 12:00,160,4,,9999,,,,2,16,11,1025,72,,,,,,,,
