validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vnt_vrb,vis,vis_setor,vis_setor_dir,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoeiro,pancada,nevoa_umida,nevoa_seca,fumaca,chuvisco
"['08:00', '31/07']",31/07 08:00,240,1,,NIL,9999,,,,,,NIL,12,06,1024,67,,,,,,
"['09:00', '31/07']",31/07 09:00,250,3,,NIL,9999,,,,,,NIL,11,06,1024,71,,,,,,
"['10:00', '31/07']",31/07 10:00,0,0,,NIL,9999,,,,,,NIL,11,06,1025,71,,,,,,
"['11:00', '31/07']",31/07 11:00,140,2,,NIL,9999,,,,,,NIL,16,06,1026,51,,,,,,
"['12:00', '31/07']",31/07 12:00,VRB,4,,NIL,9999,,,,,,NIL,18,09,1027,56,,,,,,
"['13:00', '31/07']",31/07 13:00,50,9,,50,9999,,,,,,NIL,19,11,1027,60,,,,,,
"['14:00', '31/07']",31/07 14:00,50,5,,55,9999,,,,,,NIL,22,12,1026,53,,,,,,
"['15:00', '31/07']",31/07 15:00,70,7,,NIL,9999,,,,,,NIL,24,12,1025,47,,,,,,
"['16:00', '31/07']",31/07 16:00,60,9,,55,9999,,,,,,NIL,25,12,1024,44,,,,,,
"['17:00', '31/07']",31/07 17:00,60,10,,55,9999,,,,,,2,26,11,1023,39,,,,,,
"['18:00', '31/07']",31/07 18:00,60,10,,60,9999,,,,,,2,26,11,1023,39,,,,,,
"['19:00', '31/07']",31/07 19:00,40,6,,225,9999,,,,,,2,27,11,1022,37,,,,,,
"['20:00', '31/07']",31/07 20:00,100,7,,100,9999,,,,,,2,26,10,1023,37,,,,,,
"['21:00', '31/07']",31/07 21:00,110,8,,NIL,9999,,,,,,2,25,11,1023,41,,,,,,
"['22:00', '31/07']",31/07 22:00,120,9,,NIL,9999,,,,,,NIL,24,11,1024,44,,,,,,
"['23:00', '31/07']",31/07 23:00,110,9,,NIL,9999,,,,,,NIL,23,12,1025,50,,,,,,
"['00:00', '01/08']",01/08 00:00,90,6,,NIL,9999,,,,,,NIL,21,12,1026,56,,,,,,
"['01:00', '01/08']",01/08 01:00,80,5,,NIL,9999,,,,,,NIL,20,12,1026,60,,,,,,
"['02:00', '01/08']",01/08 02:00,100,5,,NIL,9999,,,,,,NIL,20,12,1026,60,,,,,,
"['03:00', '01/08']",01/08 03:00,70,2,,NIL,9999,,,,,,NIL,18,12,1027,68,,,,,,
"['04:00', '01/08']",01/08 04:00,70,2,,NIL,9999,,,,,,NIL,18,12,1027,68,,,,,,
"['05:00', '01/08']",01/08 05:00,120,3,,NIL,9999,,,,,,NIL,17,12,1026,72,,,,,,
"['06:00', '01/08']",01/08 06:00,100,5,,NIL,9999,,,,,,NIL,17,12,1026,72,,,,,,
"['07:00', '01/08']",01/08 07:00,80,8,,NIL,9999,,,,,,NIL,16,12,1026,77,,,,,,
"['08:00', '01/08']",01/08 08:00,80,3,,NIL,9999,,,,,,NIL,16,12,1027,77,,,,,,
"['09:00', '01/08']",01/08 09:00,80,3,,NIL,9999,,,,,,NIL,15,11,1027,77,,,,,,
"['10:00', '01/08']",01/08 10:00,120,4,,NIL,9999,,,,,,NIL,14,11,1027,82,,,,,,
"['11:00', '01/08']",01/08 11:00,90,4,,95,9999,,,,,,NIL,16,12,1028,77,,,,,,
"['12:00', '01/08']",01/08 12:00,70,11,,NIL,9999,,,,,,NIL,17,12,1029,72,,,,,,
"['13:00', '01/08']",01/08 13:00,60,10,,70,9999,,,,,,NIL,18,12,1029,68,,,,,,
"['14:00', '01/08']",01/08 14:00,50,9,,70,9999,,,,,,NIL,20,12,1028,60,,,,,,
"['15:00', '01/08']",01/08 15:00,70,8,,60,9999,,,,,,NIL,22,12,1027,53,,,,,,
"['16:00', '01/08']",01/08 16:00,60,6,,50,9999,,,,,,NIL,24,12,1026,47,,,,,,
"['17:00', '01/08']",01/08 17:00,70,7,,245,9999,,,,,,2,25,12,1025,44,,,,,,
"['18:00', '01/08']",01/08 18:00,130,7,,135,9999,,,,,,2,26,12,1025,42,,,,,,
"['19:00', '01/08']",01/08 19:00,150,9,,NIL,9999,,,,,,NIL,26,10,1024,37,,,,,,
"['20:00', '01/08']",01/08 20:00,130,8,,NIL,9999,,,,,,NIL,26,10,1025,37,,,,,,
"['21:00', '01/08']",01/08 21:00,120,8,,NIL,9999,,,,,,NIL,24,11,1025,44,,,,,,
"['22:00', '01/08']",01/08 22:00,100,9,,NIL,9999,,,,,,NIL,22,11,1026,50,,,,,,
"['23:00', '01/08']",01/08 23:00,100,8,,NIL,9999,,,,,,NIL,21,11,1026,53,,,,,,
"['00:00', '02/08']",02/08 00:00,100,7,,NIL,9999,,,,,,NIL,20,11,1027,56,,,,,,
"['01:00', '02/08']",02/08 01:00,100,6,,70,9999,,,,,,,19,11,1027,60,,,,,,
"['02:00', '02/08']",02/08 02:00,60,2,,NIL,9999,,,,,,,18,11,1027,64,,,,,,
"['03:00', '02/08']",02/08 03:00,VRB,1,,NIL,9999,,,,,,,17,11,1027,68,,,,,,
"['04:00', '02/08']",02/08 04:00,160,1,,NIL,9999,,,,,,,17,10,1026,63,,,,,,
"['05:00', '02/08']",02/08 05:00,VRB,1,,NIL,9999,,,,,,,14,10,1025,77,,,,,,
"['06:00', '02/08']",02/08 06:00,VRB,2,,NIL,9999,,,,,,,14,10,1026,77,,,,,,
"['07:00', '02/08']",02/08 07:00,50,4,,NIL,9999,,,,,,,15,10,1026,72,,,,,,
"['08:00', '02/08']",02/08 08:00,100,4,,NIL,9999,,,,,,,15,09,1026,67,,,,,,
"['09:00', '02/08']",02/08 09:00,100,3,,100,9999,,,,,,,14,09,1026,72,,,,,,
"['10:00', '02/08']",02/08 10:00,90,2,,NIL,9999,,,,,,,13,09,1027,77,,,,,,
"['11:00', '02/08']",02/08 11:00,90,2,,NIL,9999,,,,,,,15,09,1027,67,,,,,,
"['12:00', '02/08']",02/08 12:00,70,9,,NIL,9999,,,,,,,16,09,1028,63,,,,,,
"['13:00', '02/08']",02/08 13:00,80,8,,NIL,9999,,,,,,,18,10,1028,60,,,,,,
"['14:00', '02/08']",02/08 14:00,80,9,,NIL,9999,,,,,,,20,10,1027,53,,,,,,
"['15:00', '02/08']",02/08 15:00,80,11,,NIL,9999,,,,,,,22,10,1026,46,,,,,,
"['16:00', '02/08']",02/08 16:00,70,9,,NIL,9999,,,,,,,24,10,1025,41,,,,,,
"['17:00', '02/08']",02/08 17:00,100,11,,NIL,9999,,,,,,,25,10,1024,39,,,,,,
"['18:00', '02/08']",02/08 18:00,100,9,,95,9999,,,,,,,25,09,1023,36,,,,,,
"['19:00', '02/08']",02/08 19:00,130,7,,125,9999,,,,,,,25,09,1023,36,,,,,,
"['20:00', '02/08']",02/08 20:00,120,8,,135,9999,,,,,,,25,09,1023,36,,,,,,
"['21:00', '02/08']",02/08 21:00,120,7,,NIL,9999,,,,,,,23,08,1024,38,,,,,,
"['22:00', '02/08']",02/08 22:00,110,7,,NIL,9999,,,,,,,22,09,1024,43,,,,,,
"['23:00', '02/08']",02/08 23:00,110,6,,NIL,9999,,,,,,,21,09,1024,46,,,,,,
"['00:00', '03/08']",03/08 00:00,VRB,4,,NIL,9999,,,,,,,20,09,1025,49,,,,,,
"['01:00', '03/08']",03/08 01:00,VRB,1,,NIL,9999,,,,,,NIL,17,09,1025,59,,,,,,
"['02:00', '03/08']",03/08 02:00,0,0,,NIL,9999,,,,,,NIL,17,09,1025,59,,,,,,
"['03:00', '03/08']",03/08 03:00,200,2,,NIL,9999,,,,,,NIL,16,09,1025,63,,,,,,
"['04:00', '03/08']",03/08 04:00,250,3,,NIL,9999,,,,,,NIL,14,09,1024,72,,,,,,
"['05:00', '03/08']",03/08 05:00,0,0,,NIL,9999,,,,,,NIL,13,09,1024,77,,,,,,
"['06:00', '03/08']",03/08 06:00,260,2,,NIL,9999,,,,,,NIL,12,09,1023,82,,,,,,
"['07:00', '03/08']",03/08 07:00,260,4,,NIL,9999,,,,,,NIL,12,09,1023,82,,,,,,
"['08:00', '03/08']",03/08 08:00,40,2,,NIL,9999,,,,,,NIL,12,09,1023,82,,,,,,
"['09:00', '03/08']",03/08 09:00,0,0,,NIL,9999,,,,,,NIL,12,09,1023,82,,,,,,
"['10:00', '03/08']",03/08 10:00,270,2,,NIL,9999,,,,,,NIL,11,08,1024,82,,,,,,
"['11:00', '03/08']",03/08 11:00,60,1,,NIL,9999,,,,,,NIL,16,09,1025,63,,,,,,
"['12:00', '03/08']",03/08 12:00,80,2,,NIL,9999,,,,,,NIL,19,09,1026,52,,,,,,
"['13:00', '03/08']",03/08 13:00,70,6,,255,9999,,,,,,NIL,22,09,1026,43,,,,,,
"['14:00', '03/08']",03/08 14:00,50,6,,220,9999,,,,,,NIL,24,08,1025,36,,,,,,
"['15:00', '03/08']",03/08 15:00,70,4,,85,9999,,,,,,NIL,25,08,1025,34,,,,,,
"['16:00', '03/08']",03/08 16:00,40,4,,NIL,9999,,,,,,NIL,26,08,1024,32,,,,,,
"['17:00', '03/08']",03/08 17:00,VRB,5,,NIL,9999,,,,,,NIL,27,08,1023,30,,,,,,
"['18:00', '03/08']",03/08 18:00,160,7,,165,9999,,,,,,NIL,27,07,1022,28,,,,,,
"['19:00', '03/08']",03/08 19:00,150,6,,NIL,9999,,,,,,2,27,07,1021,28,,,,,,
"['20:00', '03/08']",03/08 20:00,150,4,,NIL,9999,,,,,,2,27,08,1021,30,,,,,,
"['21:00', '03/08']",03/08 21:00,150,5,,NIL,9999,,,,,,2,26,08,1022,32,,,,,,
"['22:00', '03/08']",03/08 22:00,140,5,,NIL,9999,,,,,,2,24,09,1022,38,,,,,,
"['23:00', '03/08']",03/08 23:00,170,5,,NIL,9999,,,,,,2,22,09,1023,43,,,,,,
"['00:00', '04/08']",04/08 00:00,110,5,,NIL,9999,,,,,,NIL,23,08,1024,38,,,,,,
"['01:00', '04/08']",04/08 01:00,110,2,,NIL,9999,,,,,,NIL,20,09,1024,49,,,,,,
"['02:00', '04/08']",04/08 02:00,160,3,,NIL,9999,,,,,,NIL,20,08,1024,46,,,,,,
"['03:00', '04/08']",04/08 03:00,170,5,,NIL,9999,,,,,,NIL,19,08,1023,49,,,,,,
"['04:00', '04/08']",04/08 04:00,VRB,1,,NIL,9999,,,,,,NIL,17,09,1023,59,,,,,,
"['05:00', '04/08']",04/08 05:00,180,3,,NIL,9999,,,,,,NIL,17,09,1022,59,,,,,,
"['06:00', '04/08']",04/08 06:00,VRB,2,,NIL,9999,,,,,,NIL,16,08,1022,59,,,,,,
"['07:00', '04/08']",04/08 07:00,270,3,,280,9999,,,,,,NIL,14,08,1022,67,,,,,,
"['08:00', '04/08']",04/08 08:00,0,0,,NIL,9999,,,,,,NIL,13,08,1022,72,,,,,,
"['09:00', '04/08']",04/08 09:00,160,5,,NIL,9999,,,,,,NIL,14,08,1023,67,,,,,,
"['10:00', '04/08']",04/08 10:00,VRB,1,,NIL,9999,,,,,,NIL,12,08,1024,76,,,,,,
"['11:00', '04/08']",04/08 11:00,VRB,2,,NIL,9999,,,,,,NIL,16,09,1024,63,,,,,,
"['12:00', '04/08']",04/08 12:00,100,6,,NIL,9999,,,,,,NIL,20,09,1025,49,,,,,,
"['13:00', '04/08']",04/08 13:00,70,8,,60,9999,,,,,,NIL,22,09,1026,43,,,,,,
"['14:00', '04/08']",04/08 14:00,70,8,,250,9999,,,,,,NIL,23,09,1026,41,,,,,,
"['15:00', '04/08']",04/08 15:00,50,8,,50,9999,,,,,,NIL,25,09,1025,36,,,,,,
"['16:00', '04/08']",04/08 16:00,50,7,,245,9999,,,,,,NIL,26,08,1024,32,,,,,,
"['17:00', '04/08']",04/08 17:00,VRB,4,,NIL,9999,,,,,,3,26,07,1023,30,,,,,,
"['18:00', '04/08']",04/08 18:00,100,6,,120,9999,,,,,,NIL,26,07,1023,30,,,,,,
"['19:00', '04/08']",04/08 19:00,100,6,,95,9999,,,,,,NIL,26,07,1022,30,,,,,,
"['20:00', '04/08']",04/08 20:00,110,6,,NIL,9999,,,,,,NIL,25,07,1023,32,,,,,,
"['21:00', '04/08']",04/08 21:00,110,7,,NIL,9999,,,,,,NIL,24,08,1023,36,,,,,,
"['22:00', '04/08']",04/08 22:00,110,9,,NIL,9999,,,,,,NIL,23,07,1024,36,,,,,,
"['23:00', '04/08']",04/08 23:00,110,10,,NIL,9999,,,,,,NIL,22,06,1024,35,,,,,,
"['00:00', '05/08']",05/08 00:00,90,6,,NIL,9999,,,,,,NIL,20,07,1025,43,,,,,,
"['01:00', '05/08']",05/08 01:00,90,6,,NIL,9999,,,,,,NIL,19,07,1026,46,,,,,,
"['02:00', '05/08']",05/08 02:00,90,3,,NIL,9999,,,,,,NIL,19,07,1026,46,,,,,,
"['03:00', '05/08']",05/08 03:00,70,3,,NIL,9999,,,,,,NIL,19,08,1026,49,,,,,,
"['04:00', '05/08']",05/08 04:00,60,6,,NIL,9999,,,,,,NIL,18,07,1026,49,,,,,,
"['05:00', '05/08']",05/08 05:00,80,9,,NIL,9999,,,,,,NIL,17,08,1025,55,,,,,,
"['06:00', '05/08']",05/08 06:00,70,6,,NIL,9999,,,,,,NIL,17,08,1025,55,,,,,,
"['07:00', '05/08']",05/08 07:00,80,4,,NIL,9999,,,,,,NIL,16,08,1024,59,,,,,,
"['08:00', '05/08']",05/08 08:00,80,5,,NIL,9999,,,,,,NIL,15,08,1025,63,,,,,,
"['09:00', '05/08']",05/08 09:00,80,7,,NIL,9999,,,,,,NIL,15,08,1026,63,,,,,,
"['10:00', '05/08']",05/08 10:00,60,6,,NIL,9999,,,,,,NIL,15,08,1026,63,,,,,,
"['11:00', '05/08']",05/08 11:00,70,8,,NIL,9999,,,,,,NIL,16,09,1027,63,,,,,,
"['12:00', '05/08']",05/08 12:00,60,8,,NIL,9999,,,,,,NIL,17,09,1028,59,,,,,,
"['13:00', '05/08']",05/08 13:00,50,12,,NIL,9999,,,,,,NIL,19,10,1028,56,,,,,,
"['14:00', '05/08']",05/08 14:00,70,11,,NIL,9999,,,,,,NIL,21,09,1028,46,,,,,,
"['15:00', '05/08']",05/08 15:00,90,12,,NIL,9999,,,,,,2,22,10,1027,46,,,,,,
"['16:00', '05/08']",05/08 16:00,70,13,,80,9999,,,,,,2,24,08,1026,36,,,,,,
"['17:00', '05/08']",05/08 17:00,70,10,,NIL,9999,,,,,,3,23,08,1025,38,,,,,,
"['18:00', '05/08']",05/08 18:00,70,11,,70,9999,,,,,,NIL,24,07,1024,34,,,,,,
"['19:00', '05/08']",05/08 19:00,80,11,,NIL,9999,,,,,,NIL,24,07,1024,34,,,,,,
"['20:00', '05/08']",05/08 20:00,90,10,,NIL,9999,,,,,,NIL,24,06,1024,31,,,,,,
"['21:00', '05/08']",05/08 21:00,100,8,,NIL,9999,,,,,,NIL,22,07,1025,38,,,,,,
"['22:00', '05/08']",05/08 22:00,110,10,,NIL,9999,,,,,,NIL,20,07,1025,43,,,,,,
"['23:00', '05/08']",05/08 23:00,110,10,,NIL,9999,,,,,,NIL,20,07,1026,43,,,,,,
"['00:00', '06/08']",06/08 00:00,130,8,,145,9999,,,,,,3,19,07,1027,46,,,,,,
"['01:00', '06/08']",06/08 01:00,130,6,,NIL,9999,,,,,NIL,2,18,07,1027,49,,,,,,
"['02:00', '06/08']",06/08 02:00,VRB,1,,NIL,9999,,,,,NIL,NIL,16,07,1027,55,,,,,,
"['03:00', '06/08']",06/08 03:00,100,3,,NIL,9999,,,,,NIL,NIL,17,07,1027,52,,,,,,
"['04:00', '06/08']",06/08 04:00,100,7,,NIL,9999,,,,,NIL,NIL,17,07,1027,52,,,,,,
"['05:00', '06/08']",06/08 05:00,90,7,,NIL,9999,,,,,NIL,NIL,16,08,1026,59,,,,,,
"['06:00', '06/08']",06/08 06:00,70,8,,NIL,9999,,,,,NIL,NIL,16,09,1026,63,,,,,,
"['07:00', '06/08']",06/08 07:00,80,11,,NIL,9999,,,,,NIL,NIL,16,10,1026,68,,,,,,
"['08:00', '06/08']",06/08 08:00,90,5,,NIL,9999,,,,,NIL,NIL,15,09,1026,67,,,,,,
"['09:00', '06/08']",06/08 09:00,80,7,,NIL,9999,,,,,NIL,3,15,10,1026,72,,,,,,
"['09:20', '06/08']",06/08 09:20,70,13,,NIL,9999,,,,,1300,5,15,11,1027,77,,,,,,
"['10:00', '06/08']",06/08 10:00,70,13,,NIL,9999,,,,,1200,8,15,12,1026,82,,,,,,
"['11:00', '06/08']",06/08 11:00,70,14,,NIL,9999,,,,,1300,8,15,12,1027,82,,,,,,
"['12:00', '06/08']",06/08 12:00,70,13,,NIL,9999,,,,,1500,8,16,12,1028,77,,,,,,
"['13:00', '06/08']",06/08 13:00,70,14,,NIL,9999,,,,,1800,8,18,12,1029,68,,,,,,
"['14:00', '06/08']",06/08 14:00,70,13,,NIL,9999,,,,,2000,5,19,12,1028,64,,,,,,
"['15:00', '06/08']",06/08 15:00,70,12,,NIL,9999,,,,,NIL,3,20,12,1027,60,,,,,,
"['16:00', '06/08']",06/08 16:00,50,11,,NIL,9999,,,,,3000,5,22,12,1026,53,,,,,,
"['17:00', '06/08']",06/08 17:00,70,11,,NIL,9999,,,,,4000,5,22,11,1025,50,,,,,,
"['18:00', '06/08']",06/08 18:00,70,11,,50,9999,,,,,4500,5,23,10,1024,44,,,,,,
"['19:00', '06/08']",06/08 19:00,50,11,,60,9999,,,,,4500,5,23,10,1024,44,,,,,,
"['20:00', '06/08']",06/08 20:00,100,11,,NIL,9999,,,,,7000,5,23,10,1024,44,,,,,,
"['21:00', '06/08']",06/08 21:00,60,9,,NIL,9999,,,,,7000,5,22,11,1024,50,,,,,,
"['22:00', '06/08']",06/08 22:00,50,5,,NIL,9999,,,,,7000,5,21,10,1025,49,,,,,,
"['23:00', '06/08']",06/08 23:00,90,6,,NIL,9999,,,,,7000,5,20,10,1025,53,,,,,,
"['00:00', '07/08']",07/08 00:00,90,6,,NIL,9999,,,,,7000,5,20,10,1025,53,,,,,,
"['01:00', '07/08']",07/08 01:00,90,4,,NIL,9999,,,,,7000,5,19,10,1026,56,,,,,,
"['02:00', '07/08']",07/08 02:00,100,4,,NIL,9999,,,,,NIL,3,19,09,1025,52,,,,,,
"['03:00', '07/08']",07/08 03:00,VRB,2,,NIL,9999,,,,,NIL,2,17,09,1025,59,,,,,,
"['04:00', '07/08']",07/08 04:00,130,4,,130,9999,,,,,NIL,NIL,17,09,1025,59,,,,,,
"['05:00', '07/08']",07/08 05:00,110,6,,NIL,9999,,,,,NIL,NIL,16,09,1024,63,,,,,,
"['06:00', '07/08']",07/08 06:00,80,9,,NIL,9999,,,,,NIL,NIL,16,10,1024,68,,,,,,
"['07:00', '07/08']",07/08 07:00,80,8,,NIL,9999,,,,,NIL,NIL,16,10,1024,68,,,,,,
"['08:00', '07/08']",07/08 08:00,80,7,,NIL,9999,,,,,NIL,NIL,15,10,1024,72,,,,,,
"['09:00', '07/08']",07/08 09:00,100,4,,115,9999,,,,,NIL,NIL,15,10,1025,72,,,,,,
"['10:00', '07/08']",07/08 10:00,100,5,,NIL,9999,,,,,NIL,NIL,15,10,1026,72,,,,,,
"['11:00', '07/08']",07/08 11:00,100,6,,NIL,9999,,,,,NIL,NIL,15,10,1026,72,,,,,,
"['12:00', '07/08']",07/08 12:00,80,10,,NIL,9999,,,,,NIL,NIL,16,10,1027,68,,,,,,
"['13:00', '07/08']",07/08 13:00,80,11,,NIL,9999,,,,,NIL,NIL,17,10,1027,63,,,,,,
"['14:00', '07/08']",07/08 14:00,70,11,,NIL,9999,,,,,NIL,NIL,18,11,1027,64,,,,,,
"['15:00', '07/08']",07/08 15:00,80,11,,NIL,9999,,,,,NIL,NIL,20,11,1026,56,,,,,,
"['16:00', '07/08']",07/08 16:00,70,11,,NIL,9999,,,,,NIL,NIL,21,11,1025,53,,,,,,
"['17:00', '07/08']",07/08 17:00,60,9,,NIL,9999,,,,,NIL,NIL,22,11,1024,50,,,,,,
"['18:00', '07/08']",07/08 18:00,60,8,,55,9999,,,,,NIL,2,22,10,1023,46,,,,,,
"['19:00', '07/08']",07/08 19:00,60,8,,55,9999,,,,,NIL,2,22,10,1022,46,,,,,,
"['20:00', '07/08']",07/08 20:00,60,8,,60,9999,,,,,NIL,2,22,10,1022,46,,,,,,
"['21:00', '07/08']",07/08 21:00,70,9,,NIL,9999,,,,,NIL,2,21,10,1022,49,,,,,,
"['22:00', '07/08']",07/08 22:00,90,7,,NIL,9999,,,,,NIL,2,20,10,1023,53,,,,,,
"['23:00', '07/08']",07/08 23:00,120,7,,NIL,9999,,,,,NIL,NIL,19,10,1024,56,,,,,,
"['00:00', '08/08']",08/08 00:00,90,6,,NIL,9999,,,,,NIL,NIL,17,10,1024,63,,,,,,
"['01:00', '08/08']",08/08 01:00,110,6,NIL,NIL,9999,,,,,NIL,NIL,17,10,1025,63,,,,,,
"['02:00', '08/08']",08/08 02:00,170,3,NIL,160,9999,,,,,NIL,NIL,17,10,1025,63,,,,,,
"['03:00', '08/08']",08/08 03:00,200,3,NIL,NIL,9999,,,,,NIL,NIL,16,10,1025,68,,,,,,
"['04:00', '08/08']",08/08 04:00,160,5,NIL,NIL,9999,,,,,NIL,NIL,15,10,1024,72,,,,,,
"['05:00', '08/08']",08/08 05:00,0,0,NIL,NIL,9999,,,,,NIL,NIL,13,10,1024,82,,,,,,
"['06:00', '08/08']",08/08 06:00,90,4,NIL,NIL,9999,,,,,NIL,NIL,14,10,1023,77,,,,,,
"['07:00', '08/08']",08/08 07:00,180,4,NIL,NIL,9999,,,,,NIL,3,13,09,1023,77,,,,,,
"['08:00', '08/08']",08/08 08:00,120,3,NIL,NIL,9999,,,,,NIL,3,14,10,1023,77,,,,,,
"['09:00', '08/08']",08/08 09:00,0,0,NIL,NIL,9999,,,,,7000,5,12,09,1024,82,,,,,,
"['10:00', '08/08']",08/08 10:00,0,0,NIL,NIL,9999,,,,,7000,5,12,10,1025,88,,,,,,
"['11:00', '08/08']",08/08 11:00,100,4,NIL,115,9999,,,,,7000,5,15,09,1026,67,,,,,,
"['12:00', '08/08']",08/08 12:00,70,8,NIL,75,9999,,,,,7000,5,17,10,1026,63,,,,,,
"['13:00', '08/08']",08/08 13:00,50,9,NIL,55,9999,,,,,NIL,NIL,19,10,1026,56,,,,,,
"['14:00', '08/08']",08/08 14:00,70,10,20,75,9999,,,,,NIL,NIL,20,09,1026,49,,,,,,
"['15:00', '08/08']",08/08 15:00,80,9,NIL,NIL,9999,,,,,NIL,NIL,22,09,1025,43,,,,,,
"['16:00', '08/08']",08/08 16:00,80,6,NIL,95,9999,,,,,NIL,3,23,08,1023,38,,,,,,
"['17:00', '08/08']",08/08 17:00,360,7,NIL,NIL,9999,,,,,NIL,3,24,08,1022,36,,,,,,
"['18:00', '08/08']",08/08 18:00,70,4,NIL,245,9999,,,,,NIL,2,25,07,1021,32,,,,,,
"['19:00', '08/08']",08/08 19:00,20,6,NIL,190,9999,,,,,NIL,2,25,08,1021,34,,,,,,
"['20:00', '08/08']",08/08 20:00,20,5,NIL,205,9999,,,,,NIL,NIL,25,07,1021,32,,,,,,
"['21:00', '08/08']",08/08 21:00,60,6,NIL,NIL,9999,,,,,NIL,NIL,24,07,1021,34,,,,,,
"['22:00', '08/08']",08/08 22:00,100,8,NIL,NIL,9999,,,,,NIL,NIL,21,08,1021,43,,,,,,
"['23:00', '08/08']",08/08 23:00,70,7,NIL,NIL,9999,,,,,NIL,NIL,20,09,1022,49,,,,,,
"['00:00', '09/08']",09/08 00:00,70,6,NIL,NIL,9999,,,,,NIL,NIL,19,08,1023,49,,,,,,
"['01:00', '09/08']",09/08 01:00,VRB,1,,NIL,9999,,,,,NIL,NIL,18,08,1023,52,,,,,,
"['02:00', '09/08']",09/08 02:00,VRB,1,,NIL,9999,,,,,NIL,NIL,16,08,1024,59,,,,,,
"['03:00', '09/08']",09/08 03:00,VRB,2,,NIL,9999,,,,,NIL,NIL,15,09,1024,67,,,,,,
"['04:00', '09/08']",09/08 04:00,VRB,1,,NIL,9999,,,,,NIL,NIL,14,08,1024,67,,,,,,
"['05:00', '09/08']",09/08 05:00,200,2,,NIL,9999,,,,,NIL,NIL,14,08,1023,67,,,,,,
"['06:00', '09/08']",09/08 06:00,270,3,,NIL,9999,,,,,NIL,NIL,12,08,1023,76,,,,,,
"['07:00', '09/08']",09/08 07:00,VRB,1,,NIL,9999,,,,,NIL,NIL,12,08,1023,76,,,,,,
"['08:00', '09/08']",09/08 08:00,VRB,2,,NIL,9999,,,,,NIL,NIL,10,08,1023,87,,,,,,
"['09:00', '09/08']",09/08 09:00,270,3,,NIL,9999,,,,,NIL,NIL,11,08,1024,82,,,,,,
"['10:00', '09/08']",09/08 10:00,260,2,,NIL,9999,,,,,NIL,NIL,11,08,1025,82,,,,,,
"['11:00', '09/08']",09/08 11:00,90,1,,NIL,9999,,,,,NIL,NIL,16,10,1025,68,,,,,,
"['12:00', '09/08']",09/08 12:00,60,6,,NIL,9999,,,,,NIL,NIL,18,11,1026,64,,,,,,
"['13:00', '09/08']",09/08 13:00,70,8,,235,9999,,,,,NIL,2,20,12,1027,60,,,,,,
"['14:00', '09/08']",09/08 14:00,40,9,,NIL,9999,,,,,NIL,2,22,12,1026,53,,,,,,
"['15:00', '09/08']",09/08 15:00,40,9,,NIL,9999,,,,,NIL,3,23,12,1025,50,,,,,,
"['16:00', '09/08']",09/08 16:00,50,5,,225,9999,,,,,NIL,3,25,09,1024,36,,,,,,
"['17:00', '09/08']",09/08 17:00,160,7,,175,9999,,,,,4000,5,25,10,1023,39,,,,,,
"['18:00', '09/08']",09/08 18:00,130,5,,130,9999,,,,,7000,5,25,09,1023,36,,,,,,
"['19:00', '09/08']",09/08 19:00,130,7,,NIL,9999,,,,,7000,5,25,09,1023,36,,,,,,
"['20:00', '09/08']",09/08 20:00,110,7,,110,9999,,,,,NIL,3,25,10,1023,39,,,,,,
"['21:00', '09/08']",09/08 21:00,90,6,,NIL,9999,,,,,NIL,3,24,10,1023,41,,,,,,
"['22:00', '09/08']",09/08 22:00,110,7,,NIL,9999,,,,,NIL,NIL,23,09,1023,41,,,,,,
"['23:00', '09/08']",09/08 23:00,90,6,,NIL,9999,,,,,NIL,NIL,21,10,1023,49,,,,,,
"['00:00', '10/08']",10/08 00:00,40,4,,NIL,9999,,,,,NIL,NIL,21,11,1024,53,,,,,,
"['01:00', '10/08']",10/08 01:00,90,4,,NIL,9999,,,,,NIL,NIL,21,10,1024,49,,,,,,
"['02:00', '10/08']",10/08 02:00,0,0,,NIL,9999,,,,,NIL,NIL,19,11,1024,60,,,,,,
"['03:00', '10/08']",10/08 03:00,VRB,1,,NIL,9999,,,,,NIL,NIL,18,11,1024,64,,,,,,
"['04:00', '10/08']",10/08 04:00,VRB,1,,NIL,9999,,,,,NIL,NIL,18,11,1023,64,,,,,,
"['05:00', '10/08']",10/08 05:00,180,3,,NIL,9999,,,,,NIL,NIL,17,11,1023,68,,,,,,
"['06:00', '10/08']",10/08 06:00,230,2,,NIL,9999,,,,,NIL,NIL,16,11,1022,72,,,,,,
"['07:00', '10/08']",10/08 07:00,280,1,,NIL,9999,,,,,NIL,NIL,16,11,1022,72,,,,,,
"['08:00', '10/08']",10/08 08:00,260,2,,NIL,9999,,,,,NIL,NIL,15,11,1022,77,,,,,,
"['09:00', '10/08']",10/08 09:00,60,1,,NIL,9999,,,,,NIL,NIL,14,11,1023,82,,,,,,
"['10:00', '10/08']",10/08 10:00,320,2,,NIL,9999,,,,,NIL,NIL,13,10,1023,82,,,,,,
"['11:00', '10/08']",10/08 11:00,230,2,,NIL,9999,,,,,NIL,NIL,17,13,1023,77,,,,,,
