validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_rajada,vnt_vrb,vis,vis_setor,vis_setor_dir,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoeiro,pancada,nevoa_umida,nevoa_seca,fumaca,chuvisco
"['00:00', '12/02']",12/02 00:00,50,4,,NIL,9999,,,1,,10000,5,21,17,1018,78,,,,,,
"['01:00', '12/02']",12/02 01:00,320,2,NIL,NIL,9999,NIL,NIL,1,NIL,10000,5,21,18,1018,83,NIL,,,,,
"['02:00', '12/02']",12/02 02:00,300,1,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,21,19,1018,88,NIL,,,,,
"['03:00', '12/02']",12/02 03:00,VRB,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,21,19,1018,88,NIL,,,,,
"['04:00', '12/02']",12/02 04:00,VRB,1,NIL,NIL,9999,NIL,NIL,NIL,NIL,10000,5,20,19,1017,94,NIL,,,,,
"['05:00', '12/02']",12/02 05:00,70,3,NIL,55,9999,NIL,NIL,NIL,NIL,10000,8,20,19,1017,94,NIL,,,,,
"['06:00', '12/02']",12/02 06:00,50,4,NIL,NIL,9999,NIL,NIL,NIL,NIL,10000,5,21,19,1017,88,NIL,,,,,
"['07:00', '12/02']",12/02 07:00,90,4,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,20,19,1016,94,NIL,,,,,
"['08:00', '12/02']",12/02 08:00,VRB,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,20,19,1016,94,NIL,,,,,
"['09:00', '12/02']",12/02 09:00,VRB,2,NIL,NIL,9999,NIL,NIL,NIL,NIL,6000,5,20,19,1017,94,1,,,,,
"['10:00', '12/02']",12/02 10:00,270,1,NIL,NIL,9999,NIL,NIL,NIL,NIL,8000,5,20,19,1017,94,NIL,,,,,
"['11:00', '12/02']",12/02 11:00,290,5,NIL,NIL,4000,NIL,NIL,1,NIL,2000,8,20,19,1018,94,NIL,,,,,
"['11:23', '12/02']",12/02 11:23,260,4,NIL,NIL,8000,3000,270,1,NIL,2000,8,20,19,1019,94,NIL,,,,,
"['11:39', '12/02']",12/02 11:39,240,3,NIL,NIL,4000,NIL,NIL,1,NIL,2500,8,20,19,1018,94,NIL,,,,,
"['13:00', '12/02']",12/02 13:00,60,3,NIL,NIL,9999,NIL,NIL,NIL,NIL,800,5,22,20,1019,88,NIL,,,,,
"['14:00', '12/02']",12/02 14:00,40,4,NIL,NIL,9999,NIL,NIL,NIL,NIL,1500,5,24,20,1018,78,NIL,,,,,
"['15:00', '12/02']",12/02 15:00,50,8,NIL,NIL,9999,NIL,NIL,NIL,NIL,2000,5,25,20,1018,74,NIL,,,,,
"['15:15', '12/02']",12/02 15:15,60,8,NIL,60,4000,NIL,NIL,1,NIL,2000,5,23,20,1018,83,NIL,,,,,
"['16:00', '12/02']",12/02 16:00,50,3,NIL,60,9999,3000,315,1,NIL,3000,5,24,20,1017,78,NIL,,,,,
"['16:13', '12/02']",12/02 16:13,310,10,25,NIL,4000,NIL,NIL,1,NIL,2000,5,21,19,1018,88,NIL,,,,,
"['16:27', '12/02']",12/02 16:27,320,13,NIL,NIL,2000,NIL,NIL,1,1,2000,8,19,18,1017,94,NIL,,,,,
"['17:00', '12/02']",12/02 17:00,130,9,NIL,NIL,4000,NIL,NIL,1,1,2000,8,19,18,1018,94,NIL,,,,,
"['17:30', '12/02']",12/02 17:30,250,3,NIL,NIL,9999,NIL,NIL,1,1,2000,8,20,18,1017,88,NIL,,,,,
"['18:00', '12/02']",12/02 18:00,200,6,NIL,NIL,9999,NIL,NIL,1,1,2000,5,19,18,1017,94,NIL,,,,,
"['19:00', '12/02']",12/02 19:00,230,5,NIL,240,9999,3000,270,1,1,1400,5,19,19,1018,100,NIL,,,,,
"['20:00', '12/02']",12/02 20:00,240,4,NIL,NIL,8000,3000,90,1,NIL,500,5,19,18,1018,94,NIL,,,,,
"['21:00', '12/02']",12/02 21:00,230,2,NIL,NIL,8000,NIL,NIL,1,NIL,1400,5,19,18,1018,94,NIL,,,,,
"['21:35', '12/02']",12/02 21:35,140,2,NIL,NIL,9999,NIL,NIL,1,NIL,2000,5,19,18,1018,94,NIL,,,,,
"['22:00', '12/02']",12/02 22:00,140,4,NIL,NIL,9999,NIL,NIL,1,NIL,9000,5,19,18,1018,94,NIL,,,,,
"['23:00', '12/02']",12/02 23:00,120,6,NIL,NIL,9999,NIL,NIL,1,NIL,9000,5,19,18,1019,94,NIL,,,,,
"['00:00', '13/02']",13/02 00:00,140,7,NIL,NIL,9999,NIL,NIL,1,NIL,9000,5,19,18,1019,94,NIL,,,,,
"['01:00', '13/02']",13/02 01:00,110,4,,NIL,9999,NIL,NIL,1,NIL,500,8,19,18,1020,94,NIL,NIL,NIL,,,
"['02:00', '13/02']",13/02 02:00,0,0,,NIL,9999,NIL,NIL,1,NIL,500,8,19,18,1020,94,NIL,NIL,NIL,,,
"['03:00', '13/02']",13/02 03:00,260,2,,NIL,9999,NIL,NIL,NIL,NIL,700,8,18,18,1020,100,NIL,NIL,NIL,,,
"['04:00', '13/02']",13/02 04:00,170,2,,NIL,9999,NIL,NIL,NIL,NIL,9000,5,18,18,1018,100,NIL,NIL,NIL,,,
"['05:00', '13/02']",13/02 05:00,190,2,,NIL,9999,NIL,NIL,NIL,NIL,10000,5,18,18,1018,100,NIL,NIL,NIL,,,
"['06:00', '13/02']",13/02 06:00,180,2,,NIL,500,NIL,NIL,NIL,NIL,300,8,18,18,1018,100,1,NIL,NIL,,,
"['07:00', '13/02']",13/02 07:00,200,3,,NIL,4000,NIL,NIL,NIL,NIL,10000,5,18,17,1017,94,NIL,NIL,1,,,
"['08:00', '13/02']",13/02 08:00,240,2,,NIL,8000,NIL,NIL,NIL,NIL,10000,5,18,18,1017,100,NIL,NIL,NIL,,,
"['10:00', '13/02']",13/02 10:00,VRB,2,,NIL,9999,2000,0,NIL,NIL,4000,5,18,18,1018,100,1,NIL,NIL,,,
"['11:00', '13/02']",13/02 11:00,VRB,1,,NIL,9999,2000,0,NIL,NIL,4000,5,20,18,1019,88,1,NIL,NIL,,,
"['12:00', '13/02']",13/02 12:00,60,3,,230,9999,NIL,NIL,NIL,NIL,10000,5,22,18,1019,78,NIL,NIL,NIL,,,
"['13:00', '13/02']",13/02 13:00,50,7,,50,9999,NIL,NIL,NIL,NIL,10000,5,23,18,1019,73,NIL,NIL,NIL,,,
"['14:00', '13/02']",13/02 14:00,70,9,,80,9999,NIL,NIL,NIL,NIL,2000,5,24,18,1019,69,NIL,NIL,NIL,,,
"['15:00', '13/02']",13/02 15:00,60,8,,60,9999,NIL,NIL,NIL,NIL,2500,5,25,20,1018,74,NIL,NIL,NIL,,,
"['15:35', '13/02']",13/02 15:35,30,11,,NIL,1500,NIL,NIL,1,NIL,2500,5,21,19,1018,88,NIL,1,NIL,,,
"['16:00', '13/02']",13/02 16:00,50,7,,55,9999,NIL,NIL,1,NIL,2500,5,22,19,1017,83,NIL,1,NIL,,,
"['17:00', '13/02']",13/02 17:00,80,8,,90,9999,NIL,NIL,NIL,1,9000,5,24,20,1017,78,NIL,NIL,NIL,,,
"['18:00', '13/02']",13/02 18:00,190,5,,205,5000,2000,270,1,1,2000,5,21,19,1016,88,NIL,NIL,NIL,,,
"['18:49', '13/02']",13/02 18:49,300,7,,290,5000,NIL,NIL,1,1,600,5,21,20,1016,94,NIL,NIL,NIL,,,
"['19:00', '13/02']",13/02 19:00,330,8,,NIL,2000,NIL,NIL,1,1,600,8,20,19,1016,94,NIL,NIL,NIL,,,
"['19:10', '13/02']",13/02 19:10,320,9,,NIL,1000,NIL,NIL,1,1,600,8,19,18,1016,94,NIL,NIL,NIL,,,
"['20:00', '13/02']",13/02 20:00,10,3,,NIL,3000,NIL,NIL,1,1,2000,8,19,18,1016,94,NIL,NIL,NIL,,,
"['20:32', '13/02']",13/02 20:32,230,1,,NIL,6000,NIL,NIL,1,NIL,2500,8,19,18,1016,94,NIL,NIL,NIL,,,
"['21:00', '13/02']",13/02 21:00,110,4,,135,8000,NIL,NIL,1,NIL,10000,8,20,19,1016,94,NIL,NIL,NIL,,,
"['22:00', '13/02']",13/02 22:00,0,0,,NIL,9999,NIL,NIL,NIL,NIL,10000,5,19,18,1016,94,NIL,NIL,NIL,,,
"['23:00', '13/02']",13/02 23:00,280,3,,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,19,18,1017,94,NIL,NIL,NIL,,,
"['00:00', '14/02']",14/02 00:00,260,2,,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,19,18,1017,94,NIL,NIL,NIL,,,
"['01:00', '14/02']",14/02 01:00,VRB,1,,NIL,9999,NIL,NIL,NIL,NIL,NIL,3,19,19,1018,100,NIL,,,,,
"['02:00', '14/02']",14/02 02:00,VRB,2,,NIL,9999,NIL,NIL,NIL,NIL,8000,5,19,19,1018,100,NIL,,,,,
"['03:00', '14/02']",14/02 03:00,270,2,,NIL,9999,NIL,NIL,NIL,NIL,8000,5,19,18,1018,94,NIL,,,,,
"['04:00', '14/02']",14/02 04:00,280,2,,NIL,9999,NIL,NIL,NIL,NIL,8000,5,19,18,1017,94,NIL,,,,,
"['05:00', '14/02']",14/02 05:00,210,3,,NIL,9999,NIL,NIL,NIL,NIL,7000,5,19,19,1017,100,NIL,,,,,
