validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoa_umida,vnt_rajada,nevoeiro,vis_setor,vis_setor_dir,nevoa_seca,chuvisco
"['00:00', '17/06']",17/06 00:00,250,4,NIL,9999,,,5000,5,22,16,1018,69,,,,,,,
"['01:00', '17/06']",17/06 01:00,230,2,NIL,9999,NIL,,5000,5,21,16,1018,73,NIL,,,NIL,NIL,,NIL
"['02:00', '17/06']",17/06 02:00,260,3,NIL,9999,NIL,,5000,5,21,17,1018,78,NIL,,,NIL,NIL,,NIL
"['08:50', '17/06']",17/06 08:50,220,5,NIL,5000,1,,2300,8,19,18,1018,94,1,,,NIL,NIL,,NIL
"['09:00', '17/06']",17/06 09:00,250,4,NIL,5000,1,,2000,8,19,18,1018,94,1,,,NIL,NIL,,NIL
"['09:25', '17/06']",17/06 09:25,310,6,NIL,6000,NIL,,3600,8,19,18,1018,94,NIL,,,NIL,NIL,,NIL
"['10:00', '17/06']",17/06 10:00,280,7,NIL,4000,1,,2300,8,19,18,1019,94,1,,,NIL,NIL,,NIL
"['11:00', '17/06']",17/06 11:00,290,4,280,5000,NIL,,3600,8,19,18,1019,94,1,,,NIL,NIL,,NIL
"['12:00', '17/06']",17/06 12:00,260,5,260,7000,NIL,,3300,5,20,18,1020,88,NIL,,,NIL,NIL,,NIL
"['12:25', '17/06']",17/06 12:25,220,4,210,5000,NIL,,3600,5,21,17,1020,78,1,,,NIL,NIL,,NIL
"['12:48', '17/06']",17/06 12:48,220,16,NIL,5000,1,,1500,8,19,18,1020,94,1,,,1500,180,,NIL
"['13:00', '17/06']",17/06 13:00,220,13,NIL,4000,1,,1100,8,19,17,1020,88,1,,,1500,180,,NIL
"['14:00', '17/06']",17/06 14:00,170,10,NIL,4000,NIL,,700,8,18,17,1021,94,1,,,NIL,NIL,,1
"['14:25', '17/06']",17/06 14:25,160,5,NIL,7000,NIL,,2600,5,19,18,1020,94,NIL,,,NIL,NIL,,NIL
"['15:00', '17/06']",17/06 15:00,200,6,NIL,7000,NIL,,4000,5,20,17,1020,83,NIL,,,NIL,NIL,,NIL
"['16:00', '17/06']",17/06 16:00,200,3,NIL,7000,NIL,,4000,8,20,16,1019,78,NIL,,,NIL,NIL,,NIL
"['16:25', '17/06']",17/06 16:25,VRB,4,NIL,4500,NIL,,900,8,20,18,1019,88,1,,,NIL,NIL,,1
"['17:00', '17/06']",17/06 17:00,190,10,NIL,4500,1,,2300,8,19,18,1019,94,1,,,NIL,NIL,,NIL
"['18:00', '17/06']",17/06 18:00,180,7,NIL,4500,1,,3000,8,19,18,1019,94,1,,,NIL,NIL,,NIL
"['19:00', '17/06']",17/06 19:00,170,11,NIL,4500,1,,1000,5,18,17,1019,94,1,,,NIL,NIL,,NIL
"['20:00', '17/06']",17/06 20:00,140,10,NIL,6000,NIL,,1000,8,18,17,1020,94,NIL,,,NIL,NIL,,NIL
"['20:10', '17/06']",17/06 20:10,130,8,NIL,6000,NIL,,1500,8,18,17,1020,94,NIL,,,NIL,NIL,,NIL
"['21:00', '17/06']",17/06 21:00,180,9,NIL,8000,NIL,,2500,8,18,17,1020,94,NIL,,,NIL,NIL,,NIL
"['22:00', '17/06']",17/06 22:00,190,7,NIL,6000,1,,1500,8,18,17,1021,94,NIL,,,NIL,NIL,,NIL
"['22:38', '17/06']",17/06 22:38,170,6,NIL,4500,1,,1500,8,18,17,1021,94,1,,,NIL,NIL,,NIL
"['22:50', '17/06']",17/06 22:50,160,8,NIL,4000,1,,1000,8,17,17,1021,100,1,,,NIL,NIL,,NIL
"['23:00', '17/06']",17/06 23:00,160,10,NIL,4000,1,,1000,8,17,17,1021,100,1,,,NIL,NIL,,NIL
"['23:10', '17/06']",17/06 23:10,150,12,NIL,4000,1,,1000,8,17,17,1021,100,1,,,NIL,NIL,,NIL
"['00:00', '18/06']",18/06 00:00,160,6,NIL,6000,1,,1000,8,18,17,1022,94,NIL,,,NIL,NIL,,NIL
"['00:30', '18/06']",18/06 00:30,110,5,105,8000,NIL,,3000,5,19,17,1022,88,NIL,,,NIL,NIL,,NIL
"['01:00', '18/06']",18/06 01:00,30,6,NIL,9999,,,3500,5,18,17,1022,94,,,,,,,
"['02:00', '18/06']",18/06 02:00,VRB,2,NIL,9999,,,4000,5,18,16,1021,88,,,,,,,
"['08:50', '18/06']",18/06 08:50,360,7,NIL,9999,,,5000,5,19,17,1021,88,,,,,,,
"['09:00', '18/06']",18/06 09:00,360,7,NIL,9999,,,5000,5,19,17,1021,88,,,,,,,
"['10:00', '18/06']",18/06 10:00,320,5,NIL,9999,,,5000,5,18,17,1022,94,,,,,,,
"['11:00', '18/06']",18/06 11:00,340,5,NIL,9999,,,5000,5,19,17,1023,88,,,,,,,
"['12:00', '18/06']",18/06 12:00,10,3,NIL,9999,,,5000,5,20,17,1023,83,,,,,,,
"['13:00', '18/06']",18/06 13:00,340,3,120,9999,,,NIL,2,20,16,1023,78,,,,,,,
"['14:00', '18/06']",18/06 14:00,340,3,NIL,9999,,,NIL,2,21,17,1023,78,,,,,,,
"['15:00', '18/06']",18/06 15:00,VRB,2,NIL,9999,,,NIL,2,23,17,1022,69,,,,,,,
"['16:00', '18/06']",18/06 16:00,160,10,NIL,9999,,,5000,5,22,17,1021,73,,,,,,,
"['17:00', '18/06']",18/06 17:00,160,10,NIL,9999,,,NIL,3,22,17,1021,73,,,,,,,
"['18:00', '18/06']",18/06 18:00,160,10,NIL,9999,,,5000,5,22,17,1021,73,,,,,,,
"['19:00', '18/06']",18/06 19:00,160,11,NIL,9999,,,5000,5,22,16,1021,69,,,,,,,
"['20:00', '18/06']",18/06 20:00,140,9,NIL,9999,,,NIL,3,22,17,1021,73,,,,,,,
"['21:00', '18/06']",18/06 21:00,130,7,NIL,9999,,,NIL,3,21,17,1022,78,,,,,,,
"['22:00', '18/06']",18/06 22:00,130,6,NIL,9999,,,NIL,3,21,17,1022,78,,,,,,,
"['23:00', '18/06']",18/06 23:00,130,5,NIL,9999,,,3500,5,21,17,1022,78,,,,,,,
"['00:00', '19/06']",19/06 00:00,40,2,NIL,9999,,,3500,5,21,16,1023,73,,,,,,,
"['01:00', '19/06']",19/06 01:00,90,3,NIL,9999,,,3500,5,21,16,1023,73,,,,,,,
"['02:00', '19/06']",19/06 02:00,80,5,NIL,9999,,,3500,5,21,16,1023,73,,,,,,,
"['03:00', '19/06']",19/06 03:00,100,2,NIL,9999,,,3500,5,21,16,1022,73,,,,,,,
"['04:00', '19/06']",19/06 04:00,50,5,NIL,9999,,,4000,5,21,16,1022,73,,,,,,,
"['08:50', '19/06']",19/06 08:50,50,9,NIL,9999,,,NIL,3,20,17,1021,83,,,,,,,
"['09:00', '19/06']",19/06 09:00,50,9,NIL,9999,,,NIL,3,20,17,1021,83,,,,,,,
"['10:00', '19/06']",19/06 10:00,10,5,NIL,9999,,,NIL,3,19,17,1022,88,,,,,,,
"['11:00', '19/06']",19/06 11:00,360,4,NIL,9999,,,NIL,NIL,20,17,1022,83,,,,,,,
"['12:00', '19/06']",19/06 12:00,170,2,NIL,9999,,,NIL,NIL,20,17,1022,83,,,,,,,
"['13:00', '19/06']",19/06 13:00,180,3,165,9999,,,NIL,NIL,21,17,1023,78,,,,,,,
"['14:00', '19/06']",19/06 14:00,170,6,NIL,9999,,,NIL,NIL,21,17,1022,78,,,,,,,
"['15:00', '19/06']",19/06 15:00,170,4,NIL,9999,,,NIL,NIL,22,16,1021,69,,,,,,,
"['16:00', '19/06']",19/06 16:00,180,4,NIL,9999,,,NIL,NIL,22,17,1020,73,,,,,,,
"['17:00', '19/06']",19/06 17:00,180,3,NIL,9999,,,NIL,NIL,22,17,1020,73,,,,,,,
"['18:00', '19/06']",19/06 18:00,170,3,NIL,9999,,,10000,5,22,18,1019,78,,,,,,,
"['19:00', '19/06']",19/06 19:00,160,3,NIL,9999,,,10000,5,22,17,1018,73,,,,,,,
"['20:00', '19/06']",19/06 20:00,200,3,NIL,9999,,,10000,5,22,18,1018,78,,,,,,,
"['21:00', '19/06']",19/06 21:00,180,5,NIL,9999,,,NIL,NIL,21,18,1018,83,,,,,,,
"['22:00', '19/06']",19/06 22:00,80,5,NIL,9999,,,NIL,NIL,22,18,1018,78,,,,,,,
"['23:00', '19/06']",19/06 23:00,40,4,NIL,9999,,,NIL,NIL,22,18,1018,78,,,,,,,
"['00:00', '20/06']",20/06 00:00,70,5,NIL,9999,,,NIL,NIL,22,18,1018,78,,,,,,,
"['01:00', '20/06']",20/06 01:00,10,4,NIL,9999,,,NIL,NIL,21,17,1017,78,,,,,,,
"['02:00', '20/06']",20/06 02:00,110,1,NIL,9999,,,NIL,NIL,21,17,1017,78,,,,,,,
"['08:50', '20/06']",20/06 08:50,120,2,NIL,9999,,,NIL,3,21,18,1013,83,,,,,,,
"['09:00', '20/06']",20/06 09:00,VRB,2,NIL,9999,,,NIL,3,22,19,1013,83,,,,,,,
"['10:00', '20/06']",20/06 10:00,300,3,300,9999,,,NIL,3,22,18,1014,78,,,,,,,
"['11:00', '20/06']",20/06 11:00,300,4,NIL,9999,,,NIL,3,23,16,1015,65,,,,,,,
"['12:00', '20/06']",20/06 12:00,330,6,320,9999,,,NIL,2,24,16,1015,61,,,,,,,
"['13:00', '20/06']",20/06 13:00,360,4,NIL,9999,,,NIL,NIL,25,17,1015,61,,,,,,,
"['14:00', '20/06']",20/06 14:00,330,6,NIL,9999,,,NIL,NIL,28,15,1014,45,,,,,,,
"['15:00', '20/06']",20/06 15:00,330,12,NIL,9999,,,NIL,3,28,16,1013,48,,,,,,,
"['16:00', '20/06']",20/06 16:00,340,13,NIL,9999,,,NIL,3,28,16,1012,48,,,,,,,
"['17:00', '20/06']",20/06 17:00,330,10,NIL,9999,,,NIL,3,28,16,1011,48,,,,,,,
"['18:00', '20/06']",20/06 18:00,330,9,NIL,9999,,,7000,5,28,17,1011,51,,,,,,,
"['19:00', '20/06']",20/06 19:00,190,22,NIL,9999,,,7000,5,25,20,1012,74,,,,,,,
"['20:00', '20/06']",20/06 20:00,210,19,NIL,9999,,,8000,5,24,17,1013,65,,,,,,,
"['21:00', '20/06']",20/06 21:00,210,12,NIL,9999,,,8000,5,23,18,1014,73,,,,,,,
"['22:00', '20/06']",20/06 22:00,210,12,NIL,9999,,,8000,5,23,18,1015,73,,,,,,,
"['23:00', '20/06']",20/06 23:00,230,5,NIL,9999,,,8000,5,23,18,1016,73,,,,,,,
"['00:00', '21/06']",21/06 00:00,250,8,NIL,9999,,,5000,5,23,17,1017,69,,,,,,,
"['01:00', '21/06']",21/06 01:00,260,11,NIL,9999,,,4000,5,23,16,1017,65,,,,,,,
"['02:00', '21/06']",21/06 02:00,240,11,NIL,9999,,,8000,5,23,16,1017,65,,,,,,,
"['08:50', '21/06']",21/06 08:50,270,6,270,9999,,,NIL,3,20,16,1018,78,,,,,,,
"['09:00', '21/06']",21/06 09:00,270,6,265,9999,,,NIL,3,21,15,1019,69,,,,,,,
"['10:00', '21/06']",21/06 10:00,300,4,285,9999,,,NIL,2,21,16,1019,73,,,,,,,
"['11:00', '21/06']",21/06 11:00,310,6,NIL,9999,,,NIL,3,21,16,1019,73,,,,,,,
"['12:00', '21/06']",21/06 12:00,290,6,265,9999,,,NIL,3,23,16,1020,65,,,,,,,
"['13:00', '21/06']",21/06 13:00,240,7,230,9999,,,NIL,3,23,15,1020,61,,,,,,,
"['14:00', '21/06']",21/06 14:00,210,7,210,9999,,,NIL,3,24,15,1020,57,,,,,,,
"['15:00', '21/06']",21/06 15:00,170,5,NIL,9999,,,NIL,3,23,17,1020,69,,,,,,,
"['16:00', '21/06']",21/06 16:00,200,11,NIL,9999,,,NIL,3,24,17,1019,65,,,,,,,
"['17:00', '21/06']",21/06 17:00,200,12,NIL,9999,,,NIL,3,24,17,1018,65,,,,,,,
"['18:00', '21/06']",21/06 18:00,190,11,NIL,9999,,,NIL,2,23,16,1018,65,,,,,,,
"['19:00', '21/06']",21/06 19:00,200,10,NIL,9999,,,NIL,2,22,16,1018,69,,,,,,,
"['20:00', '21/06']",21/06 20:00,200,12,NIL,9999,,,NIL,2,21,16,1018,73,,,,,,,
"['21:00', '21/06']",21/06 21:00,210,7,NIL,9999,,,NIL,2,21,16,1019,73,,,,,,,
"['22:00', '21/06']",21/06 22:00,190,7,NIL,9999,,,NIL,3,20,17,1019,83,,,,,,,
"['23:00', '21/06']",21/06 23:00,210,4,NIL,9999,,,NIL,2,21,17,1020,78,,,,,,,
"['00:00', '22/06']",22/06 00:00,240,3,NIL,9999,,,NIL,2,21,16,1020,73,,,,,,,
"['01:00', '22/06']",22/06 01:00,300,2,NIL,9999,NIL,,NIL,2,21,16,1020,73,NIL,,,,,,
"['02:00', '22/06']",22/06 02:00,320,5,NIL,9999,NIL,,NIL,2,20,17,1020,83,NIL,,,,,,
"['08:50', '22/06']",22/06 08:50,340,8,NIL,5000,1,,7000,8,18,17,1019,94,1,,,,,,
"['09:00', '22/06']",22/06 09:00,340,8,NIL,5000,1,,7000,8,18,17,1019,94,1,,,,,,
"['09:30', '22/06']",22/06 09:30,360,8,NIL,6000,1,,10000,5,18,17,1019,94,NIL,,,,,,
"['10:00', '22/06']",22/06 10:00,320,6,315,9999,1,,10000,5,18,17,1019,94,NIL,,,,,,
"['11:00', '22/06']",22/06 11:00,VRB,2,NIL,9999,NIL,,9000,5,19,17,1020,88,NIL,,,,,,
"['12:00', '22/06']",22/06 12:00,360,5,170,9999,NIL,,8000,8,19,17,1020,88,NIL,,,,,,
"['13:00', '22/06']",22/06 13:00,330,6,NIL,9999,NIL,,7000,8,19,18,1020,94,NIL,,,,,,
"['14:00', '22/06']",22/06 14:00,340,5,315,9999,NIL,,7000,8,20,18,1020,88,NIL,,,,,,
"['15:00', '22/06']",22/06 15:00,340,3,160,9999,NIL,,7000,8,20,17,1019,83,NIL,,,,,,
"['16:00', '22/06']",22/06 16:00,360,4,NIL,9999,NIL,,7000,8,21,17,1019,78,NIL,,,,,,
"['17:00', '22/06']",22/06 17:00,20,3,200,9999,NIL,,7000,5,21,17,1018,78,NIL,,,,,,
"['18:00', '22/06']",22/06 18:00,110,3,NIL,9999,NIL,,10000,5,22,18,1018,78,NIL,,,,,,
"['19:00', '22/06']",22/06 19:00,150,6,NIL,9999,NIL,,10000,5,22,17,1018,73,NIL,,,,,,
"['20:00', '22/06']",22/06 20:00,170,7,NIL,9999,NIL,,10000,5,21,17,1019,78,NIL,,,,,,
"['21:00', '22/06']",22/06 21:00,190,5,NIL,9999,NIL,,10000,5,21,18,1019,83,NIL,,,,,,
"['22:00', '22/06']",22/06 22:00,210,4,205,9999,NIL,,10000,5,21,17,1020,78,NIL,,,,,,
"['23:00', '22/06']",22/06 23:00,210,5,NIL,8000,1,,5000,8,20,18,1021,88,NIL,,,,,,
"['00:00', '23/06']",23/06 00:00,180,3,190,9999,NIL,,5000,8,20,18,1021,88,NIL,,,,,,
"['01:00', '23/06']",23/06 01:00,VRB,3,NIL,7000,1,,2000,8,19,18,1021,94,NIL,,,,,,
"['02:00', '23/06']",23/06 02:00,330,4,NIL,9999,NIL,,5000,8,20,18,1021,88,NIL,,,,,,
"['08:50', '23/06']",23/06 08:50,290,5,NIL,9999,NIL,,3000,5,19,18,1021,94,NIL,,,,,,
"['09:00', '23/06']",23/06 09:00,290,5,NIL,9999,NIL,,3000,5,19,18,1021,94,NIL,,,,,,
"['10:00', '23/06']",23/06 10:00,290,3,270,9999,NIL,,3000,5,20,18,1022,88,NIL,,,,,,
"['10:15', '23/06']",23/06 10:15,VRB,1,NIL,4500,1,,1700,5,20,18,1022,88,1,,,,,,
"['11:00', '23/06']",23/06 11:00,310,4,NIL,7000,NIL,,2000,5,20,18,1022,88,NIL,,,,,,
"['12:00', '23/06']",23/06 12:00,330,3,NIL,7000,1,,3600,5,20,19,1023,94,NIL,,,,,,
"['12:20', '23/06']",23/06 12:20,310,5,NIL,6000,1,,2100,5,20,19,1023,94,NIL,,,,,,
"['12:38', '23/06']",23/06 12:38,310,3,NIL,8000,1,,4000,5,20,19,1023,94,NIL,,,,,,
"['13:00', '23/06']",23/06 13:00,320,3,325,8000,1,,4000,5,21,19,1023,88,NIL,,,,,,
"['14:00', '23/06']",23/06 14:00,130,6,115,9999,NIL,,5000,5,22,17,1023,73,NIL,,,,,,
"['15:00', '23/06']",23/06 15:00,150,8,NIL,9999,NIL,,NIL,3,23,16,1023,65,NIL,,,,,,
"['16:00', '23/06']",23/06 16:00,160,7,NIL,9999,NIL,,NIL,3,23,17,1022,69,NIL,,,,,,
"['17:00', '23/06']",23/06 17:00,160,11,NIL,9999,NIL,,NIL,3,23,16,1021,65,NIL,,,,,,
"['18:00', '23/06']",23/06 18:00,160,10,NIL,9999,NIL,,NIL,2,23,17,1021,69,NIL,,,,,,
"['19:00', '23/06']",23/06 19:00,160,10,NIL,9999,NIL,,NIL,2,22,17,1021,73,NIL,,,,,,
"['20:00', '23/06']",23/06 20:00,160,9,NIL,9999,NIL,,NIL,2,22,16,1021,69,NIL,,,,,,
"['21:00', '23/06']",23/06 21:00,170,8,NIL,9999,NIL,,NIL,NIL,21,17,1021,78,NIL,,,,,,
"['22:00', '23/06']",23/06 22:00,150,5,NIL,9999,NIL,,NIL,2,21,17,1022,78,NIL,,,,,,
"['23:00', '23/06']",23/06 23:00,130,6,NIL,9999,NIL,,NIL,3,21,17,1022,78,NIL,,,,,,
"['00:00', '24/06']",24/06 00:00,120,6,NIL,9999,NIL,,NIL,3,21,18,1022,83,NIL,,,,,,
"['01:00', '24/06']",24/06 01:00,60,5,NIL,9999,,,NIL,3,21,18,1022,83,,,,,,,
"['02:00', '24/06']",24/06 02:00,50,5,NIL,9999,,,NIL,NIL,20,18,1022,88,,,,,,,
"['08:50', '24/06']",24/06 08:50,20,5,NIL,9000,,,NIL,2,17,16,1020,94,,,,,,,
"['09:00', '24/06']",24/06 09:00,10,5,NIL,9000,,,NIL,2,17,16,1020,94,,,,,,,
"['09:30', '24/06']",24/06 09:30,340,6,NIL,7000,,,800,5,18,17,1019,94,,,,,,,
"['10:00', '24/06']",24/06 10:00,330,5,NIL,7000,,,NIL,3,18,17,1020,94,,,,,,,
"['11:00', '24/06']",24/06 11:00,350,4,NIL,9999,,,NIL,3,18,17,1020,94,,,,,,,
"['12:00', '24/06']",24/06 12:00,360,4,NIL,9999,,,NIL,2,19,17,1021,88,,,,,,,
"['13:00', '24/06']",24/06 13:00,330,4,NIL,9999,,,NIL,NIL,20,16,1021,78,,,,,,,
"['14:00', '24/06']",24/06 14:00,330,5,NIL,9999,,,NIL,NIL,21,16,1020,73,,,,,,,
"['15:00', '24/06']",24/06 15:00,320,5,NIL,9999,,,NIL,2,22,16,1020,69,,,,,,,
"['16:00', '24/06']",24/06 16:00,330,4,150,9999,,,NIL,2,24,15,1018,57,,,,,,,
"['17:00', '24/06']",24/06 17:00,340,5,NIL,9999,,,NIL,2,24,15,1017,57,,,,,,,
"['18:00', '24/06']",24/06 18:00,320,5,NIL,9999,,,NIL,2,24,16,1016,61,,,,,,,
"['19:00', '24/06']",24/06 19:00,300,4,NIL,9999,,,NIL,2,25,14,1016,50,,,,,,,
"['20:00', '24/06']",24/06 20:00,150,6,NIL,9999,,,NIL,NIL,23,17,1016,69,,,,,,,
"['21:00', '24/06']",24/06 21:00,180,6,NIL,9999,,,NIL,NIL,22,17,1016,73,,,,,,,
"['22:00', '24/06']",24/06 22:00,130,3,NIL,9999,,,NIL,NIL,22,18,1017,78,,,,,,,
"['23:00', '24/06']",24/06 23:00,70,4,NIL,9999,,,NIL,NIL,22,17,1017,73,,,,,,,
"['00:00', '25/06']",25/06 00:00,340,1,NIL,9999,,,NIL,NIL,21,17,1017,78,,,,,,,
"['01:00', '25/06']",25/06 01:00,290,3,,9999,,,,NIL,21,17,1016,78,,,,,,,
"['02:00', '25/06']",25/06 02:00,310,4,,9999,,,,NIL,21,18,1016,83,,,,,,,
"['08:50', '25/06']",25/06 08:50,10,8,,9000,,,,2,19,18,1015,94,,,,,,,
"['09:00', '25/06']",25/06 09:00,10,8,,8000,,,,2,19,17,1015,88,,,,,,,
"['10:00', '25/06']",25/06 10:00,10,8,,9999,,,,NIL,19,17,1016,88,,,,,,,
"['11:00', '25/06']",25/06 11:00,350,7,,9999,,,,NIL,19,17,1016,88,,,,,,,
"['12:00', '25/06']",25/06 12:00,340,8,,9999,,,,NIL,20,17,1017,83,,,,,,,
"['13:00', '25/06']",25/06 13:00,350,8,,9999,,,,NIL,21,17,1017,78,,,,,,,
"['14:00', '25/06']",25/06 14:00,350,7,,9999,,,,NIL,22,18,1017,78,,,,,,,
"['15:00', '25/06']",25/06 15:00,10,6,,9999,,,,NIL,23,18,1016,73,,,,,,,
"['16:00', '25/06']",25/06 16:00,10,5,,9999,,,,NIL,24,20,1015,78,,,,,,,
"['17:00', '25/06']",25/06 17:00,10,3,,9999,,,,NIL,26,17,1015,58,,,,,,,
"['18:00', '25/06']",25/06 18:00,160,5,,9999,,,,NIL,26,19,1014,65,,,,,,,
"['19:00', '25/06']",25/06 19:00,160,6,,9999,,,,NIL,25,19,1014,69,,,,,,,
"['20:00', '25/06']",25/06 20:00,170,5,,9999,,,,NIL,25,20,1015,74,,,,,,,
"['21:00', '25/06']",25/06 21:00,180,7,,9999,,,,NIL,24,19,1015,74,,,,,,,
"['22:00', '25/06']",25/06 22:00,190,7,,9999,,,,NIL,24,19,1016,74,,,,,,,
"['23:00', '25/06']",25/06 23:00,140,4,,9999,,,,NIL,24,20,1016,78,,,,,,,
"['00:00', '26/06']",26/06 00:00,80,2,,9999,,,,NIL,23,22,1017,94,,,,,,,
"['01:00', '26/06']",26/06 01:00,310,5,NIL,9999,,,NIL,NIL,24,20,1017,78,,,,,,,
"['02:00', '26/06']",26/06 02:00,30,4,NIL,9999,,,NIL,NIL,23,21,1017,89,,,,,,,
"['08:50', '26/06']",26/06 08:50,360,5,NIL,9999,,,NIL,3,21,19,1018,88,,,,,,,
"['09:00', '26/06']",26/06 09:00,10,5,NIL,9999,,,1300,5,21,19,1018,88,,,,,,,
"['09:43', '26/06']",26/06 09:43,10,4,NIL,8000,,,1000,5,20,19,1018,94,,,,,,,
"['10:00', '26/06']",26/06 10:00,360,3,NIL,8000,,,1000,5,20,19,1018,94,,,,,,,
"['11:00', '26/06']",26/06 11:00,340,4,NIL,8000,,,1000,5,21,19,1019,88,,,,,,,
"['11:23', '26/06']",26/06 11:23,350,4,165,8000,,,NIL,3,21,19,1019,88,,,,,,,
"['12:00', '26/06']",26/06 12:00,350,5,NIL,8000,,,NIL,2,21,19,1019,88,,,,,,,
"['13:00', '26/06']",26/06 13:00,340,5,NIL,9000,,,NIL,2,22,19,1019,83,,,,,,,
"['14:00', '26/06']",26/06 14:00,340,4,165,9000,,,NIL,2,23,19,1019,78,,,,,,,
"['15:00', '26/06']",26/06 15:00,VRB,2,NIL,9000,,,NIL,2,24,20,1018,78,,,,,,,
"['16:00', '26/06']",26/06 16:00,150,8,NIL,9000,,,NIL,2,24,21,1017,83,,,,,,,
"['17:00', '26/06']",26/06 17:00,160,11,NIL,9999,,,NIL,2,24,21,1017,83,,,,,,,
"['18:00', '26/06']",26/06 18:00,160,9,NIL,9999,,,NIL,NIL,25,19,1016,69,,,,,,,
"['19:00', '26/06']",26/06 19:00,180,7,NIL,9999,,,NIL,NIL,25,20,1016,74,,,,,,,
"['20:00', '26/06']",26/06 20:00,190,9,NIL,9999,,,NIL,NIL,24,21,1016,83,,,,,,,
"['21:00', '26/06']",26/06 21:00,200,7,NIL,9999,,,NIL,NIL,24,20,1016,78,,,,,,,
"['22:00', '26/06']",26/06 22:00,180,4,NIL,9999,,,NIL,NIL,23,20,1016,83,,,,,,,
"['23:00', '26/06']",26/06 23:00,100,3,NIL,9999,,,NIL,NIL,23,21,1016,89,,,,,,,
"['00:00', '27/06']",27/06 00:00,170,1,NIL,9999,,,NIL,NIL,22,20,1017,88,,,,,,,
"['01:00', '27/06']",27/06 01:00,110,2,NIL,9999,,,,,22,20,1017,88,,,,,,,
"['02:00', '27/06']",27/06 02:00,40,3,NIL,9999,,,,,22,20,1017,88,,,,,,,
"['08:50', '27/06']",27/06 08:50,360,7,NIL,9999,,,,,19,18,1016,94,,,,,,,
"['09:00', '27/06']",27/06 09:00,350,8,NIL,9999,,,,,19,18,1016,94,,,,,,,
"['10:00', '27/06']",27/06 10:00,20,6,NIL,9999,,,,,19,18,1017,94,,,,,,,
"['11:00', '27/06']",27/06 11:00,350,7,NIL,9999,,,,,20,18,1017,88,,,,,,,
"['12:00', '27/06']",27/06 12:00,350,5,NIL,9999,,,,,21,18,1018,83,,,,,,,
"['13:00', '27/06']",27/06 13:00,340,5,330,9999,,,,,22,18,1018,78,,,,,,,
"['14:00', '27/06']",27/06 14:00,320,5,310,9999,,,,,24,18,1017,69,,,,,,,
"['15:00', '27/06']",27/06 15:00,340,5,NIL,9999,,,,,25,18,1016,65,,,,,,,
"['16:00', '27/06']",27/06 16:00,320,4,155,9999,,,,,26,16,1015,54,,,,,,,
"['17:00', '27/06']",27/06 17:00,300,7,NIL,9999,,,,,27,17,1014,54,,,,,,,
"['18:00', '27/06']",27/06 18:00,310,3,305,9999,,,,,28,15,1014,45,,,,,,,
"['19:00', '27/06']",27/06 19:00,160,7,NIL,9999,,,,,25,19,1014,69,,,,,,,
"['20:00', '27/06']",27/06 20:00,180,6,NIL,9999,,,,,24,19,1014,74,,,,,,,
"['21:00', '27/06']",27/06 21:00,190,6,NIL,9999,,,,,24,18,1014,69,,,,,,,
"['22:00', '27/06']",27/06 22:00,120,2,NIL,9999,,,,,23,20,1015,83,,,,,,,
"['23:00', '27/06']",27/06 23:00,110,4,NIL,9999,,,,,23,21,1015,89,,,,,,,
"['00:00', '28/06']",28/06 00:00,VRB,3,NIL,9999,,,,,23,19,1016,78,,,,,,,
"['01:00', '28/06']",28/06 01:00,310,5,,9999,,,NIL,NIL,23,18,1016,73,,,,,,,
"['02:00', '28/06']",28/06 02:00,350,5,,9999,,,NIL,NIL,22,17,1016,73,,,,,,,
"['08:50', '28/06']",28/06 08:50,350,8,,9999,,,NIL,NIL,20,16,1016,78,,,,,,,
"['09:00', '28/06']",28/06 09:00,350,8,,9999,,,NIL,NIL,20,16,1016,78,,,,,,,
"['10:00', '28/06']",28/06 10:00,340,7,,9999,,,NIL,NIL,20,16,1016,78,,,,,,,
"['11:00', '28/06']",28/06 11:00,340,6,,9999,,,NIL,NIL,21,16,1017,73,,,,,,,
"['12:00', '28/06']",28/06 12:00,340,7,,9999,,,NIL,NIL,22,17,1018,73,,,,,,,
"['13:00', '28/06']",28/06 13:00,360,8,,9999,,,NIL,NIL,23,17,1018,69,,,,,,,
"['14:00', '28/06']",28/06 14:00,360,6,,9999,,,NIL,NIL,23,18,1018,73,,,,,,,
"['15:00', '28/06']",28/06 15:00,360,7,,9999,,,NIL,NIL,25,19,1017,69,,,,,,,
"['16:00', '28/06']",28/06 16:00,130,3,,9999,,,NIL,NIL,26,18,1017,61,,,,,,,
"['17:00', '28/06']",28/06 17:00,190,16,,9999,,,NIL,NIL,26,18,1017,61,,,,,,,
"['18:00', '28/06']",28/06 18:00,200,17,,9999,,,NIL,2,25,18,1017,65,,,,,,,
"['19:00', '28/06']",28/06 19:00,200,15,,9999,,,NIL,NIL,24,19,1017,74,,,,,,,
"['20:00', '28/06']",28/06 20:00,200,9,,9999,,,NIL,NIL,24,18,1017,69,,,,,,,
"['21:00', '28/06']",28/06 21:00,200,10,,9999,,,NIL,NIL,24,17,1018,65,,,,,,,
"['22:00', '28/06']",28/06 22:00,210,9,,9999,,,NIL,3,23,17,1018,69,,,,,,,
