validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,nevoa_umida,vnt_rajada,nevoeiro,vis_setor,vis_setor_dir,nevoa_seca,chuvisco
"['13:00', '28/02']",28/02 13:00,VRB,4,NIL,9999,,,NIL,3,29,23,1015,70,,,,,,,
"['14:00', '28/02']",28/02 14:00,140,4,145,9999,,,NIL,2,30,23,1014,66,,,,,,,
"['15:00', '28/02']",28/02 15:00,160,8,NIL,9999,,,NIL,3,30,23,1013,66,,,,,,,
"['16:00', '28/02']",28/02 16:00,150,6,NIL,9999,,,NIL,3,31,24,1013,66,,,,,,,
"['17:00', '28/02']",28/02 17:00,130,8,NIL,9999,,,NIL,3,30,24,1012,70,,,,,,,
"['18:00', '28/02']",28/02 18:00,150,10,NIL,9999,,,NIL,3,30,22,1011,62,,,,,,,
"['19:00', '28/02']",28/02 19:00,130,11,NIL,9999,,,NIL,3,30,23,1011,66,,,,,,,
"['20:00', '28/02']",28/02 20:00,150,10,NIL,9999,,,NIL,3,29,23,1011,70,,,,,,,
"['21:00', '28/02']",28/02 21:00,150,4,150,9999,,,NIL,2,28,23,1011,74,,,,,,,
"['22:00', '28/02']",28/02 22:00,90,12,90,9999,,,NIL,3,28,22,1011,70,,,,,,,
"['23:00', '28/02']",28/02 23:00,90,12,90,9999,,,NIL,3,27,22,1012,74,,,,,,,
"['00:00', '01/03']",01/03 00:00,80,11,NIL,9999,,,NIL,3,27,22,1013,74,,,,,,,
"['01:00', '01/03']",01/03 01:00,80,10,85,9999,,,NIL,3,27,22,1013,74,,,,,,,
"['02:00', '01/03']",01/03 02:00,80,9,70,9999,,,NIL,3,26,22,1013,79,,,,,,,
"['08:50', '01/03']",01/03 08:50,20,4,NIL,9999,,,NIL,NIL,24,22,1012,89,,,,,,,
"['09:00', '01/03']",01/03 09:00,10,4,NIL,9999,,,NIL,NIL,24,22,1012,89,,,,,,,
"['10:00', '01/03']",01/03 10:00,360,4,NIL,9999,,,NIL,NIL,24,22,1013,89,,,,,,,
"['11:00', '01/03']",01/03 11:00,20,5,NIL,9999,,,NIL,NIL,26,22,1013,79,,,,,,,
"['12:00', '01/03']",01/03 12:00,350,5,NIL,9999,,,NIL,NIL,26,22,1013,79,,,,,,,
"['13:00', '01/03']",01/03 13:00,320,4,NIL,9999,,,NIL,2,27,22,1013,74,,,,,,,
"['13:30', '01/03']",01/03 13:30,140,8,NIL,9999,,,NIL,2,27,22,1014,74,,,,,,,
"['14:00', '01/03']",01/03 14:00,160,9,NIL,9999,,,NIL,2,28,23,1013,74,,,,,,,
"['15:00', '01/03']",01/03 15:00,170,10,NIL,9999,,,NIL,2,28,23,1013,74,,,,,,,
"['16:00', '01/03']",01/03 16:00,150,10,NIL,9999,,,NIL,3,30,23,1012,66,,,,,,,
"['17:00', '01/03']",01/03 17:00,160,11,NIL,9999,,,NIL,3,28,23,1012,74,,,,,,,
"['18:00', '01/03']",01/03 18:00,170,10,NIL,9999,,,NIL,3,28,23,1011,74,,,,,,,
"['19:00', '01/03']",01/03 19:00,160,8,NIL,9999,,,8000,5,29,23,1010,70,,,,,,,
"['20:00', '01/03']",01/03 20:00,190,9,NIL,9999,,,NIL,3,28,23,1010,74,,,,,,,
"['21:00', '01/03']",01/03 21:00,180,8,NIL,9999,,,NIL,2,26,23,1010,84,,,,,,,
"['22:00', '01/03']",01/03 22:00,170,6,NIL,9999,,,NIL,3,25,23,1011,89,,,,,,,
"['23:00', '01/03']",01/03 23:00,80,7,NIL,9999,,,NIL,3,27,22,1011,74,,,,,,,
"['00:00', '02/03']",02/03 00:00,100,6,NIL,9999,,,NIL,NIL,27,23,1012,79,,,,,,,
"['01:00', '02/03']",02/03 01:00,60,5,NIL,9999,,,,NIL,27,23,1012,79,,,,,,,
"['02:00', '02/03']",02/03 02:00,60,4,NIL,9999,,,,NIL,26,22,1013,79,,,,,,,
"['08:50', '02/03']",02/03 08:50,10,2,NIL,9999,,,,NIL,25,22,1012,83,,,,,,,
"['09:00', '02/03']",02/03 09:00,350,4,NIL,9999,,,,NIL,24,22,1012,89,,,,,,,
"['10:00', '02/03']",02/03 10:00,10,3,NIL,9999,,,,NIL,25,22,1013,83,,,,,,,
"['11:00', '02/03']",02/03 11:00,360,4,NIL,9999,,,,NIL,26,22,1013,79,,,,,,,
"['12:00', '02/03']",02/03 12:00,340,4,150,9999,,,,NIL,27,23,1014,79,,,,,,,
"['13:00', '02/03']",02/03 13:00,40,2,NIL,9999,,,,NIL,27,22,1014,74,,,,,,,
"['14:00', '02/03']",02/03 14:00,150,6,NIL,9999,,,,NIL,27,22,1014,74,,,,,,,
"['15:00', '02/03']",02/03 15:00,150,8,NIL,9999,,,,2,29,22,1013,66,,,,,,,
"['16:00', '02/03']",02/03 16:00,150,10,NIL,9999,,,,2,29,22,1013,66,,,,,,,
"['17:00', '02/03']",02/03 17:00,160,12,NIL,9999,,,,2,29,22,1012,66,,,,,,,
"['18:00', '02/03']",02/03 18:00,170,12,NIL,9999,,,,2,28,22,1012,70,,,,,,,
"['19:00', '02/03']",02/03 19:00,190,11,NIL,9999,,,,2,29,21,1011,62,,,,,,,
"['20:00', '02/03']",02/03 20:00,180,12,NIL,9999,,,,2,29,22,1011,66,,,,,,,
"['21:00', '02/03']",02/03 21:00,180,11,NIL,9999,,,,2,28,22,1011,70,,,,,,,
"['22:00', '02/03']",02/03 22:00,170,7,NIL,9999,,,,NIL,27,22,1011,74,,,,,,,
"['23:00', '02/03']",02/03 23:00,150,3,NIL,9999,,,,NIL,27,22,1012,74,,,,,,,
"['00:00', '03/03']",03/03 00:00,140,2,NIL,9999,,,,NIL,26,22,1012,79,,,,,,,
"['01:00', '03/03']",03/03 01:00,180,2,NIL,9999,,,,NIL,27,23,1013,79,,,,,,,
"['02:00', '03/03']",03/03 02:00,10,1,NIL,9999,,,,NIL,26,23,1014,84,,,,,,,
"['08:50', '03/03']",03/03 08:50,320,5,NIL,9999,,,,NIL,25,22,1013,83,,,,,,,
"['09:00', '03/03']",03/03 09:00,320,4,NIL,9999,,,,NIL,24,22,1013,89,,,,,,,
"['10:00', '03/03']",03/03 10:00,310,6,285,9999,,,,NIL,25,22,1014,83,,,,,,,
"['11:00', '03/03']",03/03 11:00,330,5,NIL,9999,,,,NIL,26,22,1014,79,,,,,,,
"['12:00', '03/03']",03/03 12:00,360,5,NIL,9999,,,,NIL,28,23,1015,74,,,,,,,
"['13:00', '03/03']",03/03 13:00,20,4,NIL,9999,,,,NIL,29,23,1015,70,,,,,,,
"['14:00', '03/03']",03/03 14:00,50,4,NIL,9999,,,,2,31,23,1015,63,,,,,,,
"['15:00', '03/03']",03/03 15:00,150,10,NIL,9999,,,,2,29,23,1014,70,,,,,,,
"['16:00', '03/03']",03/03 16:00,150,11,NIL,9999,,,,2,29,23,1014,70,,,,,,,
"['17:00', '03/03']",03/03 17:00,150,14,NIL,9999,,,,2,29,21,1013,62,,,,,,,
"['18:00', '03/03']",03/03 18:00,180,13,NIL,9999,,,,3,31,21,1013,55,,,,,,,
"['19:00', '03/03']",03/03 19:00,180,13,NIL,9999,,,,3,30,21,1012,59,,,,,,,
"['20:00', '03/03']",03/03 20:00,190,12,NIL,9999,,,,2,30,22,1012,62,,,,,,,
"['21:00', '03/03']",03/03 21:00,190,11,NIL,9999,,,,NIL,29,22,1012,66,,,,,,,
"['22:00', '03/03']",03/03 22:00,180,7,NIL,9999,,,,NIL,28,22,1012,70,,,,,,,
"['23:00', '03/03']",03/03 23:00,160,5,NIL,9999,,,,NIL,26,22,1012,79,,,,,,,
"['00:00', '04/03']",04/03 00:00,160,4,155,9999,,,,NIL,27,22,1012,74,,,,,,,
"['01:00', '04/03']",04/03 01:00,190,3,185,9999,,,,NIL,26,22,1012,79,,,,,,,
