validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,vnt_rajada,chuva,nevoa_umida,trovoada,vis_setor,vis_setor_dir,nevoa_seca,nevoeiro,chuvisco,pancada
"['00:00', '17/02']",17/02 00:00,300,8,NIL,9999,NIL,NIL,25,19,1005,69,,,,,,,,,,
"['01:00', '17/02']",17/02 01:00,260,7,NIL,9999,NIL,NIL,24,19,1006,74,,,,,,,,,,
"['02:00', '17/02']",17/02 02:00,270,3,NIL,9999,NIL,NIL,23,19,1006,78,,,,,,,,,,
"['03:00', '17/02']",17/02 03:00,290,4,NIL,9999,NIL,NIL,23,19,1006,78,,,,,,,,,,
"['04:00', '17/02']",17/02 04:00,280,4,NIL,9999,NIL,NIL,22,18,1006,78,,,,,,,,,,
"['05:00', '17/02']",17/02 05:00,290,2,NIL,9999,NIL,NIL,21,21,1006,100,,,,,,,,,,
"['06:00', '17/02']",17/02 06:00,320,3,NIL,9999,NIL,NIL,21,20,1006,94,,,,,,,,,,
"['07:00', '17/02']",17/02 07:00,300,3,NIL,9999,NIL,NIL,20,20,1006,100,,,,,,,,,,
"['08:00', '17/02']",17/02 08:00,250,3,240,9999,NIL,NIL,19,19,1006,100,,,,,,,,,,
"['09:00', '17/02']",17/02 09:00,280,5,NIL,9999,NIL,NIL,19,19,1006,100,,,,,,,,,,
"['10:00', '17/02']",17/02 10:00,270,3,NIL,9999,NIL,NIL,20,20,1007,100,,,,,,,,,,
"['11:00', '17/02']",17/02 11:00,290,8,295,9999,NIL,2,22,20,1007,88,,,,,,,,,,
"['12:00', '17/02']",17/02 12:00,280,8,275,9999,NIL,NIL,23,18,1007,73,,,,,,,,,,
"['13:00', '17/02']",17/02 13:00,290,11,295,9999,NIL,2,25,17,1007,61,,,,,,,,,,
"['14:00', '17/02']",17/02 14:00,280,11,NIL,9999,NIL,3,25,17,1007,61,,,,,,,,,,
"['15:00', '17/02']",17/02 15:00,280,13,NIL,9999,3300,5,26,15,1007,51,,,,,,,,,,
"['16:00', '17/02']",17/02 16:00,290,14,290,9999,NIL,3,28,14,1006,42,,,,,,,,,,
"['17:00', '17/02']",17/02 17:00,300,13,NIL,9999,NIL,3,28,15,1006,45,,,,,,,,,,
"['18:00', '17/02']",17/02 18:00,280,16,275,9999,NIL,3,29,13,1006,37,,,,,,,,,,
"['19:00', '17/02']",17/02 19:00,290,13,NIL,9999,NIL,2,28,14,1005,42,,,,,,,,,,
"['20:00', '17/02']",17/02 20:00,270,13,275,9999,NIL,2,28,15,1005,45,,,,,,,,,,
"['21:00', '17/02']",17/02 21:00,270,12,NIL,9999,NIL,2,27,15,1004,48,,,,,,,,,,
"['22:00', '17/02']",17/02 22:00,270,9,NIL,9999,NIL,3,26,16,1005,54,,,,,,,,,,
"['23:00', '17/02']",17/02 23:00,300,8,310,9999,9000,5,26,17,1006,58,,,,,,,,,,
"['00:00', '18/02']",18/02 00:00,300,5,NIL,9999,8000,5,25,17,1006,61,,,,,,,,,,
"['01:00', '18/02']",18/02 01:00,290,6,NIL,9999,7000,5,24,17,1007,65,,,,,,,,,,
"['02:00', '18/02']",18/02 02:00,300,5,NIL,9999,7000,5,24,17,1007,65,,,,,,,,,,
"['03:00', '18/02']",18/02 03:00,300,5,NIL,9999,NIL,NIL,23,17,1006,69,,,,,,,,,,
"['04:00', '18/02']",18/02 04:00,310,4,NIL,9999,NIL,NIL,22,17,1006,73,,,,,,,,,,
"['05:00', '18/02']",18/02 05:00,310,5,NIL,9999,NIL,NIL,22,17,1006,73,,,,,,,,,,
"['06:00', '18/02']",18/02 06:00,300,5,NIL,9999,NIL,NIL,21,17,1006,78,,,,,,,,,,
"['07:00', '18/02']",18/02 07:00,280,5,NIL,9999,NIL,NIL,21,17,1006,78,,,,,,,,,,
"['08:00', '18/02']",18/02 08:00,290,8,NIL,9999,NIL,NIL,21,16,1006,73,,,,,,,,,,
"['09:00', '18/02']",18/02 09:00,280,8,NIL,9999,NIL,NIL,20,16,1007,78,,,,,,,,,,
"['10:00', '18/02']",18/02 10:00,290,8,NIL,9999,NIL,3,21,16,1007,73,,,,,,,,,,
"['11:00', '18/02']",18/02 11:00,290,10,NIL,9999,NIL,2,21,17,1008,78,,,,,,,,,,
"['12:00', '18/02']",18/02 12:00,280,10,NIL,9999,1500,5,22,18,1008,78,,,,,,,,,,
"['13:00', '18/02']",18/02 13:00,280,11,295,9999,1500,5,22,18,1009,78,,,,,,,,,,
"['14:00', '18/02']",18/02 14:00,270,12,260,9999,2500,5,24,17,1009,65,,,,,,,,,,
"['15:00', '18/02']",18/02 15:00,300,12,NIL,9999,NIL,3,26,18,1008,61,,,,,,,,,,
"['16:00', '18/02']",18/02 16:00,290,13,290,9999,3000,5,26,17,1008,58,,,,,,,,,,
"['17:00', '18/02']",18/02 17:00,290,13,NIL,9999,3000,5,27,18,1008,58,,,,,,,,,,
"['18:00', '18/02']",18/02 18:00,300,13,NIL,9999,3500,5,28,18,1007,55,,,,,,,,,,
"['19:00', '18/02']",18/02 19:00,290,14,300,9999,NIL,3,28,17,1007,51,,,,,,,,,,
"['20:00', '18/02']",18/02 20:00,290,13,NIL,9999,NIL,3,28,17,1007,51,,,,,,,,,,
"['21:00', '18/02']",18/02 21:00,290,12,290,9999,NIL,3,28,17,1007,51,,,,,,,,,,
"['22:00', '18/02']",18/02 22:00,280,8,NIL,9999,NIL,3,27,17,1007,54,,,,,,,,,,
"['23:00', '18/02']",18/02 23:00,VRB,2,NIL,9999,NIL,3,25,18,1008,65,,,,,,,,,,
"['00:00', '19/02']",19/02 00:00,260,8,250,9999,NIL,2,25,18,1009,65,,,,,,,,,,
"['01:00', '19/02']",19/02 01:00,VRB,2,NIL,9999,NIL,2,24,18,1009,69,,,,,,,,,,
"['02:00', '19/02']",19/02 02:00,200,3,195,9999,NIL,NIL,23,18,1009,73,,,,,,,,,,
"['03:00', '19/02']",19/02 03:00,230,2,NIL,9999,NIL,NIL,23,18,1009,73,,,,,,,,,,
