validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,teto,cobertura,tt,po,qnh,ur,vnt_rajada,chuva,nevoa_umida,trovoada,vis_setor,vis_setor_dir,nevoa_seca,nevoeiro,chuvisco,pancada
"['23:00', '13/02']",13/02 23:00,100,10,NIL,9999,NIL,2,27,21,1008,70,,NIL,,,,,,,,
"['00:00', '14/02']",14/02 00:00,110,8,110,9999,NIL,2,26,22,1008,79,,NIL,,,,,,,,
"['01:00', '14/02']",14/02 01:00,90,8,NIL,9999,NIL,NIL,25,23,1009,89,,,,NIL,,,,,,
"['02:00', '14/02']",14/02 02:00,100,6,NIL,9999,NIL,NIL,25,22,1009,83,,,,NIL,,,,,,
"['03:00', '14/02']",14/02 03:00,100,4,NIL,9999,NIL,NIL,24,22,1008,89,,,,NIL,,,,,,
"['04:00', '14/02']",14/02 04:00,100,5,NIL,9999,NIL,NIL,24,23,1008,94,,,,NIL,,,,,,
"['05:00', '14/02']",14/02 05:00,40,3,NIL,9999,NIL,NIL,24,22,1008,89,,,,NIL,,,,,,
"['06:00', '14/02']",14/02 06:00,VRB,1,NIL,9999,NIL,NIL,23,23,1007,100,,,,NIL,,,,,,
"['07:00', '14/02']",14/02 07:00,310,2,NIL,9999,NIL,NIL,23,23,1007,100,,,,NIL,,,,,,
"['08:00', '14/02']",14/02 08:00,250,3,250,9999,NIL,NIL,23,23,1007,100,,,,NIL,,,,,,
"['09:00', '14/02']",14/02 09:00,280,5,NIL,9999,NIL,NIL,23,23,1007,100,,,,NIL,,,,,,
"['10:00', '14/02']",14/02 10:00,280,4,NIL,9999,NIL,NIL,23,23,1008,100,,,,NIL,,,,,,
"['11:00', '14/02']",14/02 11:00,290,3,290,9999,NIL,NIL,23,23,1008,100,,,,NIL,,,,,,
"['12:00', '14/02']",14/02 12:00,320,3,140,9999,NIL,NIL,26,21,1008,74,,,,NIL,,,,,,
"['13:00', '14/02']",14/02 13:00,310,3,120,9999,NIL,NIL,28,21,1008,66,,,,NIL,,,,,,
"['14:00', '14/02']",14/02 14:00,300,5,125,9999,NIL,2,29,22,1007,66,,,,NIL,,,,,,
"['15:00', '14/02']",14/02 15:00,330,13,NIL,9999,NIL,3,30,20,1007,55,,,,NIL,,,,,,
"['15:15', '14/02']",14/02 15:15,310,20,NIL,9000,3000,5,27,20,1007,66,,,,1,,,,,,
"['16:00', '14/02']",14/02 16:00,290,16,NIL,9999,7000,5,25,19,1007,69,,,,1,,,,,,
"['17:00', '14/02']",14/02 17:00,220,6,225,9999,1900,8,23,19,1007,78,,,,NIL,,,,,,
"['18:00', '14/02']",14/02 18:00,310,8,310,9999,2300,8,24,19,1007,74,,,,NIL,,,,,,
"['19:00', '14/02']",14/02 19:00,310,6,305,9999,2000,8,25,20,1006,74,,,,NIL,,,,,,
"['20:00', '14/02']",14/02 20:00,290,8,NIL,9999,2500,8,25,20,1006,74,,,,NIL,,,,,,
"['21:00', '14/02']",14/02 21:00,290,8,295,9999,4000,5,25,19,1006,69,,,,NIL,,,,,,
"['22:00', '14/02']",14/02 22:00,300,4,300,9999,4500,5,24,19,1006,74,,,,NIL,,,,,,
"['23:00', '14/02']",14/02 23:00,310,5,NIL,9999,NIL,3,24,20,1006,78,,,,NIL,,,,,,
"['00:00', '15/02']",15/02 00:00,VRB,2,NIL,9999,9000,5,24,19,1006,74,,,,NIL,,,,,,
"['01:00', '15/02']",15/02 01:00,320,4,NIL,9999,NIL,3,24,19,1007,74,,,,,,,,,,
"['02:00', '15/02']",15/02 02:00,290,7,NIL,9999,NIL,NIL,23,20,1007,83,,,,,,,,,,
"['03:00', '15/02']",15/02 03:00,260,5,NIL,9999,NIL,2,22,22,1007,100,,,,,,,,,,
"['04:00', '15/02']",15/02 04:00,280,6,NIL,9999,NIL,NIL,21,21,1006,100,,,,,,,,,,
"['05:00', '15/02']",15/02 05:00,260,3,NIL,9999,NIL,NIL,21,21,1006,100,,,,,,,,,,
"['06:00', '15/02']",15/02 06:00,280,5,NIL,9999,NIL,NIL,20,20,1006,100,,,,,,,,,,
"['07:00', '15/02']",15/02 07:00,270,4,NIL,9999,NIL,3,20,20,1006,100,,,,,,,,,,
"['08:00', '15/02']",15/02 08:00,310,5,NIL,9999,NIL,2,20,20,1006,100,,,,,,,,,,
"['09:00', '15/02']",15/02 09:00,290,6,290,9999,10000,5,20,20,1007,100,,,,,,,,,,
"['10:00', '15/02']",15/02 10:00,270,6,NIL,9999,10000,5,20,20,1007,100,,,,,,,,,,
"['11:00', '15/02']",15/02 11:00,290,8,285,9999,10000,5,21,21,1008,100,,,,,,,,,,
"['12:00', '15/02']",15/02 12:00,280,5,NIL,9999,NIL,NIL,22,21,1008,94,,,,,,,,,,
"['13:00', '15/02']",15/02 13:00,300,7,NIL,9999,NIL,NIL,23,21,1008,89,,,,,,,,,,
"['14:00', '15/02']",15/02 14:00,290,8,NIL,9999,NIL,NIL,24,21,1008,83,,,,,,,,,,
"['15:00', '15/02']",15/02 15:00,290,8,NIL,9999,NIL,NIL,25,20,1008,74,,,,,,,,,,
"['16:00', '15/02']",15/02 16:00,310,7,NIL,9999,NIL,3,27,20,1007,66,,,,,,,,,,
"['17:00', '15/02']",15/02 17:00,290,5,280,9999,NIL,3,28,19,1006,58,,,,,,,,,,
"['18:00', '15/02']",15/02 18:00,270,5,295,9999,NIL,3,30,18,1006,49,,,,,,,,,,
"['19:00', '15/02']",15/02 19:00,200,8,205,9999,NIL,3,29,20,1005,58,,,,,,,,,,
"['20:00', '15/02']",15/02 20:00,210,6,210,9999,NIL,3,30,18,1005,49,,,,,,,,,,
"['21:00', '15/02']",15/02 21:00,220,4,220,9999,NIL,2,29,17,1005,48,,,,,,,,,,
"['22:00', '15/02']",15/02 22:00,270,5,NIL,9999,NIL,2,26,20,1005,70,,,,,,,,,,
"['23:00', '15/02']",15/02 23:00,170,6,NIL,9999,NIL,2,25,19,1005,69,,,,,,,,,,
"['00:00', '16/02']",16/02 00:00,0,0,NIL,9999,NIL,NIL,25,19,1006,69,,,,,,,,,,
"['01:00', '16/02']",16/02 01:00,310,4,NIL,9999,NIL,NIL,25,20,1006,74,,,,,,,,,,
"['02:00', '16/02']",16/02 02:00,270,2,NIL,9999,NIL,NIL,24,22,1006,89,,,,,,,,,,
"['03:00', '16/02']",16/02 03:00,VRB,2,NIL,9999,NIL,NIL,24,24,1006,100,,,,,,,,,,
"['04:00', '16/02']",16/02 04:00,70,4,NIL,9999,NIL,NIL,23,21,1006,89,,,,,,,,,,
"['05:00', '16/02']",16/02 05:00,VRB,2,NIL,9999,NIL,NIL,22,20,1006,88,,,,,,,,,,
"['06:00', '16/02']",16/02 06:00,300,4,NIL,9999,NIL,NIL,22,22,1005,100,,,,,,,,,,
"['07:00', '16/02']",16/02 07:00,310,4,NIL,9999,NIL,NIL,22,22,1005,100,,,,,,,,,,
"['08:00', '16/02']",16/02 08:00,250,5,NIL,9999,8000,5,22,22,1005,100,,,,,,,,,,
"['09:40', '16/02']",16/02 09:40,270,6,NIL,9000,700,5,21,21,1006,100,,,,,,,,,,
"['10:00', '16/02']",16/02 10:00,260,6,NIL,9000,800,5,21,21,1006,100,,,,,,,,,,
"['11:00', '16/02']",16/02 11:00,290,7,NIL,9000,1100,8,22,22,1007,100,,,,,,,,,,
"['12:00', '16/02']",16/02 12:00,280,10,NIL,9000,800,8,22,22,1007,100,,,,,,,,,,
"['13:00', '16/02']",16/02 13:00,290,13,NIL,9999,1100,8,24,23,1007,94,,,,,,,,,,
"['14:00', '16/02']",16/02 14:00,280,12,NIL,9999,1500,8,24,21,1007,83,,,,,,,,,,
"['15:00', '16/02']",16/02 15:00,260,9,260,9999,2000,5,27,21,1006,70,,,,,,,,,,
"['16:00', '16/02']",16/02 16:00,290,9,280,9999,3000,5,26,21,1006,74,,,,,,,,,,
"['18:00', '16/02']",16/02 18:00,280,14,NIL,9999,NIL,3,30,18,1005,49,,,,,,,,,,
"['19:00', '16/02']",16/02 19:00,280,15,280,9999,NIL,3,30,17,1004,46,,,,,,,,,,
"['20:00', '16/02']",16/02 20:00,290,12,NIL,9999,NIL,3,29,18,1004,52,,,,,,,,,,
"['21:00', '16/02']",16/02 21:00,290,15,NIL,9999,NIL,2,28,18,1004,55,,,,,,,,,,
"['22:00', '16/02']",16/02 22:00,300,9,NIL,9999,NIL,3,27,19,1004,62,,,,,,,,,,
"['23:00', '16/02']",16/02 23:00,310,6,300,9999,NIL,NIL,26,19,1005,65,,,,,,,,,,
