validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vis,vis_setor,vis_setor_dir,chuva,trovoada,teto,cobertura,tt,po,qnh,ur,vnt_rajada,vnt_vrb,nevoa_umida,chuvisco,pancada,nevoeiro
"['19:00', '04/06']",04/06 19:00,350,10,9999,NIL,NIL,NIL,,10000,5,27,25,1011,89,,170,,,,
"['19:40', '04/06']",04/06 19:40,60,13,4000,1500,45,1,,1200,5,27,24,1011,84,,NIL,,,,
"['20:00', '04/06']",04/06 20:00,40,9,9999,4000,315,1,,10000,5,25,24,1011,94,,NIL,,,,
"['21:00', '04/06']",04/06 21:00,40,4,9999,NIL,NIL,NIL,,10000,5,26,24,1011,89,,NIL,,,,
"['22:00', '04/06']",04/06 22:00,60,2,9999,NIL,NIL,NIL,,NIL,3,26,25,1011,94,,NIL,,,,
"['23:00', '04/06']",04/06 23:00,70,6,9999,NIL,NIL,NIL,,NIL,NIL,26,24,1012,89,,NIL,,,,
"['00:00', '05/06']",05/06 00:00,80,6,9999,NIL,NIL,NIL,,NIL,3,26,24,1013,89,,NIL,,,,
"['01:00', '05/06']",05/06 01:00,120,8,9999,,,,,1500,5,26,24,1014,89,,,,,,
"['02:00', '05/06']",05/06 02:00,90,4,9999,,,,,NIL,NIL,26,24,1013,89,,,,,,
"['03:00', '05/06']",05/06 03:00,80,4,9999,,,,,NIL,NIL,26,24,1013,89,,,,,,
"['04:00', '05/06']",05/06 04:00,70,7,9999,,,,,NIL,NIL,26,24,1013,89,,,,,,
"['05:00', '05/06']",05/06 05:00,90,5,9999,,,,,NIL,NIL,25,24,1012,94,,,,,,
"['06:00', '05/06']",05/06 06:00,100,4,9999,,,,,NIL,NIL,25,24,1012,94,,,,,,
"['07:00', '05/06']",05/06 07:00,80,6,9999,,,,,NIL,NIL,25,24,1011,94,,,,,,
"['08:00', '05/06']",05/06 08:00,90,5,9999,,,,,NIL,NIL,24,23,1012,94,,,,,,
"['09:00', '05/06']",05/06 09:00,120,4,9999,,,,,NIL,NIL,24,23,1012,94,,,,,,
"['10:00', '05/06']",05/06 10:00,100,4,9999,,,,,NIL,NIL,25,24,1012,94,,,,,,
"['11:00', '05/06']",05/06 11:00,90,8,9999,,,,,NIL,NIL,26,24,1013,89,,,,,,
"['12:00', '05/06']",05/06 12:00,90,10,9999,,,,,NIL,2,28,24,1013,79,,,,,,
"['13:00', '05/06']",05/06 13:00,110,9,9999,,,,,NIL,2,29,24,1013,74,,,,,,
"['14:00', '05/06']",05/06 14:00,90,8,9999,,,,,NIL,3,30,23,1013,66,,,,,,
"['15:00', '05/06']",05/06 15:00,90,7,9999,,,,,3200,5,30,23,1012,66,,,,,,
"['16:00', '05/06']",05/06 16:00,140,7,9999,,,,,3300,5,31,24,1012,66,,,,,,
"['17:00', '05/06']",05/06 17:00,110,6,9999,,,,,3700,5,32,22,1011,56,,,,,,
"['18:00', '05/06']",05/06 18:00,110,3,9999,,,,,NIL,3,32,22,1010,56,,,,,,
"['19:00', '05/06']",05/06 19:00,360,11,9999,,,,,NIL,3,27,23,1010,79,,,,,,
"['20:00', '05/06']",05/06 20:00,20,5,9999,,,,,NIL,3,28,23,1010,74,,,,,,
"['21:00', '05/06']",05/06 21:00,40,9,9999,,,,,NIL,3,26,24,1010,89,,,,,,
"['22:00', '05/06']",05/06 22:00,50,9,9999,,,,,NIL,3,26,23,1011,84,,,,,,
"['23:00', '05/06']",05/06 23:00,40,4,9999,,,,,NIL,3,26,23,1012,84,,,,,,
"['00:00', '06/06']",06/06 00:00,60,5,9999,,,,,NIL,3,25,24,1012,94,,,,,,
"['01:00', '06/06']",06/06 01:00,60,4,9999,NIL,NIL,,,NIL,3,25,24,1013,94,,,,,,
"['02:00', '06/06']",06/06 02:00,70,4,9999,NIL,NIL,,,NIL,NIL,25,23,1013,89,,,,,,
"['03:00', '06/06']",06/06 03:00,70,3,9999,NIL,NIL,,,NIL,NIL,25,23,1012,89,,,,,,
"['04:00', '06/06']",06/06 04:00,100,4,9999,NIL,NIL,,,NIL,NIL,25,23,1012,89,,,,,,
"['05:00', '06/06']",06/06 05:00,110,4,9999,NIL,NIL,,,NIL,NIL,25,23,1011,89,,,,,,
"['06:00', '06/06']",06/06 06:00,130,4,9999,NIL,NIL,,,NIL,NIL,25,23,1010,89,,,,,,
"['07:00', '06/06']",06/06 07:00,130,4,9999,NIL,NIL,,,NIL,NIL,25,23,1010,89,,,,,,
"['08:00', '06/06']",06/06 08:00,140,5,9999,NIL,NIL,,,NIL,NIL,25,24,1010,94,,,,,,
"['09:00', '06/06']",06/06 09:00,140,5,9999,NIL,NIL,,,10000,5,25,23,1010,89,,,,,,
"['10:00', '06/06']",06/06 10:00,130,3,9999,NIL,NIL,,,10000,5,25,24,1011,94,,,,,,
"['11:00', '06/06']",06/06 11:00,130,4,9999,NIL,NIL,,,10000,5,26,24,1012,89,,,,,,
"['12:00', '06/06']",06/06 12:00,100,6,9999,NIL,NIL,,,10000,5,27,24,1012,84,,,,,,
"['13:00', '06/06']",06/06 13:00,80,7,9999,NIL,NIL,,,10000,5,29,24,1012,74,,,,,,
"['14:00', '06/06']",06/06 14:00,130,4,9999,NIL,NIL,,,10000,5,30,23,1012,66,,,,,,
"['15:00', '06/06']",06/06 15:00,110,4,9999,NIL,NIL,,,NIL,3,31,23,1012,63,,,,,,
"['16:00', '06/06']",06/06 16:00,300,4,9999,NIL,NIL,,,NIL,3,31,24,1011,66,,,,,,
"['17:00', '06/06']",06/06 17:00,130,7,9999,NIL,NIL,,,3500,5,32,22,1010,56,,,,,,
"['18:00', '06/06']",06/06 18:00,340,6,9999,NIL,NIL,,,9000,5,30,25,1009,75,,,,,,
"['19:00', '06/06']",06/06 19:00,350,5,9999,NIL,NIL,,,4000,5,30,25,1009,75,,,,,,
"['20:00', '06/06']",06/06 20:00,360,8,9999,NIL,NIL,,,NIL,3,29,25,1009,79,,,,,,
"['21:00', '06/06']",06/06 21:00,300,9,9999,3000,315,,,3000,5,28,23,1009,74,,,,,,
"['22:00', '06/06']",06/06 22:00,30,4,9999,NIL,NIL,,,NIL,3,27,24,1010,84,,,,,,
"['23:00', '06/06']",06/06 23:00,110,4,9999,NIL,NIL,,,3200,5,27,24,1011,84,,,,,,
"['00:00', '07/06']",07/06 00:00,40,5,9999,NIL,NIL,,,4000,5,27,24,1012,84,,,,,,
"['01:00', '07/06']",07/06 01:00,70,4,9999,,,NIL,,NIL,3,26,24,1012,89,,,,,,
"['02:00', '07/06']",07/06 02:00,110,7,9999,,,NIL,,NIL,3,26,24,1012,89,,,,,,
"['03:00', '07/06']",07/06 03:00,100,4,9999,,,NIL,,4800,5,25,24,1012,94,,,,,,
"['04:00', '07/06']",07/06 04:00,80,4,9999,,,NIL,,NIL,3,25,24,1011,94,,,,,,
"['05:00', '07/06']",07/06 05:00,90,2,9999,,,NIL,,7000,5,25,24,1011,94,,,,,,
"['06:00', '07/06']",07/06 06:00,60,4,9999,,,NIL,,7000,5,25,24,1010,94,,,,,,
"['07:00', '07/06']",07/06 07:00,80,4,9999,,,NIL,,7000,5,25,23,1010,89,,,,,,
"['08:00', '07/06']",07/06 08:00,80,4,9999,,,NIL,,7000,5,25,23,1010,89,,,,,,
"['09:00', '07/06']",07/06 09:00,100,4,9999,,,NIL,,9000,8,25,23,1010,89,,,,,,
"['10:00', '07/06']",07/06 10:00,80,4,9999,,,NIL,,9000,5,25,24,1010,94,,,,,,
"['11:00', '07/06']",07/06 11:00,60,4,9999,,,NIL,,NIL,NIL,26,23,1011,84,,,,,,
"['12:00', '07/06']",07/06 12:00,60,5,9999,,,NIL,,NIL,NIL,29,24,1012,74,,,,,,
"['13:00', '07/06']",07/06 13:00,30,4,9999,,,NIL,,NIL,3,30,23,1012,66,,,,,,
"['14:00', '07/06']",07/06 14:00,70,5,9999,,,NIL,,NIL,3,31,23,1012,63,,,,,,
