validade_inicial_horizontal,validade_inicial,vnt_dir,vnt_vel,vnt_vrb,vis,vis_setor,vis_setor_dir,chuvisco,chuva,nevoa_umida,teto,cobertura,tt,po,qnh,ur,vnt_rajada,trovoada,pancada,nevoeiro,nevoa_seca
"['03:00', '20/01']",20/01 03:00,120,8,NIL,9999,,,NIL,,,600,8,18,17,1020,94,,,,,
"['04:00', '20/01']",20/01 04:00,130,4,NIL,9999,,,NIL,,,500,8,18,18,1019,100,,,,,
"['05:00', '20/01']",20/01 05:00,100,5,NIL,9999,,,NIL,,,400,8,18,18,1019,100,,,,,
"['06:00', '20/01']",20/01 06:00,110,6,NIL,9999,,,NIL,,,400,8,18,18,1018,100,,,,,
"['07:00', '20/01']",20/01 07:00,110,5,105,9999,,,NIL,,,400,8,18,18,1018,100,,,,,
"['08:00', '20/01']",20/01 08:00,120,4,NIL,9999,,,NIL,,,500,8,18,18,1017,100,,,,,
"['09:00', '20/01']",20/01 09:00,110,4,NIL,8000,,,NIL,,,400,8,18,18,1019,100,,,,,
"['10:00', '20/01']",20/01 10:00,120,4,NIL,9000,,,NIL,,,600,8,18,18,1019,100,,,,,
"['11:00', '20/01']",20/01 11:00,130,5,NIL,9999,,,NIL,,,600,8,18,18,1020,100,,,,,
"['13:00', '20/01']",20/01 13:00,120,7,NIL,9999,,,NIL,,,700,8,19,18,1020,94,,,,,
"['14:00', '20/01']",20/01 14:00,130,9,NIL,9999,,,NIL,,,800,8,20,18,1020,88,,,,,
"['15:00', '20/01']",20/01 15:00,100,7,NIL,9999,,,NIL,,,1000,8,20,18,1020,88,,,,,
"['16:00', '20/01']",20/01 16:00,110,9,NIL,9999,,,NIL,,,900,8,21,19,1019,88,,,,,
"['17:00', '20/01']",20/01 17:00,120,8,NIL,9999,,,NIL,,,1200,8,21,19,1019,88,,,,,
"['18:00', '20/01']",20/01 18:00,130,9,NIL,9999,,,NIL,,,1000,8,20,19,1019,94,,,,,
"['19:00', '20/01']",20/01 19:00,120,10,NIL,9999,,,NIL,,,1000,8,21,19,1019,88,,,,,
"['20:00', '20/01']",20/01 20:00,100,6,NIL,9999,,,NIL,,,900,8,20,19,1019,94,,,,,
"['21:00', '20/01']",20/01 21:00,130,9,NIL,9000,,,1,,,900,8,19,18,1019,94,,,,,
"['22:00', '20/01']",20/01 22:00,130,8,NIL,9999,,,NIL,,,700,8,19,18,1019,94,,,,,
"['23:00', '20/01']",20/01 23:00,150,10,NIL,9999,,,NIL,,,600,8,19,18,1019,94,,,,,
"['00:00', '21/01']",21/01 00:00,110,8,NIL,9000,,,1,,,500,8,18,18,1020,100,,,,,
"['01:00', '21/01']",21/01 01:00,120,7,NIL,9999,,,,,,600,8,18,18,1020,100,,,,,
"['02:00', '21/01']",21/01 02:00,110,5,NIL,9999,,,,,,600,8,19,18,1020,94,,,,,
"['03:00', '21/01']",21/01 03:00,120,7,NIL,9999,,,,,,600,8,19,18,1019,94,,,,,
"['04:00', '21/01']",21/01 04:00,120,5,NIL,9999,,,,,,600,8,19,18,1019,94,,,,,
"['05:00', '21/01']",21/01 05:00,120,5,NIL,9999,,,,,,600,8,19,18,1019,94,,,,,
"['06:00', '21/01']",21/01 06:00,120,4,NIL,9999,,,,,,700,8,19,18,1019,94,,,,,
"['07:00', '21/01']",21/01 07:00,120,5,NIL,9999,,,,,,600,8,18,18,1018,100,,,,,
"['08:00', '21/01']",21/01 08:00,120,5,NIL,9999,,,,,,600,8,19,19,1019,100,,,,,
