vnt_vel_max_mean,tt_mean,po_mean,qnh_mean,ur_mean,vnt_dir_mode,vnt_rajada_mode,chuva_mode,trovoada_mode,teto_mode,vnt_vel_mean,vnt_vel_top3_mean,tt_top3_mean,po_top3_mean,qnh_top3_mean,ur_top3_mean,chuva_count,week,year,Aeroporto_
10.428571428571429,22.79746835443038,18.075949367088608,1021.6708860759494,75.40506329113924,10,,1,,1200,5.69620253164557,13.0,28.333333333333332,21.333333333333332,1027.3333333333333,94.0,3.0,25,2020,SBRJ
11.857142857142858,23.4875,17.5,1015.875,69.975,350,23,,,8000,6.425,17.0,29.0,20.0,1020.0,88.0,0.0,26,2020,SBRJ
9.142857142857142,22.075,16.5125,1016.375,72.0,340,,1,,4000,5.5125,13.333333333333334,29.333333333333332,18.666666666666668,1024.0,92.0,3.0,27,2020,SBRJ
11.0,23.5875,17.6375,1016.025,70.7875,340,,,,1000,6.85,16.0,30.333333333333332,20.0,1022.6666666666666,94.0,0.0,28,2020,SBRJ
9.142857142857142,21.646341463414632,17.658536585365855,1020.2073170731708,79.0609756097561,360,,1,,1000,5.853658536585366,11.666666666666666,30.333333333333332,20.666666666666668,1025.6666666666667,96.0,8.0,29,2020,SBRJ
10.857142857142858,23.194805194805195,18.142857142857142,1018.5454545454545,74.0,360,,,,,6.116883116883117,15.0,28.0,20.666666666666668,1022.0,88.0,0.0,30,2020,SBRJ
11.142857142857142,21.976190476190474,17.80952380952381,1022.2142857142857,78.26190476190476,160,27,1,,1000,6.726190476190476,15.333333333333334,29.0,20.666666666666668,1028.0,96.0,18.0,31,2020,SBRJ
11.714285714285714,21.153846153846153,16.23076923076923,1025.5384615384614,74.33333333333333,160,,,,,6.064102564102564,12.666666666666666,25.0,18.333333333333332,1029.0,88.0,0.0,32,2020,SBRJ
11.571428571428571,24.53846153846154,18.884615384615383,1014.5384615384615,72.06410256410257,10,25,1,,4000,6.589743589743589,16.666666666666668,30.666666666666668,21.0,1019.0,90.66666666666667,2.0,33,2020,SBRJ
11.285714285714286,21.224719101123597,17.786516853932586,1018.1348314606741,81.31460674157303,170,,1,,1000,6.685393258426966,16.0,26.333333333333332,21.0,1025.0,94.0,22.0,34,2020,SBRJ
11.142857142857142,22.632911392405063,16.341772151898734,1018.5569620253165,69.32911392405063,350,,,,5000,6.670886075949367,13.666666666666666,31.333333333333332,20.333333333333332,1023.6666666666666,94.0,0.0,35,2020,SBRJ
12.0,24.487179487179485,19.641025641025642,1018.9871794871794,75.56410256410257,160,,,,3000,6.923076923076923,15.666666666666666,30.666666666666668,21.333333333333332,1025.0,94.0,0.0,36,2020,SBRJ
12.571428571428571,25.125,20.98611111111111,1015.4651162790698,65.66279069767442,150,,,,1000,6.534883720930233,16.666666666666668,29.666666666666668,23.0,1019.0,89.0,0.0,37,2020,SBRJ
13.142857142857142,25.3625,20.325,1014.725,74.11111111111111,160,,1,1,1300,7.469135802469136,16.666666666666668,32.0,23.0,1022.6666666666666,90.66666666666667,6.0,38,2020,SBRJ
13.857142857142858,23.183908045977013,19.862068965517242,1017.264367816092,82.37931034482759,160,36,1,,800,8.620689655172415,25.333333333333332,32.666666666666664,23.666666666666668,1025.0,98.0,16.0,39,2020,SBRJ
13.571428571428571,26.746835443037973,22.60759493670886,1012.632911392405,78.69620253164557,160,24,,,1300,8.531645569620252,18.0,33.0,25.333333333333332,1018.3333333333334,94.0,0.0,40,2020,SBRJ
12.857142857142858,24.870588235294118,21.023529411764706,1012.7764705882353,79.8,140,,1,1,1800,7.5058823529411764,16.0,29.333333333333332,24.0,1019.0,94.0,13.0,41,2020,SBRJ
13.714285714285714,24.253164556962027,18.734177215189874,1015.7721518987341,71.63291139240506,160,,1,,7000,7.329113924050633,18.333333333333332,28.0,23.0,1021.0,88.0,2.0,42,2020,SBRJ
12.857142857142858,24.46153846153846,19.371794871794872,1014.9102564102565,73.78205128205128,140,,,,9000,7.435897435897436,14.666666666666666,28.0,22.0,1019.6666666666666,94.0,0.0,43,2020,SBRJ
