"semana_num","real_arr","count","median_angulo","max_angulo","min_angulo","median_pista","max_pista","min_pista","mean_transit_time","median_transit_time","max_transit_time","min_transit_time","mean_distancia_voada","median_distancia_voada","max_distancia_voada","min_distancia_voada","mean_first_speed","median_first_speed","max_first_speed","min_first_speed","mean_last_speed","median_last_speed","max_last_speed","min_last_speed","mean_mean_speed","median_mean_speed","max_mean_speed","min_mean_speed"
21,"SBBE",41,107,360,1,45,45,45,12.9060500915458,12.1168352643649,18.7733338157336,9.7833920955658,48.6099608725928,44.8302618333482,70.6577782906733,39.7724802613671,322.912705319913,320.278967979545,439.761148250788,238.297224755959,124.519440677577,126.341665184552,149.485981141176,57.1571414085423,209.522151801554,211.511318808077,271.754339113442,163.080122724882
21,"SBBR",74,116.5,353,11,86,266,86,13.7812088863807,12.6527458449205,28.0915816267331,9.8887473543485,53.169193199028,49.0858378314449,92.7152534465135,40.564771543655,341.604612308745,353.223126194659,457.970586245545,183,107.806566984166,129.829078737513,158,6,208.738770965078,213.010159591416,249.212893324594,141.287338042844
21,"SBCF",72,41.5,348,26,138,318,138,13.8416015799951,13.3082830548286,26.0128298401833,9.43465351263682,56.499891080698,53.4964268866667,94.4049639799336,41.0123382035332,355.121226860171,365.338991180437,433.439727112823,215,102.351542203906,107.5,169,32.8262194739849,212.672477502368,212.991736769181,303.634556297214,164.113369721259
21,"SBCT",44,215,249,143,314,314,134,13.1292649927464,13.0627507527669,16.9933652838071,9.32269276777903,51.6526851544534,50.733284975202,67.996417408516,39.3020335940223,336.354583523732,331.291864255043,535.325487023505,200.125995012989,87.3901898009204,97.6270902624371,149,26.2300551514626,215.801967337169,218.92938960973,283.356951902764,176.183006845172
21,"SBCY",34,300,320,98,332,332,152,12.7596261929063,12.4996265292168,17.3626040736834,9.73019548257192,49.6533436321604,45.4422382414855,70.1165380084281,40.2787777392707,345.001038998625,370.213953156817,445.183629522267,148.624825298446,103.472867946019,117.5,158,14.6763921450758,211.631376383976,216.269069940071,241.555483989622,137.509747134461
21,"SBEG",52,344,360,1,90,270,90,14.6208850625998,13.1313613375028,26.4763201673826,11.194213283062,56.4032416100806,53.5418264426976,95.5475083053821,39.9747815307195,345.423641237005,363.744530124899,417.256713100571,164.548492931257,118.790137460409,128.5,159,17.8376115359473,218.67992676645,225.180088627581,243.963744067179,144.848935715027
21,"SBFI",7,247,257,239,130,310,130,14.1332146451587,14.0001498063405,17.3290250460307,11.8095905979474,53.9760778549413,57.7427174752814,58.9319547011384,43.974661119658,331.15806441752,340.286686426965,368.672025747578,264,55.1526145168242,36.5224103342197,126,25.7182155991484,217.781179638517,217.404218975691,227.957171314035,208.37496010642
21,"SBFL",15,190,217,101,121,301,121,12.8181314351824,12.6085097153982,16.3097834904989,10.7361951073011,47.6471494517367,46.6498269452187,54.8701734243596,40.8696814082496,323.627331699923,321.524358709419,431.19244241563,174,118.090218771122,128,154,16.1453139706078,204.887980138928,208.940608630711,235.297805728283,159.430110707721
21,"SBFZ",35,37,337,11,104,104,104,13.1781790232658,12.7403886159261,16.9397714058558,11.8492026408513,52.1514759741634,49.1523418392528,64.6645114702238,39.8609043606164,344.603280662975,337.726379081333,441.368480119921,224.873974156302,114.819532622542,118,149,37.3795232083626,211.974429154294,213.688911293196,239.722754126323,172.261586875433
21,"SBGL",41,85,243,81,125,254,74,12.4924356643747,11.2533060153325,19.5909047206243,8.19438096682231,48.4128166296767,42.4602146046598,82.1717182836297,39.4417754640448,336.352502862993,344.607271352865,426.795053425426,199.456272080371,112.76761203982,131,154.170800117899,11.8537975513324,225.82984365207,223.898945162303,273.050188196989,188.88486034351
21,"SBGO",39,331,360,45,120,300,120,14.5610075576693,13.6594701329867,44.7,9.36392911275228,55.1225873907239,55.62039687553,101.532194988179,39.8576378828998,340.607389996482,359.906843775873,457.174633966512,159,98.7947042848301,112,155,5.43452550353429,206.072993942626,208.988049394292,281.015148156623,150.860455881488
21,"SBGR",338,194,360,1,253,253,73,13.4219796401509,12.915097729365,26.0385336597761,9.91253986358643,53.4020423340338,50.3364283866411,108.275395145095,39.0085934059948,350.052917515465,347.664564616633,486.801054496348,241.631486601596,70.8519089977955,62.1541625839988,157,17.1828918385591,223.541547092359,223.159412833924,328.179393997188,166.45725486877
21,"SBKP",349,160,298,26,307,307,127,14.5170001535156,13.2665729959806,140.902774210771,4.26831690470378,53.6664904070325,51.6155802598318,100.320174759758,39.0316116494062,339.611695234934,356.995837497793,482,143.86956877746,97.0104272493021,106,482,5.80717802007141,208.883024040927,213.146214594128,291.747314511514,132.665347502643
