vnt_vel_max_mean,tt_mean,po_mean,qnh_mean,ur_mean,vnt_dir_mode,vnt_rajada_mode,chuva_mode,trovoada_mode,teto_mode,week,year,Aeroporto_
14.285714285714286,21.651685393258425,18.775280898876403,1015.7865168539325,84.11235955056179,150,25,1,,10000,41,2020,SBRJ
11.571428571428571,23.444444444444443,19.814814814814813,1013.4938271604939,80.65432098765432,180,,1,,10000,42,2020,SBRJ
11.571428571428571,20.75609756097561,17.804878048780488,1015.390243902439,83.86585365853658,170,,1,1,1000,43,2020,SBRJ
10.428571428571429,21.584269662921347,20.247191011235955,1017.2134831460675,92.33707865168539,150,,1,,1000,44,2020,SBRJ
14.142857142857142,22.678571428571427,19.61904761904762,1011.7380952380952,83.32142857142857,160,,1,,3000,45,2020,SBRJ
11.571428571428571,21.325,17.5375,1017.0,79.625,160,,1,,5000,46,2020,SBRJ
13.0,23.40740740740741,19.123456790123456,1012.4444444444445,77.8641975308642,160,,1,,3000,47,2020,SBRJ
14.0,24.94871794871795,20.41025641025641,1008.7307692307693,76.7051282051282,160,,1,,5000,48,2020,SBRJ
15.0,24.857142857142858,21.038961038961038,1011.3896103896104,80.01298701298701,160,,1,,10000,49,2020,SBRJ
14.142857142857142,24.265060240963855,20.867469879518072,1010.6987951807229,81.98795180722891,160,22,1,,5000,50,2020,SBRJ
13.285714285714286,26.525641025641026,22.641025641025642,1010.8076923076923,79.93589743589743,160,,1,,10000,51,2020,SBRJ
15.142857142857142,25.19277108433735,20.57831325301205,1009.2168674698795,76.24096385542168,160,,1,1,1000,52,2020,SBRJ
12.333333333333334,25.666666666666668,22.424242424242426,1011.7272727272727,82.81818181818181,160,,,,6000,53,2020,SBRJ
7.2,23.25,17.953125,1016.515625,74.28125,130,,1,1,10000,1,2020,SBCF
9.285714285714286,24.573033707865168,19.696629213483146,1015.9775280898876,75.82022471910112,10,31,1,1,7000,2,2020,SBCF
9.285714285714286,23.655172413793103,17.333333333333332,1016.8735632183908,69.59770114942529,100,,1,,4000,3,2020,SBCF
8.857142857142858,23.97590361445783,16.120481927710845,1019.0963855421687,62.963855421686745,80,19,,,4000,4,2020,SBCF
7.857142857142857,24.602272727272727,15.897727272727273,1017.5113636363636,60.27272727272727,60,,,,4000,5,2020,SBCF
11.428571428571429,22.21276595744681,18.25531914893617,1014.936170212766,79.97872340425532,30,,1,1,10000,6,2020,SBCF
8.142857142857142,22.625,18.822916666666668,1016.03125,80.38541666666667,50,,1,,3000,7,2020,SBCF
12.142857142857142,22.16216216216216,19.26126126126126,1015.5225225225225,84.82882882882883,320,,1,1,3000,8,2020,SBCF
8.833333333333334,22.195121951219512,17.670731707317074,1016.7439024390244,77.39024390243902,100,,1,1,3000,9,2020,SBCF
9.714285714285714,22.724489795918366,17.408163265306122,1017.3265306122449,73.96938775510205,60,,1,,10000,10,2020,SBCF
8.857142857142858,22.541666666666668,18.010416666666668,1016.8125,77.44791666666667,120,,1,,200,11,2020,SBCF
9.0,23.8876404494382,16.764044943820224,1018.7191011235955,68.08988764044943,100,,,,3500,12,2020,SBCF
7.142857142857143,24.67816091954023,17.344827586206897,1018.2528735632184,66.2183908045977,140,,,1,10000,13,2020,SBCF
10.571428571428571,23.087912087912088,17.604395604395606,1016.4835164835165,73.08791208791209,130,,1,,3000,14,2020,SBCF
8.857142857142858,20.98901098901099,14.395604395604396,1020.4615384615385,68.38461538461539,100,,,,10000,15,2020,SBCF
9.0,21.087912087912088,13.901098901098901,1018.4725274725274,65.86813186813187,130,,,,4000,16,2020,SBCF
7.285714285714286,21.76923076923077,14.307692307692308,1016.6263736263736,65.83516483516483,140,,,,4800,17,2020,SBCF
10.0,19.946236559139784,14.67741935483871,1020.4623655913979,73.73118279569893,100,,1,,3500,18,2020,SBCF
9.714285714285714,20.571428571428573,13.637362637362637,1021.7252747252747,67.64835164835165,120,,,,4000,19,2020,SBCF
7.0,19.296703296703296,13.032967032967033,1020.5054945054945,69.85714285714286,130,,,,4000,20,2020,SBCF
8.0,20.83695652173913,13.108695652173912,1018.2391304347826,65.15217391304348,160,,,,3500,21,2020,SBCF
8.0,22.395604395604394,16.153846153846153,1019.5934065934066,70.35164835164835,130,,,,4000,22,2020,SBCF
7.571428571428571,20.63736263736264,14.758241758241759,1021.3186813186813,71.94505494505495,130,,,,7000,23,2020,SBCF
8.142857142857142,19.67032967032967,13.68131868131868,1016.4835164835165,70.67032967032966,130,,1,,4000,24,2020,SBCF
8.0,18.857142857142858,12.043956043956044,1021.5604395604396,67.68131868131869,130,20,,,,25,2020,SBCF
8.857142857142858,18.34065934065934,11.43956043956044,1022.0,67.36263736263736,160,,,,,26,2020,SBCF
8.714285714285714,16.560439560439562,9.527472527472527,1020.8351648351648,66.0,130,17,,,4500,27,2020,SBCF
7.714285714285714,17.065934065934066,8.802197802197803,1022.8351648351648,61.582417582417584,140,,,,4000,28,2020,SBCF
8.714285714285714,19.9010989010989,10.637362637362637,1021.3956043956044,59.43956043956044,140,,,,4500,29,2020,SBCF
10.714285714285714,17.604395604395606,9.351648351648352,1025.10989010989,61.395604395604394,100,,,,,30,2020,SBCF
11.285714285714286,16.75824175824176,7.714285714285714,1023.6153846153846,58.395604395604394,100,,,,10000,31,2020,SBCF
11.428571428571429,18.021978021978022,10.417582417582418,1026.2087912087911,63.31868131868132,100,,,,3000,32,2020,SBCF
8.714285714285714,20.384615384615383,12.076923076923077,1021.6373626373627,61.637362637362635,130,,,,4000,33,2020,SBCF
11.428571428571429,20.285714285714285,11.494505494505495,1021.8131868131868,59.989010989010985,140,,1,,8000,34,2020,SBCF
9.714285714285714,21.0,11.208791208791208,1019.8461538461538,55.78021978021978,100,17,,,4000,35,2020,SBCF
11.285714285714286,21.703296703296704,12.219780219780219,1020.3846153846154,58.20879120879121,120,,,,4000,36,2020,SBCF
10.0,25.208791208791208,14.098901098901099,1019.0,53.043956043956044,100,,,,,37,2020,SBCF
10.0,25.440860215053764,12.688172043010752,1019.752688172043,48.13978494623656,100,,,,3500,38,2020,SBCF
11.428571428571429,22.626373626373628,13.23076923076923,1019.2747252747253,57.857142857142854,100,,,1,,39,2020,SBCF
9.285714285714286,24.858695652173914,16.097826086956523,1016.5652173913044,61.72826086956522,50,,1,1,10000,40,2020,SBCF
10.428571428571429,22.189473684210526,16.905263157894737,1017.3157894736842,74.15789473684211,110,28,1,,10000,41,2020,SBCF
9.571428571428571,23.186813186813186,17.076923076923077,1017.3076923076923,70.28571428571429,100,,,,4000,42,2020,SBCF
11.142857142857142,21.695652173913043,16.815217391304348,1017.0,75.44565217391305,110,,1,1,8000,43,2020,SBCF
10.428571428571429,22.978947368421053,16.873684210526317,1019.4947368421052,70.2421052631579,100,,1,1,10000,44,2020,SBCF
9.571428571428571,23.711340206185568,18.02061855670103,1014.2474226804123,72.09278350515464,120,,1,,3500,45,2020,SBCF
11.142857142857142,20.232323232323232,16.2020202020202,1018.020202020202,79.13131313131314,100,,1,1,3500,46,2020,SBCF
10.0,21.791666666666668,17.395833333333332,1016.3333333333334,77.5625,100,,1,1,3500,47,2020,SBCF
9.142857142857142,23.06122448979592,17.102040816326532,1014.7142857142857,71.85714285714286,330,,1,1,400,48,2020,SBCF
9.857142857142858,22.476190476190474,17.99047619047619,1015.4190476190477,77.42857142857143,100,,1,1,3000,49,2020,SBCF
8.857142857142858,22.051546391752577,17.175257731958762,1014.659793814433,75.78350515463917,30,,1,,4000,50,2020,SBCF
9.714285714285714,22.60576923076923,18.76923076923077,1015.6634615384615,80.01923076923077,100,,1,,10000,51,2020,SBCF
8.0,22.77173913043478,16.782608695652176,1013.4239130434783,70.94565217391305,110,,1,,3000,52,2020,SBCF
8.0,22.26829268292683,18.26829268292683,1016.609756097561,79.78048780487805,320,,1,,2500,53,2020,SBCF
11.0,27.03125,20.015625,1012.125,65.875,110,,,,2000,1,2020,SBRF
10.0,27.078651685393258,20.03370786516854,1012.0898876404494,65.85393258426966,70,,1,,2000,2,2020,SBRF
11.285714285714286,26.766666666666666,19.7,1011.3111111111111,65.84444444444445,120,,1,,7000,3,2020,SBRF
12.285714285714286,26.89887640449438,19.93258426966292,1012.1011235955057,66.0561797752809,120,,,,2000,4,2020,SBRF
10.428571428571429,26.835164835164836,20.32967032967033,1012.2197802197802,68.31868131868131,90,,1,,2000,5,2020,SBRF
10.428571428571429,27.454545454545453,20.318181818181817,1012.0113636363636,65.51136363636364,100,,1,,2000,6,2020,SBRF
11.142857142857142,26.795698924731184,21.0752688172043,1010.9784946236559,71.66666666666667,130,,1,1,2000,7,2020,SBRF
10.142857142857142,27.370786516853933,20.0561797752809,1012.2134831460675,64.85393258426966,100,,,,5000,8,2020,SBRF
