"week","airport_code","mean_occurrence","mean_abundance","Total_Voos","index","moving_avg_occurrence","moving_avg_abundance","moving_avg_Total_Voos","moving_avg_index","Col_Total","vnt_vel_max_mean","tt_mean","po_mean","qnh_mean","ur_mean","vnt_dir_mode","vnt_rajada_mode","chuva_mode","trovoada_mode","teto_mode","vnt_vel_mean","chuva_count"
5,"SBBE",0.4827377,15.89126,324,0.006664211,0.4135958,0.0491921,0.2850732,0.005799998,0,11.42857,26.39175,23.96907,1012.34,87.1134,31,26,1,1,10000,5.958763,8
5,"SBBR",0.3730209,1.504606,1607,0.002418277,0.4061179,0.01381,0.2888014,0.001619739,2,10.85714,24.81915,19.24468,1019.351,73.42553,34,0,1,0,3000,5.414894,6
5,"SBCF",0.5079988,1.901459,1335,0.003457524,0.4161852,0.01440765,0.201947,0.001210925,0,10.42857,24.60204,20.2449,1018.316,78.73469,27,0,1,1,3000,4.795918,5
5,"SBCT",0.2906257,0.9698248,863,0.0006521873,0.4306525,0.01642779,0.1458851,0.001032089,0,12,22.40594,18.75248,1016.832,82.74257,19,24,1,1,1200,6.415842,9
5,"SBCY",0.4528262,1.31383,378,0.0006029713,0.4448316,0.02213154,0.1658382,0.001632645,0,11.57143,28.3617,21.78723,1012.702,69.15957,25,46,1,1,10000,6.159574,6
5,"SBEG",0.4132903,1.750838,349,0.0006771126,0.4103121,0.02200832,0.3871168,0.003495773,1,10.14286,27.07447,23.78723,1012.074,83.94681,27,0,1,1,1000,5.193548,11
5,"SBFZ",0.565868,2.733757,523,0.002169257,0.3829807,0.02110153,0.4638221,0.003748369,0,12.42857,27.27273,23.20202,1012.626,79.61616,32,0,1,1,10000,7.030303,25
5,"SBGL",0.347342,3.319771,1152,0.003561657,0.3462468,0.01724898,0.4953742,0.002958575,1,11.71429,29.04348,22.96739,1011.207,71.67391,5,0,1,0,5000,5.695652,1
5,"SBGR",0.3147481,1.263062,3583,0.003819168,0.355625,0.01325268,0.4837062,0.002279699,0,10.57143,24.45161,19.19355,1016.333,75.39785,22,22,1,1,4000,6.064516,4
5,"SBKP",0.3039648,1.377242,1460,0.00163878,0.3673249,0.02088458,0.3447943,0.002645063,1,10.28571,24.89362,17.75532,1015.809,67.8617,13,0,1,1,4000,6.223404,9
5,"SBPA",0.4189325,1.146504,980,0.00126206,0.3612744,0.02077845,0.4351008,0.003266181,3,12,25.58416,21.57426,1011.02,80.54455,34,26,1,1,3500,6.306931,11
5,"SBRF",0.3848545,1.673295,983,0.001697293,0.3702432,0.02316156,0.4213615,0.003613348,0,10,29.05435,23.26087,1012.859,71.51087,6,0,1,0,10000,6.652174,2
5,"SBRJ",0.3615479,4.407404,1571,0.006712112,0.3973658,0.05352431,0.3748964,0.007973572,0,13.85714,27.64516,24.22581,1010.978,82.22581,9,0,0,0,10000,6.784946,0
5,"SBSP",0.2797628,1.333518,2768,0.002768784,0.4018431,0.04668643,0.3752416,0.007039767,0,13.57143,24.16949,17.72881,1017.025,70.00847,24,25,1,0,1700,7.788136,5
5,"SBSV",0.4548076,2.128347,781,0.002027008,0.4596543,0.04820228,0.2762358,0.006120388,0,13,27.97872,24.52128,1014.245,81.65957,33,0,1,0,7000,7.319149,5
6,"SBBE",0.4933448,14.18275,310,0.005815766,0.4208556,0.04557859,0.2827948,0.005424572,1,11.28571,25.4,23.42,1012.29,89.33,4,0,1,1,10000,5.11,26
6,"SBBR",0.3794573,1.590197,1576,0.00254979,0.4149606,0.01462542,0.2878349,0.001746862,0,11.85714,22.53684,18.81053,1018.442,80.97895,2,30,1,1,4000,6.8,30
6,"SBCF",0.5110074,1.958048,1334,0.003578827,0.4138398,0.01453087,0.2002209,0.001204019,1,9.571429,22.22549,18.80392,1018.324,82.78431,29,17,1,1,10000,5.088235,14
6,"SBCT",0.2996127,1.047387,876,0.0007370651,0.4233132,0.01576925,0.1420188,0.0009480227,1,12.71429,21.09,18.82,1017.91,88.34,4,0,1,0,1300,6.66,7
6,"SBCY",0.4697648,1.43004,383,0.0006898613,0.4364282,0.02246094,0.1599696,0.001568116,0,11.28571,27.65263,22.42105,1011.284,74.62105,23,0,1,1,10000,6.547368,7
6,"SBEG",0.3749744,1.551242,307,0.0004787997,0.3994851,0.0222119,0.3730323,0.003310036,0,8.571429,27.07692,23.16484,1012.165,80.87912,1,28,0,0,10000,4.043956,0
6,"SBFZ",0.5489011,2.468262,491,0.001783615,0.3831976,0.0219738,0.4601629,0.003874713,2,12,27.45833,23.29167,1012.115,78.94792,32,0,1,0,2000,6.333333,16
6,"SBGL",0.3520724,3.804365,1136,0.004079686,0.3522537,0.01875273,0.4957885,0.00327504,2,11.57143,26.96703,22.54945,1012.363,78.34066,30,0,1,1,10000,5.593407,2
6,"SBGR",0.3219924,1.327432,3469,0.003975544,0.3589057,0.01323031,0.4812897,0.002285372,0,9.428571,23.41667,20.41667,1016.5,85.01042,30,0,1,1,500,5.104167,6
6,"SBKP",0.3098243,1.453147,1569,0.00189401,0.3697284,0.02279733,0.3465203,0.002920758,2,10.85714,23.96774,18.86022,1015.57,74.49462,4,30,1,1,4000,6.043011,11
6,"SBPA",0.4251258,1.141182,1007,0.001309894,0.3634046,0.02265967,0.4291632,0.003534,1,11.85714,27.6383,21.24468,1013.16,71.59574,3,0,1,0,4000,7.744681,5
6,"SBRF",0.3786803,1.529126,926,0.001437676,0.3690708,0.02513942,0.4102458,0.003806352,1,9.857143,29.35165,23.53846,1012.385,71.26374,33,0,0,0,2300,6.417582,0
6,"SBRJ",0.3652833,5.269046,1517,0.007828556,0.3955931,0.02945056,0.3673019,0.004279227,0,12.85714,26.90722,23.27835,1012.082,80.88776,9,0,1,0,10000,6.216495,2
6,"SBSP",0.2845288,1.396433,2766,0.002946678,0.4024178,0.02080349,0.3715134,0.003110196,1,11.57143,22.39259,18.71111,1017.274,80.71111,29,0,1,1,600,5.562963,40
